ds,yhat,yhat_lower,yhat_upper
2024-01-01,19021.423987714305,15463.96868496905,22494.302235796957
2024-01-02,19933.105124125366,16661.458890869413,23433.8649000747
2024-01-03,19561.45642732465,16202.135385295005,23066.65782825915
2024-01-04,20055.395109785997,16916.935796890994,23492.202986691977
2024-01-05,20489.34793950658,17240.30714636395,23902.656039563233
2024-01-06,13450.868140978744,10071.591278777587,16811.946549265518
2024-01-07,9619.554170285288,6336.176493911116,12837.659808307359
2024-01-08,19040.684868924734,15882.225638271695,22200.673645161336
2024-01-09,19952.366005359916,16496.166690436006,23571.04716904557
2024-01-10,19580.71730855222,16281.356022304068,23042.5562123148
2024-01-11,20074.655991017462,16965.179380792073,23461.871592825264
2024-01-12,20508.608820744692,17005.717705363986,23688.104546837552
2024-01-13,13470.129022241214,10221.932619376328,16910.68878121581
2024-01-14,9638.815051527128,6400.074155110011,12951.16503423504
2024-01-15,19059.945750165676,15887.261714121465,22123.57785397801
2024-01-16,19971.626886594466,16430.130255398555,23131.818754610496
2024-01-17,19599.978189790807,16329.293035794166,23023.718394351014
2024-01-18,20093.916872414076,16899.05044243885,23723.776260693023
2024-01-19,20527.869702297714,17054.30626174863,23748.433840979775
2024-01-20,13489.389903944608,9974.783162273921,16764.935618257106
2024-01-21,9658.075933388918,6180.286759522478,13082.08721432668
2024-01-22,19079.206632193887,15616.971607360014,22366.85488345686
2024-01-23,19990.887768771518,16557.340268870783,23045.795428923375
2024-01-24,19619.23907213007,16161.856304515173,22862.80514544332
2024-01-25,20113.177754747718,16715.5106699034,23435.443485414075
2024-01-26,20547.130584629624,17103.259782009827,23782.42736034537
2024-01-27,13508.650786277814,10207.536115691872,16975.66177311442
2024-01-28,9677.336815732939,6507.421359857858,13052.640052963781
2024-01-29,19098.46751450649,15875.381993436311,22673.63388608329
2024-01-30,20010.148651106025,16900.6421769023,23482.732033197553
2024-01-31,19638.499954465326,16423.469722821712,23183.581001962786
2024-02-01,20132.43863709151,16758.130257098124,23460.32294675225
2024-02-02,20566.391466961533,17374.213790209873,23911.045256016885
2024-02-03,13527.91166838148,10247.696019540836,16853.660830099558
2024-02-04,9696.59769761133,6485.488388901795,13093.837140189082
2024-02-05,19117.72839618163,15781.106482336194,22436.69512830713
2024-02-06,20029.409532554113,16641.49636443592,23204.456352524285
2024-02-07,19657.760835689776,16287.330602676879,22977.11709386062
2024-02-08,20151.699518092184,17069.597372360575,23419.368905802192
2024-02-09,20585.652347757143,17124.700630352552,23887.535824853756
2024-02-10,13547.172549152185,10188.346755206738,16779.90504242196
2024-02-11,9715.858578395299,6092.02624104487,12829.975395177164
2024-02-12,19136.98927697113,15917.556501026496,22701.09234257739
2024-02-13,20048.67041333572,16643.39570592631,23175.514374370505
2024-02-14,19677.021716475418,16355.942009593306,22892.262143077332
2024-02-15,20170.960398878407,16645.22561258079,23710.23857631278
2024-02-16,20604.91322854231,17460.200391430637,24051.848725969496
2024-02-17,13566.433429930275,10186.864981746645,16914.13270783524
2024-02-18,9735.119459179266,6367.374821956998,13024.769459265974
2024-02-19,19156.250157225626,15679.4557995691,22740.108241983125
2024-02-20,20067.931293058915,16926.329835108445,23491.057867882297
2024-02-21,19696.282595665063,16253.647754664062,23259.2028375576
2024-02-22,20190.22127752893,16847.387197918993,23672.79914144441
2024-02-23,20624.17410665074,17247.920339108885,23953.519259922166
2024-02-24,13585.694307516369,10214.589260319752,16966.70565524357
2024-02-25,9754.380336222863,6418.631505074582,13295.213824201033
2024-02-26,19175.51103428963,16069.341436881896,22283.79548014297
2024-02-27,20087.192170114304,16850.787652037856,23543.316396128
2024-02-28,19715.5434727197,16534.432479432508,22991.524709784615
2024-02-29,20209.482154591158,16729.62719872993,23154.65673932973
2024-03-01,20643.434983711908,17285.45175977449,23947.85949427184
2024-03-02,13604.955184601893,10437.555808748393,16915.686602586116
2024-03-03,9773.641213282834,6537.550382299252,13075.537286202165
2024-03-04,19194.77191135213,15988.592595253182,22500.147487954084
2024-03-05,20106.453047174135,16790.822419181524,23405.773374393524
2024-03-06,19734.804349653456,16510.201691976203,23055.450062152217
2024-03-07,20228.743031406673,16970.659598319646,23507.893825148047
2024-03-08,20662.69586041408,17424.540148758584,23922.829174909446
2024-03-09,13624.216061181101,10304.558597087966,16988.00449091977
2024-03-10,9792.902089763356,6202.065481355002,12864.872509225708
2024-03-11,19214.032787714874,15953.555469738476,22728.066322844497
2024-03-12,20125.713923411397,16729.71899793371,23661.869587108402
2024-03-13,19754.065225896975,16237.849675152696,22891.275900193352
2024-03-14,20248.003907650775,16700.641540767276,23660.516885703117
2024-03-15,20681.95673665712,17202.903690715673,24004.221638452967
2024-03-16,13643.476937424452,10295.254855438117,17133.383501265966
2024-03-17,9812.162966000269,6440.217347998128,12819.442613495277
2024-03-18,19233.293663930242,15862.143698992122,22467.321083277024
2024-03-19,20144.97479965088,16804.097603971157,23554.979769251793
2024-03-20,19773.326102140494,16303.364281352442,23226.499310829386
2024-03-21,20267.26478388717,17040.642516099706,23705.570631065355
2024-03-22,20700.749350835857,17028.99420996225,23878.186925190526
2024-03-23,13661.801289572595,10118.986931480651,17059.502984457707
2024-03-24,9830.019056079233,6323.363965672186,12942.386869668038
2024-03-25,19250.68149195237,16001.725218143107,22609.9812093536
2024-03-26,20161.894365608463,16757.97090284523,23317.190419361683
2024-03-27,19789.77740604289,16368.105148801907,23470.55991909856
2024-03-28,20283.247825747418,17006.33011270574,23525.36676168424
2024-03-29,20716.73239269778,17257.745102358393,23799.578884186343
2024-03-30,13677.784331424393,10274.08867604593,16849.60205859175
2024-03-31,9846.002097934452,6603.466177362932,13449.718883026566
2024-04-01,19266.664533805186,15940.339620531282,22707.75503532028
2024-04-02,20177.877407464202,17027.2262086963,23615.72195665788
2024-04-03,19805.76044789886,16367.773957012852,23022.0363453676
2024-04-04,20299.230867592258,17081.739978776754,23912.19659366394
2024-04-05,20732.7154345409,17462.34010826251,24125.211738503185
2024-04-06,13693.767373261424,10196.07163054184,17053.038145911727
2024-04-07,9861.985066141056,6377.974447813056,13267.602205826062
2024-04-08,19282.64742837363,16020.84548694953,22420.859738863342
2024-04-09,20193.86022838106,17000.48874591978,23419.24519185251
2024-04-10,19821.743195165047,16670.432949993665,23303.676167159705
2024-04-11,20315.213541218647,16816.047392629447,23669.48086775944
2024-04-12,20748.698034521876,17049.601443047766,24058.409999250507
2024-04-13,13709.749899599996,10241.622437273578,17190.503843870214
2024-04-14,9877.96759247407,6706.806911005567,13208.741592400584
2024-04-15,19298.629954720614,15969.184565484846,22542.72283808437
2024-04-16,20209.84275472316,16801.676178854046,23492.365534341297
2024-04-17,19837.72572151118,16442.97202926831,23010.81645316034
2024-04-18,20331.196067565357,16945.60545914455,23751.154727388755
2024-04-19,20764.680560877972,17209.66772199605,23862.348693419088
2024-04-20,13725.732425938575,10393.876268207123,17200.746585921468
2024-04-21,9893.950118813595,6592.276875797971,13409.197250162939
2024-04-22,19314.612481067597,16164.436286450486,22340.036027101152
2024-04-23,20225.8136636703,16916.786740662592,23561.19136372517
2024-04-24,19853.685013066337,16258.51070012191,23436.89210820753
2024-04-25,20347.14374171321,17045.60839127832,23630.50660117124
2024-04-26,20780.616617652693,17450.932736999992,23905.263353297945
2024-04-27,13741.656865313487,10304.38434546061,17018.077506797243
2024-04-28,9909.862940806579,6652.51855788847,13401.307518127247
2024-04-29,19330.513685637947,16004.82050769561,22712.1093737072
2024-04-30,20241.714868268846,16767.53924303332,23469.675182924224
2024-05-01,19869.586217657827,16618.467084214022,23300.34637179405
2024-05-02,20363.044946318492,16900.21412758381,23503.61323726519
2024-05-03,20796.517822232472,17267.273315498674,24204.335502111564
2024-05-04,13757.55806989555,10699.137831640854,17220.993095332018
2024-05-05,9925.7641454019,6599.459133742637,13060.091991445748
2024-05-06,19346.414890235796,16255.325838549652,22790.702132616752
2024-05-07,20257.61607285959,16840.072815427822,23945.329055020822
2024-05-08,19885.48742224932,16501.513992956112,23319.043092471904
2024-05-09,20378.94614796418,17210.09937442594,23653.492587755944
2024-05-10,20812.419020940626,17429.94287316955,24229.646691764756
2024-05-11,13773.45926568387,10256.492300597962,17035.20327109084
2024-05-12,9941.665338220479,6478.972123222556,13381.803047432153
2024-05-13,19362.316080115725,15948.437828130865,22625.193681594035
2024-05-14,20273.51725978966,16787.150460730554,23578.632784575897
2024-05-15,19901.388606237007,16596.01433571102,23200.041176104132
2024-05-16,20394.8473319472,16908.824691314487,23843.05920327349
2024-05-17,20828.32020492784,17310.12349703852,23757.32859597875
2024-05-18,13789.360449656626,10385.6202695457,16995.73820080159
2024-05-19,9957.566522206493,6588.897179345094,13217.655532765624
2024-05-20,19378.217264104263,15900.193928456478,22814.7073620997
2024-05-21,20289.418443771094,17116.35873141289,23442.268248924393
2024-05-22,19917.289790223203,16218.458093457688,22954.935817011206
2024-05-23,20410.748515927768,17108.269101931623,23980.962642472143
2024-05-24,20844.22138889831,17623.34279906299,24165.170597483608
2024-05-25,13805.261633316157,10566.12643310475,17100.676051170405
2024-05-26,9973.467705520161,6616.507831057316,13279.047388027366
2024-05-27,19394.118447079836,16104.364889652375,22561.256523624605
2024-05-28,20305.31962644057,17025.519549224093,23603.514666466726
2024-05-29,19933.190972570952,16420.325116145083,22847.4834940467
2024-05-30,20426.64969794811,17345.230642690763,23737.016665469677
2024-05-31,20860.12257058961,17243.3847616579,24281.524772685458
2024-06-01,13821.162814992998,10484.826228403643,17341.21592808524
2024-06-02,9989.368887210254,6393.681888583289,13010.239913329555
2024-06-03,19410.019628772465,16021.086086760377,22712.835635838845
2024-06-04,20321.220808130536,16896.162101045302,23933.009458367247
2024-06-05,19949.09215425171,16604.93639368544,23400.031698210878
2024-06-06,20442.55087964046,16920.11768874297,23693.095640032912
2024-06-07,20876.023752291345,17518.18984364404,24346.38264895772
2024-06-08,13837.063996669836,10602.254366744637,17160.725318234883
2024-06-09,10005.270068905287,6888.377206397078,13574.276168288561
2024-06-10,19425.920810524498,16217.355778839343,22795.49724653721
2024-06-11,20337.121989931853,16953.503250120513,24127.932807308734
2024-06-12,19964.993336115687,16619.96170395495,23229.008209090305
2024-06-13,20458.45206156442,16960.510735355776,23857.59636358978
2024-06-14,20891.924934272145,17924.56032550648,24176.55609314139
2024-06-15,13852.965178708844,10316.446276374974,17279.232945344214
2024-06-16,10021.171250995758,6459.410312321665,13255.397135017201
2024-06-17,19441.821992623933,15988.29852074729,22636.409906521607
2024-06-18,20353.023172030484,17151.460998231818,23500.780910394373
2024-06-19,19980.894518207257,16695.358676001844,23300.558032783403
2024-06-20,20474.353243654376,17108.097175166,23886.43971238742
2024-06-21,20907.826116360382,17285.50804300632,24290.23340562771
2024-06-22,13868.86636079099,10696.52289276108,17161.250620682356
2024-06-23,10037.07243307972,6362.39006651292,13324.447907185113
2024-06-24,19457.723174723364,16065.026016945927,22848.495492050697
2024-06-25,20368.924354121304,16938.72801841348,23754.559693371786
2024-06-26,19996.795699993876,16450.834410035208,23241.616008992332
2024-06-27,20490.25442513881,17374.441674003425,23826.860727115563
2024-06-28,20923.727297517224,17583.1403491605,24243.686069171636
2024-06-29,13884.767541677482,10463.516805656207,17086.557860282755
2024-06-30,10052.973613622813,6629.452956963196,13681.284426126696
2024-07-01,19473.624354958523,16165.755792784685,22734.2593768882
2024-07-02,20384.825534041116,16948.30996298249,23718.03621900599
2024-07-03,20012.696879917723,16621.908744519213,23420.679842973917
2024-07-04,20506.15560504258,17158.27119068473,23961.8286709608
2024-07-05,20939.628477432227,17424.293388753766,24022.308468166375
2024-07-06,13900.66872158639,10755.933165303471,17374.522607327697
2024-07-07,10068.87479354992,6682.156566459612,13409.476537875064
2024-07-08,19489.525534886234,16294.468638885024,22754.21502475769
2024-07-09,20400.72671396874,16925.54020533944,23795.129495407546
2024-07-10,20028.598059830554,16625.58633839271,23058.407484043233
2024-07-11,20522.056784967008,17350.07112282139,23956.781417267903
2024-07-12,20955.52965785749,17431.714873827434,24187.43115847522
2024-07-13,13916.569902506475,10657.438229237045,17331.776897191095
2024-07-14,10084.775974982702,6776.785041990115,13454.752581432027
2024-07-15,19505.426716787995,16398.215262647893,22984.520138156015
2024-07-16,20416.627896398022,16972.954090524032,23851.141707142637
2024-07-17,20044.499242765763,16533.494902781822,23409.86097084567
2024-07-18,20537.957968396986,17155.799860079907,23945.439554500746
2024-07-19,20971.43084127737,17626.615590260786,24128.423253412177
2024-07-20,13932.471085967454,10481.07199806601,17035.426904189004
2024-07-21,10100.677158413193,6611.221136562589,13268.796907328
2024-07-22,19521.32790022745,16261.390407641298,22818.23844170103
2024-07-23,20432.529079828862,17195.753169844294,23633.66146299812
2024-07-24,20060.400426197353,16724.200350436317,23282.54946438342
2024-07-25,20553.85915182696,17291.09189705301,23831.314196560234
2024-07-26,20987.3320247328,17674.16471972892,24361.057592180012
2024-07-27,13948.372269396996,10547.541097215484,17270.114285579624
2024-07-28,10116.578341853543,6769.218388546885,13428.930786420768
2024-07-29,19537.229084432158,16179.833654361008,22756.46480312631
2024-07-30,20448.43026479544,17048.132312719383,23876.16629923739
2024-07-31,20076.301611933224,16876.833694721005,23487.869424777822
2024-08-01,20569.760338339373,17253.263774582327,23920.738481813834
