ds,yhat,yhat_lower,yhat_upper
2024-01-01,23592.717377104087,19839.571375527827,27347.98335916926
2024-01-02,24568.134351811823,20916.17360107757,28196.17985365434
2024-01-03,24298.47017164113,20709.405496327774,28013.85576718821
2024-01-04,24740.63596468512,21084.01218005504,28297.82080717227
2024-01-05,25429.050118444953,21703.89759079725,29200.976482463288
2024-01-06,19878.599255954665,16259.202540453767,23459.31185004879
2024-01-07,15528.377501167626,11981.537942780617,19126.16514811715
2024-01-08,23712.11910401419,20385.32834646876,27481.58139163882
2024-01-09,24687.53607874416,20874.84931325961,28235.74851497077
2024-01-10,24417.871898565085,21025.936970533417,28277.277231920376
2024-01-11,24860.03769161355,21156.07550170664,28538.9316201287
2024-01-12,25548.45184538091,21881.511483107533,28981.513686192044
2024-01-13,19998.000982911897,16443.115084465713,23452.515036185636
2024-01-14,15647.779228104928,12071.987512886613,19435.393398117398
2024-01-15,23831.52083095149,20261.323317419854,27424.339235576324
2024-01-16,24806.937805676498,21046.817408027517,28400.213965831877
2024-01-17,24537.27362550125,20903.228184641914,28199.13375371852
2024-01-18,24979.439395143312,21193.217207028527,28572.653874104988
2024-01-19,25667.853525503855,22215.95472564451,29207.427201399943
2024-01-20,20117.402639620956,16517.51684983875,23523.9634437502
2024-01-21,15767.18086140845,12183.671461816015,19266.21199880442
2024-01-22,23950.92244085627,20461.314949228956,27618.078083914716
2024-01-23,24926.339392166647,21478.243967400424,28476.424537507875
2024-01-24,24656.675188590318,21205.412584411606,28188.85908033891
2024-01-25,25098.84095822622,21426.114183822985,28608.766737745977
2024-01-26,25787.25508858628,22383.962504115025,29278.51509943297
2024-01-27,20236.804202703996,16705.910278176765,23829.96345347961
2024-01-28,15886.582424500224,12192.995093952355,19318.744582535404
2024-01-29,24070.324003920847,20527.418677264697,27799.34435273438
2024-01-30,25045.74095525029,21371.431032190903,28572.03576101368
2024-01-31,24776.07675167485,21402.19038960214,28470.987206393667
2024-02-01,25218.242521320444,21537.52875760005,28870.63672937254
2024-02-02,25906.656651668705,22496.206261193507,29281.103268857816
2024-02-03,20356.20576438701,16958.485620757252,24145.953999923448
2024-02-04,16005.983984790066,12547.765438441058,19512.252866502266
2024-02-05,24189.725562831936,20495.16560579585,27840.7536263083
2024-02-06,25165.142512763385,21557.328615348404,28462.108130151126
2024-02-07,24895.478307792233,21275.96571110634,28249.31401188162
2024-02-08,25337.644076042772,21667.86682808403,29012.85813519985
2024-02-09,26026.05820501088,22554.36221985521,29440.92516861595
