ds,yhat,yhat_lower,yhat_upper
2024-01-01,28063.13736234965,23524.676515134423,33124.9701608661
2024-01-02,29212.508739159104,24333.21656706662,34180.12526340547
2024-01-03,29055.428264591483,24391.188503990867,34177.31559781031
2024-01-04,29439.079611751862,24137.53232061035,34381.957405192465
2024-01-05,32650.02124864379,27815.67958750606,37314.979703232144
2024-01-06,26499.41493692301,21596.639815458417,30980.39963346345
2024-01-07,16525.227655754166,11464.966960844036,21216.08006777679
2024-01-08,28115.05396237077,23011.94717686917,33021.65544844357
2024-01-09,29264.425339214482,24351.529913065682,34033.313954183905
2024-01-10,29107.34486462776,24426.30446275513,34077.639342843635
2024-01-11,29490.99621179812,24532.506848400328,34641.754872788886
2024-01-12,32701.93784870836,27914.332903378527,37484.36716596185
2024-01-13,26551.33153701772,21970.93504034471,31283.611342186185
2024-01-14,16577.144255814,11905.161911367184,21641.149773563022
2024-01-15,28166.970562432067,23311.600481814115,33045.987336504746
2024-01-16,29316.341939269863,24406.59239745492,34208.02319191401
2024-01-17,29159.26146469007,24681.348913327092,34136.319592079635
2024-01-18,29542.912812292572,24934.11287616504,34769.55124406226
2024-01-19,32753.85444963777,27995.730287091803,37597.76465078764
2024-01-20,26603.24813836351,21973.332177782882,31418.104430078467
2024-01-21,16629.060857591045,11503.24768715655,21290.28234240943
2024-01-22,28218.88716465546,22990.662801449816,33022.68559900178
2024-01-23,29368.258541912095,24161.99455853659,34534.573993023754
2024-01-24,29211.178067776913,24172.670923265403,34278.29116193229
2024-01-25,29594.829415365755,24850.813797914634,34388.17325258784
2024-01-26,32805.77105271384,27986.465078796788,37552.658169057046
2024-01-27,26655.16474143898,21436.882936012855,31747.47268023124
2024-01-28,16680.977460677816,11644.494244996986,21415.054945595944
2024-01-29,28270.803767703517,23169.958632312548,32612.744787530522
2024-01-30,29420.175144986744,24350.481552786907,34106.434001221976
2024-01-31,29263.094670853145,24605.296976389705,34348.030277238424
2024-02-01,29646.746018462843,24597.097936935825,34255.08755048834
2024-02-02,32857.68765578991,27717.463162738,37780.385749062865
2024-02-03,26707.081343878825,21654.71349708004,31780.1866183195
2024-02-04,16732.89406250653,11671.748693896492,21547.984971658447
2024-02-05,28322.720368921724,23385.637514125963,32899.95990509745
2024-02-06,29472.091745574635,24687.413120769423,34005.706904334984
2024-02-07,29315.011270811337,24764.33998354704,34407.91612858795
2024-02-08,29698.662617794387,24812.96025152084,34601.82283867545
2024-02-09,32909.60425450918,28015.09471143223,37936.487086512454
2024-02-10,26758.99794257703,21842.37085039242,30845.378298027637
2024-02-11,16784.810661221818,11917.879623392282,21395.638297520454
2024-02-12,28374.636967643917,23242.29055317903,33186.91661259136
2024-02-13,29524.008344291706,24348.183523729716,34759.42688335716
2024-02-14,29366.927869535335,24338.922668794738,34161.51610971295
2024-02-15,29750.579216518116,24486.625445859467,34983.90467464825
2024-02-16,32961.520853235445,28160.310115002583,37792.142812295984
2024-02-17,26810.914541287257,22069.482509591067,31552.3195077803
2024-02-18,16836.727259937114,12059.595632757451,21447.39488457103
2024-02-19,28426.553487774043,23769.94834375912,33151.86290457612
2024-02-20,29575.92478582448,24459.896572495745,34271.620570774714
2024-02-21,29418.84423247837,24467.294930712662,34265.20972155838
2024-02-22,29802.495500851433,24841.74465677211,34484.53419141778
2024-02-23,33013.43705896256,27976.475960674463,37827.36828131291
2024-02-24,26862.830668435556,22151.317391840046,31674.708116057194
2024-02-25,16888.64330849221,12194.247718870078,21918.124598950813
2024-02-26,28478.469536341443,23593.704409522823,33389.096316181174
2024-02-27,29627.840834378305,24621.611719780627,34387.98575580236
2024-02-28,29470.760281031366,24723.761647756302,34581.847537935566
2024-02-29,29854.411549419576,25273.69729373704,34681.24407495953
2024-03-01,33065.353107533236,28050.953095078374,37965.56703280645
2024-03-02,26914.746717036363,21906.293515800553,31563.531640169513
2024-03-03,16940.55935705192,11969.232772376037,21798.79435359513
2024-03-04,28530.38558490964,23842.56594516091,33385.421605734504
2024-03-05,29679.756882947448,25041.454977979036,34309.981150674495
2024-03-06,29520.50436224864,24579.934034562728,34475.79851807262
2024-03-07,29901.983663314055,25305.640920754133,35004.61109175787
2024-03-08,33110.75325411317,28268.320855072234,38006.162819427474
2024-03-09,26957.974896278578,22170.05616305281,31876.73911302438
2024-03-10,16981.61556899235,12564.211453174137,22071.030405824164
2024-03-11,28569.269829526438,23629.670369897438,33293.45631696996
2024-03-12,29716.469160225573,25029.70128941571,34773.3327444996
2024-03-13,29557.21663954136,24522.341230495513,34687.12963328683
2024-03-14,29938.695940606496,25000.339831882608,34685.2998068356
2024-03-15,33147.46553140815,28326.095786643422,37878.304812280316
2024-03-16,26994.687173569546,22041.976946706607,31954.84552590581
2024-03-17,17018.327846270127,11933.788043074454,21884.50142155777
2024-03-18,28605.982106777967,24030.77342235044,33583.44915295739
2024-03-19,29753.18143751136,24613.209044010444,34781.276932346394
2024-03-20,29593.928916834073,24904.56913819898,34606.27339153228
2024-03-21,29975.408217883152,25475.653066905874,35048.54032746763
2024-03-22,33180.842513704425,28207.73603958397,37970.407026007924
2024-03-23,27024.7288609161,22378.176331222978,32271.26828426302
2024-03-24,17045.03423861057,12132.95839210786,21871.995135432266
2024-03-25,28629.353204136605,23962.43407997086,33525.86105196729
2024-03-26,29773.21723987315,24920.803690555178,34669.854179465496
2024-03-27,29610.62942421417,24719.381908708358,34325.19829916633
2024-03-28,29988.773430308516,25233.91670440075,34470.09984236187
2024-03-29,33194.20772610954,28040.252832842125,38075.765311335446
2024-03-30,27038.0940733242,22006.565668663403,31782.18617302745
2024-03-31,17058.399451017936,12204.30180302818,22104.881966469693
2024-04-01,28642.718416546235,23625.48924651146,33205.6364155297
2024-04-02,29786.582452286744,25179.11995871903,34520.295627464846
2024-04-03,29623.994636634634,24575.063026307744,34724.83184291598
2024-04-04,30002.1386427023,25015.82921204411,34638.671555687986
2024-04-05,33207.572938506215,28405.497180213282,37988.55158595301
2024-04-06,27051.459285708253,22405.17608353214,31975.069486491197
2024-04-07,17070.326630440788,11947.703262232928,21848.275608088315
2024-04-08,28653.2075629977,23808.388484141113,33327.931858207274
2024-04-09,29795.633565754804,25151.50146943712,34814.55535988977
