ds,yhat,yhat_lower,yhat_upper
2024-01-01,66066.2635599797,55891.60347164539,75965.90233705095
2024-01-02,68556.61912824314,59105.10480614604,78292.10424014146
2024-01-03,67980.91989059637,58357.864552764986,76345.78700937837
2024-01-04,69242.58850221575,60349.67408117935,78717.37772528626
2024-01-05,72660.11921221865,63154.05732333591,82514.23812131818
2024-01-06,54726.16608571311,45595.73950916308,64088.990202482506
2024-01-07,41423.65857638998,32021.963621435825,50936.95078076679
2024-01-08,66310.91677902025,57142.723345433355,75354.55454652607
2024-01-09,68801.27234735007,59121.96350368871,78035.19997277032
2024-01-10,68225.57310968055,59154.19822625551,78330.61475777146
2024-01-11,69487.24172131256,60553.77929590655,78947.74162685106
2024-01-12,72904.77243133818,63464.96549888697,82505.23851858024
2024-01-13,54970.819304899305,45824.78617568706,64465.453062708555
2024-01-14,41668.31179551478,32759.38617698005,51570.785130523866
2024-01-15,66555.5699981438,56794.42124243864,75859.67505572687
2024-01-16,69045.92556645698,59924.28497200683,78521.26726227543
2024-01-17,68470.22632879893,59016.86076954674,78014.40378732965
2024-01-18,69731.89493788604,60015.95239616466,79516.99182754899
2024-01-19,73149.42564536407,63784.082256927504,82166.9937734251
2024-01-20,55215.47251635506,45592.683235287324,64866.71988348967
2024-01-21,41912.965004423495,32530.67097732025,51189.2729094801
2024-01-22,66800.22320453318,56714.048030857026,76278.73269331595
2024-01-23,69290.57877027562,60320.14263445417,78020.34227579065
2024-01-24,68714.87953008563,59366.978247653795,77717.53770680794
2024-01-25,69976.54813915506,60588.1356858073,79127.72762699
2024-01-26,73394.07884663055,63375.23791810422,82997.71523327997
2024-01-27,55460.125717623516,45460.02636823701,64960.34822711992
2024-01-28,42157.6182057205,32678.806793116484,51154.65631213039
2024-01-29,67044.87640574593,57826.43535985589,77123.03336375434
2024-01-30,69535.23197154744,59735.743232671004,78960.67390038254
2024-01-31,68959.5327313591,59203.55570016306,78535.90611030158
2024-02-01,70221.20134045387,60412.84251933452,80013.06985624773
2024-02-02,73638.73204789704,63549.705941645865,83191.93025458671
2024-02-03,55704.778871824004,46114.04071121428,64549.99143111765
2024-02-04,42402.271312877514,33033.371909646725,51793.47359948542
2024-02-05,67289.52946589985,58356.397829968155,77041.64060470091
2024-02-06,69779.88498464273,60503.06436762921,79588.49534418085
2024-02-07,69204.1856974028,59886.73289012398,78620.07777900236
2024-02-08,70465.85425944714,61662.17625415485,79505.44207183192
2024-02-09,73883.38491988333,64369.21363892463,83116.1402760007
2024-02-10,55949.43174374875,46756.408073269566,65488.48684037483
2024-02-11,42646.92418483841,33273.88001583401,51812.120294270215
2024-02-12,67534.18233787782,57601.03728394019,77382.81340520873
2024-02-13,70024.53785660015,60189.91245134331,79306.09652970852
2024-02-14,69448.83856937168,59430.023203644014,79013.82116543784
2024-02-15,70710.50713141794,61302.34642202374,80253.34859184892
2024-02-16,74128.03779185336,64940.62418340198,84125.54957325722
2024-02-17,56194.08461569549,46708.877308347124,65826.1020080995
2024-02-18,42891.57705679931,32837.250594269266,52588.35950795381
2024-02-19,67778.83520896365,57642.97184379565,76961.70469783073
2024-02-20,70269.19072680175,61335.307705214844,79522.21178892668
2024-02-21,69693.49143868774,59898.848803420515,78823.32373410613
2024-02-22,70955.15999982815,61638.14674388803,79681.9292205635
2024-02-23,74372.69065935152,64805.28672831289,84291.86767318935
2024-02-24,56438.73748233658,46444.52849806787,65729.13052716655
2024-02-25,43136.229922536615,34042.08742285614,52750.51975312161
2024-02-26,68023.48807474776,58333.10173856576,77616.92556595485
2024-02-27,70513.84359256196,61047.17350610994,79702.49765044052
2024-02-28,69938.14430444568,60196.99141578983,79443.41538139837
2024-02-29,71199.81286560904,61587.106706909384,80803.5561137009
2024-03-01,74617.34352513164,64619.04627727835,83081.49650786314
2024-03-02,56683.390348183355,47464.59089008158,66536.95126303048
2024-03-03,43380.8827883076,34140.57593262776,52940.11732939952
2024-03-04,68268.14094052794,58820.30326966081,78045.76016697835
2024-03-05,70758.49645833675,61475.898728713735,80230.86866518148
2024-03-06,70175.28519203546,60526.945942163795,79143.79329480698
2024-03-07,71429.44177503926,62568.33302593509,80830.4257889826
2024-03-08,74839.46045642157,64992.841561207235,83821.9843298669
2024-03-09,56897.99530129826,47345.48523218092,66072.6786737522
2024-03-10,43587.9757633181,34248.78196843525,51981.88238128973
2024-03-11,68467.72193738217,59225.83459924997,78385.45986105927
2024-03-12,70950.56547701209,62155.31284655595,81257.76597301337
2024-03-13,70367.35421072958,61577.44284201714,79699.07722277274
2024-03-14,71621.51079373529,62301.20631592433,81000.49184659334
2024-03-15,75031.52947511683,65260.94144558418,84744.99504903685
2024-03-16,57090.064319992234,47802.91584788199,67667.3650718193
2024-03-17,43780.044781989825,33613.47485586033,53354.34008368361
2024-03-18,68659.79095599844,59394.44642402126,78449.99587174325
2024-03-19,71142.63449569471,62316.09747529535,80590.32662246255
2024-03-20,70559.42322942367,60913.37336882184,80591.24644619618
2024-03-21,71813.57981240781,62339.838666163756,81223.89505622868
2024-03-22,75211.04950099997,65574.90306498377,84963.52618854021
2024-03-23,57257.035353158426,47668.41109059516,66366.18127594909
2024-03-24,43934.46682232979,33962.17172365817,53360.11886670723
2024-03-25,68801.66400355028,58990.910592447326,79453.72657760108
2024-03-26,71271.9585504358,61342.40729588312,80246.86283222109
2024-03-27,70676.19829137955,61654.093712002476,80315.77582062357
2024-03-28,71917.80588161938,61831.36445512425,81661.75947532043
2024-03-29,75315.27557020352,65869.24068159891,84780.7777564372
2024-03-30,57361.26142234444,46819.50513753731,65756.10994658414
2024-03-31,44038.69289152235,34480.01596125672,52393.797265588335
2024-04-01,68905.89007273763,59150.9573126321,78166.14069491207
2024-04-02,71376.18461963051,62171.419417167774,80161.65492918003
2024-04-03,70780.42436057888,61335.54670730706,80424.7668474399
2024-04-04,72022.03195078394,62175.818850745905,81229.79022880948
2024-04-05,75419.50163936554,66520.19606614113,85586.72824153533
2024-04-06,57465.487491486434,47855.20973787051,67160.45769434457
2024-04-07,44131.28673754554,34795.28664988837,53895.93715406469
2024-04-08,68986.8516956229,59202.88389594013,79147.69394572094
2024-04-09,71445.51401934025,62223.77498983899,81114.56464583184
2024-04-10,70838.12153711088,61530.93215001211,79679.36152873929
2024-04-11,72068.0969041736,62743.267317706544,81517.71211914092
2024-04-12,75453.9343695977,66383.59928563167,84478.00641141599
2024-04-13,57488.287998565575,47940.47363150151,66846.83258331702
2024-04-14,44154.08724461954,34827.89116127265,53596.50311378651
2024-04-15,69009.65220272537,59951.0038059871,78621.92238056983
2024-04-16,71468.31452643004,61794.632339160176,81187.32249188106
2024-04-17,70860.92204421216,61515.64631716364,80946.17555312568
2024-04-18,72090.8974112768,62796.41209036705,81650.38970576951
2024-04-19,75476.73487671638,66536.6862695925,84642.37097482344
2024-04-20,57511.08850564469,47659.079502364664,66730.80248394058
2024-04-21,44176.887751698436,35152.12670055295,53460.25059879336
2024-04-22,69032.45270982786,59381.16375668431,78046.11624905105
2024-04-23,71484.3591967759,61661.88419811037,81275.88478290715
2024-04-24,70870.21087782302,61317.77820754445,79868.85529626935
2024-04-25,72093.43040810584,62402.35235176458,81879.65256589444
2024-04-26,75472.51203687221,66005.0460344365,85134.22669816426
2024-04-27,57500.10982904057,47501.4936739078,66862.58072277556
2024-04-28,44159.15323838621,34901.818793663064,54042.59950899667
2024-04-29,69007.96235969865,59838.985670867405,78787.48895391102
2024-04-30,71459.86884672187,61755.66398624337,80955.10670596531
2024-05-01,70845.72052775063,61198.407041890394,80114.0791150833
2024-05-02,72068.94005807597,62227.77705139662,81224.6130037969
2024-05-03,75448.02168676755,66812.04423875216,85005.49732614635
2024-05-04,57475.619478941124,47745.42642382576,66878.06113151276
2024-05-05,44134.662888322935,34903.55312648486,53914.42627309231
