ds,yhat,yhat_lower,yhat_upper
2024-01-01,28166.478217457676,20824.485803346863,35842.257179891654
2024-01-02,29229.134240728992,21843.096630913322,36961.28897379599
2024-01-03,28495.285521509682,20898.974988408558,35951.5944645226
2024-01-04,29099.52317397079,21020.12402164207,36903.275555709595
2024-01-05,29035.566304995013,21423.403261320876,36971.2246763143
2024-01-06,17624.030103177025,10436.128753120103,25424.822964449017
2024-01-07,11800.161973203105,4392.403641502738,19437.024731261175
2024-01-08,28363.899834420325,21052.79033136243,36227.82025343513
2024-01-09,29426.555857732124,21931.489974017593,36902.71736460473
2024-01-10,28692.707138499496,21157.711981288485,36029.14848566756
2024-01-11,29296.94479096748,21403.485893129982,36788.17220334678
2024-01-12,29232.987922004373,21901.699398225057,36917.25818557082
2024-01-13,17821.451720224886,10673.334093694326,25419.436074895853
2024-01-14,11997.583590218916,4582.730095119162,19253.674345499327
2024-01-15,28561.321451433967,20792.255798448172,36538.38340694575
2024-01-16,29623.97747473526,21923.53748461757,37167.844326816514
2024-01-17,28890.128755510235,21325.275204262678,36110.15123380103
2024-01-18,29494.366409273578,21863.024313498,37441.49129685379
2024-01-19,29430.40954160452,20878.950666401946,37343.860347641355
2024-01-20,18018.873341108832,10300.625297770126,25769.335715579648
2024-01-21,12195.005212400249,4740.919963435002,19640.587828747895
2024-01-22,28758.74307492457,21666.363548739024,36692.517125463615
2024-01-23,29821.399099505914,22322.82411144222,37539.072922475956
2024-01-24,29087.55038158555,21681.31981823555,36624.60815881597
2024-01-25,29691.788035337995,22194.955726659282,37199.51475574831
2024-01-26,29627.831167666794,21946.910953251834,37199.99004149776
2024-01-27,18216.294967174337,10683.13629843816,25592.579967698617
2024-01-28,12392.4268384838,4362.968377201195,19392.611833514882
2024-01-29,28956.164700954945,21513.956551851865,36314.20860541534
2024-01-30,30018.820725571954,22055.22783984026,37734.70509256504
2024-01-31,29284.972007653556,21713.013270011066,36756.35322768861
2024-02-01,29889.20966142502,22430.922340323596,37610.51785374633
2024-02-02,29825.252793729072,22176.711816708215,37558.62348800389
2024-02-03,18413.716593788562,10439.452910068121,25840.499349645368
2024-02-04,12589.848465651065,4868.2595926220165,20172.642345456694
2024-02-05,29153.58632871873,21762.991619037784,36934.64559920726
2024-02-06,30216.242353888385,22443.868206586267,37832.873368698245
2024-02-07,29482.393636528515,21807.306943634612,36983.19420174041
2024-02-08,30086.63129085778,22268.22719839893,37783.32550951573
2024-02-09,30022.674423754488,22185.03388376873,37527.49867906967
2024-02-10,18611.138223771126,10972.41643917131,25782.688613584574
2024-02-11,12787.270095656322,5571.161501455358,20234.803788343004
2024-02-12,29351.00795873161,21308.629560340985,37233.328688099646
2024-02-13,30413.663983888982,22479.51655962251,38416.22024294212
2024-02-14,29679.81526653672,22403.782705101832,37672.65426529656
2024-02-15,30284.052920865957,22495.48705303672,38196.47754775663
2024-02-16,30220.096053761314,22538.077396734174,37346.593309285454
2024-02-17,18808.55985376636,11561.169801346894,26515.71952719156
2024-02-18,12984.691725661583,5033.482380558844,20329.180697055315
2024-02-19,29548.429586112605,22242.160210728383,36969.65553026102
2024-02-20,30611.085608643607,23158.073437380077,38388.94719956698
2024-02-21,29877.236888659874,21906.697956223376,37556.30544039069
2024-02-22,30481.474540346717,22775.749912109775,38334.5822559841
2024-02-23,30417.517670596768,22881.10863484392,37642.68278068548
2024-02-24,19005.98146799152,11184.734585157228,26906.839066453493
2024-02-25,13182.113337237366,5261.035514183031,21160.627545977466
2024-02-26,29745.85119772528,22029.81441276789,37154.06823325027
2024-02-27,30808.507220240954,23375.77344070247,38628.00656405747
2024-02-28,30074.65850025603,22565.659461258907,37920.176970244785
2024-02-29,30678.89615195647,23300.36179805905,38613.19022757363
2024-03-01,30614.93928220516,22785.890169485247,38458.965198844126
2024-03-02,19203.40307963841,11633.469201597773,26594.66204212489
2024-03-03,13379.534948844193,5634.155154194979,21180.360145722017
2024-03-04,29943.27280933619,21949.254581729845,37129.90208497018
2024-03-05,31005.928831847938,23406.587771902872,38612.40917610636
2024-03-06,30272.07671331024,22685.728170859264,38212.703352831355
2024-03-07,30876.31096647747,23232.705006444656,38165.04315140201
2024-03-08,30812.350698194856,23525.54464225521,38567.079371484935
2024-03-09,19400.811097084024,12169.437272115845,27322.24420534493
2024-03-10,13576.939567785888,5887.239585825498,21627.385765710693
2024-03-11,30140.674029741094,22703.27504010083,37213.005041484656
2024-03-12,31203.326653702883,23353.53013910232,38633.51212339471
2024-03-13,30469.474535177615,23015.717210357885,37384.867138662754
2024-03-14,31073.70878834482,23823.751712215137,38733.86562915615
2024-03-15,31009.74852006085,23550.409093002825,38799.56398244373
2024-03-16,19598.208918951103,11983.777044516366,27407.706579018268
2024-03-17,13774.337389642305,6125.973368400648,21869.94363463765
2024-03-18,30338.071851560373,22547.344615654067,38052.78829630872
2024-03-19,31400.724475562653,23686.05078931501,38856.80479615799
2024-03-20,30666.87235704498,23318.86690752533,38126.03450829927
2024-03-21,31271.106610198138,24171.15727302104,38939.64276269217
2024-03-22,31199.381035561033,24115.741147312416,38396.52580891915
2024-03-23,19780.076128140936,12247.218904756037,27215.844857561544
2024-03-24,13948.439292461757,6513.558302524388,21574.589160924228
2024-03-25,30504.408448026676,23242.75970847996,37599.01923082039
2024-03-26,31559.295765662617,24168.00788302174,38789.878467779716
2024-03-27,30817.678340795916,24074.318044584415,38305.412089306075
2024-03-28,31414.147287622545,24261.899438249475,39246.92440719761
2024-03-29,31342.421712988642,23371.822814808078,38684.53457819965
2024-03-30,19923.116805551046,12992.698401303414,27236.73664232699
2024-03-31,14091.479969877231,6787.071881207802,22014.34418946017
2024-04-01,30647.44912543821,23231.56419998496,38607.30037854761
2024-04-02,31702.33644308096,24520.463650181508,39751.82128851105
2024-04-03,30960.71901821363,23473.688353923073,38762.7854759067
2024-04-04,31557.187965018893,24135.982757931975,39416.61804857063
2024-04-05,31485.46239038285,24170.773519208895,38953.73539755513
2024-04-06,20066.15748293581,12618.271396063015,27873.005014144368
2024-04-07,14223.887251189071,6711.115515581358,21803.80847163088
2024-04-08,30769.223010662055,23178.663126934076,38646.72347846035
2024-04-09,31813.476932196903,24069.03752170082,38897.70421663257
2024-04-10,31061.22611122063,23250.667120407248,38921.22870825244
2024-04-11,31647.06166193715,23662.133647469916,39478.30284585748
2024-04-12,31564.702691203347,23505.437181318106,39292.99539040496
2024-04-13,20134.76438766392,12329.719480105361,27189.4019498714
2024-04-14,14292.494155904184,6861.133548772207,21687.064238917603
2024-04-15,30837.82991540427,23550.556719039796,38196.11042816712
2024-04-16,31882.083836930375,24529.145881843804,39977.059375373494
2024-04-17,31129.833015961703,23800.923083187296,39315.94030123912
2024-04-18,31715.668566678207,23743.39611307235,39607.181346805744
2024-04-19,31633.30959596164,23985.80605618184,38593.15050981268
2024-04-20,20203.371292392032,12558.495997273956,27653.97519242069
2024-04-21,14361.101060634297,7050.360658037428,22286.028737870467
2024-04-22,30906.43682014648,23005.491894509687,38037.094015322196
2024-04-23,31940.875250611218,24684.10575284691,39200.11233121166
2024-04-24,31178.808938596696,23543.290039840744,38886.050717387596
2024-04-25,31754.828998242316,24394.594777918883,39401.502996263385
2024-04-26,31662.6545365101,24256.649319673597,39251.44710660458
2024-04-27,20222.9007418811,12522.741757100455,28414.28364659329
2024-04-28,14370.815019093594,7418.081828094277,22117.55724388375
2024-04-29,30906.33528750658,23429.209618943885,38948.4331556299
2024-04-30,31940.773718020748,24907.461939853223,40330.42671858169
2024-05-01,31178.707405992645,23076.62696713134,38923.610514122614
2024-05-02,31754.727465662734,23789.200147194817,39115.752330680916
2024-05-03,31662.553003885507,24069.07183389282,39413.06887427603
2024-05-04,20222.799209261873,12257.256591969965,28231.971541325496
2024-05-05,14370.713486497067,6808.290088404958,21471.32863215742
2024-05-06,30906.23375491413,23333.707786819796,38195.01529803247
2024-05-07,31940.67218541474,24558.74494052979,39340.03452264043
2024-05-08,31178.605873388602,23942.23118084223,38742.355105276416
2024-05-09,31748.701773208486,23887.166044785325,39354.516704293346
2024-05-10,31650.603151597323,24610.274468375857,39167.85493872949
2024-05-11,20204.925197165576,12668.688096247033,27492.394120062454
2024-05-12,14346.91531451409,6936.567681770624,21462.52270447789
2024-05-13,30876.511423092157,23378.213905984237,38000.97787881984
2024-05-14,31905.025693738695,24226.85124986649,39735.21208351089
2024-05-15,31137.03522186872,23343.22194205671,38902.08430018973
2024-05-16,31707.13112168313,23995.294200997458,39302.41243389718
2024-05-17,31609.03250007607,24135.184653962984,38996.95984589848
2024-05-18,20163.354545620063,12303.763755573334,27583.26963974181
2024-05-19,14305.344662991265,6391.756209622016,21618.718437186315
2024-05-20,30834.94077157342,23376.839390635534,38659.64368963954
2024-05-21,31863.455042206388,23837.7319623573,39337.13509868799
2024-05-22,31095.46457034569,23444.117469591307,38783.45343910747
2024-05-23,31665.560470149197,24039.371106681345,38754.3382405568
2024-05-24,31567.461848525178,24057.365590599446,39229.23681197185
2024-05-25,20121.783339996917,12847.576543976893,28309.864649214785
2024-05-26,14263.772903231453,6504.527303208697,21705.962281265838
2024-05-27,30793.368457696524,23313.263790158864,38687.251812178
2024-05-28,31821.882174262188,24552.31814380613,39475.34042785862
2024-05-29,31053.891148310937,23178.599078164687,38221.651081472904
2024-05-30,31623.98649401145,24349.0782606701,38982.86278400486
2024-05-31,31525.8873182831,23841.703598402077,39587.69715043682
2024-06-01,20080.208809730582,12370.63962680324,27593.449188128292
2024-06-02,14222.19837298781,6387.743584944143,21769.84158717113
2024-06-03,30751.793927456958,23094.32110869919,38034.839665085
2024-06-04,31780.307644018703,24125.933065900226,39341.223190467565
2024-06-05,31012.316618049314,23009.52994831461,38099.5749972898
2024-06-06,31582.411963770734,24186.47635777903,39635.73941161705
2024-06-07,31484.312788059615,24371.46725662171,38905.77645377702
2024-06-08,20038.634279464248,12558.02231466325,27644.179162734912
2024-06-09,14180.623842752186,5994.8859287070445,21936.34507936607
2024-06-10,30710.21939452023,23119.43793555088,38501.02182657468
2024-06-11,31738.733108367698,24329.036009791238,40023.03107883931
2024-06-12,30970.742079708638,23597.746629140656,38286.75142413924
2024-06-13,31540.83742273424,24073.98188686287,39122.67938825795
2024-06-14,31442.738244322834,23699.632266280296,39153.42392734391
2024-06-15,19997.0597330296,12584.008450737649,27458.148100657887
2024-06-16,14139.049293607934,6483.208681095923,21018.363213393524
2024-06-17,30668.64484538985,23433.921508794057,38843.17252163768
2024-06-18,31697.15855923752,24059.765775844608,39494.89517204465
2024-06-19,30929.16753056488,22936.622113657002,38240.62549139236
2024-06-20,31499.262873586893,23994.877655711014,39124.19729090717
2024-06-21,31401.163695173345,23837.939734825464,38794.68046451673
2024-06-22,19955.48518387067,12554.576910477,27420.745411880405
2024-06-23,14097.474744448673,7094.508532917769,21532.67799857787
2024-06-24,30627.07029625946,23444.578302316073,37847.76385243799
2024-06-25,31655.5840100918,24088.303704853075,39106.57206516882
2024-06-26,30887.592981162295,23344.195725115907,38074.37405773486
2024-06-27,31457.68832392903,24008.04155298276,39125.56200052594
2024-06-28,31359.589145215992,23567.899130591664,39172.22833644769
2024-06-29,19913.91063371002,12418.101721168501,27228.68833528846
2024-06-30,14055.900193965988,6860.715815927705,21471.133923712456
2024-07-01,30585.49574551157,22693.435695853183,37649.45021252792
2024-07-02,31614.00945906588,24458.950100037804,39064.51367472835
2024-07-03,30846.018430143977,22838.936047683226,38575.12645439382
2024-07-04,31416.11377287718,23756.256706017004,39092.43347310837
2024-07-05,31318.014594181488,23549.429141368495,38147.76463586734
2024-07-06,19872.336082666072,12449.447949393245,26967.82927749644
2024-07-07,14014.32564295275,6512.408592427732,21835.84756449265
2024-07-08,30543.921194497943,23235.723044218306,38139.17064748325
2024-07-09,31572.43490805551,24133.98777230758,39101.36694219563
2024-07-10,30804.44387910474,23206.583983692693,38525.02797775423
2024-07-11,31374.539221858842,24083.895052359523,39077.63617404536
2024-07-12,31276.440040298934,23900.168207237315,38794.97215588628
2024-07-13,19830.76152590906,12188.718019706781,27250.983184886212
2024-07-14,13972.751083350915,5916.610564256025,22000.92416258262
2024-07-15,30502.3466319783,23386.838137258183,38342.322192605956
2024-07-16,31530.860342715267,23880.26351967171,38883.492152519524
2024-07-17,30762.86931090923,23378.11777634868,37699.20115941427
2024-07-18,31332.964650786413,23764.998041785482,38874.9303688632
2024-07-19,31234.865469209548,24196.60428375193,38517.687905122264
2024-07-20,19789.18695488781,11849.164197307087,27000.359579260192
2024-07-21,13931.17651228158,6266.803865855183,20569.78206614062
2024-07-22,30460.772060922834,23230.753733612277,38383.89339554828
2024-07-23,31489.28577164447,23687.072183398697,39224.41007434775
2024-07-24,30721.294739840392,23393.915434458722,38913.226920948895
2024-07-25,31291.390079713987,23451.97419266477,38355.77666649557
2024-07-26,31193.290898183204,23871.82809007373,38542.585762169896
2024-07-27,19747.61238381647,11928.484734048989,27105.860088371646
2024-07-28,13889.60194122828,6313.566881896817,21284.38344911967
2024-07-29,30419.197491591636,22976.881603687973,38188.312743958675
2024-07-30,31447.71120403055,23905.716034589732,38983.875105928644
2024-07-31,30679.720173956965,23172.287821186488,38165.09874273551
2024-08-01,31249.815515573748,23972.21545553846,39294.39640589344
2024-08-02,31151.716335723977,23285.42081829091,38421.53717638174
2024-08-03,19706.03782308865,12074.872866435848,27170.593707770826
2024-08-04,13848.027382249184,6363.902714356625,21323.65757417096
2024-08-05,30377.62293261661,23359.24331778521,37678.88508963053
2024-08-06,31406.136645041966,24035.989098439233,38957.521174000656
2024-08-07,30638.145614970344,23210.704505618753,38158.75407580041
2024-08-08,31208.24095658354,23758.310040836313,38919.95867853279
2024-08-09,31110.14177674644,23621.188192314574,38367.42660810904
2024-08-10,19664.463264099526,12378.830353875806,27078.000082443057
2024-08-11,13806.452823239044,5581.822990640538,21310.793388476966
2024-08-12,30336.048373595913,22677.266195218464,37804.85368900315
2024-08-13,31364.562086063037,23650.18817779357,39222.26753523311
2024-08-14,30596.57105736193,23639.554965124305,38172.395796336634
2024-08-15,31166.666400342845,23797.906041626014,38710.1881415242
2024-08-16,31068.56722189072,24066.628776694713,38741.89567693323
2024-08-17,19622.888710568703,12263.958209018348,27544.811105098997
2024-08-18,13764.878271098654,6101.646317930274,21534.665673737505
2024-08-19,30294.473822829113,22389.997138222752,37650.42645109388
2024-08-20,31322.98753664864,23981.096591949357,39214.82175655468
2024-08-21,30554.996507949494,23354.200685597996,38010.47483743868
2024-08-22,31125.09185092137,22715.97941896139,39239.87912459466
2024-08-23,31026.992672472566,23669.066725898207,38930.47274974357
2024-08-24,19581.314161166443,11713.685252349167,27160.8639868248
2024-08-25,13723.303721701763,6395.748075307039,21670.30993480218
2024-08-26,30252.899273428284,22939.31219263304,37537.40492768128
2024-08-27,31281.412987249794,24160.918045465318,39483.88214835684
2024-08-28,30513.42195854753,22786.72526284582,37977.28923250815
2024-08-29,31083.517301519376,23714.19773298076,38557.49732877132
2024-08-30,30985.418124844175,23508.004938609785,38391.36849650964
2024-08-31,19539.739615318384,11654.802847110383,26849.98599866886
2024-09-01,13681.72917766616,5904.215735786189,21360.700091938277
2024-09-02,30211.32473118654,22343.347881813057,38035.435187548166
2024-09-03,31239.838446789083,23622.81672279675,39103.93191348872
2024-09-04,30471.847419863265,22437.315528214418,38382.12630339558
2024-09-05,31041.94276464579,23073.222819503037,38804.275839285394
2024-09-06,30943.843587969233,23112.015612681247,38724.87001431856
2024-09-07,19498.165078481943,11583.035214257587,26827.282336092467
2024-09-08,13640.154640758608,6129.018904932632,21167.02050042383
2024-09-09,30169.750194315886,23075.083197226864,37674.59221511573
2024-09-10,31198.263909907917,23907.04356384654,38645.342056172194
2024-09-11,30430.272882989702,23081.212083125833,38149.68973339058
2024-09-12,31000.36822775272,23479.355194985346,38165.77252652141
2024-09-13,30902.2690510943,23041.28738406583,38539.64495137139
2024-09-14,19456.590541595415,11636.452764182966,26737.802196695346
2024-09-15,13598.580105062469,5510.485847651017,21058.261215213817
2024-09-16,30128.17565982199,22907.211678144133,37687.91929559161
2024-09-17,31156.68937658707,24554.063264889373,38776.18307025958
2024-09-18,30388.698350866514,23022.693018793987,38004.03098145539
2024-09-19,30958.79369680701,23484.872076318174,38735.31888152793
2024-09-20,30860.69452133483,23906.45419388161,38406.016029304956
2024-09-21,19415.016013027554,11860.357812031212,27542.661354028085
2024-09-22,13557.005576512647,5328.200996295462,21412.495152342155
2024-09-23,30086.60113121901,22816.892257454205,37618.6210715509
2024-09-24,31115.114848019744,23548.20831499581,38806.47376272328
2024-09-25,30347.12382230115,22497.835643766837,37508.33201519625
2024-09-26,30917.21916826612,23226.79400025299,38534.08865576735
2024-09-27,30819.11999276374,22867.11495524296,37988.37301923891
2024-09-28,19373.441484447016,11647.280750569564,26752.098319652738
2024-09-29,13515.431047954806,5825.156693107971,21415.97090742216
2024-09-30,30045.026602665246,22712.936236599766,37410.559568111385
2024-10-01,31073.540319576623,23751.800740379203,38598.235409611225
2024-10-02,30305.549293974545,23500.80160803767,37799.614664860484
2024-10-03,30875.64464005531,23380.421908171105,38815.419856603476
2024-10-04,30777.545464703573,23104.237534993277,37878.160719333115
2024-10-05,19331.866956463386,10959.92060480645,27204.875792496663
2024-10-06,13473.856520121264,6177.249706524029,20561.996165892066
2024-10-07,30003.45207495069,22180.816270613792,36718.804149556265
2024-10-08,31031.965791849783,23283.688338180214,38774.25843395629
2024-10-09,30263.974766252162,22588.319703326477,37972.07899779549
2024-10-10,30834.070112336052,23310.02262907756,38173.62713910185
2024-10-11,30735.97093698296,23326.56136423695,37999.11359185536
2024-10-12,19290.292428793946,11987.567259226074,26358.976087684085
2024-10-13,13432.281992399088,6243.2024777413035,21755.918880057965
2024-10-14,29961.87754723259,22685.80966899164,37589.84078212953
2024-10-15,30990.39126413367,23518.477978221057,37812.89814093411
2024-10-16,30222.400238522463,22607.551775346536,37850.039440517205
2024-10-17,30792.49558451512,23241.33616653529,37817.50543820628
2024-10-18,30694.39640905743,23098.312170715362,38487.30454114382
2024-10-19,19248.717900811494,11689.184299140725,26657.37756268738
2024-10-20,13390.7074642953,5718.048176294438,20731.704415185093
2024-10-21,29920.30301907806,22102.222913773618,37302.01665947832
2024-10-22,30948.816735880977,23539.369635624666,38005.386064839586
2024-10-23,30180.825710189732,22494.265680342916,37793.96190835231
2024-10-24,30750.92105618237,23210.981063436975,38172.43380993667
2024-10-25,30652.821880723335,23200.330604166887,38113.36758753385
2024-10-26,19207.143372453134,11647.81796914649,26760.33276148355
2024-10-27,13349.132935959631,5851.194663877035,21031.64014903512
2024-10-28,29878.728490746464,22547.01703328958,37475.51241637767
2024-10-29,30907.242207540647,23151.526712598614,38856.4413216708
2024-10-30,30139.25118183608,22755.487173795867,37783.9207040541
2024-10-31,30709.346527830134,23101.21657999388,38442.95350569193
2024-11-01,30611.247352374412,23337.76476269313,38169.150250199185
2024-11-02,19165.568844406873,11759.749193354355,26542.714015104644
2024-11-03,13307.558408256185,6059.629665385109,20945.751060288585
2024-11-04,29837.15396335296,22356.239415090775,37434.300030554
2024-11-05,30865.667680454637,22979.896017088064,38254.04168680907
2024-11-06,30097.676655063875,22302.34496165579,37946.77957904109
2024-11-07,30667.772001370016,23402.18501228928,38295.162821516526
2024-11-08,30569.672826243626,22793.146852095517,38129.8938397596
2024-11-09,19123.994318245917,10655.875261351657,26710.36908106202
2024-11-10,13265.98388209724,5409.327567557652,20623.767091405254
2024-11-11,29795.579437156885,21799.107610084942,36648.01322660261
2024-11-12,30824.093154303868,22752.079422507453,38151.21810084182
2024-11-13,30056.102128915885,23020.5973795217,37435.50428680045
2024-11-14,30626.197475207977,23350.6621489336,37762.82758443617
2024-11-15,30528.098300079444,23056.055339783605,38431.72384629444
2024-11-16,19082.419792122375,11673.288628544498,26241.38402681813
2024-11-17,13224.409355954322,5941.423593439965,20654.212876889185
2024-11-18,29754.00491075674,22158.622452797514,37264.12379395513
2024-11-19,30782.518627633326,22997.450702573045,37551.68226373023
2024-11-20,30014.52760199224,22550.9140473621,37385.08208064088
2024-11-21,30584.622948053737,23055.694130511663,38168.9463291366
2024-11-22,30486.52377263994,23041.885657269162,38116.506917884515
2024-11-23,19040.84526444371,11323.416704999077,26737.802014895988
2024-11-24,13182.834828025945,5188.407900550535,20613.82103507247
2024-11-25,29712.430382826205,22158.641814697312,37168.68758331846
2024-11-26,30740.94409969227,22721.66082646176,38280.673052843405
2024-11-27,29972.953074066107,23051.27909604667,37590.14989183138
2024-11-28,30543.048420106235,22924.125432002347,38565.08714954111
2024-11-29,30444.949244690302,22920.44114776974,38606.10248001678
2024-11-30,18999.27073648462,11575.282995383437,25932.85241014112
2024-12-01,13141.26030008956,5604.292177800622,20629.367859923215
2024-12-02,29670.855854844664,22272.531666799412,37406.12800456217
2024-12-03,30699.369571751216,22888.7997214103,38280.55084040195
2024-12-04,29931.378549637157,22537.748419409287,37142.06004375549
2024-12-05,30501.47389921817,22806.056598848612,37462.59415617769
2024-12-06,30403.374727331768,22982.48480384905,38023.17543082009
2024-12-07,18957.69622263993,11569.707352977372,26665.79103622165
2024-12-08,13099.685789757294,6034.240239756408,20960.148272030918
2024-12-09,29629.281348064935,22144.31099372229,37333.786668939116
2024-12-10,30657.79506848818,23066.435435807543,38126.88185605203
2024-12-11,29889.804046381727,22113.016260681234,37663.16493997407
2024-12-12,30459.899395948683,23334.93091136866,38345.90931448416
2024-12-13,30361.800224093546,22834.388478009732,37769.539666205
2024-12-14,18916.121719371535,11250.907019465045,26069.082835471607
2024-12-15,13058.111286490905,4992.697466226947,20388.85524331135
2024-12-16,29587.706844814187,22258.891844334656,37362.65249347967
2024-12-17,30616.220565220327,22848.98926066492,38059.104344460735
