ds,yhat,yhat_lower,yhat_upper
2024-01-01,7941.474383243262,6526.633940230073,9400.595294532628
2024-01-02,8139.836223329754,6689.119369509301,9507.306202936532
2024-01-03,8200.903682950831,6859.680313884087,9550.433391915205
2024-01-04,8171.267647128507,6811.411231488355,9614.038681315777
2024-01-05,8378.465769977849,7056.961211824806,9728.05510652718
2024-01-06,5706.3156685096355,4265.564731368725,7035.686378464815
2024-01-07,4172.8003108637695,2847.5889486509254,5618.300380177629
2024-01-08,7973.926050566437,6646.443625922385,9329.051220530517
2024-01-09,8172.287890662262,6779.5348009599975,9599.595693067373
2024-01-10,8233.355350280177,6754.904760914317,9653.157444530538
2024-01-11,8203.719314459277,6813.453351412818,9584.138563084773
2024-01-12,8410.917437312255,7013.258199125922,9903.649464566524
2024-01-13,5738.767335852876,4350.142099471018,7147.973150246914
2024-01-14,4205.251978199501,2800.563469170374,5714.0626260690915
2024-01-15,8006.3777179014605,6651.848410709044,9420.408503904198
2024-01-16,8204.739557994768,6906.113748788135,9619.172279862609
2024-01-17,8265.807017614434,6785.836826574986,9668.114916768931
2024-01-18,8236.17098179336,6971.703980645863,9685.865188739
2024-01-19,8443.36910464618,7041.602350178983,9844.770692175813
2024-01-20,5771.2190031834725,4371.807850013219,7180.3806331318465
2024-01-21,4237.70364552933,2758.2875291977803,5646.1265487594255
2024-01-22,8038.829385235284,6571.0183336475275,9407.207566715822
2024-01-23,8237.191225324967,6818.826085489023,9537.329616982437
2024-01-24,8298.258684946255,6822.953566822335,9674.41458202786
2024-01-25,8268.622649122452,6964.538967015476,9830.101582570776
2024-01-26,8475.820771974957,7217.607270081386,9879.23278677993
2024-01-27,5803.67067051311,4370.818591804204,7172.229266166505
2024-01-28,4270.155312863381,2826.7738018818227,5680.943310008024
2024-01-29,8071.281052556781,6633.457537961217,9536.647954712602
2024-01-30,8269.642892654925,6833.445280533425,9658.285529126584
2024-01-31,8330.71035227638,7008.735206776667,9788.326955199813
2024-02-01,8301.07431645755,6893.824474485657,9682.721492358676
2024-02-02,8508.272439303733,7235.7172519621345,9971.887483781149
2024-02-03,5836.122338102919,4393.061816718061,7250.557149806727
2024-02-04,4302.606980716088,2894.7334977458518,5724.364067302779
2024-02-05,8103.7327206804475,6778.2360914766405,9504.060654372819
2024-02-06,8302.0945610407,6806.7495316622735,9769.212520615549
2024-02-07,8363.162020925187,6993.0611269969095,9797.076880509456
2024-02-08,8333.52598536906,6985.500039145368,9716.017192955469
2024-02-09,8540.724108485912,7207.771495813867,9911.08451705596
2024-02-10,5868.574007275147,4376.3102044341595,7181.1915712487225
2024-02-11,4335.058649893826,2876.3627602419833,5779.232856343107
2024-02-12,8136.184389860838,6785.640457030139,9481.449160090875
2024-02-13,8334.546230217686,6934.154240978994,9762.518751842626
