ds,yhat,yhat_lower,yhat_upper
2024-01-01,25532.940221901856,18939.30753895161,31498.473767253265
2024-01-02,26732.140891995896,20252.267001813125,33484.74387148421
2024-01-03,26173.229617327128,19651.404203528797,33368.020188589195
2024-01-04,26842.67059234991,20338.77344525493,33176.281098259366
2024-01-05,27388.315899711168,20396.38027416768,33572.074454734815
2024-01-06,19851.852250420055,13004.41045415857,26465.825191649634
2024-01-07,14125.465155912063,7575.947026322891,21080.638386821018
2024-01-08,25637.002613404162,19314.125340984127,32049.308305121325
2024-01-09,26836.20328352884,20206.40248363494,33399.70520500872
2024-01-10,26277.29200884806,19587.57438126438,32967.606139715914
2024-01-11,26946.732983877242,19964.56026534178,33337.57841279592
2024-01-12,27492.378291248875,21319.1449690779,34311.86914803004
2024-01-13,19955.914641986474,13533.70891203995,26956.13650864496
2024-01-14,14229.527547451778,7537.672373814183,21184.336850752366
2024-01-15,25741.065004943808,18976.436896862233,32482.76991913473
2024-01-16,26940.265675061783,20525.62622090996,33771.49493139435
2024-01-17,26381.354400386565,19600.403704971894,32880.9987551346
2024-01-18,27050.79537154309,20590.48133329422,33751.33669987583
2024-01-19,27596.440675041715,20642.117993721087,34646.42405890461
2024-01-20,20059.977021897026,13724.304537407957,26151.893354712178
2024-01-21,14333.589923492033,7533.16856166207,21508.113927386614
2024-01-22,25845.12737712127,19039.11382287622,32076.153814042224
2024-01-23,27044.328043355225,20364.784622659456,33657.59630109831
2024-01-24,26485.41676481555,19996.50189664888,33007.89893380405
2024-01-25,27154.85773596337,20463.850068521453,33587.56947965677
2024-01-26,27700.50303946143,21207.244688146715,34430.76981586993
2024-01-27,20164.03938631784,13679.241778312407,26848.946142715104
2024-01-28,14437.652287924693,7693.066115944937,20672.043244252825
2024-01-29,25949.189741516526,19339.60813331428,32516.747251387507
2024-01-30,27148.390407776227,20552.054175415702,34259.8894720149
2024-01-31,26589.47912923822,19996.643996946936,33180.07702273314
2024-02-01,27258.920100400414,19886.403468086413,34064.16045291448
2024-02-02,27804.565403881148,21270.91358005474,34728.20215686952
2024-02-03,20268.101749666945,13802.049623903129,26732.393700290988
2024-02-04,14541.714650209571,8081.9477831708355,21329.426476389912
2024-02-05,26053.252102760307,19878.47744994069,32899.01948470924
2024-02-06,27252.452767950348,20606.25036729862,33858.41102156234
2024-02-07,26693.541488346178,19719.2315856971,32970.687052580746
2024-02-08,27362.982458443035,21311.95597313287,34057.13696757375
2024-02-09,27908.62776088015,20998.128804617772,35228.30563439625
2024-02-10,20372.16410663838,13609.228702920533,26715.66245222747
2024-02-11,14645.777007196772,8229.52063825445,21049.423590317874
2024-02-12,26157.314459752277,19550.61310678998,32426.080353822126
2024-02-13,27356.515124935635,20968.101370554305,33622.938287698526
2024-02-14,26797.603845337035,20323.023191160286,33751.551481397015
2024-02-15,27467.044815433663,20938.249572916757,33530.798401229986
2024-02-16,28012.690117870203,21342.66824686507,34111.33689176159
2024-02-17,20476.226463618586,13848.600813471397,27228.309927051083
2024-02-18,14749.839364183972,8253.235844363926,21004.109689175944
2024-02-19,26261.376817382345,19628.87871684583,32798.55008864569
2024-02-20,27460.577483202764,21194.099130082413,34620.12815139411
2024-02-21,26901.66620424208,20312.07027380582,33177.17179624741
2024-02-22,27571.1071749656,21141.899876039675,34499.588785671694
2024-02-23,28116.75247802869,21328.40845160454,35007.02543818446
2024-02-24,20580.288824427185,13762.235912930968,27109.887265184563
2024-02-25,14853.901725620588,8243.913341015234,21304.32762477919
2024-02-26,26365.4391788408,19234.52085403897,32521.084779272587
2024-02-27,27564.63984464963,21161.429829047316,34610.972884974224
2024-02-28,27005.728565688132,20436.33338784733,34015.97518014108
2024-02-29,27675.16953642269,20989.47749687359,34011.280927944994
2024-03-01,28220.81483948521,21438.623644340987,34820.85124227727
2024-03-02,20684.351185912416,14472.253487298014,27248.56819667876
2024-03-03,14957.964087074253,8278.620050024252,21635.895493133212
2024-03-04,26469.50154029926,20188.68701875513,33141.42125450379
2024-03-05,27668.70220610627,21059.66792061798,34063.744215157654
2024-03-06,27108.515999364627,20078.762649787026,33745.7396569279
2024-03-07,27776.682042337194,21004.57606985453,34470.26068615384
2024-03-08,28321.05241764104,21785.65563882364,34805.63131780482
2024-03-09,20783.31383629733,13479.839112036518,27524.31027078518
2024-03-10,15055.651809716544,8821.511197463424,22064.91330684768
2024-03-11,26565.914335178233,20185.816867922844,33857.288928771006
2024-03-12,27763.840073210402,21156.348496899147,34511.3670792408
2024-03-13,27203.653866479213,20575.464289840584,34100.2922609256
2024-03-14,27871.819909451555,21385.666435748415,34279.486900962336
2024-03-15,28416.19028475483,21715.860921214768,35005.5339582521
2024-03-16,20878.451703410043,13946.721032193926,26800.70826304908
2024-03-17,15150.789676822616,7894.106850328782,21512.559142664264
