ds,yhat,yhat_lower,yhat_upper
2024-01-01,3567.1413279174517,3040.5268034912797,4099.518888036312
2024-01-02,3650.3008750973536,3082.610453727341,4192.831193960018
2024-01-03,3654.4320674589735,3141.5663942617693,4170.895677933216
2024-01-04,3676.221612461269,3139.558439340127,4196.715154136496
2024-01-05,3836.227282203784,3301.108654924277,4364.677251973024
2024-01-06,3171.114456484498,2628.027479036334,3656.141064657358
2024-01-07,2532.4520762166508,1994.7818461211646,3002.6409921036416
2024-01-08,3602.7252578608372,3083.272578515458,4128.406769974437
2024-01-09,3685.884805043593,3150.4190804840614,4265.1144022682065
2024-01-10,3690.015997403942,3146.3740176432893,4212.923358070424
2024-01-11,3711.805542406869,3159.6166116674926,4239.728744616882
2024-01-12,3871.8112121506792,3359.575251162712,4426.079433080006
2024-01-13,3206.6983864340114,2670.37496131733,3730.9714372850685
2024-01-14,2568.0360061635647,2020.0818461192493,3069.4408116362215
2024-01-15,3638.309187807706,3097.7425526919146,4158.040256266306
2024-01-16,3721.4687349898327,3216.056929802896,4201.008241724099
2024-01-17,3725.5999273507387,3211.571999036762,4237.334739240457
2024-01-18,3747.389472309379,3212.388821147191,4250.8839817562975
2024-01-19,3907.3951420090116,3390.430896573513,4435.6920640919225
2024-01-20,3242.2823162469354,2652.8233477687504,3807.053687349856
2024-01-21,2603.619935932105,2078.6447186494615,3160.1597499598115
2024-01-22,3673.893117533165,3158.852400417543,4206.508958730247
2024-01-23,3757.0526646699245,3186.8336040068266,4292.849742032605
2024-01-24,3761.1838569873325,3273.186094856471,4285.662221393006
2024-01-25,3782.9734019450066,3221.0040134855403,4291.227120111876
2024-01-26,3942.979071644701,3381.053663063015,4450.120671398848
2024-01-27,3277.8662458827334,2753.0933948337856,3822.053146474818
2024-01-28,2639.203865569046,2114.8032269541463,3160.7028462120475
2024-01-29,3709.477047166578,3182.2393804151743,4265.760662513161
2024-01-30,3792.6365943057353,3274.195901743842,4318.273670940042
2024-01-31,3796.767786623243,3263.1164083061904,4347.215355875965
2024-02-01,3818.5573315825277,3299.827615970904,4385.263301156709
2024-02-02,3978.563001280391,3467.9520448029853,4477.952376555409
2024-02-03,3313.450175582868,2790.5155880401676,3837.380682040405
2024-02-04,2674.7877953349016,2149.237364408026,3204.2789027728422
2024-02-05,3745.060976999483,3196.260629685281,4285.734851244896
2024-02-06,3828.220524203471,3316.4241717699,4349.223478083555
2024-02-07,3832.3517165859894,3291.8493815793036,4326.342063345412
2024-02-08,3854.141261610358,3323.5644208707354,4388.20010528195
2024-02-09,4014.1469313751495,3472.297561141,4567.519070226597
2024-02-10,3349.0341056752045,2864.042441167892,3871.370048549939
2024-02-11,2710.3717254287894,2178.626233332299,3263.562283773685
2024-02-12,3780.644907094042,3267.079938756823,4354.972415345553
2024-02-13,3863.8044542973075,3310.0300662574277,4407.132408941637
2024-02-14,3867.935646680384,3338.6560427334894,4412.269231267432
2024-02-15,3889.725191704747,3359.621215343542,4477.655491591183
2024-02-16,4049.7308614696426,3497.75244834184,4550.569392450335
2024-02-17,3384.6180357685716,2876.363624794077,3908.8884311730408
2024-02-18,2745.955655522677,2199.3719733541625,3271.086670557039
2024-02-19,3816.228837270494,3253.5837385677632,4349.543445115581
2024-02-20,3899.3883845557407,3362.00270628184,4407.1958341918635
2024-02-21,3903.5195770210153,3378.995276910733,4398.882001031894
2024-02-22,3925.3091221262603,3359.500554205634,4441.119173154794
2024-02-23,4085.314791972063,3532.8684485415647,4607.231320601565
2024-02-24,3420.2019663544133,2898.8528578077276,3988.7954066702728
2024-02-25,2781.539586189921,2285.8149001820575,3301.438833218809
2024-02-26,3851.812767939513,3304.881054328478,4374.365869817799
2024-02-27,3934.972315223674,3352.6742724863557,4476.281772034083
2024-02-28,3939.103507688817,3385.1510701044604,4422.678714623146
2024-02-29,3960.8930527952025,3448.47176356551,4486.590492559719
2024-03-01,4120.898722641109,3584.803996353203,4650.875823203298
2024-03-02,3455.7858970260763,2957.8523095114524,4013.49641497889
2024-03-03,2817.1235168583617,2310.782236951719,3364.3805784465685
2024-03-04,3887.3966986084392,3351.3896166129125,4396.418118081321
2024-03-05,3970.5562458925197,3493.801332216361,4514.2206802029605
2024-03-06,3974.6850087112507,3453.1057202224997,4526.805058594851
2024-03-07,3996.4721241730917,3473.7631544253986,4483.308360054871
2024-03-08,4156.475364374865,3635.8556543842524,4705.474469443219
2024-03-09,3491.360109114225,2970.819632061079,4008.9145308732127
2024-03-10,2852.695299303999,2352.006297283541,3367.1873885650098
2024-03-11,3922.9660514093466,3408.5930116336503,4461.642012200644
2024-03-12,4006.123169047656,3456.814578282003,4524.403115887619
2024-03-13,4010.2519318674013,3480.306343963729,4469.612973625054
2024-03-14,4032.039047329237,3456.882136774084,4551.901109953304
2024-03-15,4192.042287531115,3640.401052317575,4711.019407075353
2024-03-16,3526.927032270379,2997.3616528156863,4040.505909462682
2024-03-17,2888.26222245902,2322.984140963246,3414.600544822533
2024-03-18,3958.532974562085,3405.5929099701984,4468.560879980572
2024-03-19,4041.690092203249,3507.390856401801,4606.7964315134195
2024-03-20,4045.818855023552,3525.905957166242,4568.535314100598
2024-03-21,4067.6059704841905,3531.249310098667,4582.179764145886
2024-03-22,4227.073961447884,3704.92515102493,4741.220664081485
2024-03-23,3561.4234569517207,3044.0877020679736,4094.085082452035
2024-03-24,2922.223397900547,2383.5901937735152,3453.041121663518
2024-03-25,3991.9589007653203,3473.370054655399,4501.85544857208
2024-03-26,4074.5807691671507,3539.4290470005044,4605.204216961664
2024-03-27,4078.174282749307,3555.4814225867763,4607.802901752982
2024-03-28,4099.426148973799,3551.814924290228,4635.182602872455
2024-03-29,4258.8941399366695,3727.745692945936,4761.768932621953
2024-03-30,3593.243635440146,3044.899950443448,4128.472709165477
2024-03-31,2954.0435763890855,2396.8418730663248,3533.379072220574
2024-04-01,4023.7790792537203,3514.064635564904,4539.634295284999
2024-04-02,4106.4009476559095,3602.5448494416883,4647.5399056590595
