ds,yhat,yhat_lower,yhat_upper
2024-01-01,61004.98230513468,50343.583498237014,72011.31591481263
2024-01-02,63617.92946957476,52882.0291633748,75276.37140094712
2024-01-03,62421.18302158582,51983.88577645048,72333.78243059662
2024-01-04,65397.59692611579,54426.41811101002,76021.50552367646
2024-01-05,72984.2608451813,62961.374827991196,83743.97897187901
2024-01-06,57828.93883895328,47373.38915724478,68371.5832515484
2024-01-07,35278.4825931932,24808.783622178053,45849.25445400553
2024-01-08,61025.62852963138,51104.58492651924,72130.38347962039
2024-01-09,63638.57569414764,53247.82497093029,74994.63907373662
2024-01-10,62441.8292461189,51461.643500465994,73646.81153255436
2024-01-11,65418.24315067185,54266.81317893248,76687.48701237375
2024-01-12,73004.90706977303,62165.325080173476,82518.18271134624
2024-01-13,57849.58506361895,47297.91876539226,68428.43746230958
2024-01-14,35299.12881777553,23785.241663707384,46018.2967971596
2024-01-15,61046.27475421801,50437.95522283223,71438.06941306163
2024-01-16,63659.22191872052,53248.58491713729,74089.76891924131
2024-01-17,62462.47547070767,52244.259066780345,73985.8322501917
2024-01-18,65438.891801803155,54699.512393124016,76097.86447143788
2024-01-19,73025.5581474488,62203.410972134836,83629.53698478837
2024-01-20,57870.23856780166,47343.13987263108,67980.80182984006
2024-01-21,35319.78474850174,25193.776913663085,45196.02266965044
2024-01-22,61066.93311151465,50670.066851744,71844.53262346506
2024-01-23,63679.882702528455,53714.92148396669,73823.7872723531
2024-01-24,62483.138681082746,52392.76731044566,73061.18579533066
2024-01-25,65459.55501215324,55210.78474629814,76185.16117719696
2024-01-26,73046.22135780254,62571.69059065311,84002.49895149554
2024-01-27,57890.90177815237,47051.749306272686,68297.38921424151
2024-01-28,35340.44795887808,25086.403218300118,46856.229031502924
2024-01-29,61087.59632180536,50386.253355670124,71941.46142005776
2024-01-30,63700.54591287838,53386.933489151575,74011.75106773441
2024-01-31,62503.80189143768,51496.77292478779,73951.79479861817
2024-02-01,65480.21822254345,54981.60387126532,76722.20428056532
2024-02-02,73066.8845681563,62511.9136686517,83693.58298776708
2024-02-03,57911.564989160026,46183.96615788623,67771.94759472797
2024-02-04,35361.11117059365,24476.862975989592,45745.44968776326
2024-02-05,61108.25953423293,50415.486831771275,71349.67864843294
2024-02-06,63721.20912597089,52989.88314534305,74819.67176052743
2024-02-07,62524.46510519962,51416.329499319145,73013.13996236889
2024-02-08,65500.881436981945,56277.397547201224,76168.87650683611
2024-02-09,73087.54778330131,61259.92211510817,83198.52220707822
2024-02-10,57932.22820425609,47314.224561427814,68153.0798120724
2024-02-11,35381.77438572774,24476.1488482938,46050.78497380505
2024-02-12,61128.922749380654,50298.60608514861,71556.64435109276
2024-02-13,63741.8723411076,52439.840133978454,74311.77559966996
2024-02-14,62545.12832035223,51546.33717564863,73350.9666357043
2024-02-15,65521.54465213506,54593.79720698742,75816.73554974592
2024-02-16,73108.2109984569,62436.39670166734,83502.57510760505
2024-02-17,57952.89141937662,46809.05945404181,69502.49971032671
2024-02-18,35402.437600861835,24329.7765732574,46118.27532079786
2024-02-19,61149.58596687489,50627.93559966701,72131.89897832407
2024-02-20,63762.53556093687,52863.70662535681,74240.68016392225
2024-02-21,62565.79154252801,52386.62318939705,72959.42552792157
2024-02-22,65542.20787661918,54660.93170767879,76149.37048436199
2024-02-23,73128.87422525372,62345.398358964725,83880.8178080944
2024-02-24,57973.55464854348,46857.54222937795,68713.93410686374
2024-02-25,35423.100832371805,24557.055337017973,46970.51192917628
2024-02-26,61170.24919841275,49908.8724617418,71670.61044151608
2024-02-27,63783.198792444,52883.091044817746,74363.4982580035
2024-02-28,62586.45477403241,51117.81152401938,73542.8070613133
2024-02-29,65562.87110815971,55284.44654102398,76297.60996313603
2024-03-01,73149.5374567967,62903.37247909019,83883.28992987884
2024-03-02,57994.21788016038,47258.00147412043,68862.16356536471
2024-03-03,35443.764063893286,24106.89177859219,46026.84029505045
2024-03-04,61190.91242995332,50448.242519592466,72415.94543322458
2024-03-05,63803.86202398509,53453.09154205581,74026.7260487322
2024-03-06,62607.11800620159,51993.24919614851,73035.50564945357
2024-03-07,65583.53434101044,54381.528497667015,75838.87252530194
2024-03-08,73170.20069036231,62416.777939558524,84115.02860301647
2024-03-09,58014.88111438338,46849.319802782855,68398.6778965765
2024-03-10,35464.42729885126,25116.201334421025,46055.75890069622
2024-03-11,61211.575665600474,49918.47545149112,71870.49649262654
2024-03-12,63824.52526028642,53413.483497527704,75130.74273797424
2024-03-13,62627.78124253579,51602.396501367104,73791.61396913395
2024-03-14,65604.19757734516,54565.41530478376,76145.50203741313
2024-03-15,73190.86392669947,62851.420034379466,84031.82555478465
2024-03-16,58035.54435070996,47418.968218191265,68879.16437507242
2024-03-17,35485.090535154886,24703.920780799785,45956.26275296054
2024-03-18,61232.2389018426,51056.64979805014,71916.1877504034
2024-03-19,63845.18849660473,53561.01406657933,74430.4149165872
2024-03-20,62648.44447886999,52213.0245026815,73371.82968931197
2024-03-21,65624.86081364664,55596.32159750187,76300.55845115994
2024-03-22,73211.52716342591,62964.65952264099,83507.26842352867
2024-03-23,58056.20758793917,47296.531632422884,69324.39571170257
2024-03-24,35505.75377274648,24816.330713992782,47506.77928526002
2024-03-25,61252.90213985978,50926.00344626825,71740.61675771598
2024-03-26,63865.85173501248,54158.651289807036,74961.24035402152
2024-03-27,62669.10771770405,51826.452910491455,73712.65228179676
2024-03-28,65645.52405296359,54860.571526712076,76489.99457523074
2024-03-29,73232.19040270153,62135.86571016403,83967.4444860443
2024-03-30,58076.87082721474,47120.51181848282,68761.95183834728
2024-03-31,35526.417012023216,24522.112363519842,45708.762530617525
2024-04-01,61273.565379143554,50440.197344634296,72212.1396787973
2024-04-02,63886.5149743072,53621.658452471056,74241.42406890732
2024-04-03,62689.770957007364,51585.94498561581,72861.4695259505
2024-04-04,65666.18729221406,54180.43315112666,76687.76422900255
2024-04-05,73252.85364195568,62434.23770200423,84027.11546154381
2024-04-06,58097.5340664414,47566.63897699118,68760.03780805887
2024-04-07,35547.080250725325,24640.150437363758,46035.550642000104
2024-04-08,61294.22861729672,50774.26683265843,71634.82324419238
2024-04-09,63907.178211886785,52842.21582144849,74908.772697704
2024-04-10,62710.43419398455,51531.55619944554,73101.17727794747
2024-04-11,65686.85052865167,55349.03423048602,76667.45242499892
2024-04-12,73273.51687783437,61785.009624407154,84530.22654990201
2024-04-13,58118.19730175449,47703.64516736453,70195.05247638162
2024-04-14,35567.743486052525,24861.417299694847,45643.87818422288
2024-04-15,61314.89185264246,50780.385686346366,71542.59591105886
2024-04-16,63927.84144721605,52419.328880843845,75342.71035791964
2024-04-17,62731.097429329704,51757.28777078355,73539.5582741629
2024-04-18,65707.51376399735,54938.75643930395,77234.24460805187
2024-04-19,73294.18011317195,62043.45653753559,83922.27373826741
2024-04-20,58138.86053706757,47480.799224491726,68471.87117087893
2024-04-21,35588.40672136711,24450.48244942162,46488.654992898
2024-04-22,61335.55508798818,50163.22660653171,71991.04244223927
2024-04-23,63948.504680975624,53150.14464759659,74576.77061245522
2024-04-24,62751.76066154158,52409.23910695988,73876.07838797334
2024-04-25,65728.1769945921,55077.13743152315,76846.12577312776
2024-04-26,73314.8433423092,63503.94796712643,84369.05567650733
