ds,yhat,yhat_lower,yhat_upper
2024-01-01,3539.75542807662,2881.24673691228,4234.295679905487
2024-01-02,3702.3511281966903,3004.206191740054,4347.549421318704
2024-01-03,3605.8649836703994,2930.808191067107,4243.870840599093
2024-01-04,3700.5266970390744,3101.169266721129,4375.997618790535
2024-01-05,3711.6909707899986,3038.779767463108,4362.735505640446
2024-01-06,2245.593257566504,1601.3543871837483,2921.6388865085
2024-01-07,1739.426321466612,1144.0981698638132,2428.928967743235
2024-01-08,3545.0031053395514,2903.0907009753637,4210.441744635637
2024-01-09,3707.598805464016,3104.69151428178,4407.7356916603385
2024-01-10,3611.112660936902,2936.5823719404925,4304.923503047813
2024-01-11,3705.774374306094,3039.559470807781,4378.720606968489
2024-01-12,3716.9386480578537,3077.225197173917,4425.980142016233
2024-01-13,2250.84093483903,1595.002879657101,2912.0217155090736
2024-01-14,1744.6739987355966,999.5825487580985,2444.692432776897
2024-01-15,3550.2507826082297,2880.589498152719,4246.107032703663
2024-01-16,3712.8464827313433,3033.0187731258693,4445.782072888895
2024-01-17,3616.360338204905,2944.9834802188607,4280.0191369981785
2024-01-18,3711.0220517303114,3094.611750382684,4374.6842904954
2024-01-19,3722.186325637723,3056.192951127442,4385.533589082177
2024-01-20,2256.088612573842,1602.1049786955543,2937.994093902981
2024-01-21,1749.9216766266268,1099.0004389787782,2464.0426712934764
2024-01-22,3555.4984606569446,2954.8159901645377,4200.879371989294
2024-01-23,3718.094160934553,3074.5030478965095,4388.169698575472
2024-01-24,3621.608016564794,2958.40212721636,4276.59315094895
2024-01-25,3716.269730089381,3000.603838792491,4342.004438901517
2024-01-26,3727.434003996231,3046.919363311232,4382.803235536102
2024-01-27,2261.3362909326825,1628.0331701622208,2936.5418775798757
2024-01-28,1755.1693549876627,1115.9076009290661,2498.248409732028
2024-01-29,3560.7461390119256,2879.2988783093983,4261.599728416397
2024-01-30,3723.34183929377,3032.7852201294395,4401.124302022814
2024-01-31,3626.8556949240974,2968.3094287603285,4312.985671198408
2024-02-01,3721.517408449771,2989.838547321636,4435.062158334322
