ds,yhat,yhat_lower,yhat_upper
2024-01-01,107974.86448863412,92007.1400323169,123050.08671698737
2024-01-02,112153.95870717298,96144.07588372838,128070.05216070723
2024-01-03,112313.60315017284,96352.37568161287,127188.43526740622
2024-01-04,114139.38494333538,98710.43770015117,130307.22468021799
2024-01-05,119381.77850917607,103609.15147966235,135567.96722596674
2024-01-06,93412.75004438087,77844.07688401743,109145.88781989903
2024-01-07,71031.38998053169,56051.48118071964,87312.82859248058
2024-01-08,108244.79038798454,92881.2496412866,124771.99236843566
2024-01-09,112423.88460662583,97104.07154399242,127733.49320013754
2024-01-10,112583.52904958604,96792.75212758058,127318.28600339172
2024-01-11,114409.3108427691,99221.15892563692,130098.49222478081
2024-01-12,119651.70440864861,104479.30313455708,136622.2603471152
2024-01-13,93682.6759439538,79573.83063133387,108899.42197955237
2024-01-14,71301.31588000813,56764.33642787328,87551.69700871909
2024-01-15,108514.71628746047,93437.46846163625,123593.5944757317
2024-01-16,112693.81050607866,96625.91929538606,128234.95143863672
2024-01-17,112853.45494905698,97631.2129686939,128355.82405662049
2024-01-18,114679.236741133,98751.65583039739,130902.08912357272
2024-01-19,119921.63030590484,105258.23123160285,136653.76203157572
2024-01-20,93952.60184006416,79054.49971781998,110140.63648211336
2024-01-21,71571.24177500939,55928.03674998109,87213.40206845957
2024-01-22,108784.64218139554,92808.06031936008,124460.25592969499
2024-01-23,112963.73639886876,97773.75096616149,128342.02775409457
2024-01-24,113123.38084076146,97086.61528161095,129602.14767245374
2024-01-25,114949.16263280952,99020.73891501353,130825.04387930539
2024-01-26,120191.55619757996,104944.61635237731,136118.17073987625
2024-01-27,94222.52773174184,78449.13383937537,109553.46008955654
2024-01-28,71841.16766672861,56152.1897832298,88790.32382294332
2024-01-29,109054.56807298872,92655.843241899,125344.3716090598
2024-01-30,113233.66229055067,97134.1947212956,130243.7184358885
2024-01-31,113393.30673244629,96289.83032373586,130115.24610303061
2024-02-01,115219.0885245396,100096.67490670296,131366.80168380588
2024-02-02,120461.48208925512,104262.43998122988,137052.98027788565
2024-02-03,94492.45362617791,79069.0021589252,108990.82353551209
2024-02-04,72111.09356396843,56170.985343752014,87834.7586620313
2024-02-05,109324.49397308078,93411.73738998306,125259.63645052414
2024-02-06,113503.58819341635,97905.15711647361,129267.20071900378
2024-02-07,113663.23263809367,98246.8790078759,128826.71394180747
2024-02-08,115489.0144329712,99345.55640285947,131100.99530851745
2024-02-09,120731.40800053666,104303.69998689974,135399.6087933608
2024-02-10,94762.37953736908,80386.52485426873,111918.16590269117
2024-02-11,72381.01947521398,56111.40209226875,87605.33651895306
2024-02-12,109594.41988435129,93967.7775782617,125348.85347418951
2024-02-13,113773.51410465955,97803.7589063393,129598.69458328895
2024-02-14,113933.15854935496,97275.1564208979,128658.34110441344
2024-02-15,115758.94034423365,99682.1726145369,130368.18007577873
2024-02-16,121001.33391179958,105510.76290855146,137375.69084986267
2024-02-17,95032.30544859434,78615.6075681494,108813.08688722731
2024-02-18,72650.94538645956,56573.70199309319,89107.0670061414
2024-02-19,109864.34578831871,94777.15703841695,125392.05323508159
2024-02-20,114043.44000132698,99196.69676918615,129258.15613819865
2024-02-21,114203.08443873216,97422.6395669379,131069.60034130474
2024-02-22,116028.86622627899,99706.13585812834,131998.79252303223
2024-02-23,121271.25978650866,106482.94926682215,137136.97293065628
2024-02-24,95302.23131605143,81222.10799488187,110759.75392028924
2024-02-25,72920.87124659905,57737.04315707596,88240.35965220061
2024-02-26,110134.27164852216,94270.53545727338,126011.83098086252
2024-02-27,114313.36586149364,99468.58153892959,130308.21214137782
2024-02-28,114473.01029889252,99308.78305377993,129934.06589160896
2024-02-29,116298.79208647856,100257.69917947966,131302.6962229128
2024-03-01,121541.18564670872,106080.06619285597,137055.43076539846
2024-03-02,95572.15717635187,78928.48036071844,110794.88888708307
2024-03-03,73190.79710678179,57055.301582747015,88950.92639935312
2024-03-04,110404.19750872142,95533.85563357612,126530.69927285746
2024-03-05,114583.29172168768,99204.94723432662,129617.30607245446
2024-03-06,114735.70272585095,98980.04331869917,130771.9846898666
2024-03-07,116554.2510802522,100804.2788727457,132001.30805958188
2024-03-08,121789.41120732178,105936.5284844677,137863.57323426445
2024-03-09,95813.1493037511,80196.96523125812,111008.49922408453
2024-03-10,73424.5558010744,57703.216879512096,88590.12247409261
2024-03-11,110630.72276983126,94529.33840358764,126430.97778098773
2024-03-12,114802.58354957844,98389.73391258193,130501.93702284405
2024-03-13,114954.99455377349,99725.86243196348,130493.50860138741
2024-03-14,116773.54290817589,101240.16075212893,131475.86855895843
2024-03-15,122008.70303524597,105594.17951221393,137572.88799188708
2024-03-16,96032.4411316717,81074.96650773272,112441.06655825357
2024-03-17,73643.84762895998,57637.63941200036,88707.59509807453
2024-03-18,110850.01459763329,94245.26685643516,126138.6145613667
2024-03-19,115021.8753774829,99779.53378830351,131381.49206473987
2024-03-20,115174.28638169603,98689.20872047597,130786.79103697785
2024-03-21,116992.83473606124,101684.32021724143,131558.8662226483
2024-03-22,122215.13251510703,106753.86991871672,136316.1749937332
2024-03-23,96226.00826361634,79669.5071689418,112582.86710805364
2024-03-24,73824.5524128193,58812.669726443906,90663.04805253577
2024-03-25,111017.85703346922,93450.83224889875,126414.41332257613
2024-03-26,115176.85546525911,98918.06279703723,130593.43369580997
2024-03-27,115316.40412145224,99095.87399699957,131112.384271285
2024-03-28,117122.0901278629,101526.1898938713,132508.467139065
2024-03-29,122344.38790688949,107283.97578800157,139410.93112097797
2024-03-30,96355.26365537658,81624.78301399118,112490.22856532714
2024-03-31,73953.80780458702,58136.61498440064,88533.80963425478
2024-04-01,111147.11242523223,94516.76687253707,126856.23839944255
2024-04-02,115306.11085703054,100557.35914462857,130609.55776426008
2024-04-03,115445.65951323409,99504.8964824553,131482.06322377382
2024-04-04,117251.3455195879,100459.99807532773,133441.1858185011
2024-04-05,122473.64329861311,106956.67708607714,137355.65674476072
2024-04-06,96484.51904706865,81713.89097588923,110892.28403781596
2024-04-07,74073.82921138828,57117.54835154885,89544.6145443215
2024-04-08,111257.89984711319,95652.60866795378,127394.15351193487
2024-04-09,115407.664293939,99864.05801857948,130698.77343146391
2024-04-10,115537.97896515767,98862.34271227465,130409.19125403068
2024-04-11,117334.43098658683,101371.96077130742,132551.84829128365
2024-04-12,122547.49478066542,107021.34592287075,137796.23525916343
2024-04-13,96549.13654417827,81008.90688919908,113033.55602894808
2024-04-14,74138.44670849624,58762.25457014401,89957.0171131154
2024-04-15,111322.51734425967,95405.93448641073,126790.59235075815
2024-04-16,115472.28179106656,99698.35720716254,130512.02798845274
2024-04-17,115602.59646230332,99603.05690608603,131034.64664391441
2024-04-18,117399.04848373361,102770.43315942623,133601.55282029876
2024-04-19,122612.11227783136,106642.67520975854,137969.40214203505
2024-04-20,96613.75404128789,80082.13007312323,112239.99009115822
2024-04-21,74203.06420560493,59517.93572217744,89713.20688929215
2024-04-22,111387.13484140615,96196.20738308482,126984.29935236117
2024-04-23,115536.84443812001,100235.08492594189,130788.84063917758
2024-04-24,115667.10425929927,100417.6882570023,130634.51316283018
2024-04-25,117463.50143059944,101746.21714449827,133758.377865219
2024-04-26,122676.51037473699,106392.101019644,138988.52860310985
2024-04-27,96678.09728809547,82438.54801913447,111545.87562141483
2024-04-28,74267.35260239363,59014.90987456008,90516.81468831531
2024-04-29,111451.36838801259,95790.86803927567,126054.46176422977
2024-04-30,115601.07798483834,99980.9749320488,131829.6843981133
2024-05-01,115731.33780599319,100033.60074664444,131119.5922010533
2024-05-02,117527.7349773617,102452.5125414351,133302.8609642591
2024-05-03,122740.74392138103,106979.44134837686,138362.57365773755
2024-05-04,96742.33083474812,79815.55502116351,112262.89305170675
2024-05-05,74331.58614910071,59301.42189961119,89317.66062386082
2024-05-06,111515.60193473622,96050.78799855751,126656.70554527653
2024-05-07,115665.31153152935,100265.13153090222,130903.59711367544
2024-05-08,115795.57135268713,100752.4368482953,130858.8025387443
2024-05-09,117591.9677805943,103571.56529132291,133517.42666030303
2024-05-10,122804.97598119944,106906.27719688551,137860.99802357223
2024-05-11,96806.5621512139,80405.45224582424,112301.67941852164
2024-05-12,74395.81672199575,58117.000398665376,89591.22912645632
2024-05-13,111579.83176420319,96199.53372599684,128172.51890217216
2024-05-14,115729.54061752972,101380.00492436974,131004.68283670706
2024-05-15,115859.79969523886,101419.71354597117,131624.23227333932
2024-05-16,117656.19612312411,102975.91477465985,132473.30684321144
2024-05-17,122869.20432375283,107240.44582424022,138474.38995673068
2024-05-18,96870.79049369552,79558.46251409806,111703.67693395758
2024-05-19,74460.04506453179,59326.360338707156,90260.1846303998
2024-05-20,111644.06010675576,96444.8378298824,126783.12491837486
2024-05-21,115793.76896004968,99895.65079349272,130989.60775805074
2024-05-22,115924.02803778139,100528.04929918617,131019.77535845303
2024-05-23,117720.42446563869,102115.82435848433,132665.9863092179
2024-05-24,122933.43266622581,106214.69745274891,138776.01194875225
2024-05-25,96935.01882930228,80783.37765209867,111516.79333435817
2024-05-26,74524.27339313852,60047.54306111894,90832.19468036098
2024-05-27,111708.28842835785,96403.24547934427,128162.31066612774
2024-05-28,115857.99727479745,100110.10228703074,132099.58488037507
2024-05-29,115988.2563456179,100423.07965911599,131778.28420449208
2024-05-30,117784.65276653327,101630.91947786405,133222.2396518776
2024-05-31,122997.66096017783,107164.8403191575,138436.86986224636
2024-06-01,96999.24712318255,81081.43859308647,113132.76345442014
2024-06-02,74588.50168707318,60227.943211160935,91441.42630745053
