ds,yhat,yhat_lower,yhat_upper
2024-01-01,8553.975049533781,6839.408955010986,10265.75030652124
2024-01-02,8938.201033348241,7139.010066435827,10749.81734291292
2024-01-03,8752.113873506567,6911.9115411048915,10480.67346677189
2024-01-04,9035.284908100208,7217.2040190643265,10746.762278025557
2024-01-05,9044.552454707951,7342.00191810035,10817.125318419823
2024-01-06,4927.419017221967,3236.929944133322,6626.606734424472
2024-01-07,3747.948959335094,1939.3533021614605,5404.783949904629
2024-01-08,8575.001012103356,6789.936248203419,10232.749856705483
2024-01-09,8959.22699592926,7264.353724286978,10513.245833739113
2024-01-10,8773.139836085957,7051.237840656418,10494.375083946163
2024-01-11,9056.310870680674,7312.177702337119,10714.275376497128
2024-01-12,9065.578417290319,7403.177660342008,10775.127061896384
2024-01-13,4948.4449798170135,3253.1086391742765,6698.690937229485
2024-01-14,3768.9749219209225,1945.483059046919,5411.195800416398
2024-01-15,8596.026974688142,6907.637876371626,10324.813013394154
2024-01-16,8980.252958510282,7185.832772765078,10722.095866539536
2024-01-17,8794.16579866875,7049.599434931198,10538.618076910583
2024-01-18,9077.336833668187,7388.175087280889,10766.285106584613
2024-01-19,9086.604380680816,7438.022660117131,10953.767099420245
2024-01-20,4969.470943608926,3226.7114231171026,6781.80281675685
2024-01-21,3790.000886117263,1940.9393692500112,5433.030568584842
2024-01-22,8617.052939293259,6871.164447508263,10336.109959341034
2024-01-23,9001.27892351561,7149.168331094424,10777.935441080299
2024-01-24,8815.191764079373,7051.760237987054,10647.383963127528
2024-01-25,9098.362799077111,7503.777755741309,10745.772191246337
2024-01-26,9107.63034608797,7337.358158904549,10976.83066639191
2024-01-27,4990.4969090171,3182.143770744269,6769.4698387900535
2024-01-28,3811.02685153155,2067.9020238724347,5514.385507118469
2024-01-29,8638.07890469129,6912.736562450635,10294.631164440187
2024-01-30,9022.304888925004,7303.828402103335,10737.673245361908
2024-01-31,8836.21772948892,7038.991158148545,10531.789723115036
2024-02-01,9119.388764488946,7310.59582853447,10918.950000697261
2024-02-02,9128.656311495124,7284.105500770835,10791.159657475064
2024-02-03,5011.522871923153,3086.1859091557776,6824.806899291395
2024-02-04,3832.0528119353235,2017.2467372030862,5612.659948836991
2024-02-05,8659.104862607517,6817.454126802384,10448.905197849941
2024-02-06,9043.33084434052,7274.402623659793,10888.709213110114
2024-02-07,8857.24368240602,7022.476529403369,10519.91512845726
2024-02-08,9140.41471490693,7490.7966939706885,10862.347422986464
2024-02-09,9149.68225942464,7377.8746140062885,10863.678053046999
2024-02-10,5032.5488198382645,3420.618886509112,6792.842969622215
2024-02-11,3853.078759857305,2059.31592127734,5606.611195645372
2024-02-12,8680.13081053288,6952.188532643717,10429.57359564659
2024-02-13,9064.356792260569,7342.311080185503,10853.790565979709
2024-02-14,8878.269630327839,7160.237663271743,10517.761384320414
2024-02-15,9161.440662829402,7440.12471729875,10954.250784368356
2024-02-16,9170.708207346035,7487.160836853596,10952.204987962425
2024-02-17,5053.574767757009,3290.927145697813,6698.919724196434
2024-02-18,3874.104707779286,2129.0016279775386,5582.470378679711
2024-02-19,8701.156758439489,6946.132893223622,10373.055827061906
2024-02-20,9085.382740153,7327.592520595182,10832.835152477699
2024-02-21,8899.295578202678,7145.5118892176615,10656.899253175232
2024-02-22,9182.46661068626,7352.5509492003,10892.120982712131
2024-02-23,9191.734155181794,7377.377677754062,10990.854165179366
2024-02-24,5074.600715581797,3279.3632842161114,6751.013329287142
2024-02-25,3895.1306555809956,2193.7541041180193,5654.868207621352
2024-02-26,8722.182706253689,6976.729245144211,10566.626740323698
2024-02-27,9106.408687963347,7393.1364966850815,10976.990994116111
2024-02-28,8920.321526012556,7237.477194277422,10720.392776046714
2024-02-29,9203.492558499118,7514.299367863565,10882.737916227745
2024-03-01,9212.760102993572,7458.010854879978,10922.4462597069
2024-03-02,5095.626663406256,3376.434321688881,6863.562457845666
2024-03-03,3916.15660339336,2046.9872133725944,5525.842244996059
2024-03-04,8743.208654066342,7063.73250611749,10415.22940300025
2024-03-05,9127.434635773865,7442.121189680404,10838.754329220123
2024-03-06,8941.347473648388,7350.456691891451,10690.726930334005
2024-03-07,9224.518505960004,7571.349640044572,10947.44581874712
2024-03-08,9233.786050282766,7529.920398597975,11065.352810117922
2024-03-09,5116.652610519866,3362.639745637742,6901.152112432526
2024-03-10,3937.182550343744,2192.475744196958,5616.49165033165
2024-03-11,8764.234600842712,6942.557397055779,10460.194857314784
2024-03-12,9148.46058237341,7372.637162326805,10705.40195430862
2024-03-13,8962.373420249789,7212.514583715348,10647.488253857122
2024-03-14,9245.544452562062,7462.551544432374,10890.879410332946
2024-03-15,9254.811996883744,7525.572403059446,10948.323578883028
2024-03-16,5137.678557121824,3458.04494611595,6866.675426810023
2024-03-17,3958.2084969424327,2325.889312389187,5776.201635898031
2024-03-18,8785.260547430895,7013.241397852652,10547.795398546523
2024-03-19,9169.48652897304,7499.136011059504,10901.886026370008
2024-03-20,8983.39936685119,7201.215331518837,10684.414443913149
2024-03-21,9266.570399161137,7635.728371646959,10978.3815837139
2024-03-22,9275.145192156746,7581.679387922195,11082.705471193554
2024-03-23,5157.319001083244,3397.7554001104704,6926.2997184461265
2024-03-24,3977.156189573964,2272.9920346262147,5804.2063782455025
2024-03-25,8803.515488737083,7009.267056280427,10635.85462392119
2024-03-26,9187.048718951073,7468.1676668322625,11008.356945049336
2024-03-27,9000.268805505075,7298.51266492833,10726.96299563231
2024-03-28,9282.747086496054,7537.750546284558,10981.789193427303
2024-03-29,9291.321879495725,7522.151521112207,10990.907746231038
2024-03-30,5173.4956884150815,3486.5815136106944,6923.350246030348
2024-03-31,3993.332876908283,2269.9191602409624,5763.173206491129
2024-04-01,8819.692176068813,7060.197467288755,10587.761350384377
2024-04-02,9203.225406284371,7497.145592602505,10926.74657422521
2024-04-03,9016.445492837433,7298.995619564483,10818.295693435464
2024-04-04,9298.92377382501,7568.46667269117,10983.72933969544
2024-04-05,9307.498566822913,7634.003708858697,10891.658345839789
2024-04-06,5189.672375739658,3556.707951450562,6802.806670644609
2024-04-07,4008.5795921472977,2238.7922918534196,5731.436287742487
2024-04-08,8834.00891921878,7166.957653818677,10530.799920179063
2024-04-09,9216.61217733659,7486.097839540834,10889.87729096207
2024-04-10,9028.902291795594,7320.3278813575025,10747.795364338675
2024-04-11,9310.450600691816,7614.457703771444,10990.605520317826
2024-04-12,9318.095421595519,7654.4297696032945,11035.691737365049
2024-04-13,5199.339258420854,3419.951840120765,6782.926119795797
2024-04-14,4018.2464748239463,2346.8029168357098,5626.378876843991
2024-04-15,8843.675801903499,7337.1226346494595,10664.02901204317
2024-04-16,9226.27906001909,7511.72935164956,11013.78151730881
2024-04-17,9038.569174479862,7320.756489224198,10740.103394928006
2024-04-18,9320.117483376744,7692.59073929192,11030.146556068798
2024-04-19,9327.762304287486,7649.865070702239,11070.106762554182
2024-04-20,5209.006141102048,3451.6853147926645,7001.208757399814
2024-04-21,4027.9133575055043,2358.928247149718,5852.89881589377
2024-04-22,8853.342684588217,6991.918517464901,10614.724048573567
2024-04-23,9235.338068964451,7634.7413343204635,11027.590506522554
2024-04-24,9047.020309688327,7352.936831741962,10683.870693719673
2024-04-25,9327.960744841499,7596.650218052551,11147.635082975676
2024-04-26,9334.997692023122,7646.00128064484,11089.528546479947
2024-04-27,5215.633655097983,3365.5975138319245,6939.697404800113
2024-04-28,4033.9329977705,2354.1002809844795,5821.02247625484
2024-04-29,8858.754451101453,7203.41243615607,10539.811340894457
2024-04-30,9240.749835491291,7590.129653083704,11080.750062368448
