ds,yhat,yhat_lower,yhat_upper
2024-01-01,14084.856405310311,11793.237937586568,16354.681252445878
2024-01-02,14700.688463899634,12272.49720931623,16920.082739195535
2024-01-03,14401.738763196667,12129.663346875086,16608.177330364062
2024-01-04,14708.848998546833,12433.081211298078,17092.777511019438
2024-01-05,15089.640459635542,12728.858171916885,17338.400401792478
2024-01-06,9995.713032922005,7543.641322808723,12387.713049837783
2024-01-07,7780.663775391939,5511.257407578218,10239.7699592709
2024-01-08,14122.99731025793,11786.871368363581,16501.07339078989
2024-01-09,14738.829368863142,12385.375637196294,17042.008665168694
2024-01-10,14439.879668156795,12232.571782348046,16815.32065256212
2024-01-11,14746.989903509066,12339.007249686578,17285.589284736783
2024-01-12,15127.78136460134,12719.963024884377,17470.39159313993
2024-01-13,10033.853937904643,7707.452318082666,12264.167199022111
2024-01-14,7818.804680361124,5348.905900479616,10153.165807836755
2024-01-15,14161.138215226207,11842.59619626526,16505.013079295062
2024-01-16,14776.970273826651,12422.41000540384,17085.214427726485
2024-01-17,14478.020573122725,12073.549355065858,16950.48932329311
2024-01-18,14785.130808136424,12265.045386547936,16985.312351326746
2024-01-19,15165.92226888828,12645.569028781838,17456.94670019249
2024-01-20,10071.994841847794,7726.345349829872,12370.62716546767
2024-01-21,7856.945583965188,5612.416373850112,10083.639526421532
2024-01-22,14199.279118497348,11837.054044582786,16592.499873123517
2024-01-23,14815.111176752922,12437.929219816775,17079.46040318301
2024-01-24,14516.161475712268,12150.011102163016,16730.284934735082
2024-01-25,14823.271710722669,12518.70054121554,17158.792123915733
2024-01-26,15204.06317147279,12731.104423014884,17502.817998819828
2024-01-27,10110.135744433235,7845.636905079554,12488.97923549705
2024-01-28,7895.086486558385,5471.311391053702,10194.714497773342
2024-01-29,14237.42002106898,11844.873782242044,16516.48509371205
2024-01-30,14853.252079339765,12342.933526922967,17446.081533201555
2024-01-31,14554.302378299308,12165.923249758336,16931.052587095517
2024-02-01,14861.412613313727,12518.641088293047,17136.587677279284
2024-02-02,15242.2040740573,12982.941361850279,17474.467193668843
2024-02-03,10148.276647088423,7756.768215598052,12737.211742211364
2024-02-04,7933.227389285363,5755.05932804655,10110.164822042048
2024-02-05,14275.56092388382,11865.978785767365,16686.868232094213
2024-02-06,14891.39298222626,12613.370519659837,17258.27076564452
2024-02-07,14592.443281260068,12261.181148288231,16974.163428183758
2024-02-08,14899.553516348436,12633.156795182798,17067.358979938064
2024-02-09,15280.344977178453,12884.486240306827,17601.157926858174
2024-02-10,10186.417550192076,8000.082872541496,12461.881455417451
2024-02-11,7971.3682923980605,5670.444023082526,10578.388681600456
2024-02-12,14313.701827001,11899.2201713006,16770.363537225538
2024-02-13,14929.533885336989,12332.40064975615,17035.437541539413
2024-02-14,14630.584184373216,12418.002636091684,17153.700086551005
2024-02-15,14937.694419462441,12495.712854102789,17275.558049281757
2024-02-16,15318.48588029147,13100.935739471777,17817.267935357893
2024-02-17,10224.558453300726,7844.050130977331,12515.159167193411
2024-02-18,8009.509195510758,5466.872815780153,10412.41469670763
