ds,yhat,yhat_lower,yhat_upper
2024-01-01,57188.78618622442,46255.686116419834,68614.17244761583
2024-01-02,60340.901505829854,49415.08865392321,71442.21303922115
2024-01-03,57568.18627686684,46757.3115045726,68949.08803767274
2024-01-04,60607.053020611354,49174.69221567026,71022.12385320946
2024-01-05,66290.17589069833,55019.214464953824,76548.15395999774
2024-01-06,49800.94976091685,39180.72032630599,61251.455195746705
2024-01-07,27513.53402954695,16195.226322090431,38389.74336120376
2024-01-08,57175.52447635827,46430.25483237408,68203.7937490979
2024-01-09,60327.63979604929,49406.620219498735,71820.94499641364
2024-01-10,57554.92456704237,47482.82554019541,68341.72218733138
2024-01-11,60593.79131081236,49190.52691987306,71357.23331002146
2024-01-12,66276.91418093561,55728.741572776475,77319.88074580017
2024-01-13,49787.68805123287,39226.82445278543,60703.694694335514
2024-01-14,27500.27231977666,16069.524586492571,38580.1405579327
2024-01-15,57162.26276659284,46966.07072369048,68109.26639494149
2024-01-16,60314.37808626872,49355.05745277809,70684.6394162661
2024-01-17,57541.662857279116,46076.0275159548,68596.63833450747
2024-01-18,60580.529601397975,49592.79706421397,71703.01354837198
2024-01-19,66263.65247187186,54794.082494949726,76544.34258045502
2024-01-20,49774.426342483595,39174.01273608983,61051.477961489625
2024-01-21,27487.010611383936,16521.45907011924,38843.744597379715
2024-01-22,57149.001058574795,46394.547775028885,68274.10197681874
2024-01-23,60301.11637856499,48659.8977628575,70937.28803986585
2024-01-24,57528.401149955964,46675.13873077914,68447.94205947424
2024-01-25,60567.267894045304,49632.48970244878,71888.00339626534
2024-01-26,66250.39076452274,54700.30909506327,77848.84732626696
2024-01-27,49761.16463513221,39010.703243881166,60774.362502213546
2024-01-28,27473.74890405997,16249.701166291308,38659.30306982922
2024-01-29,57135.73935115495,45739.76813964031,68610.11182967683
2024-01-30,60287.854671210735,49193.45021762389,71210.4057319378
2024-01-31,57515.1394426084,46623.467676132364,67806.76327751753
2024-02-01,60554.006186739585,49974.87727591048,71710.77644050993
2024-02-02,66237.12905717365,55105.03657808001,77252.017580598
2024-02-03,49747.90292909266,38994.188308161705,61258.82125529683
2024-02-04,27460.487199373238,16376.316024382395,38239.8719139582
2024-02-05,57122.47764784821,46051.16869301584,68768.13086250634
2024-02-06,60274.59296921902,48637.74886256112,70849.23856626754
2024-02-07,57501.877741939024,47105.256323445115,68880.13762813447
2024-02-08,60540.7444874007,49983.287105129166,71779.48324550888
