ds,yhat,yhat_lower,yhat_upper
2024-01-01,38433.63568050458,32471.391749363975,44946.72923315285
2024-01-02,40495.83726193717,33915.83733223974,46545.87981804121
2024-01-03,40060.275415972894,33757.58697747768,45644.76583688939
2024-01-04,41207.424522759895,34724.22800839267,47260.68255067333
2024-01-05,44719.75712651722,38714.31057842299,51388.891415656835
2024-01-06,32708.417754558977,26705.86199880936,38381.11253210096
2024-01-07,23987.21798490861,17563.55665334902,29900.0204625504
2024-01-08,38514.3254975108,32521.751536308704,44840.136848301685
2024-01-09,40576.5270789841,34056.11334090427,46644.12308172037
2024-01-10,40140.96523300928,33983.371051912945,46344.89430728376
2024-01-11,41288.11433980337,35400.87632059052,47244.091198768154
2024-01-12,44800.446943571835,38741.32654784565,50665.07825087738
2024-01-13,32789.10757165875,26045.6993273635,38793.38748418244
2024-01-14,24067.907801967078,17899.971778860843,30219.469839133744
2024-01-15,38595.01531456899,31971.212505423322,44905.777865768265
2024-01-16,40657.21689603102,34968.06119759308,47365.667366487825
2024-01-17,40221.65505006202,34202.35981428553,46545.38364941409
2024-01-18,41368.804156093414,35249.788012666075,47483.57981294684
2024-01-19,44881.13675909457,38962.47915983488,51146.38765133053
2024-01-20,32869.797386400925,26792.665849921803,38924.73128891343
2024-01-21,24148.597615942326,18129.41541873916,30572.742840709
2024-01-22,38675.70512779749,32659.931209138846,44784.17237491219
2024-01-23,40737.90670848009,34155.52504918366,46882.89285949389
2024-01-24,40302.34486175261,34191.731957486394,46370.087944561885
2024-01-25,41449.493967775314,35669.804033770066,47896.08508926298
2024-01-26,44961.82657077325,38592.12412417558,51021.58003934752
2024-01-27,32950.48719807935,26822.38919981371,39601.40609860606
2024-01-28,24229.287427639203,18152.39401325325,30416.12921778352
2024-01-29,38756.39493944213,32354.115470702327,44955.27031371901
2024-01-30,40818.596520163206,34637.59591597887,46696.51530150897
2024-01-31,40383.034673435606,34225.50432537347,46597.13499699737
2024-02-01,41530.18377946539,35055.612458463125,47777.193223555725
2024-02-02,45042.516382451926,39152.57670958604,51671.703828960344
2024-02-03,33031.177008729406,27025.198681383186,39062.35406186603
2024-02-04,24309.97723727907,18285.09835298883,30592.08487768235
2024-02-05,38837.0847480896,32468.926545589737,45431.249498703306
2024-02-06,40899.28632778857,34496.48414768554,47107.018431831086
2024-02-07,40463.72448004362,33839.28534193805,46940.773428794775
2024-02-08,41610.873585057314,35538.86989196141,48017.569426187394
2024-02-09,45123.206187049225,38125.354790968624,51402.17045117577
2024-02-10,33111.866813289496,26304.19570025336,39773.35830847283
2024-02-11,24390.667041861263,18218.312544363907,30275.09856830793
2024-02-12,38917.7745526854,32248.516945685973,45322.12189068406
2024-02-13,40979.97613236895,35215.67472580188,46575.27875632687
2024-02-14,40544.41428462981,34420.660934805106,46803.11291791088
2024-02-15,41691.56338964675,35653.68549028192,47587.255248217276
2024-02-16,45203.89599163729,39270.889313071406,51026.805321662185
2024-02-17,33192.55661786295,26749.315637502612,39727.46328343953
2024-02-18,24471.356846443457,18000.423240826793,30639.601314133233
2024-02-19,38998.46436167788,32855.69438314587,45082.29701061326
2024-02-20,41060.66594576696,34557.20840473092,46933.73343078067
2024-02-21,40625.10410243097,33937.45796123634,47079.553258723085
2024-02-22,41772.25321184363,35785.66615241311,47898.71698174174
2024-02-23,45284.58581822158,39440.77400836335,51742.64746824919
2024-02-24,33273.246448866324,26875.794531014526,39180.28150374269
2024-02-25,24552.04668184326,18277.84917453051,30537.79850984394
2024-02-26,39079.15419710443,32761.786663983185,45182.754790259976
2024-02-27,41141.35578118001,35310.113198022016,47302.03333279988
2024-02-28,40705.79393784332,34129.89940199358,46811.50628707129
2024-02-29,41852.94304726797,35620.45217089254,47856.91801364812
2024-03-01,45365.27565364455,39173.26726768084,51712.273075015946
2024-03-02,33353.93628433444,27277.444861019314,39178.397376906665
2024-03-03,24632.736517260353,18736.35563782992,31021.120202810922
2024-03-04,39159.84403252682,33219.7664710328,45157.31294400795
2024-03-05,41222.04561659754,35031.836466328816,47303.57866878499
2024-03-06,40786.483711273155,34540.92620220968,47059.91627863588
2024-03-07,41933.63275871313,35858.25744844455,48470.53074439026
2024-03-08,45445.96530312841,39067.15034983858,51297.7314640532
2024-03-09,33434.625871829754,27019.955006620505,39702.82884762177
2024-03-10,24713.426042812564,18251.283292760345,31040.902538889553
2024-03-11,39240.53349610384,32915.0626159923,45678.520057847425
2024-03-12,41302.73501818613,35151.741108086375,47469.46076120663
2024-03-13,40867.17311286979,34625.0237109373,47702.060611242196
2024-03-14,42014.32216031301,35861.80349989268,48156.94443249565
2024-03-15,45526.65470472691,40129.59452383198,51874.88325893656
2024-03-16,33515.315273427004,27165.792476060702,39334.18777991687
2024-03-17,24794.115444395466,18501.192815958882,31102.35010600565
2024-03-18,39321.22289765395,32940.42772977244,45889.669385278205
2024-03-19,41383.42441977695,34946.17234822651,47923.64382534537
2024-03-20,40947.862514466426,34276.65517632209,47350.010390082454
2024-03-21,42095.01156190038,36107.89502363717,48262.189125657525
2024-03-22,45607.34155686054,39155.13892231783,52034.122264240366
