ds,yhat,yhat_lower,yhat_upper
2024-01-01,73672.06325065624,60316.15568836191,86765.90858377323
2024-01-02,77606.22675365323,64870.64551459543,90405.77810761252
2024-01-03,75916.8087112314,62267.469549347654,88115.48634866564
2024-01-04,79454.37894339113,65614.42035292734,92918.36700996877
2024-01-05,83708.26776870269,71082.85390711304,97558.89017909704
2024-01-06,70314.2165167363,57538.55053431936,82635.7861127337
2024-01-07,48916.278153609266,36044.04858839174,61635.41075978178
2024-01-08,74122.32634589713,61243.60936041697,87754.49702777433
2024-01-09,78056.48984897154,66191.9978690968,91203.37169255754
2024-01-10,76367.07180650685,63507.78752124408,90480.43197737333
2024-01-11,79904.6420386905,66466.9117084739,92064.39002401386
2024-01-12,84158.53086403463,70121.21805843616,97067.8783513417
2024-01-13,70764.47961213868,57512.9050050178,83719.182414807
2024-01-14,49366.54124893107,37615.642063368476,62350.29668183968
2024-01-15,74572.58944122597,62126.22625435395,87293.83220196159
2024-01-16,78506.75294428985,66266.32971042168,91894.94963467498
2024-01-17,76817.33490184062,64068.97703819287,89501.53152838776
2024-01-18,80354.9050657149,68738.40464079389,92779.51888348989
2024-01-19,84608.79382275314,72390.65516033689,98294.8789203854
2024-01-20,71214.74250251909,57947.02519752266,83678.31924161216
2024-01-21,49816.804071014274,37058.37907224372,62859.31641191054
2024-01-22,75022.85219502122,61541.889154819844,88868.09749986883
2024-01-23,78957.01562974713,66004.62104022759,91784.49263645295
2024-01-24,77267.59751901746,63405.361568413406,89569.97789179545
2024-01-25,80805.16768286728,67170.42799427117,93723.25134683844
2024-01-26,85059.05643990998,72352.04541993346,98387.00821902418
2024-01-27,71665.00511967264,59001.5044382387,84347.00080933888
2024-01-28,50267.06668818907,36971.19582210887,63181.17271007321
2024-01-29,75473.11481211512,62826.90277549093,88110.47034083954
2024-01-30,79407.27824689768,65761.99775459977,92725.7730458447
2024-01-31,77717.86013617509,65471.51131459798,90712.83981001182
2024-02-01,81255.43030006452,68485.32207327291,94698.33056634724
2024-02-02,85509.31905706684,72984.08081220633,98276.17636494152
2024-02-03,72115.26773566905,59481.40160121329,85117.47698424796
2024-02-04,50717.32930306759,37425.75850821565,63712.66488612843
2024-02-05,75923.37742589042,62390.42259763848,89069.17218889506
2024-02-06,79857.54085951591,67304.09927086669,93281.10196276817
2024-02-07,78168.12274764133,66190.4598638786,91186.47222155232
2024-02-08,81705.69291038725,69562.72615054593,95442.41231255204
2024-02-09,85959.58166628059,73111.48114713414,99253.29191057396
2024-02-10,72565.53034483585,59888.57709042523,85690.01663250495
2024-02-11,51167.591912268625,38534.17476960524,64792.229461594194
2024-02-12,76373.64003509608,62490.62193001548,89241.87027259392
2024-02-13,80307.80346871933,67313.97046189153,93904.93725009137
2024-02-14,78618.38535686022,67137.63462011547,92413.80073556575
2024-02-15,82155.95551960349,69626.6350393771,95555.60761726306
2024-02-16,86409.84427549763,72616.23610528006,98158.62726813206
2024-02-17,73015.7929540215,60113.383241888994,86802.87202255902
2024-02-18,51617.85452146966,39034.303684005834,65685.08904036589
2024-02-19,76823.90264427167,63526.257762599605,90082.56131598637
2024-02-20,80758.0660778359,66473.88678359617,93999.34656509596
2024-02-21,79068.64796593928,66551.97356130365,92213.22937880555
2024-02-22,82606.21812860154,69360.2874332158,95085.8203217213
2024-02-23,86860.10688442545,72932.4237178762,99666.37769934512
2024-02-24,73466.0555629275,60884.858080286875,85716.47748916573
2024-02-25,52068.11713033056,38512.522619259915,65143.74949031355
2024-02-26,77274.16525315934,64699.860144778024,89927.51792792053
2024-02-27,81208.3286866923,68776.29784379275,94647.5824405428
2024-02-28,79518.91057479281,66293.29531336628,91723.9131211136
2024-02-29,83056.48073749151,69563.79638976105,96160.56306097115
2024-03-01,87310.36949331623,74910.58923711684,100396.23746236697
2024-03-02,73916.31817188874,60277.19613005932,87954.93224286668
2024-03-03,52518.37973920534,39822.48883713646,65133.76867401893
2024-03-04,77724.4278620553,65535.403307779125,90320.93323510225
2024-03-05,81658.59129559023,67389.92737774647,94471.73859588488
2024-03-06,79957.55120487811,66309.53053059458,92271.3434178179
2024-03-07,83483.49938883305,70556.56194304886,95828.11313991346
2024-03-08,87725.76616593191,74327.26159113704,100107.77704797247
2024-03-09,74320.09286573324,61881.58823298045,87428.23939913926
2024-03-10,52910.532454340966,39220.33865733056,65083.63344672057
2024-03-11,78104.95859844895,65312.955422091734,91129.42969775929
2024-03-12,82027.50005320359,69036.51441042572,94669.5227169895
2024-03-13,80326.45996252772,67106.258862907,92787.0730530733
2024-03-14,83852.40814648001,70318.63874898612,96489.88008090013
2024-03-15,88094.67492357967,74384.56656671362,99779.46582439248
2024-03-16,74689.00162336849,61290.54953900557,88277.26341012708
2024-03-17,53279.44121196682,40158.3374353487,66713.80408215756
2024-03-18,78473.86735600566,65256.06152415664,91911.89364967363
2024-03-19,82396.40881083775,68913.66291480385,95869.11599154676
2024-03-20,80695.3687201773,67855.43206086392,94117.6356653926
2024-03-21,84221.3169040952,72029.81599341148,97141.60557596837
2024-03-22,88444.19081891807,76102.72371556865,101887.10332994953
2024-03-23,75019.12465650527,60977.594462310226,87913.55082251376
2024-03-24,53590.17138276063,41143.30848216663,67558.24412784296
2024-03-25,78765.20466452521,65606.97914494976,90673.13639140262
2024-03-26,82668.35325704474,69548.4126653849,95412.04823990812
2024-03-27,80947.9203041101,69198.67534275235,94689.55796581888
2024-03-28,84454.47562580502,72186.22144701755,97419.39753826347
2024-03-29,88677.34954059363,74927.09468156665,101396.04025881733
2024-03-30,75252.28337817157,61521.3217454007,87449.8029916637
2024-03-31,53823.33010442932,40050.48625661076,66789.33540127803
2024-04-01,78998.3633862092,64865.16582904134,91429.63156762497
2024-04-02,82901.51197873708,69853.88553331983,95383.3986520996
2024-04-03,81181.07902581,68304.38534091519,94678.2185977589
2024-04-04,84687.63434745127,70173.33167885135,97248.3990684516
2024-04-05,88910.50826224437,75587.51570206722,101790.88809484571
