ds,yhat,yhat_lower,yhat_upper
2024-01-01,21940.254245239084,18100.994938907505,26012.60111139909
2024-01-02,23133.92208930321,19432.455110018986,26800.49163040312
2024-01-03,22458.713947702156,18720.465971772504,26155.2449045101
2024-01-04,22730.245781259233,18839.050296966372,26833.104648674882
2024-01-05,23172.799625091593,19300.30030814207,26846.538589418375
2024-01-06,16076.305648344342,12454.534046995213,19622.02436701789
2024-01-07,12416.846748195112,8441.101699387891,16392.331985523826
2024-01-08,21958.69617725295,18179.93877441801,25651.838707875242
2024-01-09,23152.36402134205,19413.83341533897,26981.132776049846
2024-01-10,22477.15587973441,18606.9424875525,25964.640076803178
2024-01-11,22748.687713295367,18926.64652216082,26279.78473679716
2024-01-12,23191.241557133766,19581.017948128832,27209.51464697852
2024-01-13,16094.74758041112,12266.199519608994,19657.278283845077
2024-01-14,12435.288680241356,8415.45553953847,16083.920806713433
2024-01-15,21977.138109298514,18187.714223445564,25561.50885369235
2024-01-16,23170.80595338089,19522.51976435441,27130.134149737944
2024-01-17,22495.597811776803,18925.5260743516,26550.514690480686
2024-01-18,22767.129644707245,18890.985367685123,26192.131741963774
2024-01-19,23209.683487913026,19544.884691417243,27031.804513411633
2024-01-20,16113.189510552083,12365.411308779518,19939.115191811332
2024-01-21,12453.730609752147,8762.403170131392,16089.597414870252
2024-01-22,21995.580038186778,17880.882159613357,25657.43486314237
2024-01-23,23189.247881629046,19396.457668073384,26897.584101481374
2024-01-24,22514.03973939923,18562.048299726266,26238.684717383687
2024-01-25,22785.571572323162,18824.95473539344,26617.304867037503
2024-01-26,23228.12541552707,19501.205460215402,27164.526269467075
2024-01-27,16131.631438167205,12336.40024937493,20301.7469829871
2024-01-28,12472.17253737817,8802.6721672048,15928.40919547583
2024-01-29,22014.021965780426,18405.175504627186,26094.08592506302
2024-01-30,23207.68980924575,19406.111920195584,27060.11256175572
2024-01-31,22532.481667016338,18717.274482806926,26345.99849076059
2024-02-01,22804.013499948273,18906.86478434023,26604.189414487315
2024-02-02,23246.567343141112,19505.683549549183,27012.212448741742
2024-02-03,16150.073363786625,12340.435736018171,20048.470794043384
2024-02-04,12490.614461005094,8720.33451458358,16263.861459073049
2024-02-05,22032.463887438233,18705.223076671748,25894.15226613372
2024-02-06,23226.13172890978,19480.28757358336,27206.968676400924
2024-02-07,22550.92358469021,18639.405805825074,26250.14323210531
2024-02-08,22822.455415632303,19141.971870635338,26835.20252267258
2024-02-09,23265.009256853242,19767.049230570832,27406.97812760386
2024-02-10,16168.515277474155,12352.464042869247,19808.54989396777
2024-02-11,12509.056374705775,8837.271187149145,16277.145061733127
2024-02-12,22050.905801144636,18506.97460363641,25752.473872826864
2024-02-13,23244.573642607866,19621.341177350794,27082.177469406415
2024-02-14,22569.36549839184,19144.007202683486,26545.702434161278
2024-02-15,22840.897329334883,19275.804513892268,26844.525344965736
2024-02-16,23283.451170554665,19611.906987085284,26992.47023314737
2024-02-17,16186.957191168738,12438.825419996976,20128.9963919644
2024-02-18,12527.49828840645,8696.092863968324,16332.489058582434
2024-02-19,22069.347714243526,18215.844944598615,25614.881270071164
2024-02-20,23263.015555103048,19437.602470514637,27009.213052146762
