ds,yhat,yhat_lower,yhat_upper
2024-01-01,5225.556633541202,3727.796966414502,6565.549798062423
2024-01-02,5359.479713685607,3925.6357857520075,6810.102019087446
2024-01-03,5110.075030988742,3656.9074661895625,6593.771293430804
2024-01-04,5418.131065543367,4012.4787881037337,6825.21307306088
2024-01-05,4979.081033490447,3479.7085698182163,6382.098547777577
2024-01-06,3566.055917142878,2210.7606723819854,5101.494336631922
2024-01-07,2769.699465315324,1321.9787289801873,4231.811071978002
2024-01-08,5280.955343435611,3805.0932953399615,6756.331912835346
2024-01-09,5414.878423586048,3922.9673144474195,6855.842680465071
2024-01-10,5165.473740886382,3651.2784959996707,6684.760598496114
2024-01-11,5473.529775442456,4040.444879190926,6895.779765320865
2024-01-12,5034.479743391341,3720.681396160206,6507.037917251547
2024-01-13,3621.4546270489864,2302.4063548485365,5140.401351585582
2024-01-14,2825.0981752168764,1310.1540444228306,4305.35476739028
2024-01-15,5336.354053337136,3816.3847137823786,6763.741206043212
2024-01-16,5470.277133486489,3969.3898318819924,6957.838331665092
2024-01-17,5220.8724507882625,3670.973434120271,6585.177951275218
2024-01-18,5528.928485128716,4019.620133237266,7071.807625155567
2024-01-19,5089.878452862093,3648.59744461898,6539.739641781366
2024-01-20,3676.853336303243,2275.6722740219807,5125.7155629390045
2024-01-21,2880.4968842576122,1436.063713491159,4300.410004107341
2024-01-22,5391.752762163307,3917.8558613440673,6824.990073407692
2024-01-23,5525.675842094926,4147.458305403013,6973.6855986516775
2024-01-24,5276.271159183384,3834.3891040740878,6779.298828230627
2024-01-25,5584.327193522312,4176.180609503696,6988.730321693935
2024-01-26,5145.277161255577,3631.0732022174516,6571.8508714211675
2024-01-27,3732.252044697218,2234.979955836795,5093.903652613916
2024-01-28,2935.895592653671,1534.0672412427623,4311.909022981634
2024-01-29,5447.151470552222,4073.3534585044176,6877.468717649545
2024-01-30,5581.0745504882925,3995.178983104404,7087.804221388777
2024-01-31,5331.669867577651,3831.197792876984,6803.741530104562
2024-02-01,5639.725901920307,4233.872135555011,7040.465546265572
2024-02-02,5200.675869649063,3702.42793465806,6664.364057144514
2024-02-03,3787.650753076383,2330.4294183856073,5352.045412879119
2024-02-04,2991.294301017041,1452.4113715195251,4366.837691418943
2024-02-05,5502.55017890818,4049.2593714614904,6980.72330695696
2024-02-06,5636.473258828839,4106.834764711425,7121.2084787282065
2024-02-07,5387.068575903914,3927.136291558772,6747.708124487479
2024-02-08,5695.124610232298,4254.191756416559,7188.915374917747
2024-02-09,5256.0745779527615,3846.6068754592566,6640.14264001221
2024-02-10,3843.0494613739397,2439.030936547279,5411.440915215839
2024-02-11,3046.693009317628,1685.962454926974,4611.393579721649
2024-02-12,5557.948887208277,4165.936602285105,7143.800170131121
2024-02-13,5691.871967128582,4260.956139597578,7229.511712928855
2024-02-14,5442.467284205097,3988.813306615477,6869.529964006772
2024-02-15,5750.52331853293,4226.1705910874125,7193.693851066264
2024-02-16,5311.473286252956,3922.2747725407553,6821.090160598374
2024-02-17,3898.448169672709,2442.4614532674022,5387.28845047379
2024-02-18,3102.091717618213,1695.6324026502357,4496.558838506762
2024-02-19,5613.347589694163,4022.1286668099297,7090.337140199013
2024-02-20,5747.270663798732,4237.846939520736,7165.267698457794
2024-02-21,5497.865975059275,3925.4620376173557,6981.061248628805
2024-02-22,5805.92200356865,4455.380552782966,7273.61627173854
2024-02-23,5366.871965470983,3864.8449830252534,6748.75930429124
2024-02-24,3953.8468430774737,2447.083431557079,5339.271091901634
2024-02-25,3157.4903852039065,1739.2095726206896,4527.941656601623
2024-02-26,5668.746257285316,4258.783271884626,7187.5850539588155
2024-02-27,5802.669331387221,4378.846575613558,7227.587828301034
2024-02-28,5553.264642647398,4109.396440189082,7080.431303126479
2024-02-29,5861.3206711596085,4425.140750129892,7396.624328763439
2024-03-01,5422.270633061506,3909.1590330518984,6911.074928680692
2024-03-02,4009.2455106732104,2614.476807936676,5427.993808507328
2024-03-03,3212.8890527948215,1696.1730152326184,4819.821958598389
2024-03-04,5724.144924877199,4294.972436167798,7098.395269359381
2024-03-05,5858.067998978873,4283.729732455856,7298.741300179426
2024-03-06,5608.6631562392695,4169.230609990824,7055.163849435735
2024-03-07,5916.719030757451,4401.219252298093,7286.316814478039
2024-03-08,5477.668838663918,3934.2738908545075,6782.5527499107
2024-03-09,4064.643562279504,2547.6020885518515,5440.299613958997
2024-03-10,3268.286950409011,1707.8808610152591,4646.172634487733
2024-03-11,5779.542668495962,4260.085635031481,7291.921086305328
2024-03-12,5913.465588599574,4379.424794357023,7310.233187540356
2024-03-13,5664.060745862991,4254.955137252445,7014.4849915425875
2024-03-14,5972.116620380621,4522.714754521216,7399.216779098794
2024-03-15,5533.066428286652,4160.874356416552,7015.890807290722
2024-03-16,4120.041151902024,2621.3898963877677,5555.162565446081
2024-03-17,3323.6845400318703,1879.5957175879748,4689.635977084992
2024-03-18,5834.940258112211,4295.259530392299,7315.785938683506
2024-03-19,5968.863178221857,4598.456440216132,7431.524487487032
2024-03-20,5719.458335486713,4255.0753745476495,7218.244196912255
2024-03-21,6027.514210001551,4539.578727735061,7409.142171322917
2024-03-22,5587.197973937351,4083.8186526197123,7128.522914990503
2024-03-23,4172.906653588521,2793.7263197469006,5839.860675074066
2024-03-24,3375.283997744905,1956.0102549204028,4725.680758207302
2024-03-25,5885.273671855099,4529.115448571231,7361.984955865571
2024-03-26,6017.930547991959,4586.9752908837645,7397.289319714161
2024-03-27,5767.259661287597,4246.185629002458,7176.734766772254
2024-03-28,6074.049491836123,4636.759217546553,7566.4718496322885
2024-03-29,5633.733255772752,4158.412990742277,6963.73394267431
2024-03-30,4219.4419354202055,2861.5495282899815,5663.645141239779
2024-03-31,3421.819279577462,1897.5967049409176,4921.496801506564
2024-04-01,5931.808953688354,4445.39512044415,7407.255983058435
2024-04-02,6064.465829826731,4666.966302776839,7555.949762409584
2024-04-03,5813.794943121336,4445.196716745515,7323.788524434032
2024-04-04,6120.584773666217,4670.401844590743,7701.419071789177
2024-04-05,5680.268537602734,4081.0998339703337,7250.469728375873
2024-04-06,4265.977217249467,2762.0301520820876,5733.308669805655
2024-04-07,3465.285181887839,2052.1367397393824,4973.142457184265
2024-04-08,5972.205476476329,4536.256398476739,7532.4980121638255
2024-04-09,6101.792973092439,4664.391322999895,7569.366117707452
2024-04-10,5848.0527068623305,4440.55934377003,7324.44002282128
2024-04-11,6151.773157886749,4652.966857203257,7699.315341809807
2024-04-12,5708.387542301242,4281.596488613463,7193.670466311658
2024-04-13,4291.026842426553,2841.7618458381703,5796.397253072582
2024-04-14,3490.3348070617876,2084.6122458902496,4949.528947645194
2024-04-15,5997.255101656201,4521.830022564637,7558.711815067226
2024-04-16,6126.8425982704985,4711.189458703073,7543.901373305232
2024-04-17,5873.102332041828,4567.643778618393,7339.539315557114
2024-04-18,6176.822783065695,4777.087417349853,7634.003814594696
2024-04-19,5733.437167483259,4238.323586857174,7131.090427426663
2024-04-20,4316.076467603638,2825.9813972664056,5800.075787110712
2024-04-21,3515.384432240422,2078.4838451286623,5050.987078121724
2024-04-22,6022.304726836071,4601.0952331575845,7493.19149001804
2024-04-23,6148.579559203948,4744.231122612457,7646.386502606473
2024-04-24,5891.52662873315,4443.275822466904,7359.400105880079
2024-04-25,6191.9344155109975,4767.361385334505,7581.675604595426
2024-04-26,5745.236135689657,4304.770878820879,7207.609210002051
2024-04-27,4324.562771565585,2923.200702319991,5822.626735590666
2024-04-28,3520.5580719614254,2031.1757821252788,4957.656012124452
2024-04-29,6024.1657023061725,4560.2610936034325,7318.176002301327
2024-04-30,6150.440534682555,4813.2173993114175,7569.969963914925
2024-05-01,5893.3876042093325,4386.040591302236,7354.37714032413
2024-05-02,6193.79539099099,4707.533149908027,7559.342910502708
2024-05-03,5747.0971111631425,4244.100772506395,7161.654004840178
2024-05-04,4326.423747040264,2969.32135258354,5761.343550372692
2024-05-05,3522.4190474391335,2170.6661072689417,4907.120386807913
2024-05-06,6026.026677784848,4558.49972835902,7472.365765837535
2024-05-07,6152.301510157837,4674.964920879256,7563.579838406129
2024-05-08,5895.248579685515,4464.024011067368,7268.615751382681
2024-05-09,6193.606963916701,4766.043008550656,7776.552545670585
2024-05-10,5744.8592815408565,4307.471234636225,7180.985901435085
2024-05-11,4322.136514873393,2875.0658622409446,5742.4172599793055
2024-05-12,3516.0824127176375,2141.1245001546354,4972.853352720112
2024-05-13,6017.640640513062,4494.575874180682,7452.928003662439
2024-05-14,6141.866070337479,4725.01630805464,7504.1481587453745
2024-05-15,5882.763737315214,4379.4964305757085,7308.961873736589
2024-05-16,6181.122121545768,4601.7977735055865,7627.493848688773
2024-05-17,5732.374439169565,4167.799227964566,7192.796661857122
2024-05-18,4309.651672499465,2898.709137696622,5698.995453508926
2024-05-19,3503.597570346741,1952.0880402809616,4986.884246850031
2024-05-20,6005.155798143132,4543.388755885008,7383.304391331542
2024-05-21,6129.381227964155,4653.93370398549,7658.518974657085
2024-05-22,5870.2788949436435,4430.314972392319,7334.370143265048
2024-05-23,6168.6372791726735,4622.912449807504,7602.6180394295325
2024-05-24,5719.889596794445,4278.05460057876,7179.539944772761
2024-05-25,4297.16637597736,2884.4446194348307,5812.21072970646
2024-05-26,3491.111819669417,1930.5301380657636,4820.6474789897975
2024-05-27,5992.669593313552,4465.409843898671,7407.16558713223
2024-05-28,6116.894568988426,4702.68833160083,7527.376165756287
2024-05-29,5857.791781820334,4288.892042137767,7344.277768357474
2024-05-30,6156.14971189821,4701.945681436056,7632.142699008293
2024-05-31,5707.4015753689455,4142.531234082718,7193.3306255069065
2024-06-01,4284.6783545492235,2832.683781952492,5707.001504070587
2024-06-02,3478.6237982443085,2025.0977490148584,4960.87931344453
2024-06-03,5980.181571889411,4519.928427915986,7405.385673463806
2024-06-04,6104.406547564055,4688.073513770743,7588.753016680765
2024-06-05,5845.303760391579,4430.617328587442,7275.589836280891
2024-06-06,6143.6616904731445,4613.55435058286,7629.48990307745
2024-06-07,5694.913553946948,4305.516251440624,7202.226785641673
2024-06-08,4272.190333121086,2839.6479879500034,5680.9353465999175
2024-06-09,3466.1357768194657,2026.2463981074875,4866.837401778729
2024-06-10,5967.693548999266,4531.251424838346,7405.7447759912475
2024-06-11,6091.91852320597,4717.025525005583,7554.389927743574
2024-06-12,5832.815734569975,4442.414673175352,7365.404793314394
2024-06-13,6131.17366318698,4627.437976164689,7597.824147737729
2024-06-14,5682.4255251950735,4207.815817925131,7152.408296107541
2024-06-15,4259.702302903723,2922.6812417263714,5652.107531545914
2024-06-16,3453.6477451371684,1951.8754324977972,4962.994763809558
2024-06-17,5955.205517317473,4422.413614051719,7422.269616114857
2024-06-18,6079.4304915248385,4558.456386641719,7643.661028156743
2024-06-19,5820.327702886418,4404.5645299619655,7216.067491942462
2024-06-20,6118.6856315027535,4539.321276838182,7627.012298378345
2024-06-21,5669.937493510734,4150.421632014405,7087.282105307006
2024-06-22,4247.214271218663,2822.5067657171653,5702.549765218757
2024-06-23,3441.1597134501817,1902.0571734079988,4933.095352596821
2024-06-24,5942.717485635681,4484.631804569363,7337.135876127114
2024-06-25,6066.942459840382,4558.982171332471,7537.597665403498
2024-06-26,5807.839671797253,4361.423130341616,7321.869322032473
2024-06-27,6106.197601007543,4614.5005369722385,7665.308089296484
2024-06-28,5657.449463603204,4283.078493032573,7063.670470222081
2024-06-29,4234.726241911741,2732.330987307211,5646.367565106385
2024-06-30,3428.671684729497,1996.1797820140584,4967.441489300136
2024-07-01,5930.229457508232,4463.644012152333,7353.180557611629
2024-07-02,6054.45443230339,4575.1042958091175,7491.408884184387
2024-07-03,5795.351644261699,4351.727989564007,7226.612972567706
2024-07-04,6093.70957346688,4687.490775446757,7556.3866643763395
2024-07-05,5644.961436064748,4205.718852127465,7123.010168339367
2024-07-06,4222.238214372566,2738.9272363126342,5637.507387322279
2024-07-07,3416.1836571936155,1895.1841861437613,4864.116491755028
2024-07-08,5917.741429971594,4445.156131417463,7387.676514146333
2024-07-09,6041.966404769724,4690.647959961061,7467.987626896228
2024-07-10,5782.863616721906,4339.341032647811,7270.715416327114
2024-07-11,6081.221545930775,4687.092807923056,7621.581204202765
2024-07-12,5632.4734081256765,4202.379560478538,7097.42003479262
2024-07-13,4209.750186029538,2772.881053786953,5604.951832559297
2024-07-14,3403.6956284501425,1979.7454449890313,4846.586476780149
2024-07-15,5905.253400819174,4434.047424811597,7468.412115153175
2024-07-16,6029.478375220077,4463.421586406273,7460.016252831726
2024-07-17,5770.375586771168,4314.195103241232,7178.546501264543
2024-07-18,6068.733515574716,4604.426735681816,7483.038137643712
2024-07-19,5619.985377767591,4253.906560440559,7145.360410195109
2024-07-20,4197.262155680496,2740.791353458412,5663.064480334026
2024-07-21,3391.20759809601,1965.0955785087533,4918.253476284132
2024-07-22,5892.7653704655495,4441.66434305963,7337.9221199824415
2024-07-23,6016.990344863788,4554.143053983651,7481.9201351183265
2024-07-24,5757.887556415778,4308.7383333179,7298.015378793052
2024-07-25,6056.245485218655,4641.693588293076,7506.580783190614
2024-07-26,5607.497347418754,4204.138567730504,7149.142964254004
2024-07-27,4184.774125324815,2743.025007414171,5733.730933275064
2024-07-28,3378.719567742414,1914.8240113020454,4822.566242161439
2024-07-29,5880.277834291597,4314.747446685789,7418.868740612408
2024-07-30,6004.503302866969,4592.628946596326,7408.134309051027
2024-07-31,5745.401008598076,4278.321317390597,7148.488732932231
2024-08-01,6043.759431582851,4529.884984309224,7391.8808296597035
2024-08-02,5595.011787955388,4109.492006572749,7085.566207189138
2024-08-03,4172.2890600415885,2723.2450750737253,5633.250969456506
2024-08-04,3366.2349966411593,1889.505535784232,4852.514747272649
2024-08-05,5867.793263191311,4547.73962227726,7307.00116106485
2024-08-06,5992.018731763289,4506.6466195367675,7408.541901292107
2024-08-07,5732.916437495297,4259.964952887129,7163.880778332611
2024-08-08,6031.274860479401,4612.271284373384,7436.691067328014
2024-08-09,5582.527216853742,4035.146162554191,7044.040769757688
2024-08-10,4159.804488938516,2623.3460640868257,5537.922801857562
2024-08-11,3353.7504255346835,1951.4067537616306,4825.130047857613
2024-08-12,5855.30869208172,4291.250718512528,7293.663020179933
2024-08-13,5979.534160662771,4510.405563765743,7441.658241759099
2024-08-14,5720.452890723123,4246.657737213188,7201.924556985176
2024-08-15,6018.832338035162,4561.299734038517,7571.999254159715
2024-08-16,5570.105718741058,4147.315961361376,7029.081609186931
2024-08-17,4147.404015148178,2763.0161989239564,5584.492279776345
2024-08-18,3341.3709760758575,1892.3938826756603,4822.85676984027
2024-08-19,5842.9502669516205,4348.410109584078,7337.655322637715
2024-08-20,5967.196759858492,4608.182791455132,7483.045160155824
2024-08-21,5708.115489919746,4183.982051271711,7191.561302849442
2024-08-22,6006.494937231033,4671.7032840119355,7539.964628595921
2024-08-23,5557.768317936898,3951.403148893761,6900.0693984834115
2024-08-24,4135.066614345718,2664.6040779246673,5517.855211357871
2024-08-25,3329.0335752742735,1861.1731987037679,4732.909201947292
2024-08-26,5830.6128661507355,4415.844510432816,7355.810464058765
2024-08-27,5954.859359057541,4453.846703434638,7412.305958621862
2024-08-28,5695.778089118488,4239.529764753853,7154.9079719651445
2024-08-29,5994.157536429226,4536.768268934527,7431.421502347412
2024-08-30,5545.431072778606,4118.657088423415,7023.525081060303
2024-08-31,4122.729524832574,2757.495848687354,5514.702216441772
2024-09-01,3316.6966414100225,1963.294978355488,4851.146036057486
2024-09-02,5818.276087933321,4418.604688012699,7276.952561650208
2024-09-03,5942.522736484181,4596.023578460135,7558.609426793134
2024-09-04,5683.441622188195,4106.6874721918075,7053.663912563844
2024-09-05,5981.821225148487,4599.180802478284,7439.616244509413
2024-09-06,5533.094761497432,3946.1243023557004,7007.740121442641
2024-09-07,4110.393213556615,2581.962131837423,5523.244056023286
2024-09-08,3304.36033012402,1832.6785330172083,4752.019700530618
2024-09-09,5805.939776652779,4489.819465068081,7211.916374654342
2024-09-10,5930.186425202557,4423.425508266051,7279.405238024303
2024-09-11,5671.10531090801,4288.676037577337,7099.879391157891
2024-09-12,5969.484913865432,4419.410001030837,7412.199303460861
2024-09-13,5520.758450216258,4010.9963864602155,6985.231685415701
2024-09-14,4098.0569022740165,2567.1236923982588,5546.460895545412
2024-09-15,3292.0243762331047,1911.0840988716454,4764.630674161872
2024-09-16,5793.6041801525,4296.273155580954,7238.113606693471
2024-09-17,5917.851186089744,4508.402039179792,7291.36135994135
2024-09-18,5658.770429187083,4295.61218212372,7054.5681659453585
2024-09-19,5957.1503895331125,4447.776696434678,7438.4197247784905
2024-09-20,5508.42428327396,4014.9645200347572,6945.44340050525
2024-09-21,4085.7230927223395,2499.23218014458,5478.068247658769
2024-09-22,3279.69056668351,1792.0803689443408,4755.82525470573
2024-09-23,5781.270370595763,4226.45806086542,7247.167608635594
2024-09-24,5905.517376537458,4437.167002235144,7381.396211598198
2024-09-25,5646.436619635699,4201.51669077223,7119.750762006775
2024-09-26,5944.816579985535,4441.681025513987,7330.313282914433
2024-09-27,5496.0904737217925,4050.861520546392,6838.59004957091
2024-09-28,4073.38928316945,2614.119015482748,5525.343387933369
2024-09-29,3267.35675713365,1814.7831589908326,4651.126776598197
2024-09-30,5768.93656104687,4285.843605734479,7130.632352151167
2024-10-01,5893.183566940494,4440.4205789029365,7278.462377188999
2024-10-02,5634.102809991791,4072.4813499850134,7104.680898765787
2024-10-03,5932.482770294696,4496.996133748171,7371.543752929041
2024-10-04,5483.756663990001,4045.1281042473197,6964.709177027133
2024-10-05,4061.0554733852573,2656.64960145528,5639.8686679863495
2024-10-06,3255.0229473064896,1800.826984640438,4756.974090977115
2024-10-07,5756.602751172691,4242.376347193177,7272.033783638281
2024-10-08,5880.84975706596,4341.564577223219,7477.929241641635
2024-10-09,5621.769000117431,4221.600335801432,7093.86373454667
2024-10-10,5920.14896042105,4523.981491907727,7432.084607280527
2024-10-11,5471.422854115919,4033.1128908862015,6988.963775402948
2024-10-12,4048.721663517601,2528.33836623027,5531.404389117529
2024-10-13,3242.6891374328006,1894.7001223474629,4628.3575132146325
2024-10-14,5744.26894129997,4266.88782596391,7202.939163978579
2024-10-15,5868.515947193172,4466.219834675847,7336.101281400443
2024-10-16,5609.435190242216,4178.484679479898,7067.760291774333
2024-10-17,5907.815150565167,4420.208676943003,7359.833385306438
2024-10-18,5459.089044278009,4075.6296072208224,7011.378673993506
2024-10-19,4036.3878537033097,2655.101029709428,5467.740520954871
2024-10-20,3230.355327633896,1837.7761278335881,4710.0592782914255
2024-10-21,5731.935131526526,4240.645150414248,7235.936190764236
2024-10-22,5856.182137438647,4449.708504321905,7276.32489486635
2024-10-23,5597.101380509134,4153.062712689515,6965.359448896379
2024-10-24,5895.48134083153,4494.044616201696,7323.173187987574
2024-10-25,5446.755234543939,3903.531148908868,6876.854183281957
2024-10-26,4024.054043966603,2550.224378934977,5513.550465142388
2024-10-27,3218.0215179002166,1839.2180138832525,4711.589223334519
2024-10-28,5719.601321793816,4355.045490327972,7246.541108240648
2024-10-29,5843.848327704125,4286.887599145252,7372.726729266765
2024-10-30,5584.767570771809,4245.9768528604245,7021.613480262199
2024-10-31,5883.1475310955775,4401.735879682104,7377.63047009109
2024-11-01,5434.421424807953,3992.372800918303,6889.881727163974
2024-11-02,4011.720234300161,2632.0231124398692,5532.9102371846075
2024-11-03,3205.687708307334,1649.1753909272404,4614.0104429251105
2024-11-04,5707.267512271169,4190.575552475984,7125.872361835701
2024-11-05,5831.514518250822,4407.182655609276,7367.654229868669
2024-11-06,5572.433761390047,4064.5436538523,6922.138006280251
2024-11-07,5870.813721783527,4398.986852376746,7263.523397462749
2024-11-08,5422.087615569237,3929.653586624747,6814.7297894996955
2024-11-09,3999.3864250565143,2558.024541833163,5412.782463691344
2024-11-10,3193.3538990652387,1818.8091044278606,4676.250186877158
2024-11-11,5694.933703022463,4288.992951669033,7175.318841306888
2024-11-12,5819.180709009731,4420.076358035226,7386.075854764103
2024-11-13,5560.099952148815,4137.82270500053,7057.032216854949
2024-11-14,5858.479912539502,4401.42645546673,7282.174035956388
2024-11-15,5409.7538063251,3955.3774681660243,6861.350813698933
2024-11-16,3987.0526158182975,2531.297051969057,5422.043704559959
2024-11-17,3181.0200898236776,1735.8208497387106,4549.227015134087
2024-11-18,5682.599893782976,4191.87899839513,7084.483859224214
2024-11-19,5806.846899769682,4310.052989340503,7267.009043917303
