ds,yhat,yhat_lower,yhat_upper
2024-01-01,47153.28365812421,35850.72593468247,58652.349133665986
2024-01-02,50273.096613228285,38807.72467306111,61951.6041836241
2024-01-03,51511.43979672251,41218.25310341691,62592.617007273264
2024-01-04,51928.29294975749,40579.86479361751,63286.12216559302
2024-01-05,53707.65515832855,42208.24025026998,64693.48647198205
2024-01-06,47137.056649928134,36253.011288493195,57687.11034595732
2024-01-07,29273.00682129468,17965.518506666995,40366.2991206057
2024-01-08,47569.228672524936,36297.408797724245,58910.48739547225
2024-01-09,50689.041627688224,40170.11783592856,61474.95898764414
2024-01-10,51927.3848111401,40208.46764340482,62960.94662125848
2024-01-11,52344.23796419371,41433.58851056257,63218.375160858
2024-01-12,54123.600172800405,42097.6123144073,65519.38826686542
2024-01-13,47553.00166444254,36894.18426420633,58837.04863169427
2024-01-14,29688.951835752785,18329.15258744691,39819.6739074117
2024-01-15,47985.17368698866,36506.45922421416,59278.930914031655
2024-01-16,51104.98664214816,39445.155541908716,61790.16988814675
2024-01-17,52343.32982561257,40986.35843209163,64031.25023270649
2024-01-18,52760.18297872211,41232.300450885676,63754.55871260008
2024-01-19,54539.54518739744,43593.55702163114,65594.06843906171
2024-01-20,47968.94667907588,37332.45379289775,59742.636644028295
2024-01-21,30104.896850451543,19311.811774205078,41478.45154467177
2024-01-22,48401.11870176535,37448.48288258791,60323.75382580715
2024-01-23,51520.93165696379,40483.05452983873,62884.276355968206
2024-01-24,52759.27484051174,41444.16515182712,63312.871689352745
2024-01-25,53176.12799359645,42944.920019468074,64718.86983585417
2024-01-26,54955.49020228152,44506.680971599584,66064.74528533225
2024-01-27,48384.89169395959,36909.91610408772,60341.74340109127
2024-01-28,30520.841865347786,19608.3619565304,40863.15116076742
2024-01-29,48817.06371660421,37524.39716112417,60768.02432505656
2024-01-30,51936.87667184201,41404.92726614198,63222.82018873655
2024-01-31,53175.219855394906,41293.9908080478,63774.137440560626
2024-02-01,53592.07300853268,42402.72998867257,64468.867066059225
2024-02-02,55371.43521716562,44853.01968616051,67253.13648268797
2024-02-03,48800.83669277781,37305.84698949878,59840.54277023997
2024-02-04,30936.7868481414,20689.31277862093,41573.10469171926
2024-02-05,49233.00868336915,38786.206753541315,60343.00210089475
2024-02-06,52352.82162254642,40697.2578383676,63222.06408497765
2024-02-07,53591.16479003601,42381.31648327395,64935.77447464763
2024-02-08,54008.01792711653,43871.76177058124,65606.57978993178
2024-02-09,55787.38011972366,44974.62446093308,67310.9162644016
2024-02-10,49216.78159530555,38606.54465546601,60670.4211287239
2024-02-11,31352.73175069389,20147.3512822147,42326.54732213254
2024-02-12,49648.953585923795,38053.12683130918,60576.7356119793
2024-02-13,52768.766525105595,42028.87881574628,63232.905634098024
2024-02-14,54007.10969260772,43879.30208031737,64420.35851251627
2024-02-15,54423.96282968159,42921.03996753464,65304.860950373986
2024-02-16,56203.32502229475,46238.39475274665,68021.62882142176
2024-02-17,49632.726497850366,38498.80330142193,60997.14230552603
2024-02-18,31768.676653246384,20229.050461585193,42717.877692094014
2024-02-19,50064.89838401009,40141.41548685931,60599.78566340609
2024-02-20,53184.711218688,41861.516271643464,64614.91071963919
2024-02-21,54423.05428172446,43074.063916389474,65567.05163760009
2024-02-22,54839.907314277065,44382.01818455496,65950.64745600347
2024-02-23,56619.26940238907,44706.02548242213,67432.65643844967
2024-02-24,50048.67077348521,39352.595931267664,61924.5244843928
2024-02-25,32184.62082440297,21828.556223433414,43267.33130875742
2024-02-26,50480.842555178104,39619.269796755696,61177.655136845686
2024-02-27,53600.65538983236,42444.721817538404,64331.40364401237
2024-02-28,54838.9984528623,43736.41204533236,65541.92356971119
2024-02-29,55255.85148544716,43928.93840416675,66421.90724713597
2024-03-01,57035.21357356521,46054.12701596632,67919.23100842988
2024-03-02,50464.61494470389,38852.6956937614,62100.844502189604
2024-03-03,32600.56499556049,21353.70583770483,43877.34964313007
2024-03-04,50896.78672635443,40209.030775777515,62022.64024580218
2024-03-05,54016.59956101642,42862.04417997811,65827.39632440754
2024-03-06,55252.33466589413,45091.42103160603,66775.44609512965
2024-03-07,55666.57974041023,44309.23142720495,67372.21772595169
2024-03-08,57443.33387044533,46173.10611269065,68148.50626287656
2024-03-09,50870.12728347651,39575.148517538866,61649.77215765042
2024-03-10,33003.46937627267,21615.192436883008,43625.49608458977
2024-03-11,51297.083148982194,40495.984805945285,62419.26494081534
2024-03-12,54414.2880255305,43215.288972840026,65344.565991842646
2024-03-13,55650.02313044061,44916.55158323168,67036.29582862757
2024-03-14,56064.26820495004,44026.49015128187,66528.35771254556
2024-03-15,57841.02233499118,46973.35438785851,69091.74927118186
2024-03-16,51267.81574801314,40555.6291620146,62085.525257379275
2024-03-17,33401.15784079507,21427.331596402102,44676.276067238054
2024-03-18,51694.77161345693,40955.84568664491,62207.12401803775
2024-03-19,54811.976490064444,44472.58544883899,66211.33431727988
2024-03-20,56047.71159498708,44977.33413498046,67429.84390743446
2024-03-21,56461.95666946023,46976.428687088635,67240.88942704996
2024-03-22,58225.39026724179,47323.83392767112,69143.46204025275
2024-03-23,51638.86314804584,40834.44482799167,62727.01739179825
2024-03-24,33758.884708519196,22265.239710029487,45357.66482750924
2024-03-25,52039.17794891734,40297.7716808916,63511.852113049405
2024-03-26,55143.062293231895,45095.1041779373,66208.84246075762
2024-03-27,56365.47686589018,45213.951032164114,67606.97870509981
2024-03-28,56766.40140814439,44923.9832761511,67003.67868550464
2024-03-29,58529.83500588934,47730.02705485383,70080.78861763519
2024-03-30,51943.30788669721,40519.06905375638,62643.30832610785
2024-03-31,34063.32944716604,23172.149704503856,45949.45712025817
2024-04-01,52343.622687578136,41916.582193418384,63501.34856889667
2024-04-02,55447.50703189363,44735.777443860796,66199.28586902883
2024-04-03,56669.921604567375,45608.660819239805,67305.80678346736
2024-04-04,57070.846146769334,45742.3003887421,68443.02978631358
2024-04-05,58834.27974452403,48177.347947197595,70240.61387826911
2024-04-06,52247.752625314446,41066.56242521145,63599.77549585237
2024-04-07,34350.632231375756,23240.515985028975,45472.848253945296
2024-04-08,52613.78351735775,42118.67342614122,63415.08148232716
2024-04-09,55700.525907245494,43831.72085136688,66082.63998739871
2024-04-10,56905.79852544462,46133.066802458525,67394.40163069539
2024-04-11,57289.58111323295,46624.16906447773,68586.05089397539
2024-04-12,59035.872756565106,47556.93979728202,70610.31708268066
2024-04-13,52432.20368292286,41570.77553872348,63210.019116731455
2024-04-14,34535.08328899575,22824.9753765955,45504.94966124621
2024-04-15,52798.23457499264,41516.85383267333,63207.370383808666
2024-04-16,55884.97696486827,44068.835115156304,66633.0880896994
2024-04-17,57090.249583079945,45931.95014723147,68473.80431690934
2024-04-18,57474.03217086159,47216.22992999183,69044.22366576578
2024-04-19,59220.323814186755,47625.28235298957,69813.52693855824
2024-04-20,52616.654740531274,41698.662389211764,63944.910720037675
2024-04-21,34719.53434660699,24404.497997959646,46362.65702742162
2024-04-22,52982.68563262753,41571.96497973306,63291.182542272814
2024-04-23,56056.35709705168,45169.87604967839,66238.5659244133
2024-04-24,57248.55878984877,46318.333972653505,68037.49279451963
2024-04-25,57619.27045217516,46531.98562578413,68846.38705028468
2024-04-26,59352.491170143374,47594.539394709245,70397.38987720555
2024-04-27,52735.75117104208,42502.69919418383,64420.54077953124
2024-04-28,34825.559851710816,24010.155868616825,45855.03123841866
2024-04-29,53075.64021224614,41485.8806225753,63279.94581744166
2024-04-30,56149.31167673102,45010.36979456077,67094.41383348269
2024-05-01,57341.513369520006,46690.68806318947,68923.78300264449
2024-05-02,57712.225031896756,46428.979801285255,67991.8990818865
2024-05-03,59445.44574978961,48736.396286337214,70523.18022085444
2024-05-04,52828.705750696776,42485.98836472728,63074.47973825708
2024-05-05,34918.51443139026,23321.765748452366,45824.992389874424
2024-05-06,53168.594791944364,41458.731810798556,63579.968672775765
2024-05-07,56242.266256397284,44789.25496999971,67010.88128207553
2024-05-08,57434.46794919122,46716.21433339118,69075.54718095352
2024-05-09,57799.567301598596,46394.74759179899,68871.58525035143
2024-05-10,59527.17570956653,48270.32777029156,70438.82632445348
2024-05-11,52904.82340055568,41864.17583015636,64045.51627263713
2024-05-12,34989.01977122745,23789.830338468317,45361.56155931025
2024-05-13,53233.48782182316,42634.37632152951,64350.63732403065
2024-05-14,56301.54697633991,45923.42448548092,68036.89001763423
2024-05-15,57488.136359165976,46400.003913399945,69387.84505294723
2024-05-16,57853.23571156935,46390.97859504113,68273.68716958506
2024-05-17,59580.84411954066,48627.38114050042,71009.59005243762
2024-05-18,52958.49181048648,42838.19532651379,63207.674573643795
2024-05-19,35042.688181182995,23848.764197968005,46635.679040996205
2024-05-20,53287.1562317975,41366.18736129101,63259.22677554482
2024-05-21,56355.215386282274,45371.61210217294,67801.79574991927
2024-05-22,57541.80476912928,46110.506101305305,68897.32108509977
2024-05-23,57906.90412150785,47699.21499287852,69518.93675119116
2024-05-24,59634.51252946301,48839.0483280506,70540.59309935765
2024-05-25,53012.16022082597,41965.0580664896,64581.68317033947
2024-05-26,35096.35659188674,25021.4080940521,46663.175325795295
2024-05-27,53340.82464282424,41986.63258301713,63956.30559783487
2024-05-28,56408.883797722956,45696.97068506616,68486.30215075414
2024-05-29,57595.47318097692,46980.37520743202,68746.03071692538
2024-05-30,57960.5725337234,46914.55053685175,69307.40310739761
2024-05-31,59688.18094205917,48422.92798514706,71134.3692630248
2024-06-01,53065.828633378784,41653.49605824536,65023.34105039111
2024-06-02,35150.0250044643,24962.287300457014,45543.25698834475
2024-06-03,53394.49305542061,42661.56277998736,64659.18179286182
2024-06-04,56462.552210327056,45841.10012421769,67747.30071226858
2024-06-05,57649.14159351883,46880.55682228751,69063.1379905428
2024-06-06,58014.24094631353,47301.96051479657,69386.12339714801
2024-06-07,59741.84935464229,48094.92028840413,71162.42819240992
2024-06-08,53119.4970459316,41615.63661330577,63855.76400891442
2024-06-09,35203.693417046714,24501.25153129669,46458.608888103474
2024-06-10,53448.16145614335,42007.098376222835,64391.73936014794
2024-06-11,56516.220599160864,45118.60123869981,67674.20101387754
2024-06-12,57702.80997050827,45900.012840838026,69556.57651679931
2024-06-13,58067.909311442476,47432.994063651786,69014.00195504128
2024-06-14,59795.517707912,49021.86990619311,71719.96695510391
2024-06-15,53173.16538732678,42028.64732174638,63847.20709318658
2024-06-16,35257.36174656237,23708.483601940592,46179.471802218846
2024-06-17,53501.82978567434,41887.797829224386,64189.51458926253
2024-06-18,56569.888928681255,45549.59536551054,67041.34783763286
2024-06-19,57756.47830002056,46965.53898050885,68931.59858127516
2024-06-20,58121.57764094593,47401.23938311364,69015.65981464402
2024-06-21,59849.18603742519,48620.50701614252,70998.69046709147
2024-06-22,53226.83371682254,42249.305754782574,64600.02204684128
2024-06-23,35311.03007608676,24849.44039333072,46689.32211599735
2024-06-24,53555.49811520531,42511.96814645961,64668.37313107838
2024-06-25,56623.557258188586,46299.1119133327,67502.84739640438
2024-06-26,57810.1466322294,46560.656561014635,69423.3512420952
2024-06-27,58175.24597584683,48313.57524222186,69532.74239052198
2024-06-28,59902.85437494575,48821.403464141185,70637.37846364052
2024-06-29,53280.50205709773,43485.62265978814,64631.29427618159
2024-06-30,35364.69841895286,24431.19756898214,46152.50743636229
2024-07-01,53609.16646075931,42354.81671768101,64067.137242220815
2024-07-02,56677.2256063996,45941.32191801588,68481.49826205685
2024-07-03,57863.81498045295,46459.86564412141,68731.49852460861
2024-07-04,58228.91432400719,47208.45228107683,69838.95438604748
2024-07-05,59956.522723142785,48201.73126327524,70832.67948461235
2024-07-06,53334.17040527733,42164.11965546732,64757.76442319537
2024-07-07,35418.36676716205,25070.25955665979,46960.804522704355
2024-07-08,53662.8348089658,42242.995509179615,64465.860620301435
2024-07-09,56730.89395462367,45277.20028409114,67082.98322802118
2024-07-10,57917.48332862163,46966.66666784133,68651.77480784626
2024-07-11,58282.582672224096,46810.275539518625,68629.6085654904
