ds,yhat,yhat_lower,yhat_upper
2024-01-01,23043.484487374157,20559.56883318898,25537.87442833031
2024-01-02,22857.740227644757,20231.178720566008,25268.68304909281
2024-01-03,22683.78826291554,20181.756051038687,25143.118202542653
2024-01-04,22619.51858729243,20247.215795606444,25170.668858285848
2024-01-05,24183.244694501587,21631.20334547024,26615.46059655049
2024-01-06,22331.717207781254,20027.054458421575,24754.72606432989
2024-01-07,21714.669297946984,19291.78110455367,24336.443212763494
2024-01-08,23142.316755856475,20409.765550092627,25360.60041208348
2024-01-09,22956.572496129804,20583.203327051495,25560.592955933436
2024-01-10,22782.620531402234,20131.357104224466,25109.15116373173
2024-01-11,22718.350855779077,20325.81471508206,25100.233779360227
2024-01-12,24282.0769629888,21856.697810197187,26776.99206556103
2024-01-13,22430.549476273845,19976.80869936752,24982.06098124544
2024-01-14,21813.501566435676,19303.31047747392,24124.345467034378
2024-01-15,23241.149024344108,20770.884491061282,25600.312567409
2024-01-16,23055.404764614854,20529.9533449018,25374.36991588505
2024-01-17,22881.452799887484,20234.615146606404,25265.721674604916
2024-01-18,22817.183123423758,20270.925494657804,25417.349287973266
2024-01-19,24380.909229790897,21655.924760322676,26802.499090467245
2024-01-20,22529.38174223152,20151.068732880653,24928.944984868238
2024-01-21,21912.33383154825,19361.78107359652,24301.75467369965
2024-01-22,23339.98128861897,20989.380189232837,25955.721918857736
2024-01-23,23154.23702804646,20674.051220145444,25538.31267742531
2024-01-24,22980.28506247695,20401.957530217947,25543.573895179492
2024-01-25,22916.015386012525,20419.686837281944,25160.226328287194
2024-01-26,24479.741492378438,22021.772393421423,27038.94963094864
2024-01-27,22628.214004818972,20142.236624361245,25093.430386344615
2024-01-28,22011.166094139066,19361.86307167119,24472.976149397025
2024-01-29,23438.813551203406,21300.332045132156,25958.002601587945
2024-01-30,23253.069290635518,20685.199849032524,25785.107874972906
2024-01-31,23079.117325065035,20528.397434837603,25736.26058078426
2024-02-01,23014.84764859729,20463.521991664307,25430.790914082263
2024-02-02,24578.573754965983,22129.38300560793,27080.062494817852
2024-02-03,22727.046268232127,20257.211644885007,25249.815062836522
2024-02-04,22109.9983583816,19710.06996974138,24738.15299122338
2024-02-05,23537.645816275453,20883.317681931265,25936.035265823288
2024-02-06,23351.901556535988,20834.304819599245,25907.2123239878
2024-02-07,23177.949591794753,20799.650007593882,25694.000068493504
2024-02-08,23113.679916156023,20458.613935487927,25546.82104207649
2024-02-09,24677.406023353058,22214.421908263354,27216.231319745828
2024-02-10,22825.878536615237,20285.737145462735,25185.37920347224
2024-02-11,22208.830626767747,19863.42373670485,24438.544152766248
2024-02-12,23636.478084666174,21235.394354288303,26066.858939891747
2024-02-13,23450.73382492144,20958.823649177746,25955.314166854518
2024-02-14,23276.78186018041,20786.982909709222,25714.653746871
2024-02-15,23212.512184543662,20848.69198914361,25732.133383030974
2024-02-16,24776.238291740672,22335.105798052216,27174.882487506424
2024-02-17,22924.71080500098,20291.412369000816,25424.881783495784
2024-02-18,22307.662895153902,19832.982271758006,24662.43901055532
2024-02-19,23735.310349124717,21440.005359760664,26201.173101948127
2024-02-20,23549.566085456467,20995.693362927326,25936.028407175447
2024-02-21,23375.61411678564,20821.994008294303,25724.57004919185
2024-02-22,23311.34443722348,20831.359899399537,25718.25480310795
2024-02-23,24875.07054049067,22468.613544366057,27630.954937119684
2024-02-24,23023.543049825876,20744.828368606806,25563.525330866672
2024-02-25,22406.495136050402,19891.322711431894,24825.93681487377
2024-02-26,23834.142590025094,21465.527072379526,26331.471191693567
2024-02-27,23648.39832635615,21242.344735938233,26214.628289169523
2024-02-28,23474.446357686455,20860.957716238965,25802.752486251327
