ds,yhat,yhat_lower,yhat_upper
2024-01-01,44879.464822444264,35516.19573550795,54653.24914725906
2024-01-02,46451.00194543697,37690.55052832835,56368.88129912463
2024-01-03,46015.52817359873,37358.54715610928,55200.71172461754
2024-01-04,46990.27900838384,37312.368707902984,56359.97908616463
2024-01-05,47018.955620449546,38167.785294282134,56582.010332328726
2024-01-06,35164.52424496398,25993.08643499477,44611.47882964027
2024-01-07,25097.473334969054,15759.753150668193,34863.775587400094
2024-01-08,45188.01254112982,35326.68937833262,54787.696937756984
2024-01-09,46759.54966417491,37614.266925216914,56092.13404833151
2024-01-10,46324.075892312154,36573.08223478107,55717.82539122235
2024-01-11,47298.82672710906,38505.3267635709,56434.390640419006
2024-01-12,47327.50333919615,38157.3781636974,56387.21725197493
2024-01-13,35473.071963756374,25925.518933968557,45097.37321315286
2024-01-14,25406.021053717424,15636.574839047971,34567.73831464674
2024-01-15,45496.56025987784,36023.37206120779,56128.585108685125
2024-01-16,47068.09738291285,36741.05204035338,57250.16162647289
2024-01-17,46632.623611061004,36430.685399964445,56430.13347224328
2024-01-18,47607.374443497145,37933.64825050914,56598.89884181497
2024-01-19,47636.05105322614,37761.083406462945,56854.53457648549
2024-01-20,35781.6196754106,26763.021422949365,45285.08986853784
2024-01-21,25714.568763017032,16619.25145317989,34918.304118712585
2024-01-22,45805.10796683436,36421.19148265061,55599.192335106905
2024-01-23,47376.64508749025,38299.0621256717,56401.09383874542
2024-01-24,46941.1713132944,37078.23600451929,55868.00998961797
2024-01-25,47915.92214571425,38369.19521500953,57786.499278118965
2024-01-26,47944.59875544419,38742.770813080395,56670.413317762985
2024-01-27,36090.16737763162,27739.459653149417,44948.731999431126
2024-01-28,26023.116465257288,16635.88437606784,35467.84755018525
2024-01-29,46113.6556690118,36722.560230044466,54733.31073095371
2024-01-30,47685.192789709356,37980.38030193763,56811.833234716454
2024-01-31,47249.719015517425,38239.85240781893,55985.246985154474
2024-02-01,48224.46984797,38647.07841223232,57248.28561131887
2024-02-02,48253.146457662224,39158.8205102573,57608.92626527226
2024-02-03,36398.71508223274,27214.57294634909,46191.3090826184
2024-02-04,26331.664172252073,16433.79087209089,35993.20616877041
2024-02-05,46422.20337844068,36781.30384225755,55803.96577852078
2024-02-06,47993.74050152229,38711.1723767782,57624.28246872202
2024-02-07,47558.26672971935,37337.738563737425,56092.61488314055
2024-02-08,48533.01756456177,39524.70430989437,58226.68882728623
2024-02-09,48561.6941766851,39146.35433481223,57972.89344608146
2024-02-10,36707.26280120855,27821.642307830843,45797.157163685144
2024-02-11,26640.211891255007,17639.09690811797,36157.26404344459
2024-02-12,46730.7510974494,37600.08473316187,56225.16593807805
2024-02-13,48302.28822052258,39906.51476850398,57729.040647666494
2024-02-14,47866.81444873053,38464.48462727492,57099.70774293673
2024-02-15,48841.5652835705,39225.69016729205,58235.753167999086
2024-02-16,48870.241895694046,39225.135412513315,57380.33670787565
2024-02-17,37015.81052020002,27538.599648542342,46139.08127386791
2024-02-18,26948.75961025794,17254.7203498366,35921.09218301345
2024-02-19,47039.29881756247,36892.72953929105,55917.85037124607
2024-02-20,48610.83594173353,39383.54857782292,58323.466579963955
2024-02-21,48175.36217104491,39179.32192835939,57830.955900676796
2024-02-22,49150.1130069623,39502.78062400756,58604.76459874641
2024-02-23,49178.78962016741,38950.14814475837,58256.047839801664
2024-02-24,37324.35824579785,27851.527484911603,46676.243249732965
2024-02-25,27257.307336939048,17466.117176100735,36857.208526355054
2024-02-26,47347.84654428025,38120.45325718889,56383.546416242316
2024-02-27,48919.383668430506,39228.563380513704,58790.42162770535
2024-02-28,48483.909897738464,38472.65942280318,58055.940035581356
2024-02-29,49458.66073367845,40318.57744224886,58854.85269083947
2024-03-01,49487.33734688377,39182.10474178775,58473.815765496816
2024-03-02,37632.905972560024,28658.458682026652,47224.48062209653
2024-03-03,27565.855063649407,17827.969440900208,37598.714098564196
2024-03-04,47656.39427099968,38654.699744514415,57245.78221985101
2024-03-05,49227.93139514895,40229.8015339314,58679.39256722586
2024-03-06,48792.45757530723,39177.982565157814,57809.69034623378
2024-03-07,49767.20836214087,39937.3001788448,58298.064771833124
2024-03-08,49795.88492623638,41125.64917558334,59532.41972886602
2024-03-09,37941.453502785516,28550.645824468484,47175.14928285314
2024-03-10,27874.402544795375,18637.192784500898,37581.908013913824
2024-03-11,47964.941703030854,39293.82397396407,57254.19506982382
2024-03-12,49536.47877804488,39563.395992780774,59661.17841571606
2024-03-13,49101.004958224796,38985.98255081387,58602.63779039243
2024-03-14,50075.755745055976,40764.00217015318,58931.39111910758
2024-03-15,50104.43230915171,40551.070270465265,58807.73718852478
2024-03-16,38250.00088569903,28862.592739515178,48132.02071104551
2024-03-17,28182.949927696904,19038.70128255933,37114.637475782445
2024-03-18,48273.489085885136,39127.64305799392,57818.82424877114
2024-03-19,49845.02616095155,40631.28327055473,58857.24298951885
2024-03-20,49409.55234114237,40407.674915003845,58892.372185990724
2024-03-21,50384.30312794991,41089.2921051412,59609.27019581894
2024-03-22,50400.9711454143,40373.94387342106,59208.6490875422
2024-03-23,38534.531175379954,28711.689629040146,47742.22893989107
2024-03-24,28455.47167071718,18886.598542728785,38111.284426977545
2024-03-25,48534.0022822728,39360.68439965691,58358.239086731126
2024-03-26,50093.53081068612,40794.5512988946,59471.07554367355
2024-03-27,49646.0484442486,40115.093112730385,59641.21884088677
2024-03-28,50608.7906844603,40584.312077213,59677.13140775168
2024-03-29,50625.458701917676,41202.56222986893,59241.29860876482
2024-03-30,38759.01873186757,29176.571052871182,47417.43229688249
2024-03-31,28679.95922720839,18875.699745931037,37406.87345549499
2024-04-01,48758.48983876528,39451.41658499138,57925.16082874344
2024-04-02,50318.01836718618,40666.44094089382,59748.91420883637
2024-04-03,49870.53600075065,40763.613561198545,58650.273753850764
2024-04-04,50833.27824092834,41685.81434106321,60273.705109958195
2024-04-05,50849.94625838666,41569.26083082631,60354.93613536515
2024-04-06,38983.50628832386,29547.573242094983,48168.09870618472
2024-04-07,28887.188413735625,19681.243133743425,37849.49300290115
2024-04-08,48948.46065534213,39472.338451245494,58297.64814618418
2024-04-09,50490.73081379842,40596.99652036514,60689.68756753002
2024-04-10,50025.9900773822,41062.26629492598,59565.42597697419
2024-04-11,50971.4739476155,41661.41328892276,59999.76466228029
2024-04-12,50970.88359511858,42048.50746825088,60433.575240740516
2024-04-13,39087.18525510258,29588.289073460906,49625.33659321588
2024-04-14,28990.86738050434,19598.982212772895,38595.94806184837
2024-04-15,49052.13962214139,39526.7468652405,58482.22958423742
2024-04-16,50594.409780585964,40977.40242294313,59325.01796629247
2024-04-17,50129.66904418064,40823.06319729691,59769.55032167348
2024-04-18,51075.15291441149,41264.24885625998,60936.66218576239
2024-04-19,51074.562561928724,41570.78875854171,60245.885408186485
2024-04-20,39190.86422188131,29851.836529645974,49082.45609286478
2024-04-21,29094.546347286756,20063.140468328245,37997.9183475356
2024-04-22,49155.81858894065,40737.62544496195,59025.186186996856
2024-04-23,50681.95332493648,41625.588972185964,60042.63399660913
2024-04-24,50201.077166108786,40713.973965892685,60139.168664199744
2024-04-25,51130.42561388255,41817.267670268484,60272.73001452066
2024-04-26,51113.69983901975,41590.999027494116,60008.9210214679
2024-04-27,39213.86607652857,30174.233948692636,47967.389089494354
2024-04-28,29101.412779526967,20101.707071501307,38287.511685264995
2024-04-29,49146.54959869011,39769.38227560577,58215.54356142521
2024-04-30,50672.684334748505,41811.65021720992,60532.54083977749
2024-05-01,50191.80817590547,40589.27203754636,60337.07637750418
2024-05-02,51121.156623715644,41356.792120326725,60441.28977075594
2024-05-03,51104.430848790995,41513.00079899873,59708.39222359055
2024-05-04,39204.59708630756,30080.7762496466,49132.10007058186
2024-05-05,29092.14378933309,19482.92480061057,38436.72605992234
2024-05-06,49137.28060850531,40293.154384174144,58959.11258541829
2024-05-07,50663.415344541245,40839.33245306822,60806.17851682455
2024-05-08,50182.53918570213,40599.98981129805,60315.71706847478
2024-05-09,51102.832339170935,41295.367939959164,60173.4775096217
2024-05-10,51077.051269932206,41713.644892623655,60630.857081544455
2024-05-11,39168.162213159136,29763.943106991865,48786.31431660068
2024-05-12,29046.653621797388,19216.009316117328,38721.345521386145
2024-05-13,49082.73514663992,39428.57536043262,58708.10386711548
2024-05-14,50599.81458834271,40821.66824518338,59479.66992242181
2024-05-15,50109.88313516831,40986.69613732489,59509.788464677855
2024-05-16,51030.17628863096,41736.539282683196,60370.32438868185
2024-05-17,51004.39521939613,41844.53359323067,60394.03418524643
2024-05-18,39095.506162589925,30172.257262374053,48806.180272238475
2024-05-19,28973.997571255302,20188.011695720135,38243.0424801461
2024-05-20,49010.079096106914,39926.704966748366,58140.92561317055
2024-05-21,50527.15853778725,41019.89317497963,60205.20760377366
2024-05-22,50037.22708462715,40964.34704782942,59890.79068467915
2024-05-23,50957.520238073506,40542.682005782925,59926.12247017472
2024-05-24,50931.73916881917,42105.78455511694,60255.58472071135
2024-05-25,39022.767078245706,29999.153356593153,48275.57407886471
2024-05-26,28901.175453071282,19506.840527789485,37618.034006441805
2024-05-27,48937.17394409077,39583.147825218664,58504.829603647435
2024-05-28,50454.17035200642,41042.67375612371,59622.78543654755
2024-05-29,49964.155865061606,41270.48291250404,59099.2615669577
2024-05-30,50884.365984699165,41761.75981595767,59711.02043110269
2024-05-31,50858.5018816387,41167.827989754456,61012.428744120494
2024-06-01,38949.529791032095,30471.61488017798,48292.37335564732
2024-06-02,28827.938165884807,19814.78895585146,38645.336112690275
2024-06-03,48863.93665691336,39763.67821235764,59133.27614375371
2024-06-04,50380.93306482802,40794.628543655635,59473.78440296344
2024-06-05,49890.918577847966,40449.12541208728,59015.65427875271
2024-06-06,50811.12869751848,41415.798192588714,59887.14049972079
2024-06-07,50785.26459447217,41277.75474401147,59909.153302129605
2024-06-08,38876.29250381849,28991.156177083783,47637.36883681695
2024-06-09,28754.700878706117,17863.658223383543,37002.77868536752
2024-06-10,48790.69936910735,39980.622919474605,59261.35575027141
2024-06-11,50307.69577637424,41139.42538287747,59727.44676023036
2024-06-12,49817.68128878152,39980.05190069437,60158.035065127195
2024-06-13,50737.891407829935,41564.2070740533,60294.09791831902
2024-06-14,50712.02730415688,41009.47812309846,59999.00037969809
2024-06-15,38803.055212874424,29578.23815605321,48789.775808790306
2024-06-16,28681.463587123093,19083.472048075128,37805.06829771446
2024-06-17,48717.46207753955,39409.650063126894,57662.987825128934
2024-06-18,50234.458484804905,41428.4106426122,60108.41811283831
2024-06-19,49744.44399719683,41012.22919205481,59682.61564001761
2024-06-20,50664.65411623932,41503.29025226912,59890.43072233009
2024-06-21,50638.7900125672,41071.548188657645,59518.803478757996
2024-06-22,38729.81792127207,28763.099571929873,47688.99083083202
2024-06-23,28608.226295526394,18853.990790445092,38555.92111109194
2024-06-24,48644.22478597174,39814.27596244853,58366.34101475665
2024-06-25,50161.22119321628,40201.732748897106,59340.09028009863
2024-06-26,49671.206705479104,40468.51416175087,59557.61783255953
2024-06-27,50591.41682438956,41624.42544050566,60241.90880661963
2024-06-28,50565.55272052529,40871.610749718304,59975.11220384281
2024-06-29,38656.580629161304,29366.237409845267,47375.80394197955
2024-06-30,28534.989003197414,19085.527014147803,37879.690374642254
2024-07-01,48570.98749350108,38747.61386813289,58093.0069124166
2024-07-02,50087.98390058315,40674.86171276205,59488.59253053977
2024-07-03,49597.969412856866,39907.144592456134,59203.43697843003
2024-07-04,50518.17953171884,41672.042240416275,60333.75692562694
2024-07-05,50492.31542788037,40844.39755254216,59625.460845504305
2024-07-06,38583.3433365037,29351.04520244849,48004.36225451341
2024-07-07,28461.751710574714,18674.61933297597,37863.12020034118
2024-07-08,48497.750200876384,38601.348620841505,57653.08811362893
2024-07-09,50014.7466079693,40824.78188807728,59855.55343814548
2024-07-10,49524.732120199216,40331.89539786305,58969.191468865014
2024-07-11,50444.94223909414,40530.45345520498,59819.367326826476
2024-07-12,50419.0895011799,40352.16177257706,59933.99728810859
2024-07-13,38510.12877570978,29647.967540479713,47974.54780708761
2024-07-14,28388.548515724062,18772.441232477096,36597.83373726119
2024-07-15,48424.55837188857,38662.9461848792,57700.918452630234
2024-07-16,49941.566144956254,40805.727907669505,59832.97776479284
2024-07-17,49451.56302312109,40238.25755814237,58947.656838626484
2024-07-18,50371.7845079164,40379.41649954394,59918.175146708476
2024-07-19,50345.93176998266,40775.697875703714,60114.26436810781
2024-07-20,38436.97104459923,29208.063065567694,47895.65803581973
2024-07-21,28315.39078455391,18646.749069967922,37545.34119725536
2024-07-22,48351.40064073363,38999.37043816046,57714.26854070421
2024-07-23,49868.40841378051,40675.294648801915,59430.19085364474
2024-07-24,49378.405291949275,40247.06670383014,58727.08305987607
2024-07-25,50298.62677673866,40861.13605660621,59349.181583304606
2024-07-26,50272.77403886068,40825.183638369934,60412.337135511276
2024-07-27,38363.81331342542,28682.64425291538,47701.158619126036
2024-07-28,28242.233053399334,19580.335508368444,37840.32181138908
2024-07-29,48278.25080644399,39386.25493238753,57751.80154670868
2024-07-30,49795.26647634281,40416.90088783435,59137.830667540984
2024-07-31,49305.27125137881,39874.73274804507,58687.59841648518
2024-08-01,50225.50063305789,40497.19140723912,59465.06880344217
2024-08-02,50199.65579198173,40824.37444746802,59990.64155970179
2024-08-03,38290.70296341786,28968.38118161584,47359.6394668011
2024-08-04,28169.130600282577,18677.21028478114,37757.89508714536
2024-08-05,48205.148353336306,38732.23677587588,57598.176319334874
2024-08-06,49722.164023212674,40055.19154258959,59283.8135798074
2024-08-07,49232.16879825259,39364.717463696026,58128.9240488033
2024-08-08,50152.39817992576,40884.33662291952,59649.1893429541
2024-08-09,50126.55333887098,39899.95577073945,59486.81014755143
