ds,yhat,yhat_lower,yhat_upper
2024-01-01,37392.95221595588,30670.005983290182,44231.77707678686
2024-01-02,41867.059019907625,34928.86592405581,48847.29322584359
2024-01-03,40897.42979041764,33766.778023204075,47773.125120818455
2024-01-04,43151.84028201638,36386.00288984913,50046.61703262572
2024-01-05,48661.054357361594,42028.562984000346,55938.67212292369
2024-01-06,42313.10475902392,35404.818358994824,49291.033236492636
2024-01-07,23946.79918977544,17247.430549285953,30464.772994619343
2024-01-08,37382.00977805723,30417.39103002844,44048.82195541769
2024-01-09,41856.116582061724,34610.292153528535,48622.284653784
2024-01-10,40886.4873525398,33854.03805433662,48135.89907639627
2024-01-11,43140.897844156876,36335.6463886366,50289.209151301766
2024-01-12,48650.11191952526,41769.76933316153,56319.98510392923
2024-01-13,42302.162321235104,35370.841952035946,49003.753626467806
2024-01-14,23935.856751924606,17135.659630792816,30830.08117196535
2024-01-15,37371.067340215755,30013.102884158434,44258.647964912685
2024-01-16,41845.17414421582,34517.96939506229,48667.53624135193
2024-01-17,40875.54491470207,34502.69390488891,47677.95360786959
2024-01-18,43129.95540213992,36481.39169718836,49578.46529035872
2024-01-19,48639.16947333213,41430.08250227022,55768.65779418363
2024-01-20,42291.21987083914,35682.360101122955,49203.685758345404
2024-01-21,23924.914297356132,16899.235877121944,30649.27454710803
2024-01-22,37360.12488148228,30533.605038027195,44224.608780898765
2024-01-23,41834.231681284364,34902.79358374684,48962.78288467545
2024-01-24,40864.602447612146,33855.26933774703,47718.338104239854
2024-01-25,43119.012935031635,36597.89387791508,50371.89876123987
2024-01-26,48628.227006229296,41483.290557438835,55566.27398184808
2024-01-27,42280.27740372959,35616.19234851122,49435.35866825006
2024-01-28,23913.97183025652,16858.940374365608,30627.422275115
2024-01-29,37349.18241433485,30521.525575571715,43543.04762247177
2024-01-30,41823.289214174496,35404.0631893223,48197.12759928938
2024-01-31,40853.659980505574,33903.42449930604,47687.029894923915
2024-02-01,43108.07046794835,36641.85025525871,49975.918767482195
2024-02-02,48617.28453912646,41842.07553511044,55111.283644258314
2024-02-03,42269.33493404546,35272.73526427771,49461.39012171857
2024-02-04,23903.02935803975,17381.342973380826,30741.510436985543
2024-02-05,37338.239939561034,29716.62901160017,44058.04729073532
2024-02-06,41812.34673682535,34984.56999483926,48711.47923084018
2024-02-07,40842.71750058092,33805.39500248324,47399.83458239693
2024-02-08,43097.12798545835,36453.9612348772,50290.384855146236
2024-02-09,48606.342054077315,41604.12307575144,54672.04860400344
2024-02-10,42258.39244897963,35593.499539222365,49202.607393997874
2024-02-11,23892.086872992782,17286.474408687227,30835.618996039404
2024-02-12,37327.29745451816,30233.998488615816,44170.97838139842
2024-02-13,41801.404251785345,35044.16546346044,48497.8233948842
2024-02-14,40831.775015549094,33564.21683003287,47656.964936376266
2024-02-15,43086.1855004257,36242.03478711872,49938.75999398796
2024-02-16,48595.39956904687,41388.95239479332,55002.58437575396
2024-02-17,42247.449963924766,35278.79291377874,48710.23477715791
2024-02-18,23881.144387945824,17632.59619141753,30710.046792291716
2024-02-19,37316.35496544512,30698.7415178697,44018.249527977656
2024-02-20,41790.4617586512,34835.1161658933,48666.07656400034
2024-02-21,40820.832518383,33666.487304399525,47656.49586621823
2024-02-22,43075.242999193084,36263.99270499893,50265.5008293666
2024-02-23,48584.457063757254,41714.531582145086,55546.239633738805
2024-02-24,42236.50745460139,35689.95451975604,49092.88474951401
2024-02-25,23870.20187459771,16878.236277311575,31099.354697503153
2024-02-26,37305.41245209629,30661.331184082694,43963.72567879596
2024-02-27,41779.51924528276,35024.24287186276,48881.32577746559
