ds,yhat,yhat_lower,yhat_upper
2024-01-01,17107.266727358692,14620.244762868711,19592.19792533505
2024-01-02,17637.798042648996,15140.812215904556,20186.22194164588
2024-01-03,17532.58967501097,15016.831428690337,20174.007642171546
2024-01-04,18011.316345793843,15442.63110542985,20659.567650108424
2024-01-05,19311.933870691253,16741.128739515312,21876.40219545262
2024-01-06,15651.194498216511,13178.622084419218,18292.03300217999
2024-01-07,11644.943868046801,8961.56034433264,14265.729934494082
2024-01-08,17185.691795263603,14495.586743429762,19595.335269753068
2024-01-09,17716.22311056946,15305.547810315618,20276.84493581425
2024-01-10,17611.014742924584,15257.534975608893,20234.04177177887
2024-01-11,18089.741413711323,15434.051504444302,20570.88795285705
2024-01-12,19390.358938615307,16899.834541431443,21905.519099036414
2024-01-13,15729.619566156096,13053.482262379659,18267.42304950374
2024-01-14,11723.36893597035,9213.191800164212,14295.602952729787
2024-01-15,17264.116863187413,14620.37420667736,19950.48080471224
2024-01-16,17794.648178489922,15223.485729465168,20295.597397867336
2024-01-17,17689.439810848093,15070.859081975124,19968.27602683442
2024-01-18,18168.166482003995,15548.674795871902,20807.882146879045
2024-01-19,19468.784007277103,16919.357551324865,21904.575916278067
2024-01-20,15808.044635180224,13332.630050444126,18336.211637428958
2024-01-21,11801.794005363208,9323.894912155492,14283.601018070254
2024-01-22,17342.541932955577,14601.60139789369,19785.987458710275
2024-01-23,17873.073248621014,15055.262365149121,20326.988131408343
2024-01-24,17767.864881352227,15343.587780256312,20188.891028220256
2024-01-25,18246.59155250357,15949.020277078389,20959.777602838152
2024-01-26,19547.209077776814,16908.51857433321,22001.069955481515
2024-01-27,15886.46970567983,13215.920759187224,18444.962470278373
2024-01-28,11880.219075868854,9206.38401285732,14464.111131353886
2024-01-29,17420.967003442584,15039.997837831213,19725.989708758952
2024-01-30,17951.498319120976,15299.719421186264,20339.2497536702
2024-01-31,17846.28995185288,15320.624011590457,20208.128843618444
2024-02-01,18325.016623010848,15876.610806032959,20888.43164827703
2024-02-02,19625.634148276527,17179.5841334115,22126.770299836073
2024-02-03,15964.894776042263,13396.555780984132,18595.100542364795
2024-02-04,11958.644146102964,9370.194029815362,14566.102137255017
2024-02-05,17499.392073552543,14713.266889101891,19997.514214544328
2024-02-06,18029.923389095962,15527.758615576371,20458.269750552783
2024-02-07,17924.71502169407,15530.752166865108,20539.74313822804
2024-02-08,18403.441692719065,15959.769385625752,20898.061591653117
2024-02-09,19704.059217859794,17200.491164473344,22144.098489811066
2024-02-10,16043.319845613332,13645.456500160833,18503.078409834397
