ds,yhat,yhat_lower,yhat_upper
2024-01-01,32784.13692421856,27824.273220454943,37935.10216909286
2024-01-02,34024.982529859124,28540.46144025551,39421.82545074974
2024-01-03,33658.69241125934,28130.928655643864,38986.34853833669
2024-01-04,34462.3768683488,29167.322341687835,39444.139178408026
2024-01-05,36418.2628542454,31096.289543221992,41925.75513509719
2024-01-06,25522.83733442369,20109.40011572501,31451.45940815755
2024-01-07,18968.015488118384,13361.767747494174,24550.04267105684
2024-01-08,32840.56939433307,27171.666533359097,38420.86997852438
2024-01-09,34081.41500000948,28472.2621234663,39538.077178405394
2024-01-10,33715.12488140002,28283.910946651842,39362.001607157996
2024-01-11,34518.80933849532,28939.71944021647,39584.91820794082
2024-01-12,36474.69532440245,30629.89388784957,41599.153078077754
2024-01-13,25579.269804618983,20314.16511565925,31436.61615400023
2024-01-14,19024.447958280485,13438.591293247602,24607.779513956222
2024-01-15,32897.00186449365,27632.53585779517,38478.475746777694
2024-01-16,34137.847470159846,28519.52026462908,39923.838273275906
2024-01-17,33771.55735155635,28317.31273646741,39132.925610074686
2024-01-18,34575.24180821739,29135.180771182924,40746.11042870296
2024-01-19,36531.12779368712,30923.98259453076,41643.16258610724
2024-01-20,25635.70227345548,20347.955810101263,31012.69605804294
2024-01-21,19080.88042668016,13556.012181618697,24223.248109341068
2024-01-22,32953.43433247326,27505.428188627055,38368.17800004544
2024-01-23,34194.27993769069,28505.16149380476,39665.19791205758
2024-01-24,33827.98981865761,28486.510929978765,39230.92643312928
2024-01-25,34631.67427531056,28962.856445340734,40056.61790938733
2024-01-26,36587.56026077747,31129.12710286829,41843.20465221864
2024-01-27,25692.134740547204,19853.568421319087,30997.653122662265
2024-01-28,19137.312893788898,13759.381105090319,24620.687227669045
2024-01-29,33009.866799534415,27720.367662612018,38446.8592766033
2024-01-30,34250.71240478534,28818.54418793301,39702.562001142025
2024-01-31,33884.42228575276,28604.87682327979,39397.03921302292
2024-02-01,34688.10674241586,29255.607429426254,39924.20585630844
2024-02-02,36643.99272786782,31175.549241245557,41828.613048481
2024-02-03,25748.56720669858,20215.79807148657,31159.46284508039
2024-02-04,19193.74535901133,13936.401911587833,24789.565439192535
2024-02-05,33066.29926385392,27530.811926292943,38434.51062601769
2024-02-06,34307.14486817019,28670.03654906094,40124.19253809651
2024-02-07,33940.854748207705,28481.601019991023,39619.3537711519
