ds,yhat,yhat_lower,yhat_upper
2024-01-01,13578.681025605245,11435.908081348145,15677.217967341698
2024-01-02,13953.2008319363,11770.604994209227,16244.667054375115
2024-01-03,13866.319818141998,11620.400022386586,15881.375892367812
2024-01-04,14135.808590658145,11925.226454127507,16362.585526607392
2024-01-05,14650.682902613004,12597.550954969622,16939.169361364788
2024-01-06,12050.623877112377,9925.343150633613,14155.021998623717
2024-01-07,9577.440574145949,7457.55205848895,11675.790687737806
2024-01-08,13702.31526699662,11483.724093731556,15950.711619794452
2024-01-09,14076.835073338802,11925.37592612149,16229.611873889626
2024-01-10,13989.95405953959,11884.050870821524,16025.620625395339
2024-01-11,14259.442832058328,11981.323230470254,16347.303198151
2024-01-12,14774.317144017727,12751.77532487353,16782.064398323804
2024-01-13,12174.258118527598,10146.582707073734,14273.644545826714
2024-01-14,9701.074815550754,7671.174830589007,11766.367640013403
2024-01-15,13825.94950840146,11729.506877336204,15857.946399990424
2024-01-16,14200.469314741305,12043.024277147422,16310.397915431235
2024-01-17,14113.58830094429,12056.815163664784,16242.748893456299
2024-01-18,14383.077072774437,12056.019119204122,16425.369356640058
2024-01-19,14897.951384045418,12750.782334863845,16898.681777318456
2024-01-20,12297.892357862589,10085.547377470026,14625.713384807446
2024-01-21,9824.709054197507,7835.4623753364895,11922.213365339074
2024-01-22,13949.58374636372,11765.957382122086,16199.296168548915
2024-01-23,14324.103552010749,11953.787712495432,16461.114302848517
2024-01-24,14237.222537528223,12155.686529435277,16394.0038123039
2024-01-25,14506.711309355009,12248.950433912409,16624.712077107106
2024-01-26,15021.585620626081,12948.200110790629,17219.68860595307
2024-01-27,12421.52659444352,10196.476081449517,14472.799671144587
2024-01-28,9948.343290782706,7879.210759288633,12018.773089044946
2024-01-29,14073.217982935486,11839.222938328388,16109.93781137261
2024-01-30,14447.737788591683,12386.819051320244,16417.474483119535
2024-01-31,14360.85677410976,12245.10396458904,16718.72436225649
2024-02-01,14630.345545942175,12490.662921763713,16760.893894347875
2024-02-02,15145.219857206746,13097.478501071444,17208.534082589646
2024-02-03,12545.160832676425,10381.612824377378,14806.635786032386
2024-02-04,10071.977530672197,8099.350473640066,12253.342121535587
2024-02-05,14196.852224487355,12070.444037074996,16280.667766756671
2024-02-06,14571.372031796785,12487.282719389135,16711.70038254661
2024-02-07,14484.49101896906,12274.383379205683,16578.25705564379
2024-02-08,14753.97979245606,12637.361507518131,16920.49233631986
2024-02-09,15268.85410538236,13159.390115688064,17466.905294841643
2024-02-10,12668.795080842641,10563.640963190497,14846.885894979385
2024-02-11,10195.61177884426,7972.932059862269,12460.365100373223
2024-02-12,14320.486472661469,12058.172307530156,16407.45197374438
2024-02-13,14695.006279968542,12595.447414424842,16879.11926604092
2024-02-14,14608.125267143014,12317.13843458428,16754.884742094848
2024-02-15,14877.614040629942,12707.028673080846,17025.614414073636
2024-02-16,15392.488353556337,13215.58410947605,17359.852428653783
2024-02-17,12792.429329012435,10618.496773382534,14920.321223610668
2024-02-18,10319.246027016326,8094.439024650209,12422.643255802603
2024-02-19,14444.12071052643,12392.26606073893,16757.03647375769
2024-02-20,14818.640507523913,12954.107979437485,17046.03734220174
2024-02-21,14731.759484389628,12477.924575429692,16736.486629619005
2024-02-22,15001.248247562924,12805.91128963678,17073.06994536302
2024-02-23,15516.122550175845,13435.311782505345,17496.315950932454
2024-02-24,12916.063515327545,10825.65547438835,15023.54834937578
2024-02-25,10442.880203019784,8370.786554666138,12663.738871076155
2024-02-26,14567.75488653673,12417.800058443112,16791.39480931101
2024-02-27,14942.274683529915,12731.937355938611,17055.48877021859
2024-02-28,14855.393660395077,12586.247244644655,16902.706653341273
2024-02-29,15124.882423573006,13026.853657388996,17163.91029976821
2024-03-01,15639.75672618603,13434.545388260603,17677.91308190593
2024-03-02,13039.69769134823,10763.650272222676,15076.00379979812
2024-03-03,10566.514379028054,8592.936732796767,12521.29149496267
2024-03-04,14691.389062547014,12622.136761177848,16874.963500780465
2024-03-05,15065.908859539843,13021.202930369196,17148.590935824326
2024-03-06,14979.024904326576,12876.71422509833,17070.174878697653
2024-03-07,15248.510735433249,13145.485502027865,17385.070717442562
2024-03-08,15763.382105977094,13721.907756545568,17977.56764564161
2024-03-09,13163.320139064424,11080.973203375974,15365.634508923782
2024-03-10,10690.133894680537,8457.60485248799,12771.07366790303
2024-03-11,14815.005646127973,12590.227048734036,16962.387939177228
2024-03-12,15189.522511044946,12995.333531035596,17211.169594951603
2024-03-13,15102.63855583584,12860.280197705006,17276.188307344604
2024-03-14,15372.124386942434,13274.7895823601,17437.70025904777
2024-03-15,15886.995757486377,13677.771249966898,17991.1064114125
2024-03-16,13286.933790573104,11040.515645990776,15432.975691456857
2024-03-17,10813.747546185918,8552.086075994519,13037.225825878184
2024-03-18,14938.619297623909,12647.339437911332,17005.23832174201
2024-03-19,15313.13616255201,13117.338382591175,17563.392575542486
2024-03-20,15226.252207345102,13003.155847063006,17254.89030916315
2024-03-21,15495.73803844718,13425.718450346929,17693.023599699456
2024-03-22,16008.57507365416,13966.044973007443,18095.71591307903
2024-03-23,13406.47877141521,11177.0651678628,15531.376166861657
2024-03-24,10931.258191684126,8743.419496759248,13094.383891987512
2024-03-25,15054.095607785104,12907.254268249324,17184.553972353973
2024-03-26,15426.578137371856,13437.913083986114,17539.367564297037
2024-03-27,15337.6598468285,13152.772587965115,17645.52690740755
2024-03-28,15605.111342601445,13469.335082903299,17702.91680357617
2024-03-29,16117.948377805718,13864.509349026155,18297.568411106848
2024-03-30,13515.852075564524,11428.783186369086,15746.99270241983
2024-03-31,11040.631495834134,8888.979765154703,13291.758354540607
2024-04-01,15163.468911935124,13028.748569133031,17326.548474485462
2024-04-02,15535.95144152336,13302.037076639195,17811.444934271603
2024-04-03,15447.033150980795,13198.595814054283,17665.20950767811
2024-04-04,15714.484646746825,13555.945425245642,17806.347328267802
2024-04-05,16227.32168195119,14138.914599568472,18418.17592106573
2024-04-06,13625.225379706688,11469.066773414908,15648.898767658642
2024-04-07,11143.67448779091,9028.769726652075,13306.736128149278
2024-04-08,15260.181591702714,13102.008865163793,17375.727983249664
2024-04-09,15626.33380909736,13365.571594850167,17696.79709115953
2024-04-10,15531.085206358646,13529.954661930988,17551.106943773004
2024-04-11,15792.206389936033,13612.471301881526,18084.17890228439
2024-04-12,16298.713112949254,14143.085282250353,18533.783554928017
2024-04-13,13690.286498513778,11564.849239996209,15799.923814247504
2024-04-14,11208.735606597455,9153.618342788626,13296.724598444593
2024-04-15,15325.242710514089,13079.996510419254,17507.72462729056
2024-04-16,15691.394927906416,13594.463529790162,17737.97430227222
2024-04-17,15596.146325169904,13439.054708237745,17763.880494831432
2024-04-18,15857.267508747213,13677.857585240656,18121.080994451288
2024-04-19,16363.774231762167,14403.119034172956,18561.448289712196
2024-04-20,13755.347617320871,11629.306741088461,15889.253933980464
2024-04-21,11273.796725404824,9148.712583709083,13362.648702580917
2024-04-22,15390.303829325467,13287.01958340425,17442.78455717439
2024-04-23,15749.288795462515,13498.919411121602,17730.153830102714
2024-04-24,15646.872941475613,13476.344335603837,17745.33793374868
2024-04-25,15900.82687379423,13664.105465667037,17959.879595609713
2024-04-26,16400.166345569458,14183.24449349149,18603.69299957898
2024-04-27,13784.572479872984,11618.064278346952,15773.704595004088
2024-04-28,11295.85433671021,9293.944129122783,13438.646931703599
2024-04-29,15405.19418936644,13302.584925101444,17659.44316578516
2024-04-30,15764.179155516444,13679.17763523708,17974.98213912292
2024-05-01,15661.76330152634,13487.422078413312,17950.439122096126
