ds,yhat,yhat_lower,yhat_upper
2024-01-01,22327.319767246914,18341.763267547158,26623.685155158415
2024-01-02,23057.59820592671,18338.02126026765,26985.287766281734
2024-01-03,22454.99301930542,18498.033226830135,26995.39663683573
2024-01-04,23027.1664467497,18747.084694285186,27162.2537551303
2024-01-05,23761.699135325503,19612.690353915023,28252.34666313273
2024-01-06,14848.310646270675,10963.588366001795,18864.05871329413
2024-01-07,11180.082572690186,6961.392791420824,15391.611400683532
2024-01-08,22363.868267717375,18163.758557882968,26517.94361448372
2024-01-09,23094.146706424166,18849.288473268247,26993.69646489083
2024-01-10,22491.541519797178,18205.81683169371,26805.916396225668
2024-01-11,23063.714947245127,18968.222303868137,27430.448053798355
2024-01-12,23798.24763582735,19351.979715990066,27924.333100863663
2024-01-13,14884.859146801442,10503.619776012454,19013.077391187093
2024-01-14,11216.631073198168,7109.819837515897,15331.218986692475
2024-01-15,22400.41676822334,17991.753609900934,26792.95716589575
2024-01-16,23130.69520692162,18972.339717094903,27407.474114857356
2024-01-17,22528.090020299154,18222.457611282545,26765.21744047917
2024-01-18,23100.263448286652,18882.200586239618,27131.81976421078
2024-01-19,23834.79613740518,19668.90227839505,27926.059992053335
2024-01-20,14921.407648909631,10472.211722754584,19272.68220977663
2024-01-21,11253.179575844635,6813.169339329475,14965.717712971682
2024-01-22,22436.965271419245,18547.860380937054,26608.220000042715
2024-01-23,23167.243710645907,19104.755332616904,27513.83575183068
2024-01-24,22564.638524566217,18512.891853160156,26768.483454738896
2024-01-25,23136.811952547996,18989.949826924265,27176.623398444
2024-01-26,23871.344641663447,19525.48175322204,28225.679368484263
2024-01-27,14957.956153169775,10941.199095496717,19482.67541137206
2024-01-28,11289.728080118539,7090.255514952184,15651.00344699969
2024-01-29,22473.513775655625,18294.706279857008,26550.691009799368
2024-01-30,23203.792214908186,18849.388316506265,27067.189177723736
2024-01-31,22601.187028828997,18381.837078311597,26846.637689863597
2024-02-01,23173.360456817787,18790.88360786472,27267.75790715189
2024-02-02,23907.89314592171,19649.131400117116,28301.36163669882
2024-02-03,14994.504657008074,10965.547067867385,19244.39555915718
2024-02-04,11326.276583538154,6972.906888667241,15406.570434471938
2024-02-05,22510.062278685906,18238.069310540544,26616.303702695328
2024-02-06,23240.340717520256,19348.868573368127,27648.406057881737
2024-02-07,22637.73553102766,18515.370775740692,27029.618388744573
2024-02-08,23209.908958602184,19187.504576769006,27348.402026274664
2024-02-09,23944.441647313863,20043.41747906584,28308.989329078773
2024-02-10,15031.053158369428,10658.9762453677,19381.622466049004
2024-02-11,11362.825084915554,7219.637998672815,15332.020697929907
2024-02-12,22546.610780071147,18351.872323555053,26965.10558171889
2024-02-13,23276.88921889386,19020.14243284581,27606.051694241472
2024-02-14,22674.284032405787,18523.41557283209,27077.37787597927
2024-02-15,23246.457459981866,19093.24339798002,27188.216094132622
2024-02-16,23980.99014869186,19753.26958477207,28477.590468970586
2024-02-17,15067.601659739803,10659.558190756868,19373.747099390726
2024-02-18,11399.37358629295,7262.076058737641,15293.125540912719
2024-02-19,22583.159281411772,18429.426001321757,26608.416308262294
2024-02-20,23313.43772019956,19018.75609906841,27318.26768547077
2024-02-21,22710.83253366883,18612.89558447997,26735.10553035062
2024-02-22,23283.0059612,19350.015251581353,27547.619394805504
2024-02-23,24017.53864985905,19556.315027825058,28184.290511083847
2024-02-24,15104.150160880004,11057.006329986176,19071.961279782296
2024-02-25,11435.92208737992,7243.8150910502,15573.138643956303
2024-02-26,22619.70778252536,18328.034000510026,26764.260295148895
2024-02-27,23349.986221303538,19093.80314561771,27559.647271596583
2024-02-28,22747.38103477248,18655.760811644115,26748.44611411004
2024-02-29,23319.554462311164,19450.236231554794,27308.62660596795
2024-03-01,24054.08715096852,19705.132768697735,28454.78754159513
2024-03-02,15140.698662018394,10965.646402183178,19527.134316288277
2024-03-03,11472.47058848879,7110.812873478894,15729.334261047834
2024-03-04,22656.256283635816,18423.729845144077,26626.99646748511
2024-03-05,23386.534722409713,19237.083154709304,27534.820337590143
2024-03-06,22783.929497400823,18642.91345301842,26799.493054639115
2024-03-07,23356.102886464363,19265.86702544478,27780.323048261143
2024-03-08,24090.63553665539,20102.604028016365,28242.543230168227
2024-03-09,15177.2470092271,10944.31883534351,19262.892929874106
2024-03-10,11509.018897249241,7043.707850822122,15606.760474245939
2024-03-11,22692.804553923208,18555.60096218247,27112.354585817055
2024-03-12,23423.082954216465,19245.17735702695,27690.76413204604
2024-03-13,22820.4777292132,18606.911202722702,26991.49396977927
