ds,yhat,yhat_lower,yhat_upper
2024-01-01,28761.63533298838,19214.667936914215,38017.032820338696
2024-01-02,30848.65843094783,22004.867020187547,39441.36004401913
2024-01-03,30490.949614587524,21593.246026741614,39119.95648904151
2024-01-04,31651.578296601125,22353.84403342147,40449.452490150834
2024-01-05,30585.73552094525,21976.949500332285,39732.392127791674
2024-01-06,19648.391111156434,10641.579785223521,28238.846908673957
2024-01-07,14379.503459408445,4918.409601879665,24048.57895712658
2024-01-08,29185.703293818122,19657.8844453582,37626.37231491833
2024-01-09,31272.726391816246,22030.003230972394,40193.6488226418
2024-01-10,30915.017575444435,21826.279642476824,39845.2506656803
2024-01-11,32075.646257463814,23240.558153461283,41763.11875382936
2024-01-12,31009.80348181654,21892.60695218307,40031.99149298056
2024-01-13,20072.459072065707,11766.509259025317,28913.13901588052
2024-01-14,14803.571420286344,5087.159078735351,24253.189820701227
2024-01-15,29609.77125469539,20542.8439895828,38878.44230715155
2024-01-16,31696.794352684657,22836.10118941224,40895.24468122419
2024-01-17,31339.08553631904,22647.70854037912,40488.11099154724
2024-01-18,32499.714219449444,23854.28294451989,41958.11031276883
2024-01-19,31433.871444911085,22472.968279950706,40984.766102860165
2024-01-20,20496.527036262716,11216.381508015309,29523.551111259803
2024-01-21,15227.63938559969,6203.128491959954,24417.610711673828
2024-01-22,30033.83922113082,20966.415007980613,39211.47907505704
2024-01-23,32120.86232021823,23154.345240311915,40877.70601659156
2024-01-24,31763.15350497036,22468.823713064445,40903.49645286038
2024-01-25,32923.782188093544,24064.919004213534,42367.29261096339
2024-01-26,31857.93941355225,22914.388397109782,40921.2599044508
2024-01-27,20920.595004906252,12080.291649101773,29131.146412300055
2024-01-28,15651.707354259004,6580.119961040894,25506.91027082829
2024-01-29,30457.90718974197,21357.10447733697,39793.35218580296
2024-01-30,32544.930288863434,23241.583321528098,41233.509727115656
2024-01-31,32187.22147361753,22649.853311866376,40405.99082475412
2024-02-01,33347.85015675561,24150.78626284248,42284.07679530512
2024-02-02,32282.00738219341,23343.293400306906,41113.8728397362
2024-02-03,21344.66297282191,12132.870437747648,31025.791337793147
