ds,yhat,yhat_lower,yhat_upper
2024-01-01,19569.189143719064,5530.319665136209,31933.540595097173
2024-01-02,21141.91187656207,7623.299014630431,35742.878945573604
2024-01-03,21729.07733112036,7518.404234237478,35625.68866484454
2024-01-04,22072.476100574393,8257.62807247,35298.959671240365
2024-01-05,25637.93948323313,12711.466761455515,38059.949736387025
2024-01-06,25206.16257585739,12798.484348975122,38770.89417374994
2024-01-07,19534.53047247694,5821.374863961087,33126.761179890316
2024-01-08,20363.895760228897,7622.126686684473,34918.53501895242
2024-01-09,21936.618493081354,10303.02266705547,35538.91600917378
2024-01-10,22523.783947633565,8763.444517679369,37471.24649112701
2024-01-11,22867.182717091357,7720.038405453737,35574.21167959233
2024-01-12,26432.646099755882,13341.27972353723,40341.60916811745
2024-01-13,26000.86919239049,12064.298881400282,40147.56386030776
2024-01-14,20329.23708899355,6497.398273670314,34125.051108193264
2024-01-15,21158.602376748604,9180.306237290319,34369.0005453896
2024-01-16,22731.325109600635,8668.705582099941,36935.529601547736
2024-01-17,23318.49056415323,9705.394874622316,37200.41594942896
2024-01-18,23661.88933721717,10585.904295343214,36989.6119598828
2024-01-19,27227.35272348833,13786.08866382486,41778.46588586692
2024-01-20,26795.57581972048,13055.934026463254,40512.019681152095
2024-01-21,21123.94371992612,7567.867091155763,33953.648858380984
2024-01-22,21953.309011292557,7937.64939487179,34741.699754809364
2024-01-23,23526.03174774719,10447.363024113758,37131.52050583533
2024-01-24,24113.19720590778,10359.00402634416,38618.40731620501
2024-01-25,24456.59597896808,10783.239712314142,38281.77126541042
2024-01-26,28022.05936524106,14597.908166774703,41964.38616229755
2024-01-27,27590.282461469866,14571.187496714352,40745.69147824268
2024-01-28,21918.650361676668,8453.338751737323,35156.782320716615
2024-01-29,22748.01565303633,9844.735845843546,35926.724861302
2024-01-30,24320.738389498583,10111.554737961813,37807.615553164556
2024-01-31,24907.90384765816,11216.226211739926,38387.54760953756
2024-02-01,25251.302620719285,11907.464280555505,38618.688200975994
2024-02-02,28816.766006993785,15607.96231102699,42199.47721840795
2024-02-03,28384.989103150147,14665.456724774665,41589.93374010181
2024-02-04,22713.35700330819,9036.611931311108,35645.21888680541
2024-02-05,23542.722294592197,10137.504754667889,36675.106820315494
2024-02-06,25115.445030988012,11417.068290525463,38691.35136951068
2024-02-07,25702.61048907879,11703.890269840178,39115.447100783684
2024-02-08,26046.009262074487,12048.21145312519,39563.22371407405
2024-02-09,29611.47264827518,16740.393239866,42513.62697545324
2024-02-10,29179.695744434714,16107.429697168534,44218.69867356081
2024-02-11,23508.063644595364,10299.903007952307,36536.39081314818
2024-02-12,24337.428935884127,10629.317135025718,36987.52527395775
2024-02-13,25910.15167227958,12785.725458553146,39396.963069085854
2024-02-14,26497.317130370742,12524.916478692314,40397.93739597969
2024-02-15,26840.715903367734,13690.560452986467,39941.89495964808
2024-02-16,30406.179289570216,16912.703070343323,44301.200060368166
2024-02-17,29974.402385722442,16843.61790055927,43944.09202992832
2024-02-18,24302.770285882536,10365.344128691753,37470.81415356876
2024-02-19,25132.135575525786,11947.466259935776,39762.919121076426
2024-02-20,26704.858310265186,12758.623389168983,39534.11358668083
2024-02-21,27292.02376671151,14379.252745213427,40466.44539984363
2024-02-22,27635.4225380554,13306.998094873155,41941.64792263306
2024-02-23,31200.885922605336,18311.5362395209,45182.09281443571
2024-02-24,30769.109017107792,17548.547210320285,44714.91449099158
2024-02-25,25097.476915631523,12439.153372005067,38837.60842560758
2024-02-26,25926.84220526501,11817.751460644688,39722.93384783643
2024-02-27,27499.564940002158,12644.294401444396,39721.717860207376
2024-02-28,28086.730396448394,14838.988080456771,42247.63364012221
2024-02-29,28430.12916779588,14451.719245999928,40749.23043090263
2024-03-01,31995.5925523476,17838.264360447312,45856.27039516468
2024-03-02,31563.815646860403,17205.05555756781,45071.76830946011
2024-03-03,25892.18354536593,12455.809029172457,39289.46669058075
2024-03-04,26721.548835004294,13185.553222012999,41038.85315538062
2024-03-05,28294.27156974279,14576.615812517339,41776.36273033289
2024-03-06,28881.43702793492,16063.882630434175,42764.95248634391
2024-03-07,29224.83580103228,16938.341077170586,42940.17366685479
2024-03-08,32790.29918734733,19048.993183087994,46335.76801216191
2024-03-09,32358.522283607454,18786.48248188886,46489.52636969257
2024-03-10,26686.890183871114,13319.635522347806,40922.95329235398
2024-03-11,27516.25547526639,14233.301134755293,41977.06340201093
2024-03-12,29088.97821175644,15312.836077592827,42987.1353301783
2024-03-13,29676.143669950794,16089.200595579114,42242.94020532082
2024-03-14,30019.54244304945,16208.974652875935,44475.99242458216
2024-03-15,33585.00582936628,19462.66804747857,46303.67752314182
2024-03-16,33153.22892562226,19575.75125996839,46565.62485512557
2024-03-17,27481.59682588049,13749.373311410716,40491.72929995036
2024-03-18,28310.96211727242,15476.17461206923,42790.79513052631
2024-03-19,29883.68485377192,17039.977038865105,44695.0839686686
2024-03-20,30470.85031196666,16986.334671989378,44160.916263097424
2024-03-21,30814.24908506261,16948.975298086098,44275.77526920976
2024-03-22,34379.36113831809,20805.32880994987,47305.19141227956
2024-03-23,33947.23290152206,19114.18859878906,46863.86150349509
2024-03-24,28275.24946870379,13707.407894177977,41572.32310459027
2024-03-25,29104.263427035654,15774.836548588215,43175.18341555206
2024-03-26,30676.63483046974,17205.551946075066,44537.027309216755
2024-03-27,31263.448955600295,18155.012541081986,44130.712910048765
2024-03-28,31606.496395641596,19603.21950656002,45293.02482676142
2024-03-29,35171.608448881234,21273.45884499618,47592.053944162224
2024-03-30,34739.480212094684,21191.858294975184,48984.11932735898
2024-03-31,29067.496779274425,15635.194843613835,42563.02258354609
2024-04-01,29896.51073760946,15742.040627437744,44343.101239188196
2024-04-02,31468.882141039714,18449.612786789283,45687.54052267143
2024-04-03,32055.696266178158,18967.97238650379,45287.2652910284
2024-04-04,32398.743706212594,19293.10295401928,46361.70018330641
2024-04-05,35963.85575945405,22326.74685741947,50197.986458622356
2024-04-06,35531.72752266101,21828.804353312284,49285.970853849816
2024-04-07,29798.31898451466,16788.545002009923,43393.855160827676
2024-04-08,30565.907837525763,16758.79062119599,44516.30492459904
2024-04-09,32076.854135626967,18533.310016505457,45298.8911132681
2024-04-10,32602.243155430653,19330.304858334537,46313.30990627831
2024-04-11,32883.86549014017,19002.727601713435,45411.55265659718
2024-04-12,36387.55243805474,23197.158674321818,50036.562437323395
2024-04-13,35893.99909592968,22816.844087434853,49248.3545886035
2024-04-14,30160.590557799085,15808.410889236735,43494.39254448261
2024-04-15,30928.179410798766,18302.704002539638,44253.69907649063
2024-04-16,32439.12570889949,19488.637104071524,46226.17644146587
2024-04-17,32964.51472870356,19909.2878632486,46196.668761149704
2024-04-18,33246.13706341436,19917.570950623176,46028.453525514655
2024-04-19,36749.82401131708,23454.342693192608,49485.87466527471
2024-04-20,36256.27066919835,23146.85626858195,50359.19511409915
2024-04-21,30522.862131065496,17297.608686733118,44290.090754767916
2024-04-22,31290.450984071773,17437.79141074983,43635.195770573955
2024-04-23,32749.225256889298,20031.188689736424,45625.83570876051
2024-04-24,33222.44225141147,19870.390358882807,47079.85878035425
2024-04-25,33451.89256083023,20327.031742113737,46169.52098917364
2024-04-26,36903.40748346957,22683.054363928826,50767.5881394345
2024-04-27,36357.68211606264,22178.34953391077,49842.159405434075
2024-04-28,30572.101552650074,16091.661199870985,44141.249921831855
2024-04-29,31287.518380368638,16468.059596092797,45312.76745924766
2024-04-30,32746.292653190514,18138.607136769966,45624.77376774569
2024-05-01,33219.50964771501,18470.9576906605,45697.77428567668
2024-05-02,33448.95995714229,19918.36691778423,47306.241834410815
2024-05-03,36900.47487977148,24229.114430906666,51254.77052078079
2024-05-04,36354.749512362025,23200.282471988998,50041.99228833072
2024-05-05,30569.168948952058,16475.927363751845,43398.52960333596
2024-05-06,31284.58577667551,18020.098291809554,46470.71382365056
2024-05-07,32743.360049495066,19326.94659055868,45634.269970904126
2024-05-08,33216.57704401853,18518.71513119938,47057.20979357003
2024-05-09,33417.45914493838,20303.424442573752,47176.66444154571
2024-05-10,36840.40585906538,23189.720953468044,50464.10160480675
2024-05-11,36266.11228315831,22682.17321817367,49583.43818130207
2024-05-12,30451.963511222177,15981.659085527646,43931.01815706015
2024-05-13,31138.81213044241,18842.98195081985,44496.05225894876
2024-05-14,32569.018194755467,19335.15761071002,46838.99032824475
2024-05-15,33013.66698076953,18704.413165952534,45824.60798437585
2024-05-16,33214.54908168297,19250.169308075572,45832.48545922406
2024-05-17,36637.49579581946,24128.065426453333,50020.27105118489
2024-05-18,36063.20221990192,21958.630503554443,49625.81318911025
2024-05-19,30249.05344796838,17389.093986500782,44340.84845255168
2024-05-20,30935.902067193503,17141.519143438978,44318.690436257406
2024-05-21,32366.108131504243,19180.63102472775,45573.6684214607
2024-05-22,32810.75691752146,19020.810717070704,46659.06580844761
2024-05-23,33011.639018431255,19270.081666038444,46247.68055415607
2024-05-24,36434.585732565596,22830.392978911023,50663.131624767666
2024-05-25,35860.292157455435,22025.18433756453,49876.62476618034
2024-05-26,30046.14338633638,16333.375641106857,44042.226090716664
2024-05-27,30732.992006345456,16154.274940597516,44189.77771662169
2024-05-28,32163.198071467417,20008.727938901244,45529.27027624053
2024-05-29,32607.846858290453,19785.6018722964,46138.166735509854
2024-05-30,32808.72896000515,19751.857743784174,45985.893594222594
2024-05-31,36231.675674944876,24240.348350914155,50410.77996925545
2024-06-01,35657.38209982426,21377.54853812021,49744.57536699847
2024-06-02,29843.233328707815,16999.48656008861,42296.97226170057
2024-06-03,30530.081948721767,16716.729403769456,44055.42985878235
2024-06-04,31960.28801384508,17891.739482797257,45166.36984532587
2024-06-05,32404.936800660194,18856.465842663565,46027.08571029992
2024-06-06,32605.818902382653,18015.551411857454,46094.40655378015
2024-06-07,36028.76561731053,22326.81560796016,49023.81589757485
2024-06-08,35454.47204219309,22494.94616836886,48254.83551447404
2024-06-09,29640.323271080964,15033.416795371626,43488.718085455854
2024-06-10,30327.171889027813,17338.81484409238,44149.789267072585
2024-06-11,31757.37795207867,17492.887706087648,46556.68148708028
2024-06-12,32202.02673682674,19680.788828601464,46107.50373965402
2024-06-13,32402.90883647935,18751.3927415974,46720.43966097873
2024-06-14,35825.85554933881,22629.06756285585,50107.77403771486
2024-06-15,35251.56197214702,20677.845841339746,47925.474489843866
2024-06-16,29437.41319895926,16180.344173008058,43324.56954647363
2024-06-17,30124.261816912647,16261.3400927333,42380.575767532035
2024-06-18,31554.467879957912,17517.65278212401,45836.369530984586
2024-06-19,31999.1166647083,18703.48338820078,45972.61741068107
2024-06-20,32199.998764361444,18410.112933375804,44911.78562342975
