ds,yhat,yhat_lower,yhat_upper
2024-01-01,4627.330644505067,3993.099391124524,5245.883153444961
2024-01-02,4614.400105228238,4018.6192234553228,5164.924159404516
2024-01-03,4651.424089152116,4050.0044122485147,5250.116119788841
2024-01-04,4688.453240192836,4142.872365625149,5303.091676403172
2024-01-05,5038.880696442716,4444.5713054409425,5643.519006092251
2024-01-06,5362.08171589547,4794.826231582508,5986.499396226457
2024-01-07,4248.507107690912,3629.294345233549,4869.7514890763405
2024-01-08,4746.118217539432,4133.350470304752,5359.7084190154155
2024-01-09,4733.18767826449,4113.999741020772,5310.159015835162
2024-01-10,4770.2116621855885,4204.4105908074125,5398.488030065751
2024-01-11,4807.2408132276305,4214.354268051969,5385.09422502874
2024-01-12,5157.66826947997,4614.362025498407,5722.323784853461
2024-01-13,5480.869288933397,4856.050646249136,6086.902198376654
2024-01-14,4367.294680726414,3787.76568455846,4942.472261535001
2024-01-15,4864.905790575396,4254.681552441564,5413.729689588584
2024-01-16,4851.975251300742,4271.1299827107605,5486.841226223877
2024-01-17,4888.999235222596,4293.649653692923,5503.023580082136
2024-01-18,4926.02838636038,4317.147490807976,5483.864105723205
2024-01-19,5276.455842709611,4674.631722571209,5905.094257834281
2024-01-20,5599.656862257591,5007.3215796233,6200.123158577193
2024-01-21,4486.082254146732,3950.1810502192784,5076.595665082316
2024-01-22,4983.69336409233,4365.347568753893,5608.278309828548
2024-01-23,4970.76282491273,4356.226499314454,5578.134243946651
2024-01-24,5007.786808932371,4436.618740942141,5626.528410096242
2024-01-25,5044.815960068534,4457.375310222012,5652.6753120930725
2024-01-26,5395.24341641882,4795.438851825304,5993.259617059116
2024-01-27,5718.4444359665595,5097.010665758259,6292.219496318079
2024-01-28,4604.869827855594,4004.359288860185,5182.027903152719
2024-01-29,5102.480937800054,4521.893256109069,5702.448901383981
2024-01-30,5089.550398620913,4464.7221351817425,5696.3295343467435
2024-01-31,5126.57438264097,4553.153967989355,5774.769880419221
2024-02-01,5163.603533780324,4557.52760604466,5747.844086488202
2024-02-02,5514.030990128032,4901.745374926894,6092.752482211951
2024-02-03,5837.232011309445,5223.757081767767,6411.857830772656
2024-02-04,4723.657404835708,4132.402962583409,5309.352704008827
2024-02-05,5221.268516414233,4621.745729034337,5870.275842035274
2024-02-06,5208.337978869261,4596.234538266605,5832.742745372629
2024-02-07,5245.361964522992,4651.16473930333,5813.980394764425
2024-02-08,5282.391117296586,4678.2172619711155,5874.079283295544
2024-02-09,5632.818575278303,4995.414832225841,6208.713254498628
2024-02-10,5956.019596460437,5378.409790117592,6577.937008556471
2024-02-11,4842.44498998738,4288.044459628527,5431.9552197264675
2024-02-12,5340.056101565544,4723.264548451887,5933.319688284804
2024-02-13,5327.125564021662,4740.382465656203,5940.74739734749
2024-02-14,5364.14954967615,4729.783941133237,5969.00933611177
2024-02-15,5401.1787024492905,4794.599379225566,5961.239099683588
2024-02-16,5751.606160431706,5161.775302556589,6333.07830364955
2024-02-17,6074.8071816121965,5485.982305995837,6644.863104530181
2024-02-18,4961.232575139053,4357.32330509485,5585.9060348920575
2024-02-19,5458.843687061969,4865.906647651686,6067.615773351063
2024-02-20,5445.913149860694,4798.818915759153,6041.781330352765
2024-02-21,5482.937135859836,4855.802781874456,6044.492700899924
2024-02-22,5519.966288974273,4874.677266349136,6184.2749631297365
2024-02-23,5870.3937472998505,5273.709683779639,6441.128611826785
2024-02-24,6193.594768825012,5614.2280561955395,6788.554260952163
2024-02-25,5080.020162697152,4479.652902226489,5714.013702807885
2024-02-26,5577.631274618648,4982.921721106783,6188.535010381034
2024-02-27,5564.700737416233,4965.641251852743,6131.8568683358135
2024-02-28,5601.724723415197,5013.005082709245,6200.327041673356
2024-02-29,5638.753876531542,5047.5853138498505,6205.067987449511
2024-03-01,5989.181334857818,5380.69475577712,6562.33984711189
2024-03-02,6312.382356383656,5752.381523373583,6939.428095631859
2024-03-03,5198.807750253388,4624.749451226406,5808.708456631664
2024-03-04,5696.418862176128,5116.315019563887,6276.028075432012
2024-03-05,5683.488324974626,5131.984663352483,6286.580722376916
2024-03-06,5720.5123105016355,5162.614090625972,6308.356834515361
2024-03-07,5757.541463151674,5159.284721964934,6347.544594871235
2024-03-08,6107.96892101114,5512.446272433491,6764.257264044487
2024-03-09,6431.169942068223,5875.108355448636,7024.663723736091
2024-03-10,5317.595335470869,4774.6068414787505,5935.71093863451
2024-03-11,5815.206446926322,5215.823104444739,6461.473237494765
2024-03-12,5802.2759092559345,5226.808878382411,6394.304923659662
2024-03-13,5839.299894785128,5228.915634479783,6449.7684998401965
2024-03-14,5876.329047434712,5284.886502905946,6517.864386708512
2024-03-15,6226.7565052948785,5638.257833551097,6809.587880584292
2024-03-16,6549.957526351084,5966.7963227601795,7184.995901088516
2024-03-17,5436.382919752895,4883.285842113818,6042.919192511368
2024-03-18,5933.994031207171,5319.247292012073,6535.969602952122
2024-03-19,5921.06349353867,5330.759388240838,6500.939898014839
2024-03-20,5958.087479068621,5328.4149350891685,6585.087699520293
2024-03-21,5995.116631715993,5440.889497539164,6543.78473818925
2024-03-22,6345.544088925059,5775.9122910706365,6950.177869216236
2024-03-23,6668.745109330418,6074.618797726302,7236.282548773628
2024-03-24,5555.170502078417,4933.935059818695,6142.00139842453
2024-03-25,6052.781612880998,5475.532420645754,6657.57207646701
2024-03-26,6039.851074559201,5401.686984122259,6618.249992120449
2024-03-27,6076.875059437413,5458.605719873414,6660.25502138486
2024-03-28,6113.904211435704,5538.948476192094,6660.420144240503
2024-03-29,6464.331668640577,5905.358474658795,7046.962561232346
2024-03-30,6787.532689048192,6201.592888185947,7393.050809565847
2024-03-31,5673.958081795315,5097.478563663352,6261.677776320803
2024-04-01,6171.569192599161,5595.033663898275,6785.262298988297
2024-04-02,6158.638654277889,5583.553850966752,6733.386104048888
2024-04-03,6195.662639156994,5591.5013402178665,6842.511125330087
2024-04-04,6232.691791151896,5629.272910607874,6798.644293493442
2024-04-05,6583.119248357823,5977.339975797515,7158.356696285581
2024-04-06,6906.32026876443,6321.213713226178,7530.692092997397
2024-04-07,5789.065465687531,5219.429836361735,6379.162538568883
2024-04-08,6282.9963806663145,5653.608661007331,6884.052034022052
2024-04-09,6266.385646521433,5678.272307492363,6865.0485429165055
2024-04-10,6299.729435573056,5709.501047286989,6886.8656061990005
2024-04-11,6333.078391744581,5735.687048406815,6914.038202917594
2024-04-12,6679.8256531268635,6063.144696619855,7311.67432183388
2024-04-13,6999.346477708528,6371.398059846525,7577.242055580543
2024-04-14,5882.091674633386,5286.864904903516,6473.557794523686
2024-04-15,6376.022589611569,5808.528372295047,6999.811376076795
2024-04-16,6359.411855466172,5723.693348254983,6994.44038879953
2024-04-17,6392.755644518554,5802.145602443036,6984.592238817041
2024-04-18,6426.104600689625,5814.4882564684385,7005.193315575439
2024-04-19,6772.851862069472,6185.220606594943,7402.46342460512
2024-04-20,7092.372686652627,6537.066245863934,7663.288322092016
2024-04-21,5975.117883577415,5369.391642845292,6615.54140141218
2024-04-22,6469.048798556824,5904.331434298648,7063.47353767468
2024-04-23,6440.670189859683,5841.850005903608,7074.491377634041
2024-04-24,6462.24610436268,5870.860072678502,7054.145991126471
