ds,yhat,yhat_lower,yhat_upper
2024-01-01,52639.600643913196,44063.42252915279,60872.528222211244
2024-01-02,54742.36798449262,45664.978471013834,63678.515089050954
2024-01-03,53664.41215476247,45122.49994413068,62793.87211982518
2024-01-04,54908.672081235476,46192.79916448305,64104.76651999153
2024-01-05,55781.94844248098,46951.93206056653,65199.360407908964
2024-01-06,40001.25894603423,30461.39659693386,48950.62574927044
2024-01-07,28976.86667576739,20074.634771182715,38237.858818188615
2024-01-08,52852.8229800662,43407.09970723123,61557.29891991479
2024-01-09,54955.59032070754,45555.152716065066,63894.412658257
2024-01-10,53877.63449095377,45221.13228188903,63470.45374537016
2024-01-11,55121.89441743922,46787.115050473716,64154.59680328439
2024-01-12,55995.17077870582,46721.29559217889,64139.6245323563
2024-01-13,40214.481282317254,31290.550654995674,49684.949009196665
2024-01-14,29190.089011997563,20639.862752005367,38324.10787596266
2024-01-15,53066.04531629531,44024.05542838005,62285.710423266966
2024-01-16,55168.81265692247,46896.14231513939,63475.508889473705
2024-01-17,54090.85682718025,45664.926145234895,63300.89328916564
2024-01-18,55335.11676201946,46223.00136559874,64819.54024265649
2024-01-19,56208.393131638986,46760.130687251774,65052.4425321591
2024-01-20,40427.70364358497,31262.382395161312,49368.79813520563
2024-01-21,29403.31138162318,20406.514572945518,38766.165817240784
2024-01-22,53279.26769429528,44340.60989024757,62483.37792715857
2024-01-23,55382.03504325304,46418.6686426943,63445.23839881092
2024-01-24,54304.079221880675,45514.98856715078,63388.58320070365
2024-01-25,55548.339156702394,46406.52544694003,64483.95144664769
2024-01-26,56421.6155263204,47302.35458530594,65592.75066842505
2024-01-27,40640.926038269376,32484.760772484355,49585.245339964626
2024-01-28,29616.533776332548,20264.251391623588,38230.7794263169
2024-01-29,53492.49008892748,44407.09026407054,62874.5095562334
2024-01-30,55595.25743793778,45926.4282926446,64908.10724798571
2024-01-31,54517.30161656877,45980.14549237029,63826.513070433844
2024-02-01,55761.5615514201,47668.770254544244,65255.052488074085
2024-02-02,56634.8379210018,48682.18454617112,66065.68175838457
2024-02-03,40854.14842121223,31912.01855285303,49134.50355188824
2024-02-04,29829.75614754746,21113.592841375623,39200.33088936621
2024-02-05,53705.71244846579,45593.219129375706,63281.384506214694
2024-02-06,55808.47978573949,47001.272530499366,65242.54858024367
2024-02-07,54730.52395264135,46233.193278703024,63681.30257238107
2024-02-08,55974.783875764435,47292.42898078707,64496.32596472764
2024-02-09,56848.060233664335,47764.49848178556,66179.29575916167
2024-02-10,41067.370733816475,31986.713091890502,50014.32917957876
