ds,yhat,yhat_lower,yhat_upper
2024-01-01,2425.64478690004,1708.2433745967712,3108.6813692124724
2024-01-02,2347.536227813436,1635.011195413776,3097.6391868877267
2024-01-03,2511.6024933927033,1799.9374822638717,3185.647637423224
2024-01-04,2449.885727997502,1734.013254600919,3168.0302263163926
2024-01-05,2672.7777281538833,1983.5610535201852,3379.92254831023
2024-01-06,3051.214502705356,2343.7644739455786,3801.2182557544593
2024-01-07,2860.016929497415,2159.9860223873616,3654.2357985353406
2024-01-08,2431.0260337217824,1761.6496959614701,3140.5420694260106
2024-01-09,2352.917474634275,1653.1919476255111,3105.936067860874
2024-01-10,2516.983740213334,1776.488552891741,3272.4845012986398
2024-01-11,2455.2669748181283,1776.8736382402376,3186.616064796594
2024-01-12,2678.1589749750074,1901.7056267126172,3405.517659090934
2024-01-13,3056.5957495255157,2293.406210720844,3736.546879965116
2024-01-14,2865.3981763178617,2127.8149728402536,3569.779114812522
2024-01-15,2436.407280542282,1696.666813174789,3143.94247941788
2024-01-16,2358.298721455114,1725.7559304251524,3089.3487797122248
2024-01-17,2522.3649870341314,1835.707011448678,3217.8321671648414
2024-01-18,2460.648221332444,1763.3317000558914,3160.7440903867555
2024-01-19,2683.540221183262,1953.9789396684482,3447.671186525157
2024-01-20,3061.9769954270873,2348.77960107279,3821.8134919108497
2024-01-21,2870.7794219123875,2175.5187942436182,3622.12517251363
2024-01-22,2441.7885258306073,1775.6992377554955,3171.574321767561
2024-01-23,2363.679966437317,1654.6132341969617,3027.0695367020503
2024-01-24,2527.746231709714,1790.1014340914292,3246.783093501272
2024-01-25,2466.0294660080262,1786.0748795590707,3193.77999332936
2024-01-26,2688.9214658592027,1990.2832705689568,3408.4677318124973
2024-01-27,3067.35824010292,2356.391263561278,3753.1053784198753
2024-01-28,2876.1606665877903,2130.814366136041,3552.0875915432775
2024-01-29,2447.1697705073057,1699.3625054723107,3129.2228937471314
2024-01-30,2369.0612111130854,1639.3960494020503,3092.227187072535
2024-01-31,2533.1274763853835,1777.7438753006425,3252.7957458647966
2024-02-01,2471.410710683953,1755.9347483342883,3196.946274472926
2024-02-02,2694.302710535143,1990.9014066508391,3435.865746799245
2024-02-03,3072.739484678624,2336.605245552635,3804.3450139358306
2024-02-04,2881.5419110649773,2182.8883129743276,3610.6666700702667
2024-02-05,2452.5510148827266,1720.8715921734924,3136.516579356566
2024-02-06,2374.4424553888816,1602.9873155650214,3060.93132909611
2024-02-07,2538.5087205610557,1840.4408726503632,3233.8616406274723
2024-02-08,2476.7919547595375,1783.801811756928,3178.006978440526
2024-02-09,2699.6839545094376,1998.5723478444972,3402.4030775158963
2024-02-10,3078.120728654332,2326.8174914100077,3820.3202751608915
2024-02-11,2886.9231550402924,2141.8255870734533,3583.5218715260744
2024-02-12,2457.932258858221,1726.2285505175641,3199.38644402243
2024-02-13,2379.8236993646797,1661.1412981444935,3080.440699052339
2024-02-14,2543.889964536812,1820.0625733410652,3245.451564253239
2024-02-15,2482.173198735247,1742.6208543046628,3227.2865211827157
2024-02-16,2705.0651984855213,1965.3085581355308,3398.4440306075016
