ds,yhat,yhat_lower,yhat_upper
2024-01-01,35081.12376755722,29127.819242083995,40996.68295793364
2024-01-02,36591.98430115705,30687.391159785944,42515.95289969377
2024-01-03,35932.42832093759,29789.49388240137,41741.81465219726
2024-01-04,36887.642890085306,31076.02818576079,42483.98908685354
2024-01-05,37703.82109439622,31542.12848317448,43744.58546376904
2024-01-06,25274.80721811138,19268.018391419955,30720.421049706605
2024-01-07,18914.48987578754,12517.981990634922,24958.571675596257
2024-01-08,35128.31137485006,28785.876610168703,40827.02308648282
2024-01-09,36639.171908491,30627.002737735318,42696.36482755676
2024-01-10,35979.61592826052,30373.24721699201,42026.758698621066
2024-01-11,36934.830497414594,30532.45407594862,42567.13610606029
2024-01-12,37751.00870173621,31671.69215070854,44242.75632854868
2024-01-13,25321.994825493828,19521.437469958793,30839.429382949507
2024-01-14,18961.677483134594,13032.717028947076,25151.731840715485
2024-01-15,35175.49898219533,29130.360329415496,41331.831617007454
2024-01-16,36686.359515824945,30463.139833223217,42868.17782982105
2024-01-17,36026.80353560133,30018.76462518535,41990.06918788917
2024-01-18,36982.018107638585,31169.99854444583,43071.900317031774
2024-01-19,37798.19631483995,31750.819774330874,43855.992047514104
2024-01-20,25369.182441467554,19278.126823807874,31478.982991390858
2024-01-21,19008.86510199172,13204.456141038652,25020.105431441967
2024-01-22,35222.68660395,29020.114884303104,41206.02716021606
2024-01-23,36733.5471404469,30788.037547742355,42635.37404982163
2024-01-24,36073.991163112754,29917.84130174076,42066.767174420485
2024-01-25,37029.20573514105,31117.69342663423,43218.01497334098
2024-01-26,37845.38394233894,31457.472961733805,44261.38061916777
2024-01-27,25416.370068968805,19514.671557035894,31198.43481344743
2024-01-28,19056.05272951194,13070.19403755752,25567.489591965765
2024-01-29,35269.87423141601,29033.64916745342,41111.46896496052
2024-01-30,36780.734767950744,30745.5778042379,42992.49536752342
2024-01-31,36121.178790617785,30867.82312093274,42682.34867259456
2024-02-01,37076.39336265921,31015.955339202606,43035.30137308658
2024-02-02,37892.571569837935,32085.02053827836,43777.77375671725
2024-02-03,25463.557695738244,19839.642698124648,31753.746853815606
2024-02-04,19103.240355556307,12867.927356095359,25678.88959060133
2024-02-05,35317.06185677412,29239.144351829404,41305.141789882466
2024-02-06,36827.92239258145,30800.010237033708,42626.500938528465
2024-02-07,36168.36641452731,30267.31111417634,41954.21591660794
2024-02-08,37123.58098584705,31166.35317232508,43618.7372104102
2024-02-09,37939.759192336336,32195.141697355088,43657.00657847789
2024-02-10,25510.745318193065,19430.095789895622,31606.786054690558
2024-02-11,19150.427978034073,12919.441053465156,25342.71346325508
2024-02-12,35364.24947926185,29155.11469752173,41313.802919963106
