ds,yhat,yhat_lower,yhat_upper
2024-01-01,75205.27859550175,67230.79229455949,82905.89095415491
2024-01-02,78201.30630784857,69974.97624239895,85772.35497116687
2024-01-03,79264.12171913497,71420.41742805348,87325.31794737664
2024-01-04,81152.06210092951,73510.11050885987,88921.78670862771
2024-01-05,91079.10509589082,83395.8776441242,99788.50158112457
2024-01-06,93082.9808103037,85283.68020163954,101249.25474543063
2024-01-07,71544.46496044999,63712.859022099794,79353.75152861235
2024-01-08,75597.20344350336,67101.83016792365,82991.23638336576
2024-01-09,78593.23115588281,70465.17483147646,86347.46640951236
2024-01-10,79656.04656713438,71467.79320605267,87792.5165872206
2024-01-11,81543.98694894808,74031.80044617545,90156.85904133545
2024-01-12,91471.02994393886,83612.78582258086,100260.84634778109
2024-01-13,93474.90565837917,85289.69949253483,101870.42666169361
2024-01-14,71936.38980846976,63292.35877887087,79596.36707262413
2024-01-15,75989.12829153473,67777.92825346845,83755.30709669032
2024-01-16,78985.15600391706,71272.25896076491,87558.73798299764
2024-01-17,80047.9714151756,71519.9719788908,88052.18240144939
2024-01-18,81935.91178439658,73728.21941502379,89621.79406423701
2024-01-19,91862.95476680405,83523.90312556962,100082.02952434377
2024-01-20,93866.83046862509,85690.90850565126,102419.98909830926
2024-01-21,72328.31460612167,64708.61521924836,80058.85609683592
2024-01-22,76381.05307660894,68729.71192755539,84267.14826185581
2024-01-23,79377.08077638643,70999.86564897749,87688.17367982763
2024-01-24,80439.89617507142,72535.90727184455,88214.1778375674
2024-01-25,82327.83654427512,74002.231304567,90478.60503412613
2024-01-26,92254.87952669442,84349.34161982266,100444.28225149975
2024-01-27,94258.75522850525,86806.70151865818,103038.31965167582
2024-01-28,72720.23936600139,64796.187801050044,80921.80237449138
2024-01-29,76772.97783647048,68583.08503387045,84644.54740730766
2024-01-30,79769.00553626433,71161.68496238442,87800.89706803951
2024-01-31,80831.82093495167,73271.82006366944,89133.16489988402
2024-02-01,82719.76130417817,75123.99625464856,90603.35084229591
2024-02-02,92646.80428658484,84706.81507248263,100517.72823387018
2024-02-03,94650.67997773377,86984.65396083938,103108.69729549033
2024-02-04,73112.16410464673,64924.60494154418,81411.41342321456
2024-02-05,77164.90256444643,68977.83765039772,85345.89040786862
2024-02-06,80160.93025359343,71762.63760412093,87809.7305630681
2024-02-07,81223.74564162556,72795.98546891773,89700.55623480443
2024-02-08,83111.68600020903,75208.04738008279,91330.76612604664
2024-02-09,93038.72897195017,85034.36660524804,101152.36687849002
2024-02-10,95042.60466311466,86879.16555770274,103587.56308016868
2024-02-11,73504.08879003646,65279.27702528863,81460.79000724346
2024-02-12,77556.82724984038,69012.99622603576,85544.56812863637
2024-02-13,80552.85493899872,72441.88680705131,88578.55743090593
2024-02-14,81615.67032703779,73883.68408368378,90409.26554352966
2024-02-15,83503.61068562002,74832.47939114613,91029.13005479281
2024-02-16,93430.65365736926,85519.8092063005,101220.38607198742
2024-02-17,95434.52934850592,87482.47358703667,103439.00160666351
2024-02-18,73896.01347542621,65508.11993662568,82027.15181867873
2024-02-19,77948.75192365155,70048.86916666495,85875.4582370852
2024-02-20,80944.77960119004,73054.34131392432,88607.42627881934
2024-02-21,82007.59497765098,73543.88442302456,90427.19818725385
2024-02-22,83895.53532461087,76154.41061082146,91691.20146331424
2024-02-23,93822.5782847547,85978.06494210934,102039.48168617884
2024-02-24,95826.45396429906,87504.48497281493,104076.5540946244
2024-02-25,74287.93807966738,66088.69726656529,82272.53492242293
2024-02-26,78340.67652785615,70272.14175153301,86751.67882546777
2024-02-27,81336.70420538122,73385.9870388423,90244.52052022543
2024-02-28,82399.51958183917,74172.53636821726,90484.23861582571
