ds,yhat,yhat_lower,yhat_upper
2024-01-01,22522.659728717448,18314.936177274165,26538.857094299718
2024-01-02,23685.304507559144,19160.11374768335,28133.73297583431
2024-01-03,23516.874837889573,19221.786994974507,27498.303466737692
2024-01-04,23983.883367883256,19116.64524856396,28449.85212065823
2024-01-05,25477.433234886834,21368.753884074667,30148.15871061252
2024-01-06,19840.693856492875,15503.7798464037,23841.693085116407
2024-01-07,13556.747691405813,9201.031494948104,17999.990436316442
2024-01-08,22546.450797633308,18289.913397499702,26838.84147783205
2024-01-09,23709.09557650095,19235.99755384265,27942.167854321888
2024-01-10,23540.665906819573,19299.531079619428,28013.39126226845
2024-01-11,24007.674436819478,19501.935762735244,28052.41881123755
2024-01-12,25501.224303833795,21165.809614715952,29916.92593114489
2024-01-13,19864.484925463956,15344.258029264332,24051.538859220876
2024-01-14,13580.53876035189,9404.683921529006,17864.05244184596
2024-01-15,22570.241866580138,18379.78272060797,27569.407397546707
2024-01-16,23732.886645442763,19198.589036490688,28154.487894161768
2024-01-17,23564.456975766036,19045.343900157615,27757.638976591603
2024-01-18,24031.465506904544,19700.088018891827,28504.034910924503
2024-01-19,25525.015375058083,21255.645388168654,29891.178292267345
2024-01-20,19888.275997816814,15572.901703942065,23963.28127396681
2024-01-21,13604.329833843862,9282.893911961399,17859.92987885571
2024-01-22,22594.0329412203,18533.784660007106,26707.80684334745
2024-01-23,23756.67772121193,19444.84916557074,28236.897961900777
2024-01-24,23588.24805268116,19219.29589943647,27789.59814304484
2024-01-25,24055.256583811428,19827.6800725658,28325.500597521102
2024-01-26,25548.80645196559,21213.887075749215,29695.754936494846
2024-01-27,19912.06707472433,15511.655225882909,23957.978398540607
2024-01-28,13628.120910760606,9481.63525778246,18137.154102135875
2024-01-29,22617.824018106825,18373.48335919862,27190.895347024252
2024-01-30,23780.468798119764,19469.898735643368,28106.88961968877
2024-01-31,23612.039129590063,19079.819257128012,27924.044913169255
2024-02-01,24079.047660733184,19442.293892657213,28447.558149286015
2024-02-02,25572.5975288731,21434.10689584092,30025.772281739308
2024-02-03,19935.85814543055,15629.984613639599,24008.90484175311
2024-02-04,13651.911975278455,9066.263227300034,18041.396924040117
2024-02-05,22641.615076444705,18546.628798428766,26969.40466773294
2024-02-06,23804.25985025924,19355.02169333137,28021.767561763056
2024-02-07,23635.830175532705,19385.212631566486,28011.163392259434
2024-02-08,24102.838700480563,19837.35242598406,28412.69904122025
2024-02-09,25596.388562439373,21229.711656036638,30168.913301536388
2024-02-10,19959.649178977255,15553.962947441065,24036.880564300132
2024-02-11,13675.70300883805,9432.150366543181,17782.04326166151
2024-02-12,22665.4061100093,18300.686867859353,26858.883155647793
2024-02-13,23828.050883818953,19301.72924257032,28132.778307369706
2024-02-14,23659.62120909707,18831.8462250625,27768.637430512477
2024-02-15,24126.629734044862,19660.670688378912,28484.57901666599
2024-02-16,25620.17959600424,21305.557770619373,30027.66857608797
2024-02-17,19983.44021253202,15795.871255782795,24534.784525714913
2024-02-18,13699.494042397646,9483.117078346302,18045.229299365914
2024-02-19,22689.19714154423,18287.24295199409,27198.45357270501
2024-02-20,23851.841913321452,19929.76789532406,28395.080280894355
2024-02-21,23683.412236571618,19375.69512915218,28346.151915437527
2024-02-22,24150.420759479235,19565.151987182875,28789.098246212994
2024-02-23,25643.97061939917,21081.653604056,30163.499688729324
2024-02-24,20007.231233907143,15463.534364458872,24353.79003949396
2024-02-25,13723.285061739665,9653.01553163318,18159.07473921902
2024-02-26,22712.988160899393,18327.05213500544,26965.623586816822
2024-02-27,23875.63293266695,19790.03235081548,28088.697154404184
2024-02-28,23707.203255916185,19453.049731968076,27791.312977550264
2024-02-29,24174.21177883397,19933.63403110629,28310.154641065667
2024-03-01,25667.76163875446,21378.065715251912,29963.340429910033
2024-03-02,20031.022253286563,15222.541440538476,24381.96415881007
2024-03-03,13747.076081089694,9256.463643950434,18145.298534600563
2024-03-04,22736.779180254696,18287.344520976498,27020.650092877942
2024-03-05,23899.42395202174,19830.20994241169,28295.028226371724
2024-03-06,23730.994273978064,19332.40000754757,27868.435991518443
2024-03-07,24198.0027956201,20322.646362055173,28732.91455720638
2024-03-08,25691.552654270236,21285.67283919063,29832.10963425511
2024-03-09,20054.813267517835,15900.94313070753,24469.806077325808
2024-03-10,13770.867094061774,9353.591998888043,18037.559466146686
2024-03-11,22760.570191951054,18416.89980937261,27001.28164887118
2024-03-12,23923.214962431975,19333.18275625331,28580.261724819295
2024-03-13,23754.785284397585,19357.870821777455,27801.647489128252
2024-03-14,24221.793806039565,19521.449092708503,28321.325623449913
2024-03-15,25715.343664690256,21380.576902433517,30157.02110782312
2024-03-16,20078.604277935807,16184.297215375344,24376.072674124876
2024-03-17,13794.658104472142,9297.280763572851,18049.263565504978
2024-03-18,22784.36120233998,18453.646884307265,26717.291706167147
2024-03-19,23947.005972846855,19885.588336107314,28222.598466971413
2024-03-20,23778.576294817114,19318.924970402524,27905.34364115642
2024-03-21,24245.584816448856,19913.242240168544,28374.4392661915
2024-03-22,25738.333289356742,21329.79881883181,30016.64858086076
2024-03-23,20100.792516885056,15310.031933392333,24418.542550483813
2024-03-24,13816.044957661014,9201.563773429962,18278.030705073987
2024-03-25,22804.94666978618,18413.20617871927,27117.91403538233
2024-03-26,23966.790054539964,19701.069516502488,28575.471155806117
2024-03-27,23797.558990767862,19242.679820466703,28136.88211512676
2024-03-28,24263.766126674516,19640.17875394136,28422.18957223815
2024-03-29,25756.5145995742,21224.84007650919,30144.60803275984
2024-03-30,20118.973827099046,15440.61919388102,24496.184230541647
2024-03-31,13834.226267876182,9410.422616108988,18086.223371802087
2024-04-01,22823.127980002228,18392.285001096498,27151.261036201045
2024-04-02,23984.97136475816,19444.287048814327,28218.34619549474
2024-04-03,23815.74030098963,19614.27071817301,28072.19639155981
2024-04-04,24281.947436879822,19560.489537294292,28654.855350283502
2024-04-05,25774.69590978012,21616.277171300084,30247.509363380494
2024-04-06,20137.155137296933,15834.94087502422,24313.551022465526
2024-04-07,13852.407519310818,9407.036897227885,18042.01983315311
