ds,yhat,yhat_lower,yhat_upper
2024-01-01,7626.7361321879725,6702.967503574239,8590.329574442852
2024-01-02,7802.302277896161,6927.339018231715,8674.25701916824
2024-01-03,7655.648052466188,6767.375504750091,8516.21465780678
2024-01-04,7856.682803691982,6909.12831641099,8760.407654241404
2024-01-05,8413.447060835173,7472.95505504652,9364.158595395886
2024-01-06,7430.054286084189,6553.124456004943,8385.294507805813
2024-01-07,5715.761521645322,4900.700247179142,6646.797190843126
2024-01-08,7684.57297178398,6822.1974200395925,8647.607399776536
2024-01-09,7860.139117497934,6963.582665042788,8827.243911975478
2024-01-10,7713.484892064625,6781.082162443848,8612.85056810942
2024-01-11,7914.519643292325,6982.91959830783,8854.881944850491
2024-01-12,8471.28390043844,7514.824642711598,9338.498035011731
2024-01-13,7487.8911256926685,6562.168679788034,8428.07685579146
2024-01-14,5773.5983612476675,4932.160397508568,6688.876882532834
2024-01-15,7742.409811386701,6814.093927852854,8652.102221333973
2024-01-16,7917.9759570997085,6959.696809795106,8809.941132082788
2024-01-17,7771.321731667663,6835.41584010807,8687.106322539903
2024-01-18,7972.35648297776,7085.714545598825,8844.88158767691
2024-01-19,8529.120740206603,7571.775218856032,9428.591583422334
2024-01-20,7545.727965540577,6676.083288246863,8426.949216910165
2024-01-21,5831.43520117825,4903.692894876976,6737.873279302647
2024-01-22,7800.246651401661,6858.85365022652,8707.62770723514
2024-01-23,7975.81279719467,7046.328402042006,8897.846578782412
2024-01-24,7829.158571847365,6883.034553743024,8718.30719586953
2024-01-25,8030.193323155236,7051.097459999302,9056.895579854872
2024-01-26,8586.957580384535,7622.42025957294,9451.268502090259
2024-01-27,7603.564805718278,6682.311069585908,8487.069973635414
2024-01-28,5889.27204135773,4970.212527596227,6828.565779042714
2024-01-29,7858.083491574803,6920.491628707872,8839.852769722269
2024-01-30,8033.649637372078,7146.258040735545,8995.645808073528
2024-01-31,7886.995412025237,6947.649903250403,8846.383652488177
2024-02-01,8088.03016333629,7161.759982760377,8991.999722763401
2024-02-02,8644.794420562468,7687.871037529318,9611.345037947789
2024-02-03,7661.401645805167,6657.876850082849,8630.895611519258
2024-02-04,5947.108881357572,5088.049156726636,6849.859983918904
2024-02-05,7915.920331488024,7038.036277874398,8858.404745609545
2024-02-06,8091.486477194937,7166.452179597059,9038.892944183377
2024-02-07,7944.832251758048,7020.780249851621,8934.380536237359
2024-02-08,8145.867002979693,7198.798496077047,9016.380079263465
2024-02-09,8702.6312601186,7800.055540717644,9630.00770392177
2024-02-10,7719.238485357984,6778.224217860028,8590.147500342036
2024-02-11,6004.94572091319,5139.3583915738045,6883.580544200815
2024-02-12,7973.7571710443935,7043.229161552039,8871.242390999216
2024-02-13,8149.3233167507615,7196.473683862799,9099.667730954445
2024-02-14,8002.669091315137,7100.916105143399,8915.076801781159
2024-02-15,8203.70384253673,7319.391425637458,9160.886756036789
2024-02-16,8760.468099675916,7804.95198067594,9671.723891414253
2024-02-17,7777.0753249126,6839.808053958523,8744.809181139863
2024-02-18,6062.78256046881,5115.963965518518,7037.6534841834855
2024-02-19,8031.594010614911,6974.452774264241,9001.316343616132
2024-02-20,8207.160156334165,7314.9609989562905,9180.55238759834
2024-02-21,8060.505930912261,7168.910993285012,8971.8947305775
2024-02-22,8261.540682144505,7282.674848301457,9159.736848827179
2024-02-23,8818.304939295027,7873.983917900418,9804.426354265805
2024-02-24,7834.912164547291,6885.681750156727,8805.778106397418
2024-02-25,6120.619400117011,5142.197660817174,6963.32083936673
2024-02-26,8089.430850265103,7142.477614785527,9071.125772397421
2024-02-27,8264.99699598191,7367.730203947721,9178.616479418246
2024-02-28,8118.34277056,7215.778474027627,9009.896170595188
2024-02-29,8319.377521794962,7439.384643212574,9261.009329395625
2024-03-01,8876.141778945763,7964.405785130955,9838.601680655433
2024-03-02,7892.74900420324,7023.064039816985,8884.18431934799
2024-03-03,6178.45623976605,5270.876206089586,7122.379528905174
2024-03-04,8147.267689915697,7222.048904072458,9131.805529224506
2024-03-05,8322.833835632651,7444.115737596891,9325.80744049285
2024-03-06,8176.179610130517,7213.185498750491,9149.467766945054
2024-03-07,8377.21436129028,7457.931004881718,9329.430905145104
2024-03-08,8933.978618367863,8006.495085875218,9879.70579632253
2024-03-09,7950.585843547917,7021.44494940341,8933.918682328434
2024-03-10,6236.2930790389155,5378.515116425999,7193.381246545239
2024-03-11,8205.104529113547,7279.676726890226,9155.024965861281
2024-03-12,8380.670674752666,7395.89735445872,9265.84685577242
2024-03-13,8234.016449253293,7324.613556095726,9195.200823977815
2024-03-14,8435.051200413007,7486.521244821561,9388.981381178144
2024-03-15,8991.815457490868,7990.6039024469965,9909.667008727432
2024-03-16,8008.422682670024,7083.940133614266,8991.700100204307
2024-03-17,6294.129918159446,5356.0074919982235,7289.908317565569
2024-03-18,8262.941368229294,7375.673301907863,9140.370488552146
2024-03-19,8438.507513874178,7530.417813589897,9377.574845886396
2024-03-20,8291.85328837607,7398.280480645522,9237.983145872013
2024-03-21,8492.888039533087,7554.944535804475,9408.840408859167
2024-03-22,9048.942745981925,8105.311412562098,9981.008586977492
2024-03-23,8064.840420537475,7103.705562277167,8980.175442304178
2024-03-24,6349.838105393085,5405.850086139966,7260.813841621274
2024-03-25,8317.940004833827,7376.549015770357,9221.074159468264
2024-03-26,8492.796599846783,7609.908480656852,9474.569368444963
2024-03-27,8345.432823719655,7389.206186087498,9308.295801829841
2024-03-28,8545.758024252087,7590.258139604891,9511.320505347267
2024-03-29,9101.812730697371,8169.71301305063,10011.372085030684
2024-03-30,8117.710405253208,7109.517638933289,9056.432929392717
2024-03-31,6402.708090108795,5472.625475695132,7373.083152650678
2024-04-01,8370.809989550315,7454.853769311748,9230.47812244072
2024-04-02,8545.666584564307,7543.964202910237,9415.310809891032
2024-04-03,8398.30280843789,7519.1260263586255,9415.329813150838
2024-04-04,8598.628008965794,7699.129618769583,9514.842525441312
2024-04-05,9154.682715411533,8262.300403999665,10082.898817338153
2024-04-06,8170.58038996534,7277.948673865653,9115.84795739069
2024-04-07,6453.398475639665,5532.5453296433325,7424.248154530702
