ds,yhat,yhat_lower,yhat_upper
2024-01-01,17534.92037570122,14416.812848175852,20748.86744163775
2024-01-02,18190.74103582657,15062.44432992779,21385.81538944987
2024-01-03,18194.403781696306,15069.534003380191,21143.919526596717
2024-01-04,18603.970682568044,15572.204706247223,21921.126971057183
2024-01-05,20196.980105902243,17147.53418547473,23421.230702603883
2024-01-06,14933.782406420742,11811.20483386597,18132.53268998169
2024-01-07,10495.246448274982,7374.815541349779,13625.448981049389
2024-01-08,17633.5926598092,14645.949601224856,20780.506452637197
2024-01-09,18289.413319953877,15204.658199392496,21366.838270980872
2024-01-10,18293.076065816793,15035.572712229581,21346.957922493795
2024-01-11,18702.642966692387,15423.657510341962,21858.299890441514
2024-01-12,20295.652390033963,16754.06283794059,23530.773244174343
2024-01-13,15032.45469057256,11879.7527418927,18176.711547974104
2024-01-14,10593.9187324076,7312.453671279441,13794.247152513119
2024-01-15,17732.264943941453,14725.304931662537,20978.20308610329
2024-01-16,18388.08560408118,15041.970915629334,21857.495986974052
2024-01-17,18391.748349947553,15308.036125477965,21602.932377033285
2024-01-18,18801.31525038678,15650.871472648601,22283.961984578084
2024-01-19,20394.324673291227,17235.55723869015,23565.26781460367
2024-01-20,15131.126973384942,11869.20879034653,18145.98952616256
2024-01-21,10692.591014781716,7279.81353132673,14010.47089133121
2024-01-22,17830.937225887574,14668.237420485166,20886.246793702376
2024-01-23,18486.75788558315,15337.686332374376,21793.239844854168
2024-01-24,18490.420631016437,15653.679205206148,21540.400590931287
2024-01-25,18899.987531450533,15884.27090929014,21995.121116054543
2024-01-26,20492.996954354392,17582.267404353843,23682.91876173223
2024-01-27,15229.799254448422,12440.587082647202,18640.413242977327
2024-01-28,10791.26329585375,7536.323858242059,13802.45417029883
2024-01-29,17929.60950693497,14615.357345717459,21177.699598081017
2024-01-30,18585.430166647882,15393.035979945918,21842.083558090275
2024-01-31,18589.092912081473,15512.260473058086,21797.545880468708
2024-02-01,18998.659812522506,15755.11833566367,22258.778201934867
2024-02-02,20591.669235417554,17451.285293248722,23815.77166817598
2024-02-03,15328.47153605237,12449.907212890246,18443.906502062433
2024-02-04,10889.93557800827,7756.433562710443,14199.964174723098
2024-02-05,18028.281789647754,14772.122020270905,21127.689448702047
2024-02-06,18684.102449904844,15254.776427534927,22011.4991421417
2024-02-07,18687.765195884305,15307.233370720463,21873.748085269068
2024-02-08,19097.33209687162,15744.565503870876,22045.423960831864
2024-02-09,20690.341520324248,17463.999359008307,23973.88738161279
2024-02-10,15427.14382094168,12110.96173918829,18684.458260421674
2024-02-11,10988.607862908415,7873.674862669045,14335.986732793017
2024-02-12,18126.954074553898,15125.53856040658,21332.26028435302
2024-02-13,18782.77473480448,15570.424329753512,21896.09007370276
2024-02-14,18786.437480787394,15489.585371401448,21667.852336575295
2024-02-15,19196.004381775565,15868.450718155824,22368.161096661774
2024-02-16,20789.013805228293,17373.74400868359,23992.48567015298
2024-02-17,15525.816105838074,12642.191747210922,18479.348912582678
2024-02-18,11087.280147808566,7899.247635954317,14309.364425223595
