ds,yhat,yhat_lower,yhat_upper
2024-01-01,20580.89259553213,16422.096752934707,24757.0503685549
2024-01-02,21523.57324028659,17303.55581655374,25775.39075415069
2024-01-03,20793.91461314986,16658.465798001558,24931.40030700479
2024-01-04,21519.778755837688,17099.32724536792,25835.77204122392
2024-01-05,21867.711046869685,17955.71598978686,26260.8826752802
2024-01-06,12789.476586387871,8425.086060798001,17106.359381987626
2024-01-07,9385.837234569153,5140.284022826845,13574.99109465137
2024-01-08,20599.601051374375,16357.236007218342,24593.18981505902
2024-01-09,21542.281696156184,17410.37528203471,25844.899946142436
2024-01-10,20812.623069014153,16656.302833525682,24887.965070485738
2024-01-11,21538.487211705542,17669.892380367655,25816.08654338092
2024-01-12,21886.419502742847,17794.29096945295,26012.482859328033
2024-01-13,12808.185042290475,8598.343791133788,16814.063441472215
2024-01-14,9404.545690448967,4965.341551642937,13715.845603097903
2024-01-15,20618.30950725242,16240.015522972484,24932.923475653508
2024-01-16,21560.99015202578,17206.328008531273,25626.390729888462
2024-01-17,20831.331524888086,16400.38354633884,24864.487046131817
2024-01-18,21557.19566602474,17581.20460945385,25894.681838831562
2024-01-19,21905.127955503613,17812.925946826854,26067.718818450987
2024-01-20,12826.893493488074,8873.538475659048,17020.29499193799
2024-01-21,9423.254140091763,5074.762791742366,13339.246476433602
2024-01-22,20637.01795534949,16345.369401865531,24878.000201265902
2024-01-23,21579.69859855706,17252.874464253397,25675.349074462334
2024-01-24,20850.03996986772,16644.804635389657,25185.91990773399
2024-01-25,21575.90411099924,17571.021098966197,25908.57303065341
2024-01-26,21923.83640047464,17963.655421566273,26409.418391123392
2024-01-27,12845.6019384609,8252.826954256127,16916.497982626828
2024-01-28,9441.96258507822,5267.070958908945,13511.717193937042
2024-01-29,20655.72640029838,16472.94982419329,24758.20158428316
2024-01-30,21598.407043532152,17481.18906801987,25508.088575824586
2024-01-31,20868.748414843478,16474.190189949266,25201.239624630332
2024-02-01,21594.612555981144,17437.25642457262,25957.834705261994
2024-02-02,21942.544845445664,17842.871529790813,26116.88299599406
2024-02-03,12864.310382916916,8872.793064154755,17173.727500583685
2024-02-04,9460.671029018491,5003.036815769658,13371.699451841369
2024-02-05,20674.43484375467,16798.421574995486,24691.708457747824
2024-02-06,21617.115486474202,17545.640650648853,25597.730477773774
2024-02-07,20887.456857276506,16638.47819276021,25167.133937758237
2024-02-08,21613.320997904364,17475.19155680478,25706.245674845148
2024-02-09,21961.25328688184,17876.338297076556,26101.320253513695
2024-02-10,12883.018824321658,8640.407450133553,16840.370689610845
2024-02-11,9479.37947043901,5520.644485418658,13324.486533708556
2024-02-12,20693.143285182297,16743.578603342386,24999.91758861308
2024-02-13,21635.82392789062,17713.113276774293,25847.71700441512
2024-02-14,20906.165298697262,16660.961817251922,24976.3602122201
2024-02-15,21632.029439326587,17335.925391200366,26014.364430585425
2024-02-16,21979.961728301827,17817.48550572607,26007.383259212165
2024-02-17,12901.72726573467,8806.180536560158,17193.803397999884
2024-02-18,9498.087911859524,5096.4016009917905,13454.97254158011
2024-02-19,20711.851594384218,16550.432231840587,24937.568642790844
2024-02-20,21654.53210487539,17282.161783827683,25860.015683155863
2024-02-21,20924.87334345747,16865.820767923196,25162.388910690293
2024-02-22,21650.73735186053,17527.35970470739,25712.51316309881
2024-02-23,21998.669508603343,17794.308939186973,26126.987014116257
2024-02-24,12920.434913826575,8394.91221588752,17128.80979538102
2024-02-25,9516.79542771579,5218.528669125491,13666.830799869369
2024-02-26,20730.559110267808,16529.054715742408,25209.102609220183
2024-02-27,21673.239620749384,17452.827815417182,25712.122028748876
2024-02-28,20943.58085933119,16673.345308439402,25061.97403390974
2024-02-29,21669.44486774147,17472.935849987116,25639.595203441815
2024-03-01,22017.377024482048,18174.50355174252,26194.757216462767
2024-03-02,12939.142429734726,8616.588011938506,17371.361977357126
2024-03-03,9535.502943595027,5470.221858227399,13737.15740012517
2024-03-04,20749.266626148634,16878.715832032307,25126.092237161418
2024-03-05,21691.94713662566,17364.66439771568,25783.382302129827
2024-03-06,20962.288122764716,16740.594890455028,25092.83629668256
2024-03-07,21688.151878734574,17716.988595445866,26186.96095368515
2024-03-08,22036.08378304305,17836.451166162962,26003.669380839896
2024-03-09,12957.848935852951,8469.564951822935,17494.960524576207
2024-03-10,9554.209197298842,5226.051781002011,13550.566889076188
2024-03-11,20767.972627414372,16906.304330256993,24813.589065082437
2024-03-12,21710.652885445495,17377.109828525492,25728.707298310135
2024-03-13,20980.993871590035,16968.42785397473,25006.566658372914
2024-03-14,21706.857627561352,17521.271567927597,26227.191547637216
2024-03-15,22054.78953186759,17914.27300260853,26107.325617279326
2024-03-16,12976.55468467879,8774.585188838375,17286.504007595326
2024-03-17,9572.914946117799,5299.92381311437,13717.720353233304
2024-03-18,20786.678376208,16687.758668686274,25050.089562655205
2024-03-19,21729.35863426647,17505.345506089336,26008.782166219502
2024-03-20,20999.699620415355,17257.441679986598,25137.408212725746
2024-03-21,21725.56337638059,17780.34645750673,25731.932927600952
2024-03-22,22072.516100289937,17914.271458434585,26252.971635941078
2024-03-23,12993.30207273766,8771.885271226694,17232.668053165446
2024-03-24,9588.683153768723,5388.7517155495325,13605.99490417726
2024-03-25,20801.46740346373,16510.942277576793,24701.061915746985
2024-03-26,21743.168481119177,17725.481632288345,25885.413127728338
2024-03-27,21012.5302868753,16766.04392962866,25079.25650606509
2024-03-28,21737.414862460937,17365.729633727024,25871.203320152075
2024-03-29,22084.3675863767,17747.30533796565,26351.511506203147
2024-03-30,13005.153558809514,8834.018762340831,17220.45856668479
2024-03-31,9600.534639845937,5478.49264912246,13563.280018083105
2024-04-01,20813.31888953641,16433.205875215273,25158.17410503733
2024-04-02,21755.019967196033,17820.955054666993,26034.21589175314
2024-04-03,21024.381772950517,16783.31471489235,25024.06384596778
2024-04-04,21749.266348526187,17768.202761078213,26225.197861370863
2024-04-05,22096.219072438478,18046.67227894856,25935.352047225617
2024-04-06,13017.005044864833,8792.496580141786,17245.498611448726
2024-04-07,9611.724374552688,5497.221847918982,13758.055610649006
2024-04-08,20823.846872885937,16721.189716314784,25263.739968901285
2024-04-09,21764.88619917,17277.715444063124,25751.306634742996
2024-04-10,21033.58625355484,16820.20416103491,25172.986529078018
2024-04-11,21757.809077769733,17572.822687847653,25963.603725831697
2024-04-12,22104.10005031421,17848.859973034647,26253.280791742138
2024-04-13,13024.22427137802,8859.327416505286,17482.921845197536
2024-04-14,9618.943601056531,5550.139865173681,13677.546610222205
2024-04-15,20831.06609940822,16565.842634090546,25116.490976190682
2024-04-16,21772.105425686594,17679.771680128204,25839.314949770273
2024-04-17,21040.805480075775,16944.110112411923,25537.481199097874
2024-04-18,21765.028304292133,17496.307020417364,26420.114778306364
2024-04-19,22111.31927685057,18225.983546010142,26327.85272683078
2024-04-20,13031.443497891203,8927.365568931633,17119.36828755378
2024-04-21,9626.162827571114,5352.345873927348,13787.63278790048
2024-04-22,20838.285325930505,16976.498690333334,25187.356606797166
2024-04-23,21779.314459053847,17519.22567914402,25861.340317313752
2024-04-24,21048.004320295484,16929.436925270427,25283.372372646005
2024-04-25,21772.216951347153,17703.308181688262,26026.49032631296
2024-04-26,22118.49773077792,17781.251091646325,26097.72991513421
2024-04-27,13038.611758663377,8842.959899000474,17089.71177160929
2024-04-28,9633.320895208708,5340.184383358993,13591.40209479444
2024-04-29,20845.433200385094,16431.625032871125,24761.105786053082
2024-04-30,21786.46233354174,17682.577845453314,25808.010436356286
2024-05-01,21055.15219477418,17035.712299956023,25091.38764003999
2024-05-02,21779.36482583968,17576.304155199658,25948.66055251528
2024-05-03,22125.64560524311,17768.117070870903,26267.88188371735
2024-05-04,13045.759633130878,9229.249568001509,17418.63829127173
2024-05-05,9640.468769691983,5403.886754853914,13537.840718600453
2024-05-06,20852.581074869955,16803.24010202255,25102.106207007957
2024-05-07,21793.610208019774,17819.91379092235,26002.223691469015
2024-05-08,21062.300069252873,17017.224081311517,25131.82570996569
2024-05-09,21786.10469679938,17639.887233616744,25951.847713049072
2024-05-10,22131.977472690385,18084.08286525807,26337.995669075382
2024-05-11,13051.683497089873,9087.564214423945,17222.106816589137
2024-05-12,9645.984630104338,5235.675554872899,13600.052326255174
2024-05-13,20857.688931771696,16844.888442920797,24975.26141160122
2024-05-14,21798.31006139371,17530.399313247926,25809.939916005977
2024-05-15,21066.59191911228,16882.324207496717,25215.500356779197
2024-05-16,21790.396546652573,17561.07942803544,25996.769300533255
2024-05-17,22136.269322549022,17752.86714640027,26181.824559276407
2024-05-18,13055.975346933272,8985.561877494783,17149.71147161647
2024-05-19,9650.276479963512,5715.317830955889,13979.727318693787
2024-05-20,20861.98078163246,16650.71935437281,25010.832801734028
2024-05-21,21802.60191124764,17607.0576512908,25643.83435167973
