ds,yhat,yhat_lower,yhat_upper
2024-01-01,22071.14722595742,18281.680303167148,26361.550768795023
2024-01-02,23022.415243022624,19002.348916972733,27090.777927992036
2024-01-03,22726.950421208025,18502.52480222778,26876.250842084424
2024-01-04,23236.656898542245,19219.509451734626,27116.635190666428
2024-01-05,23754.729357370277,19804.4393746736,27704.22639522465
2024-01-06,15348.274936948565,11419.398590389757,19275.97359285542
2024-01-07,11151.015342268518,7326.878072305292,14893.999012142034
2024-01-08,22073.787334362452,18084.541728349952,26239.90496903388
2024-01-09,23025.055351455143,18953.52343730226,26841.080354955353
2024-01-10,22729.590529633217,18940.308646012563,26789.036044466175
2024-01-11,23239.29700697147,19240.646339712603,27197.42828421468
2024-01-12,23757.369465806994,19998.67862441057,27618.654804590326
2024-01-13,15350.91504541353,11459.871349592031,19685.58000500025
2024-01-14,11153.655450710148,7206.883922325267,15005.243219914799
2024-01-15,22076.427442802633,17991.19002240959,25835.912190130675
2024-01-16,23027.695459887655,19101.9499204622,27368.725372679128
2024-01-17,22732.230638070345,18711.330590596,26354.11673141005
2024-01-18,23241.93711499434,19180.764887364196,27118.3733797175
2024-01-19,23760.009573413536,19688.045693660995,27758.755637084967
2024-01-20,15353.555152596979,11467.492395976864,19539.961936590185
2024-01-21,11156.295557478996,6764.137269065442,15056.204855968806
2024-01-22,22079.06754916738,18233.6174114435,26053.496203657545
2024-01-23,23030.335565827634,19237.994215014125,27191.81244218688
2024-01-24,22734.87074360003,18372.071710425036,26596.837256718813
2024-01-25,23244.57722051796,19242.98145083579,27158.75120096311
2024-01-26,23762.649678934875,19880.564760189587,27799.28590039159
2024-01-27,15356.195258120071,11355.83341497808,19363.957677243146
2024-01-28,11158.935663015025,7220.486589976959,15241.556354217288
2024-01-29,22081.707654666814,18034.698352887524,26187.048416518388
2024-01-30,23032.97567135253,19028.076820189483,27219.51924759603
2024-01-31,22737.510849125585,18868.06490437568,26976.77790518049
2024-02-01,23247.21732605289,19239.721729376255,27291.797484837487
2024-02-02,23765.289784456214,20101.78321723925,27887.80625780091
2024-02-03,15358.83536384962,11404.69607440961,19277.567743871638
2024-02-04,11161.575768955876,7124.441506541516,15220.330198876078
2024-02-05,22084.34776084504,18122.55296853023,26222.221764411297
2024-02-06,23035.61577774076,18880.442156100347,27023.588072286107
2024-02-07,22740.150955727782,18732.253445893846,26759.716398835037
2024-02-08,23249.85743286849,19268.769104500123,27354.87186573402
2024-02-09,23767.929891507432,19863.443647667686,27808.368607714114
