ds,yhat,yhat_lower,yhat_upper
2024-01-01,19586.948760435356,17245.545932592133,21909.158283802615
2024-01-02,19658.79699400591,17098.952371594318,21999.786854997747
2024-01-03,19596.64537574794,17238.06549275534,22166.793270859675
2024-01-04,19799.24496163887,17292.000857915787,22236.084652803907
2024-01-05,21443.143965162075,19203.61733103819,24027.134994925218
2024-01-06,18974.215740010928,16544.81193017163,21196.71590527792
2024-01-07,16356.770073279367,13977.191166857197,18813.518303006156
2024-01-08,19810.18229785229,17340.70800875758,22305.567279079507
2024-01-09,19882.03053143188,17317.089774050004,22105.395827618602
2024-01-10,19819.878913170516,17398.36764478772,22279.2551122637
2024-01-11,20022.4784990637,17578.29486581979,22444.749341470888
2024-01-12,21666.377502591396,19079.785071956907,24090.021267101445
2024-01-13,19197.44927745026,16713.35892530382,21588.335182262635
2024-01-14,16580.003610708452,14117.798673676558,19070.342416288724
2024-01-15,20033.415835281026,17536.38804105865,22609.317267287614
2024-01-16,20105.26406885785,17702.664942706902,22566.301890416016
2024-01-17,20043.112450598353,17593.510744958166,22509.80440827092
2024-01-18,20245.71203631923,17691.505660038456,22700.16255189367
2024-01-19,21889.611039674095,19473.86113829184,24379.20707711701
2024-01-20,19420.68281435491,16938.17526819497,22027.1268629293
2024-01-21,16803.2371474381,14468.146692027283,19281.12580569587
2024-01-22,20256.649371843203,17770.66327848448,22696.020014498376
2024-01-23,20328.49760524322,17773.7858532214,22805.991168048462
2024-01-24,20266.345986813074,17721.345109643156,22703.620005412078
2024-01-25,20468.945572530873,17849.94587578007,22856.529055703217
2024-01-26,22112.84457588564,19551.921725711196,24449.160218777688
2024-01-27,19643.916350566313,17233.70305233005,22224.793595680207
2024-01-28,17026.470683654,14586.324716644212,19870.684956001955
2024-01-29,20479.882908046948,18014.783460712675,23066.22838325276
2024-01-30,20551.731141455275,17943.45165957196,23005.29886006599
2024-01-31,20489.57952302509,17928.375201401235,22759.907364704075
2024-02-01,20692.17910874555,18271.966754577206,23072.832241303557
2024-02-02,22336.078112097188,19980.879788018206,24839.342125526193
2024-02-03,19867.149886954718,17416.57848507678,22148.601607092
2024-02-04,17249.70422022714,14945.082287481127,19879.780013042877
2024-02-05,20703.11644480501,18395.403591598373,23310.30135531581
2024-02-06,20774.964678393153,18164.01505832068,23196.433671270257
2024-02-07,20712.813060143482,18319.41003761628,23167.786780725146
2024-02-08,20915.41264604484,18279.47252366535,23365.191381198987
2024-02-09,22559.3116495805,20086.113993188756,24891.431886683335
2024-02-10,20090.383424430776,17624.29308130784,22344.278135366825
2024-02-11,17472.937757708867,15123.538916446434,19967.724790831733
2024-02-12,20926.34998229079,18427.93182361962,23432.782568319093
2024-02-13,20998.198215874854,18628.59770680763,23287.069295906345
2024-02-14,20936.04659762705,18461.102671715227,23310.63565012285
2024-02-15,21138.64618352941,18578.636232746918,23628.7511295485
2024-02-16,22782.545187065552,20506.213427427476,25282.605210897887
2024-02-17,20313.6169619111,17813.899877148295,22740.9283960628
2024-02-18,17696.17129519059,15392.926415262546,20195.17736042663
2024-02-19,21149.583518897653,18793.71895765368,23569.920722268034
2024-02-20,21221.431751606673,18774.356737643597,23756.804603951357
2024-02-21,21159.28013248174,18851.863547749326,23595.827580792196
2024-02-22,21361.87971750481,18875.942646525884,23757.787969051296
2024-02-23,23005.778720159964,20480.179605769856,25626.83708467252
2024-02-24,20536.850494133665,18051.190611462564,22997.519322802917
2024-02-25,17919.404826536058,15544.803298851099,20411.05245826878
2024-02-26,21372.81705024807,19024.974228145868,23958.598451681424
2024-02-27,21444.665282953596,18947.504998126704,23889.032268281993
2024-02-28,21382.513663828697,18944.8886429243,23873.297992652948
2024-02-29,21585.11324885533,19181.851311903847,24074.722644086854
2024-03-01,23229.012251510972,20606.48461974864,25675.826259257872
2024-03-02,20760.08402549468,18357.61052040437,23187.13268895872
2024-03-03,18142.638357883734,15643.599616691059,20522.768044165732
2024-03-04,21596.050581597185,19282.284517145992,24074.855040791645
2024-03-05,21667.898814301985,19106.156616688782,24027.90855499993
