ds,yhat,yhat_lower,yhat_upper
2024-01-01,6590.380034743923,5285.719844727761,7854.740736715804
2024-01-02,6999.306982559626,5691.974255605996,8295.352718173575
2024-01-03,6976.128167175505,5622.516427340415,8205.745432300244
2024-01-04,7134.965435913868,5866.177978601272,8357.94034915889
2024-01-05,7378.015294054746,6120.780974506156,8656.843952713696
2024-01-06,5760.409907890429,4530.398406528271,7033.7339010156265
2024-01-07,4338.472286262837,3020.282195717295,5622.167120002027
2024-01-08,6680.242570936468,5479.576116608658,7981.367440614525
2024-01-09,7089.169518758948,5875.234264085392,8356.849664090487
2024-01-10,7065.990703372252,5827.087498865867,8381.517556216344
2024-01-11,7224.827972111972,5973.185727893545,8528.283419521265
2024-01-12,7467.877830255037,6151.88416613713,8766.9319666426
2024-01-13,5850.272444097263,4657.170296644242,7002.424437081693
2024-01-14,4428.334822463347,3161.516991534632,5775.1992276160945
2024-01-15,6770.105107137162,5496.2982045556355,8044.948175450566
2024-01-16,7179.032054958269,5898.575602947004,8537.551804505689
2024-01-17,7155.853239572619,5923.194398917307,8401.350128964525
2024-01-18,7314.690509263668,6006.378660223341,8534.874992622066
2024-01-19,7557.740368357947,6236.109638967247,8738.49013713469
2024-01-20,5940.134983149222,4739.920070643747,7170.409210435162
2024-01-21,4518.197362466966,3218.893898989292,5760.055152622647
2024-01-22,6859.967648094402,5602.0073802646975,8191.730694755002
2024-01-23,7268.894596864467,6059.851428054525,8441.435354381441
2024-01-24,7245.715782431632,6055.354256888396,8495.023292184176
2024-01-25,7404.5530521209375,6112.72615947452,8659.613119158368
2024-01-26,7647.602911215099,6381.486828326363,8820.543020380046
2024-01-27,6029.997526006417,4747.471960684973,7236.743485022949
2024-01-28,4608.059905326642,3381.2035655392083,5891.521929119919
2024-01-29,6949.830190946112,5680.927395929156,8253.414802978234
2024-01-30,7358.757139721976,6077.639548650217,8609.276901479707
2024-01-31,7335.578325289353,6091.496661925913,8545.774118527572
2024-02-01,7494.415594981398,6266.027398057639,8716.73360360916
2024-02-02,7737.465454072251,6483.971324542434,9050.259753314725
2024-02-03,6119.860068879106,4925.057084139036,7398.90223921126
2024-02-04,4697.922448217305,3476.8009255705842,5944.259896877145
2024-02-05,7039.69273385801,5664.877897648839,8326.272020769055
2024-02-06,7448.61968264991,6144.184071315485,8733.850927263906
2024-02-07,7425.440868233886,6152.955470549851,8685.612039239615
2024-02-08,7584.278137942841,6296.190950152126,8812.888586680869
2024-02-09,7827.327997054751,6501.073418686741,9121.77884967563
2024-02-10,6209.722611855969,4957.551756761808,7486.6424749701155
2024-02-11,4787.7849911974545,3497.146393591027,6065.861775133984
2024-02-12,7129.555276839455,5921.480936798403,8390.79901212848
2024-02-13,7538.482225629935,6212.530573369447,8827.429965121335
2024-02-14,7515.303411214957,6327.024979130162,8823.603884148435
2024-02-15,7674.1406809239315,6451.994657523364,8995.092013367253
2024-02-16,7917.190540035745,6726.979204512536,9201.54572902026
2024-02-17,6299.585154834702,4998.250609311703,7603.591503580786
