ds,yhat,yhat_lower,yhat_upper
2024-01-01,14650.831864829135,12755.08460968993,16685.73396947052
2024-01-02,15159.618314012721,13240.52736461011,17222.27861169566
2024-01-03,15193.43409442723,13364.864015279338,17195.486130375513
2024-01-04,15388.750206526143,13427.364241469255,17335.2059853994
2024-01-05,16137.96355318862,14086.591355011155,18116.30044326504
2024-01-06,13961.082635926643,11940.21932542537,15987.119636170974
2024-01-07,10497.246633054703,8444.073904360257,12474.582925681792
2024-01-08,14814.787961470434,12900.651394055005,16804.488734230617
2024-01-09,15323.574410666713,13382.423006581826,17315.2306981998
2024-01-10,15357.390191073899,13266.904031202008,17139.570436914422
2024-01-11,15552.706303176408,13474.22242621516,17587.554344992517
2024-01-12,16301.919649845478,14341.195095213438,18158.571049198134
2024-01-13,14125.038732594221,12378.591837352827,16122.676383644879
2024-01-14,10661.202729709958,8593.80800031806,12676.273122364264
2024-01-15,14978.744058126304,12992.38644211555,16845.705904235943
2024-01-16,15487.530507320706,13514.447858265175,17594.390885856123
2024-01-17,15521.3462877305,13534.192005183902,17483.849288612015
2024-01-18,15716.662399899165,13612.66008139132,17676.6413920985
2024-01-19,16465.875746635742,14517.030049976382,18550.95875248604
2024-01-20,14288.994829445699,12193.198108544628,16266.817137685857
2024-01-21,10825.158826628307,8707.865974597915,12787.501095341537
2024-01-22,15142.700155115679,13167.476488904511,17052.72334560289
2024-01-23,15651.486604371752,13706.803575098957,17689.935668662947
2024-01-24,15685.302384852472,13778.730623244715,17754.705577307912
2024-01-25,15880.618497016347,13744.049070262046,17785.814606610416
2024-01-26,16629.831843754044,14541.943134500856,18643.698526872042
2024-01-27,14452.950926563979,12416.530672747487,16524.191767865832
2024-01-28,10989.114923750474,9055.8802185225,12932.87317732557
2024-01-29,15306.656252223895,13439.030635767263,17182.447996779894
2024-01-30,15815.4427014895,13670.19354827305,17804.727782509657
2024-01-31,15849.258481971021,13611.138251839506,17765.6636877861
2024-02-01,16044.574594143458,14098.054465624527,17922.85259409742
2024-02-02,16793.78794087235,14758.592380750599,18884.52906454622
2024-02-03,14616.907023393785,12695.036291079321,16667.550658812273
2024-02-04,11153.071020299572,9095.936871585958,13183.3620501417
2024-02-05,15470.61234849416,13361.569144657795,17349.391144690093
2024-02-06,15979.39879747276,13987.232619689928,17942.340305408827
2024-02-07,16013.214577667508,13985.032040318378,17974.86110719085
2024-02-08,16208.530689554163,14058.501574755133,18017.60651705118
2024-02-09,16957.744036003915,15042.74305744412,18788.82493438594
2024-02-10,14780.863118517118,12637.092743599338,16708.612395418157
2024-02-11,11317.027115429,9412.281420015106,13280.636992401021
2024-02-12,15634.568443625336,13666.566333361552,17718.576048927505
2024-02-13,16143.35489260278,14180.417068133771,18068.028878841913
2024-02-14,16177.170672800139,14106.13704586083,18215.22730223861
2024-02-15,16372.48678468625,14363.454218786728,18370.346914252903
2024-02-16,17121.7001311368,15154.280613157463,19009.30491814896
2024-02-17,14944.819213644516,12874.423915584235,16978.32249372276
2024-02-18,11480.983210558425,9472.993242059467,13511.75804470275
2024-02-19,15798.524538157526,13729.776115614113,17872.515155319707
2024-02-20,16307.310986532568,14459.297630410541,18267.069719887302
2024-02-21,16341.126766131483,14363.948292480418,18378.10223439273
2024-02-22,16536.442877410827,14638.730260809745,18538.5139689824
2024-02-23,17285.6562232566,15360.792605945613,19202.835641390862
2024-02-24,15108.775305169336,13145.481794254001,17017.420748439108
2024-02-25,11644.93930148246,9728.10075144104,13600.268156730337
2024-02-26,15962.480629086414,13967.464356241817,17984.593447739928
2024-02-27,16471.267077456425,14417.705877207522,18560.38276541392
2024-02-28,16505.082857054593,14547.25068175362,18593.700460901277
2024-02-29,16700.39896833991,14617.644550284529,18666.31812690684
2024-03-01,17449.612314186485,15485.02240535457,19298.226583549636
2024-03-02,15272.731396109943,13225.830725898417,17299.255945764642
2024-03-03,11808.895392408882,9731.534518907854,13932.548746387567
2024-03-04,16126.436720016032,14268.578291196989,18207.001909129816
2024-03-05,16635.2231683866,14561.313283879215,18558.676190737966
2024-03-06,16669.033711328837,14799.883563396019,18579.07361209873
2024-03-07,16864.344585970644,14963.542763920725,18732.314563522876
2024-03-08,17613.552695174545,15716.71609044733,19612.65113814409
2024-03-09,15436.66654044847,13413.827682937403,17535.40643366654
2024-03-10,11972.82530010991,9963.28590895888,14008.28173511999
2024-03-11,16290.36139107222,14230.879361675892,18240.22820782485
2024-03-12,16799.142602792308,14776.311091723914,18834.936937116378
2024-03-13,16832.953145740314,14870.710755640164,18953.802917680354
2024-03-14,17028.26402038157,15101.707176016444,19113.117857536872
2024-03-15,17777.472129586276,15841.142977442956,19939.256916312803
2024-03-16,15600.585974858775,13640.024739073842,17641.22077284591
2024-03-17,12136.744734516325,10128.980556124881,14207.686408779873
2024-03-18,16454.280825468395,14334.311410026863,18432.395466199814
2024-03-19,16963.062037201173,14921.683487655615,18932.015079251378
2024-03-20,16996.872580151787,15128.019118466498,19036.533124328715
2024-03-21,17192.18345478671,15286.447128690177,19161.678411815614
2024-03-22,17936.854369920824,15966.408126185363,19805.483528517027
2024-03-23,15755.431021133736,13822.132437142984,17707.783410061373
2024-03-24,12287.052586711314,10153.241065790176,14222.596239375143
2024-03-25,16600.051483592284,14560.542885866502,18649.750997445793
2024-03-26,17104.295501248314,15079.242472737678,19236.98146632107
2024-03-27,17133.568850128016,15106.030931681475,19189.35642102647
2024-03-28,17324.34253070144,15165.94297585991,19302.32150320352
2024-03-29,18069.013445829245,16071.113815018763,20005.580192396614
2024-03-30,15887.590097042052,13867.569008375563,17871.905442462554
2024-03-31,12419.21166261945,10386.6059370743,14500.309971591549
2024-04-01,16732.210559501753,14812.679094718424,18821.2322179435
2024-04-02,17236.45457715897,15184.346501391718,19264.117221447308
2024-04-03,17265.72792604092,15351.35523141345,19172.162754881974
2024-04-04,17456.50160660459,15502.015645277275,19404.673607334054
2024-04-05,18201.17252173351,16294.191678993164,20071.21127304497
2024-04-06,16019.749172942235,14052.970250150656,18027.41724602138
2024-04-07,12540.768538916163,10626.132711575701,14557.322884731522
2024-04-08,16843.165236190653,14867.51113302138,18745.525470595687
2024-04-09,17336.807054237157,15384.509446071963,19341.71631545776
2024-04-10,17355.47820350222,15431.00415272331,19359.230378274126
2024-04-11,17535.649684459924,15604.230350583093,19539.70614799224
2024-04-12,18269.71839998041,16323.373052637215,20262.92589960748
2024-04-13,16077.692851579552,14204.123103303073,18230.88901605803
2024-04-14,12598.712217554976,10532.645339385967,14570.657078066804
2024-04-15,16901.108914833192,14885.94012469683,18874.965175725563
2024-04-16,17394.750732877095,15260.354724180299,19376.902293263152
2024-04-17,17413.421882144772,15343.908095685421,19424.60806928288
2024-04-18,17593.593363101932,15643.561957642729,19590.37954325294
2024-04-19,18327.662078621895,16294.24035218174,20450.1984181783
2024-04-20,16135.63653021687,14135.7739316234,18258.397870090008
2024-04-21,12656.655896192467,10632.032289088062,14700.299383762187
2024-04-22,16959.052593475728,15063.002488855298,19223.528498129053
2024-04-23,17442.407553760888,15416.931929587958,19467.22715192709
2024-04-24,17450.791845276373,15455.343020113383,19402.727694808324
2024-04-25,17620.67646847173,15417.54054522751,19573.648342575198
2024-04-26,18344.458326252745,16300.39002803146,20374.734900064057
2024-04-27,16142.145920089244,14367.844287297617,18208.681496340098
2024-04-28,12652.87842831574,10574.72163654142,14590.921433693007
2024-04-29,16944.988267831337,14930.510222891317,18985.08104076718
2024-04-30,17428.34322813054,15281.777996064842,19534.036741439035
