ds,yhat,yhat_lower,yhat_upper
2024-01-01,17780.69931716138,15054.874952361073,20738.61766341905
2024-01-02,18509.078202176635,15743.760292543693,21432.987674489934
2024-01-03,18361.294573184907,15490.866180165942,21375.745904580162
2024-01-04,18829.17745859744,15994.918332027642,21706.658744575987
2024-01-05,19455.420122920073,16520.286501838236,22400.585471149025
2024-01-06,14614.482436308044,11793.956294482146,17400.536237762786
2024-01-07,10788.026222845428,7954.618804175854,13687.683990855874
2024-01-08,17838.100837536906,14984.987696126675,20742.671690325264
2024-01-09,18566.47972257111,15719.943680887198,21259.954541933945
2024-01-10,18418.6960935721,15752.913684055802,21363.02826174514
2024-01-11,18886.5789789885,15991.01058916416,21729.036564089718
2024-01-12,19512.82164331779,16710.87935714006,22400.99340128593
2024-01-13,14671.883956724221,11804.883661941325,17590.522538476518
2024-01-14,10845.42774324425,7835.590465352126,13600.40214523956
2024-01-15,17895.50235793563,14967.993967503391,20750.965449097
2024-01-16,18623.881242965585,15590.080972032194,21553.8767808639
2024-01-17,18476.097613970047,15847.82974188706,21309.321993740778
2024-01-18,18943.980499544552,16223.280044699846,22092.951640762927
2024-01-19,19570.223164031657,16715.240398497106,22418.7359216225
2024-01-20,14729.285477589674,11880.970273577777,17779.10675272784
2024-01-21,10902.829264268468,7959.593537490608,13675.022702892138
2024-01-22,17952.90387912473,15162.315917677834,20801.595284270745
2024-01-23,18681.282764305746,15776.779395411597,21416.20599774788
2024-01-24,18533.49913547262,15531.211188524754,21082.93606372887
2024-01-25,19001.38202104215,15975.059684722708,21787.780349912457
2024-01-26,19627.624685528823,16827.747783619896,22352.90766399854
2024-01-27,14786.686999087435,11787.164949205282,17791.288004623315
2024-01-28,10960.230785773834,7825.8335773238,14141.778334457258
2024-01-29,18010.305400606805,15021.081039307466,20708.65371716335
2024-01-30,18738.684285803985,15629.60342743441,21713.89531046302
2024-01-31,18590.900656971724,15547.233811521515,21299.194395665003
2024-02-01,19058.783542549605,16100.083321290396,21852.84190347879
2024-02-02,19685.02620702599,16711.02843864333,22602.35565811687
2024-02-03,14844.088520003432,12027.198277054196,17688.079884865132
2024-02-04,11017.632306114368,8134.608455983033,13676.554070601132
2024-02-05,18067.706920383935,15096.142299149504,20759.938325510328
2024-02-06,18796.085805001338,16035.478890845445,21659.259600638754
2024-02-07,18648.302175591256,16170.43315322716,21586.766228803008
2024-02-08,19116.18506059171,16050.994100540482,21907.866173174796
2024-02-09,19742.427724503767,16905.480245846655,22696.459790462148
2024-02-10,14901.49003746394,11920.12609111109,17746.319083508235
2024-02-11,11075.033823584872,8107.058329125942,13868.15247164513
2024-02-12,18125.108437858173,15312.169702764879,20948.198684589268
2024-02-13,18853.487322470948,15808.155867943939,21974.215695557665
2024-02-14,18705.70369306434,15898.322664481613,21616.735115921023
2024-02-15,19173.58657806482,15989.179320192541,22238.325788103004
2024-02-16,19799.829241976615,16921.771883274516,22414.251186194262
2024-02-17,14958.8915549303,12339.878821236869,17697.350056728552
2024-02-18,11132.435341055374,8257.409841723551,14194.398361281226
2024-02-19,18182.509955195277,15420.507525185809,21079.948806958746
2024-02-20,18910.888839671014,15668.459655978528,21831.737226943947
2024-02-21,18763.105210128317,15676.882733334603,21521.4868118617
2024-02-22,19230.988094985536,16350.902904796481,22136.149784744182
2024-02-23,19857.23075875345,16931.52369392926,22858.875647325414
2024-02-24,15016.293071578444,11915.311428676489,17829.85426296047
2024-02-25,11189.836857561753,8206.462906490055,13974.9444359524
2024-02-26,18239.911471714553,15494.202146669355,21067.024000810645
2024-02-27,18968.29035618327,16059.012531646773,21823.41140193813
2024-02-28,18820.506726639527,15997.602375659239,21712.578070385098
2024-02-29,19288.38961150407,16286.708544862016,22084.779280981373
2024-03-01,19914.63227527172,17137.772443697482,22704.197465286576
2024-03-02,15073.694588115177,12132.279134758297,18034.086702531655
2024-03-03,11247.238374077677,8393.822188187287,14300.53260710655
2024-03-04,18297.312988233443,15209.233449444511,20965.7862540855
2024-03-05,19025.691872701074,16071.860345993395,21761.87809987264
2024-03-06,18877.90805971553,15864.441561604417,21741.221973803327
2024-03-07,19345.79076114821,16401.519920662577,22156.256663634947
2024-03-08,19972.03324148766,17159.975376615002,22842.578813146592
2024-03-09,15131.095370894112,12212.978535826773,17887.667335593404
2024-03-10,11304.63897343832,8325.775447086195,13951.872617526975
2024-03-11,18354.71340416223,15622.009705118107,21391.539317509552
2024-03-12,19083.092105191092,16082.45921388569,21930.167209508854
2024-03-13,18935.308292211794,16117.477745238979,21709.42688242082
2024-03-14,19403.190993644504,16660.08366079568,22234.89005275494
2024-03-15,20029.433473983692,17171.187613474835,22723.563220210166
2024-03-16,15188.495603389509,12528.303069910353,18339.381373413475
