ds,yhat,yhat_lower,yhat_upper
2024-01-01,17449.61131188988,8645.986332265242,25853.716036623067
2024-01-02,18843.81427786992,10549.247165923403,27300.049178041856
2024-01-03,18302.275256551748,9693.148492171189,26246.073405013976
2024-01-04,19171.535272513243,11799.117778508149,28037.755657987618
2024-01-05,26972.080198236927,18538.709025876742,35663.61816822935
2024-01-06,32191.46200599105,23700.464814442475,41003.91566739837
2024-01-07,27196.364690655777,18766.429419138905,35701.67386572069
2024-01-08,17851.314256484256,9595.723118379059,27204.853432123615
2024-01-09,19245.51722245224,11064.290559440908,27646.622826249935
2024-01-10,18703.97820113838,9770.151001614327,26620.76814117801
2024-01-11,19573.2382171018,10891.200372101384,28275.94287877744
2024-01-12,27373.783142821732,18367.652381996646,35542.44696568275
2024-01-13,32593.16495057231,23932.43479343299,41376.57617037585
2024-01-14,27598.067635228657,19230.9447699707,36427.950047996994
2024-01-15,18253.017201063296,9591.78148956174,26795.711375495754
2024-01-16,19647.22016703456,11254.42604585651,28538.47785638817
2024-01-17,19105.681145715665,10703.890674347595,27841.401381901378
2024-01-18,19974.941163036794,11797.691180490234,28635.836527832264
2024-01-19,27775.486090110324,19114.780585890458,35979.18479063524
2024-01-20,32994.86789920868,24067.49329913671,41074.79236760827
2024-01-21,27999.770585212606,19477.608789196096,35906.977854509525
2024-01-22,18654.72015240179,11040.336333280009,27241.248845792663
2024-01-23,20048.92311973119,12093.851386420396,28348.92003668634
2024-01-24,19507.384099765146,10787.364802139477,27681.12362994329
2024-01-25,20376.64411708858,11524.758612864127,28673.431879340314
2024-01-26,28177.189044163515,19633.50041888068,36451.255458564716
2024-01-27,33396.57085325261,24966.086106923245,41442.43575312685
2024-01-28,28401.473539248716,19618.803215551994,36742.04085931851
2024-01-29,19056.4231064594,9988.070936092608,27671.116302569633
2024-01-30,20450.626073779706,11429.11812588466,28764.519275263145
2024-01-31,19909.087053810334,11326.692814679529,28312.75243564906
2024-02-01,20778.3470711093,12549.148955385333,29172.166793511562
2024-02-02,28578.891998216703,20593.81962395351,37360.518493198615
2024-02-03,33798.273807093305,25854.537774996566,42503.703452194175
2024-02-04,28803.176492913422,20444.811772065983,37041.91331909648
2024-02-05,19458.1260598798,10945.909524893093,27673.694336408123
2024-02-06,20852.329026996995,12122.081901828484,28744.603789076566
2024-02-07,20310.79000682019,12523.516224191324,29387.71416137464
2024-02-08,21180.050023918688,13137.123353804554,29372.431048562332
2024-02-09,28980.59495078125,20531.55753434407,37826.7188208672
2024-02-10,34199.976759691606,26307.095479532607,42562.39847308958
2024-02-11,29204.87944550183,20843.642963569007,36905.49793265723
2024-02-12,19859.82901247329,10896.737647201675,28356.304070971448
2024-02-13,21254.031979593085,12824.708953766145,30210.360570380366
2024-02-14,20712.492959411247,12441.629291428413,29204.992193484453
2024-02-15,21581.752976515567,13500.728452863332,30471.28099397806
2024-02-16,29382.297903379833,21052.641202948525,37947.124637830246
2024-02-17,34601.67971228607,26124.308352895438,42713.69512153577
2024-02-18,29606.582398090228,21570.055938219648,38408.646077416095
2024-02-19,20261.531959398355,12150.906764706664,28651.235903164168
2024-02-20,21655.734920847754,13495.99516780958,29824.77838089551
