ds,yhat,yhat_lower,yhat_upper
2024-01-01,68274.56370922616,57689.45546048395,78890.67139669611
2024-01-02,71184.85662454696,60354.02630302427,82716.1360118799
2024-01-03,72200.99153726362,61831.355497528166,82254.13004866155
2024-01-04,73561.59772562669,63713.134643113175,84483.52263703903
2024-01-05,79741.33599101457,69881.09194415137,89889.12840864042
2024-01-06,64992.43288171693,54722.19534652201,75227.66379510394
2024-01-07,47174.1024004219,36516.754557264685,57644.40046628289
2024-01-08,68674.37440443064,58785.16158236416,79517.32910201656
2024-01-09,71584.66731981545,60707.7109093173,81550.16433448886
2024-01-10,72600.80223250359,62230.11365363699,83410.72669619072
2024-01-11,73961.40842088158,63319.69602265749,84523.61127281375
2024-01-12,80141.14668629832,69142.89521360151,90617.75124066384
2024-01-13,65392.24357706462,54903.198575272785,76004.7427166489
2024-01-14,47573.91309570175,37047.76133655252,57905.47662787751
2024-01-15,69074.18509971212,58216.53380558944,79626.39572698966
2024-01-16,71984.47801508392,61465.51754355869,82111.29234919073
2024-01-17,73000.61292778356,63436.20688382796,83672.30780204396
2024-01-18,74361.21911434844,64091.05482517651,85217.19982528225
2024-01-19,80540.95737795338,70183.87678828424,90525.04107710252
2024-01-20,65792.05426687706,55539.09593194407,76018.1447541013
2024-01-21,47973.72378369587,37566.80482620289,58861.95745656429
2024-01-22,69473.99578592194,58344.36008551281,79836.48450757665
2024-01-23,72384.2886994567,62109.49699221994,83080.63856441196
2024-01-24,73400.42361035649,62550.83684011376,83340.19229181886
2024-01-25,74761.02979690296,64324.578925213085,85195.88124209772
2024-01-26,80940.76806050936,70529.13510813413,91264.13655757469
2024-01-27,66191.86494943216,54884.946171085205,76789.96832491104
2024-01-28,48373.53446627538,38770.729901970284,58556.0950929855
2024-01-29,69873.80646842608,60091.15313507189,79624.41046558913
2024-01-30,72784.09938201512,61521.52306459524,83319.56799576565
2024-01-31,73800.23429291611,63221.63122065614,83688.3404551604
2024-02-01,75160.84047949093,64413.05300437674,85524.07877316237
2024-02-02,81340.57874306531,70791.04545904334,91962.53550130868
2024-02-03,66591.67562844377,57253.90346321859,77024.42801957908
2024-02-04,48773.34514178918,38095.215567542495,59387.34788481299
2024-02-05,70273.61714044357,60149.903764017945,80781.36548701872
2024-02-06,73183.91005050173,62560.32382761874,83639.12390007106
2024-02-07,74200.04495787379,63922.947842148045,84729.08035768752
2024-02-08,75560.65114092312,64622.332669056035,85676.71726185083
2024-02-09,81740.38940100269,70898.22579917993,93043.94924867462
2024-02-10,66991.48628633305,56802.22543940202,77098.32777961263
2024-02-11,49173.155799711756,39486.65836466478,60080.83904439389
2024-02-12,70673.42779838447,60391.19935098203,80732.44974744279
2024-02-13,73583.72070842716,62825.86715516292,83212.56499209472
2024-02-14,74599.8556158107,63876.23454244116,85155.48690676327
2024-02-15,75960.46179886126,64801.55392651424,86700.86837368213
2024-02-16,82140.20005894336,71856.07716953347,92425.4214043775
2024-02-17,67391.29694424543,56310.562878916695,77435.00214263535
2024-02-18,49572.966457634335,39089.1578667302,60120.911902256106
2024-02-19,71073.12018968177,60072.47559269888,81338.59836584862
2024-02-20,73983.29483307892,63395.11467154443,83761.58557654833
2024-02-21,74999.31147383171,64689.42123229797,85572.9011908741
2024-02-22,76359.79939021854,65810.42870584366,87189.18257733263
2024-02-23,82539.41938363604,73037.41687688991,93571.66750101282
2024-02-24,67790.39800232605,57676.50528519968,78599.99050483516
2024-02-25,49971.949249075806,39183.42142443117,60426.058544103886
2024-02-26,71472.1029811498,61312.82871165113,82090.06501931667
2024-02-27,74382.27762452423,64080.27766847023,84410.5307875409
2024-02-28,75398.29426527151,64782.58438642334,85916.07105738751
2024-02-29,76758.7821816863,66585.92021273442,87065.05868281389
2024-03-01,82938.40217510631,72678.72872435485,93768.6450928483
2024-03-02,68189.38079386027,57835.2858538851,77978.09389354411
2024-03-03,50370.93204052799,39956.00415257117,60556.15610634236
2024-03-04,71871.08577261533,61721.74616934157,82715.20231551958
2024-03-05,74781.26041598899,64074.156213596485,85551.58179565589
2024-03-06,75785.38795513308,65300.68129522003,86203.57887911554
2024-03-07,77133.9867699786,66618.89765420409,87613.62268175976
2024-03-08,83301.71766185435,72272.66142164069,92855.10689717041
2024-03-09,68540.8071790194,58400.84958901454,78253.46670117567
2024-03-10,50710.46932416968,40167.726761597965,61287.177105456096
2024-03-11,72198.7339546937,61535.33344290928,82685.22922045109
2024-03-12,75097.01949647973,64785.87493757384,84541.75785856889
2024-03-13,76101.14703564499,65668.28625574059,86953.29702458275
2024-03-14,77449.74585049174,67083.34563246477,87465.0812620012
2024-03-15,83617.47674237005,73351.96534189937,94912.14680809878
2024-03-16,68856.56625952989,58842.16399674863,79407.83852143007
2024-03-17,51026.228404653084,40332.432943992775,61449.32491512481
2024-03-18,72514.49303513014,62836.690442083,83181.47890983216
2024-03-19,75412.77857698017,65685.87012738928,85624.4400191837
2024-03-20,76416.90611615691,65739.8134173662,86753.50290455027
2024-03-21,77765.50493097857,68531.57121038478,88351.85993478492
2024-03-22,83914.72850728859,73757.35690529995,94384.89341204012
2024-03-23,69135.31070894698,58870.24245542937,79354.41784232447
2024-03-24,51286.46553845571,40398.09291393791,61133.475625426414
2024-03-25,72756.22285336468,61960.59497599046,83120.20745751058
2024-03-26,75636.00107962229,65370.08244256162,86239.25888930126
2024-03-27,76621.62130323051,66110.45640160349,87296.0128974273
2024-03-28,77951.71280252999,67428.96963158064,88072.49422621289
2024-03-29,84100.93637881291,73751.18296597018,94599.94016563687
2024-03-30,69321.51858046945,59011.03703381943,80173.11318349409
2024-03-31,51472.67340997947,41299.77484380807,61793.327723698276
2024-04-01,72942.43072488758,62339.44222471101,83235.20116645332
2024-04-02,75822.208951148,65755.2586821404,85361.4228844282
2024-04-03,76807.8291747677,66946.81810873885,87651.64018225562
2024-04-04,78137.92067402878,67067.69810263184,88352.54688846634
2024-04-05,84287.14425031313,73549.34330384762,95122.05178807637
2024-04-06,69507.72645194567,58897.50025872283,80013.28534504637
2024-04-07,51641.493576246,40704.30109227201,61292.25285103297
2024-04-08,73093.8631859294,62887.163981433776,83658.85972828382
2024-04-09,75956.25370693133,64943.191801278444,87230.28425940491
2024-04-10,76924.48622527944,66252.45166297356,87229.60963837145
2024-04-11,78237.19001931242,67783.05613238455,88545.19145721362
2024-04-12,84369.02589035517,74040.22219555468,94276.76069732051
2024-04-13,69572.22038674384,59138.78460269851,80149.40121824725
2024-04-14,51705.98751105783,40710.949747391795,61896.08810000843
2024-04-15,73158.3571207511,62219.14472009735,83660.69775249051
2024-04-16,76020.74764174252,65709.11143300528,86112.49659298616
2024-04-17,76988.98016010212,66489.02910550288,87610.8512335538
2024-04-18,78301.68395413633,67327.44274203895,88307.16618780783
2024-04-19,84433.51982517833,74325.52537196245,95615.41435882695
2024-04-20,69636.714321542,59096.12410753955,78614.94367717172
2024-04-21,51770.481445852,41292.5179327975,61724.58951314642
2024-04-22,73222.8510555728,62545.550608863276,83938.27568122362
2024-04-23,76073.25851745554,65406.90931030948,85799.22468010463
2024-04-24,77029.50797672788,66002.8165119565,87216.76819410414
2024-04-25,78330.228711623,68098.76541274202,88928.45937087535
2024-04-26,84450.08152365098,74138.01787808973,94765.98535895214
2024-04-27,69641.29296089792,59091.71992130766,80542.91580464898
2024-04-28,51763.07702614387,41198.15387368721,62581.231870614436
2024-04-29,73203.46357670335,62733.84719241429,84866.6581896953
2024-04-30,76053.87103865124,65216.737678382175,86571.9404444514
2024-05-01,77010.12049791144,65804.31928673205,88197.28203382995
2024-05-02,78310.84123285412,68266.99609025917,88189.96275000632
2024-05-03,84430.69404480344,72961.45268855977,94568.59599460194
2024-05-04,69621.90548205384,59542.337584491695,79794.0783555988
2024-05-05,51743.689547333095,41495.47880540353,62551.851467634784
2024-05-06,73184.07609790594,63306.56341847971,83545.46612567786
2024-05-07,76034.48355983359,65916.64764002521,87291.10904629891
2024-05-08,76990.733019095,67140.34347181502,88040.70648103439
2024-05-09,78286.6403051784,68248.81732924517,88741.96435448552
2024-05-10,84401.67966830241,74430.42509999491,94833.19339485822
2024-05-11,69588.07765676257,59155.553103353,79900.93969722165
2024-05-12,51705.04827310561,41229.536360707185,61960.22619821177
2024-05-13,73140.62137484258,62028.08048455601,83345.95448921261
2024-05-14,75986.2153879103,65781.34061228177,85643.17329835409
2024-05-15,76937.65139831929,66861.91318148797,87311.55193340826
2024-05-16,78233.55868438468,67723.02024003856,88144.0128142479
2024-05-17,84348.59804753047,74155.89576960866,95696.25063706309
2024-05-18,69534.99603593921,58955.60852535691,79789.99284264896
2024-05-19,51651.96665231557,40986.92233782493,61487.58181942476
2024-05-20,73087.53975406587,62938.59382968691,83492.2049735439
2024-05-21,75933.13376711338,65706.22074495064,86085.03375480341
2024-05-22,76884.56977753686,67110.98625408774,87874.16495267124
2024-05-23,78180.47706358385,68227.58771339497,88501.63568185618
2024-05-24,84295.51642670363,73879.54172893042,94758.35971355085
2024-05-25,69481.85858987356,59238.0877532007,80429.31658931328
2024-05-26,51598.77338093777,41054.5145265277,61278.69934131063
2024-05-27,73034.29065734913,62109.25090260701,83512.95862171013
2024-05-28,75879.8288451624,65196.30250429157,86429.00069040581
2024-05-29,76831.20903031855,66595.63393583473,87079.73354867149
2024-05-30,78127.06049107827,67729.99078414579,87690.64475276515
2024-05-31,84242.0440289121,73385.2944859314,95525.8560186034
2024-06-01,69428.38619203064,59116.75942892312,79446.75443913891
2024-06-02,51545.30098312815,41035.424639621546,62252.86974565623
2024-06-03,72980.81825955285,62385.14804574779,83168.65114647642
2024-06-04,75826.35644736534,66019.8905710118,86962.88437652853
2024-06-05,76777.73663248325,66676.6028338251,86815.12671631099
