ds,yhat,yhat_lower,yhat_upper
2024-01-01,5020.637389693111,4095.15575936051,5926.957422796747
2024-01-02,5204.373881986932,4294.662110113351,6121.724046721522
2024-01-03,5032.306372698753,4095.414786712603,5911.619240574036
2024-01-04,5311.533097464817,4391.8339397167,6238.451340476443
2024-01-05,5545.618874755482,4670.036108023597,6504.531087375287
2024-01-06,3916.0862851492325,3036.568290141825,4764.729408254685
2024-01-07,2799.850185511375,1947.0822349126165,3760.9604480875582
2024-01-08,5030.4048454392005,4170.523302681136,5934.823086154851
2024-01-09,5214.141337738809,4337.501027492237,6110.371620935187
2024-01-10,5042.0738284487115,4118.37735191013,5977.506171357143
2024-01-11,5321.300553216011,4370.7009091288555,6278.607642743733
2024-01-12,5555.386330508297,4608.130055259335,6467.453878302485
2024-01-13,3925.8537409081828,2999.716665248285,4844.365806769771
2024-01-14,2809.6176412647546,1936.2230827190572,3717.5508752856435
2024-01-15,5040.172301192534,4102.799157062376,5960.906319459994
2024-01-16,5223.908793490686,4309.316733924282,6170.008581185674
2024-01-17,5051.8412842017,4150.518486302369,5992.392830156854
2024-01-18,5331.068008711741,4451.482023379683,6259.55096119453
2024-01-19,5565.153785746273,4680.02824663984,6473.590420192852
2024-01-20,3935.6211958868344,3063.810466197363,4773.55212756779
2024-01-21,2819.385095986483,1940.3174616274862,3714.490281222353
2024-01-22,5049.93975565877,4151.190152671867,5940.552230594282
2024-01-23,5233.676247697269,4356.020863145721,6106.205108242444
2024-01-24,5061.608738152194,4111.595897021141,5941.412397938877
2024-01-25,5340.835462660998,4425.168294226795,6187.499745270862
2024-01-26,5574.921239695143,4700.907999114964,6532.384448197812
2024-01-27,3945.3886498358083,3068.35209710214,4746.312116648166
2024-01-28,2829.152549937926,1985.6109916880578,3677.436949289798
2024-01-29,5059.707209602923,4236.459746542177,5923.864452358419
2024-01-30,5243.4437016464335,4340.292351768342,6189.208846029195
2024-01-31,5071.37619210173,4182.964856689015,5968.6671175385
2024-02-01,5350.602916612197,4446.413675639318,6269.42157890648
2024-02-02,5584.688693644015,4693.359577322574,6491.090211764281
2024-02-03,3955.1561037428523,3105.983598890103,4864.332205400619
2024-02-04,2838.920003804402,1924.7020018799983,3756.9906110172374
2024-02-05,5069.474663433401,4156.542827513707,5911.918080098636
2024-02-06,5253.211155435301,4380.712972800498,6101.226127597575
2024-02-07,5081.143645849928,4177.065582192199,6043.4809231932095
2024-02-08,5360.370370319849,4505.900699387049,6256.382864021166
2024-02-09,5594.456147315017,4659.994952856411,6468.389994195113
2024-02-10,3964.923557408291,3055.2686822451533,4782.003291392185
2024-02-11,2848.6874574729836,1909.00120415992,3726.3315097891464
2024-02-12,5079.242117103042,4239.603746448129,6007.106498713443
2024-02-13,5262.9786091033675,4321.651690937445,6147.095497170876
2024-02-14,5090.911099519107,4215.562873782834,6000.998803986957
2024-02-15,5370.137823989187,4495.445947325139,6301.91645566339
2024-02-16,5604.223600984022,4751.2795559402475,6518.521347165264
2024-02-17,3974.6910110753906,2970.946124963347,4901.425717451454
2024-02-18,2858.4549111415654,1986.1185927181023,3735.2977247522067
2024-02-19,5089.009570481079,4184.229487275886,6041.85432100246
2024-02-20,5272.746062190308,4362.774743461113,6184.136027273962
2024-02-21,5100.678552314182,4189.199322855209,5969.12414228717
2024-02-22,5379.905276491101,4423.770960186721,6265.77990590944
2024-02-23,5613.991053192176,4743.421718331915,6485.702564772964
2024-02-24,3984.4584629942865,3064.173152791763,4909.938744815936
2024-02-25,2868.222362767132,1957.2253306727534,3760.55091437514
2024-02-26,5098.777022111032,4182.097855988544,5969.686684834778
2024-02-27,5282.513513818027,4351.789345798615,6131.779822249765
2024-02-28,5110.446003941716,4222.679892069654,6011.16338211252
2024-02-29,5389.67272812087,4454.26846767004,6292.315355707404
2024-03-01,5623.758504821609,4813.4750411846435,6513.780500177
2024-03-02,3994.2259146298557,3053.036927399098,4985.315083961502
2024-03-03,2877.9898143961423,1936.335896525735,3791.7294584089173
2024-03-04,5108.544473740868,4170.24309136195,5960.34920606301
2024-03-05,5292.280965447297,4387.815860909676,6234.470529592641
2024-03-06,5119.884838664906,4201.326796217374,5966.8756664539105
2024-03-07,5398.782945939943,4393.188375965759,6305.185746303892
2024-03-08,5632.540105738875,4772.575631486846,6486.117834536105
2024-03-09,4002.6788986421766,3092.9773585232683,4910.557554918091
2024-03-10,2886.1141815092105,1951.2854375832362,3791.8545706126692
2024-03-11,5116.340223950502,4215.941522611047,6078.536267808535
2024-03-12,5299.748098751312,4374.434212300537,6227.840945861311
2024-03-13,5127.351971970808,4275.021991865336,6070.249632173844
2024-03-14,5406.250079246004,4505.66468099857,6323.691987281847
2024-03-15,5640.007239044604,4757.61632668164,6515.700652102317
2024-03-16,4010.146031947662,3115.3990206369213,4976.062080924812
2024-03-17,2893.5813148135285,2020.236170523205,3773.2034880732062
2024-03-18,5123.807357249504,4283.623577256633,6076.189889666654
2024-03-19,5307.215232056101,4390.413676734371,6222.132963429696
2024-03-20,5134.81910527671,4180.5085871797455,6014.2992899243645
2024-03-21,5413.717212550113,4537.201033353596,6345.022704034427
2024-03-22,5646.947820579401,4682.181212308743,6531.878953765259
2024-03-23,4016.560061720016,3114.436532496366,4910.167121003027
2024-03-24,2899.468792813049,2012.4188303685903,3744.4898024913687
2024-03-25,5129.168283480055,4357.962426756685,6116.342468922845
2024-03-26,5312.049606515494,4418.5807107882365,6162.988784246013
2024-03-27,5139.12692796755,4200.433870352942,6063.779713749854
2024-03-28,5417.49848347566,4497.195918956126,6276.765886546579
2024-03-29,5650.729091504658,4782.372532994753,6544.714696163592
2024-03-30,4020.341332643032,3078.5310372007716,4937.789896686814
2024-03-31,2903.250063736872,2017.274526700911,3779.6570405892426
2024-04-01,5132.949554403715,4274.151430696982,6033.526597921131
2024-04-02,5315.830877440199,4415.05609895558,6247.140930309864
2024-04-03,5142.90819889194,4254.824905914519,5994.533330507155
2024-04-04,5421.279754397297,4506.641783902506,6371.311158358819
2024-04-05,5654.510362425908,4716.035957646016,6589.320287246793
2024-04-06,4024.1226035627233,3093.0057394143355,5016.793384376454
2024-04-07,2906.9356850603053,1950.892416382784,3803.498724242858
2024-04-08,5136.539526128805,4282.31039569362,6029.133934068203
2024-04-09,5319.3251995643095,4386.907545218771,6194.461069009728
2024-04-10,5146.306871414731,4216.241823561761,6048.534099780979
2024-04-11,5424.582777321923,4506.292121413058,6315.914813878324
2024-04-12,5657.717735750744,4765.279573015779,6582.690960482213
2024-04-13,4027.2343272882595,3191.703019336759,4944.864299363497
2024-04-14,2910.047408784866,2029.4253949743852,3753.729038855169
2024-04-15,5139.651249856648,4232.572857710513,6018.214429348958
2024-04-16,5322.436923290812,4424.564836747735,6198.550680011975
2024-04-17,5149.418595142345,4286.1986458684905,6018.413854418754
2024-04-18,5427.694501049698,4519.760923875881,6373.6828047352155
2024-04-19,5660.829459480184,4733.623219758585,6546.578986686474
2024-04-20,4030.346051013796,3113.090809319949,4847.337312828224
2024-04-21,2913.159132510899,1953.4410923312673,3781.7223258419544
2024-04-22,5142.762973584491,4275.493180770854,6001.849589197024
2024-04-23,5325.543496673672,4444.749379410967,6220.326257612042
2024-04-24,5152.520018182708,4241.862655530473,6030.224145022393
2024-04-25,5430.790773742991,4568.436694945609,6288.971054077559
2024-04-26,5663.9205818361515,4752.400342659818,6529.149658947061
2024-04-27,4033.4320230249905,3145.837411814346,4984.217313823598
2024-04-28,2916.2399541816944,1962.5894361921507,3810.8715269085214
2024-04-29,5145.838644905244,4226.231844829562,6054.152221688452
2024-04-30,5328.619168001705,4432.91484253277,6219.728763344146
2024-05-01,5155.595689508728,4277.016156895318,6023.529929139677
2024-05-02,5433.866445072642,4450.723890290633,6360.145094873889
2024-05-03,5666.996253159499,4743.751646217609,6558.967925933852
2024-05-04,4036.5076943487857,3193.7325082512407,4908.596193994136
2024-05-05,2919.315625508634,2067.959911866979,3850.3016977158627
2024-05-06,5148.914316233009,4271.378865717417,6039.176373038203
2024-05-07,5331.694839327352,4417.752963230914,6238.694916936609
2024-05-08,5158.671360834748,4279.2243188760585,6094.473934244075
2024-05-09,5436.942116346122,4581.1883734526655,6335.067391015075
2024-05-10,5670.071924382338,4788.253310835133,6550.245222818342
2024-05-11,4039.583365525498,3108.4465884159818,4961.428711866249
2024-05-12,2922.391296626525,2044.1324340988217,3714.265621015792
2024-05-13,5151.989987299697,4266.292209557382,6145.484214486158
2024-05-14,5334.770510340978,4430.994000044568,6170.584200715011
2024-05-15,5161.747031796449,4237.701960552353,6106.265221686975
2024-05-16,5440.017787306015,4579.5622722356575,6354.068149077219
2024-05-17,5673.147595343864,4743.423969917605,6597.992179093159
2024-05-18,4042.6590364834587,3235.9223200517386,4967.3042564769
2024-05-19,2925.4669675876307,2033.65969119006,3811.7001508262765
2024-05-20,5155.065658261625,4241.9675051355325,6053.580355010546
2024-05-21,5337.846181300792,4440.371934618442,6210.147968001922
2024-05-22,5164.822702757593,4271.0978040886785,6035.507040185934
2024-05-23,5443.093458265922,4534.356335611976,6334.775771688958
2024-05-24,5676.223266301378,4739.6392974601185,6560.669838212452
2024-05-25,4045.7347074387862,3167.660267685548,4959.18316389315
2024-05-26,2928.5426385333767,2029.6881584863188,3845.2106522252466
2024-05-27,5158.141329198556,4276.006374854009,5992.674953618156
2024-05-28,5340.921852236777,4464.518251423899,6209.06412508688
2024-05-29,5167.898373689509,4247.902997976578,6033.205461636652
2024-05-30,5446.169129192042,4639.600657139126,6322.603977175261
2024-05-31,5679.298937221207,4792.130578306238,6603.326757205476
2024-06-01,4048.8103783550505,3154.796002174056,4998.920995931924
2024-06-02,2931.618309452785,2021.0027086004998,3899.7631173271566
2024-06-03,5161.217000118789,4299.190657028086,6075.560451501674
2024-06-04,5343.997523156444,4390.165965584256,6237.50094002479
2024-06-05,5170.9740446064825,4241.8181545915495,6091.975772862161
2024-06-06,5449.244800112207,4590.758322539345,6340.871876150286
2024-06-07,5682.3746081430345,4764.1779457364155,6631.7451040180795
2024-06-08,4051.886049271313,3187.833548805438,4912.209610822804
2024-06-09,2934.6939803731793,1935.1252111610975,3852.8540492892935
2024-06-10,5164.292670798768,4182.763981635384,6034.364360775537
2024-06-11,5347.073193593821,4463.902011975399,6179.8934786638965
2024-06-12,5174.049714804821,4247.368433232739,6168.337016298246
2024-06-13,5452.320470070895,4487.199456470512,6396.203563662098
2024-06-14,5685.4502778610195,4820.336986614997,6603.293192555841
2024-06-15,4054.9617187486856,3114.8779777136706,4966.951542077339
2024-06-16,2937.769649609015,2041.2723995628498,3817.734960323124
2024-06-17,5167.3683400365335,4280.416842183366,6157.180671066501
2024-06-18,5350.148862831738,4465.025586727428,6189.663327662334
2024-06-19,5177.125384040724,4295.876962685465,6067.05935237674
2024-06-20,5455.39613930652,4576.147339451569,6366.706398140742
2024-06-21,5688.525947096257,4794.92478143012,6607.233337266785
2024-06-22,4058.037387982364,3188.4769616243607,4946.253069949033
2024-06-23,2940.8453188433814,2048.6502453462736,3796.1158775981594
2024-06-24,5170.444009274299,4229.810204857045,6130.914698263161
2024-06-25,5353.22453206727,4450.232973309142,6228.162913564766
2024-06-26,5180.201053085423,4291.765436407758,6034.597706287889
2024-06-27,5458.4718081606115,4550.440419701261,6360.974875356654
2024-06-28,5691.601615753333,4823.653089700165,6582.458575363736
2024-06-29,4061.113056456523,3144.1180534173373,4928.101797710656
2024-06-30,2943.9209871166013,1967.04846031759,3821.873189459187
2024-07-01,5173.51967735562,4260.493912127943,6090.920727127248
2024-07-02,5356.3001999545295,4523.20498389752,6221.618760617275
2024-07-03,5183.276720973794,4281.875700425042,6109.842693847022
2024-07-04,5461.547476043267,4604.358949961568,6243.769036416451
2024-07-05,5694.677283639524,4725.311044936565,6558.450749841164
2024-07-06,4064.1887243411556,3179.558282155474,4978.967392313001
2024-07-07,2946.996655005364,2094.9026237051153,3841.576373714286
2024-07-08,5176.595345244455,4260.285988359288,6067.279390994021
2024-07-09,5359.3758678441745,4500.466017584249,6273.99636186628
2024-07-10,5186.352388859135,4280.506308343423,6111.986654584321
2024-07-11,5464.623143931799,4545.582080062438,6378.97876721212
2024-07-12,5697.752951753687,4766.017924287658,6575.570747736264
2024-07-13,4067.264392679378,3259.7657309654296,5010.672401400507
2024-07-14,2950.0723235720216,2053.7728651102607,3862.486725480386
2024-07-15,5179.671014029669,4242.452308598822,6027.098409648376
2024-07-16,5362.451536861257,4453.689660129693,6300.914340717652
2024-07-17,5189.428058103295,4231.79895387782,6053.53411167163
2024-07-18,5467.698813400131,4602.207039693984,6358.951218872379
2024-07-19,5700.828621219625,4854.772352728072,6574.213460130658
2024-07-20,4070.340062155466,3171.8887576140883,4966.3626695640505
2024-07-21,2953.147993040565,2100.5132985567243,3822.40443701792
2024-07-22,5182.7466835001405,4234.236702358208,6083.147697622328
2024-07-23,5365.527206329496,4464.385491307223,6257.738120949848
2024-07-24,5192.503727571908,4314.528088668897,6121.330747725753
2024-07-25,5470.7744828684645,4550.7407575399175,6367.47772578974
2024-07-26,5703.904290693584,4843.298748005858,6576.377335159763
2024-07-27,4073.415731623514,3212.603930206847,5000.122002552599
2024-07-28,2956.2236625110822,2047.3618832015493,3844.360722008653
2024-07-29,5185.8223531587955,4240.152181240843,6132.777227979122
2024-07-30,5368.602876175109,4445.762546235075,6264.9932889303
2024-07-31,5195.579397606372,4261.306984094813,6071.132897818592
2024-08-01,5473.850153093901,4604.2688319909375,6407.42953819425
2024-08-02,5706.979961101016,4792.823320364442,6600.56438316811
2024-08-03,4076.4914022196936,3185.541046674495,4924.178503476489
2024-08-04,2959.2993332987044,2088.6628887733414,3896.1064572751275
2024-08-05,5188.89802394724,4335.691029477322,6119.372900033729
2024-08-06,5371.678546961438,4487.884898662769,6294.693177982996
2024-08-07,5198.655068393074,4297.752409502292,6120.951469150441
2024-08-08,5476.925823880323,4573.187521668757,6419.9676943726545
2024-08-09,5710.055631889059,4830.29903243794,6547.9604642413415
2024-08-10,4079.5670730058328,3204.6929816205634,4990.208250409093
2024-08-11,2962.375004082881,2133.2601561143947,3933.4788458234584
2024-08-12,5191.973694728793,4291.069799273829,6125.82820712328
2024-08-13,5374.754217749318,4491.652086948424,6295.299887381981
2024-08-14,5201.730739243123,4284.528704301196,6054.180940215108
2024-08-15,5480.001494792367,4626.372504498948,6379.088368149065
2024-08-16,5713.131302864599,4785.427683396614,6599.860991606715
2024-08-17,4082.6427440376415,3213.1152091152526,5015.848099139743
2024-08-18,2965.4506751796653,2118.8785081123547,3837.6022624321877
2024-08-19,5195.049365888352,4270.062041964691,6171.6697588708885
2024-08-20,5377.8298889684775,4527.654781876369,6285.804914945703
