ds,yhat,yhat_lower,yhat_upper
2024-01-01,3722.301873605602,1734.5622892208912,5741.592765624525
2024-01-02,3827.0053125115446,1792.1270846894024,5875.953100089816
2024-01-03,3826.6954770956545,1845.5647093361013,5991.366607956448
2024-01-04,3902.8287583144465,1936.3720109280678,5789.563312994555
2024-01-05,4164.780093977403,2129.9914881784816,6388.489807628012
2024-01-06,4819.196923581683,2759.3242032467488,6835.938041905901
2024-01-07,4067.2800568128123,1986.8772435418118,6219.704177617031
2024-01-08,3771.029698239189,1805.4079638524202,5848.326905828616
2024-01-09,3875.7331371454197,1786.609032400342,5849.862738469444
2024-01-10,3875.42330172787,1709.7538078604045,5735.821687151198
2024-01-11,3951.5565829475245,2123.2206430525002,6150.468268519193
2024-01-12,4213.507918611568,2269.493879239711,6171.603490633833
2024-01-13,4867.92474821539,2678.0657762655187,6818.122866712602
2024-01-14,4116.007881445289,2147.825817347232,6021.330973323291
2024-01-15,3819.7575228723845,1861.8282815692253,5690.823966972018
2024-01-16,3924.460961779295,1765.2344433018077,5954.2416508527895
2024-01-17,3924.1511263619245,1960.6379111140877,5907.67450676222
2024-01-18,4000.28440769982,1943.3631267682108,6044.681515545921
2024-01-19,4262.2357434828455,2121.736588145602,6237.098431686721
2024-01-20,4916.652573204422,2885.1725010726705,7044.068489305493
2024-01-21,4164.735706553156,2100.597633030176,5980.747851521537
2024-01-22,3868.48534809836,1801.8990926985848,5958.741653743981
2024-01-23,3973.1887871235085,2012.0891893197072,5863.849103081591
2024-01-24,3972.878951825622,1869.3819403024088,5875.894085915339
2024-01-25,4049.01223316279,2026.436510352836,5978.476989449676
2024-01-26,4310.963568946633,2304.376370539245,6453.5978699846455
2024-01-27,4965.380398667679,2840.7948969528134,6940.40816007374
2024-01-28,4213.463532015525,2108.0078381499497,6209.939619732426
2024-01-29,3917.213173561841,1883.2814677721785,6088.881600556389
2024-01-30,4021.9166125862785,2087.3867712129327,6048.925774943672
2024-01-31,4021.6067772886495,2037.2626456622663,5996.552220494591
2024-02-01,4097.74005862707,2131.379462183021,6213.734307693476
2024-02-02,4359.691394410421,2396.06446640557,6377.402742069964
2024-02-03,5014.1082236295315,3064.024801826366,7159.199275944651
2024-02-04,4262.191356478291,2207.236987550616,6113.671132154603
2024-02-05,3965.9409975210683,1935.8810029877384,5925.245454852305
2024-02-06,4070.6444360437313,2032.3343154498502,6008.545934778947
2024-02-07,4070.3346002437825,2090.2241276489713,6157.796475329303
2024-02-08,4146.467881080566,2091.3250872080444,6264.377655377457
2024-02-09,4408.419216360456,2364.66535817479,6418.627682927612
2024-02-10,5062.836045581909,3096.2374887405026,7155.403377474143
2024-02-11,4310.91917843019,2206.13422967008,6401.479856953057
2024-02-12,4014.6688194722265,2056.0039530736913,6083.8626767998885
2024-02-13,4119.372257996446,1920.0552696369343,6204.027184237055
2024-02-14,4119.062422196678,2111.8902158439305,6049.696644563686
2024-02-15,4195.195703033146,2075.6505087473993,6269.6583830626305
2024-02-16,4457.14703831346,2500.25126912405,6492.585960217214
2024-02-17,5111.563867534113,3163.7355331146714,7143.811383482448
2024-02-18,4359.64700038209,2340.6372909865195,6337.493436725445
2024-02-19,4063.3966415826717,1960.4509999833017,6089.76956793846
2024-02-20,4168.100080263224,2193.9983405521048,6226.077394178402
2024-02-21,4167.7902446221715,2243.836714792837,6270.61718573918
