ds,yhat,yhat_lower,yhat_upper
2024-01-01,29262.629548374214,24535.948886005423,34180.9308951585
2024-01-02,30421.67588826395,25025.677169401577,35186.22515523353
2024-01-03,29913.333105576716,24696.455450294176,34993.87051594036
2024-01-04,30455.370215401304,25647.264068307315,35960.899252442025
2024-01-05,31378.37629011766,26333.157131244265,36902.2870753081
2024-01-06,20914.744009218644,15565.024783405144,25995.24745302528
2024-01-07,14666.12922628226,9520.530110818976,19383.242165912852
2024-01-08,29361.6342480733,24268.811549236685,34837.44731227961
2024-01-09,30520.68058800031,25175.454379088194,35563.1339503104
2024-01-10,30012.337805301,24983.76424031788,35146.916508371534
2024-01-11,30554.37491513206,25162.950112657567,35932.79692358919
2024-01-12,31477.380989860463,26359.292442186794,36466.1943231215
2024-01-13,21013.748708997973,15854.944128565228,26005.74452900406
2024-01-14,14765.133926029932,9713.954220183428,19564.27032647274
2024-01-15,29460.638947819403,24571.334803497182,34698.13688149971
2024-01-16,30619.685287736662,25304.568582268053,35661.481068545276
2024-01-17,30111.34250504398,25038.51793148262,35592.67811552555
2024-01-18,30653.379615276543,25171.409688948297,36221.47747731807
2024-01-19,31576.385690404895,26793.395097705263,36352.9645499125
2024-01-20,21112.753409931476,15659.363929218202,26139.1537828538
2024-01-21,14864.138627364848,9577.297608122679,20007.15358463342
2024-01-22,29559.643649569585,24507.433679786463,34935.68162589713
2024-01-23,30718.689989873976,25788.661435794995,35775.21323364746
2024-01-24,30210.347207590436,25058.99302151863,35488.69080923418
2024-01-25,30752.38431781301,25576.586137706072,35910.73562814162
2024-01-26,31675.390392939495,26983.06331233638,37129.81420298587
2024-01-27,21211.758112468247,16284.31870745584,26786.72374940734
2024-01-28,14963.143329918228,9872.456254747178,20188.79262255673
2024-01-29,29658.64835207439,24880.619521885394,34739.66238857404
2024-01-30,30817.694692412108,25782.62722038682,36079.87551997478
2024-01-31,30309.351910129775,25473.4572536221,35517.91597957281
2024-02-01,30851.389020367966,25403.11100296271,35877.626495315366
2024-02-02,31774.39509547409,26674.373661099613,36815.986399466965
2024-02-03,21310.762815088834,16355.526754030092,26297.149280866324
2024-02-04,15062.148032631163,10066.037076996776,19994.238582599588
2024-02-05,29757.65305491191,24509.645928764276,34897.38000956056
2024-02-06,30916.69939533813,25807.49951550407,35778.00912811382
2024-02-07,30408.356613149073,25099.83281174361,35411.4273981306
2024-02-08,30950.39372348037,26010.31602760915,36325.620191915135
2024-02-09,31873.399798708146,26698.423022959585,36777.189455255226
2024-02-10,21409.767518285364,16348.918105049836,26404.70444717534
2024-02-11,15161.152735848467,9801.529548840903,20195.171122623375
2024-02-12,29856.657758137917,24367.023925733425,35080.54597275987
2024-02-13,31015.704098552123,25918.262197227657,35808.869620506346
2024-02-14,30507.361316369694,25289.288649140763,35520.31223814775
2024-02-15,31049.39842670168,25813.308179348205,35985.27400699484
2024-02-16,31972.404501928588,26690.8069213309,37327.09753687787
2024-02-17,21508.77222149406,16667.64935805927,26589.584673009573
2024-02-18,15260.157439065772,9971.91908134164,20341.663041383643
2024-02-19,29955.662459664465,24953.034817892953,34939.154849839724
2024-02-20,31114.70879838503,26229.42753321848,36128.20727566202
2024-02-21,30606.366014505522,25386.85041596868,35876.516978119995
2024-02-22,31148.403123130345,26015.122784731386,36044.297310001915
2024-02-23,32071.409196646535,26848.197401463687,36915.64150807496
2024-02-24,21607.776914533162,16538.99114529695,26916.175617671142
2024-02-25,15359.162130394128,10240.471957636231,20278.25946247345
2024-02-26,30054.66715102368,24550.703535685592,35791.30987350429
2024-02-27,31213.713489730566,25969.58891789815,36294.59258696175
2024-02-28,30705.37070585003,25703.372836507315,35778.815317261426
2024-02-29,31247.40781448713,26538.420987351536,36293.897635840796
2024-03-01,32170.41388800246,27241.827138313933,37440.42929743183
2024-03-02,21706.78160592561,16418.357801188813,26612.02698855962
2024-03-03,15458.166821746907,10122.0021762088,20465.739348781233
2024-03-04,30153.67184238064,25206.070178387523,35301.09406615898
2024-03-05,31312.718181083972,25962.166473467456,36305.24331260413
2024-03-06,30802.33546986352,25875.77784527271,36133.72604974463
2024-03-07,31342.33265117585,26375.3958758106,36388.30382373233
2024-03-08,32263.298797372743,26841.394705167386,37025.83901609382
2024-03-09,21797.626587961997,16745.202791382668,27013.725233494988
2024-03-10,15546.97187648817,10204.063621258223,20566.48620396651
2024-03-11,30240.436969796436,25142.218470606345,35432.57048217159
