ds,yhat,yhat_lower,yhat_upper
2024-01-01,17516.654921102563,15840.771153813857,19226.689226305778
2024-01-02,17516.50850846033,15892.832975737136,19322.924060061363
2024-01-03,17446.25259100219,15812.529846329844,19102.892265037
2024-01-04,17937.79468064237,16356.650129737385,19552.228118623643
2024-01-05,19075.90399186388,17382.955800024007,20770.426450112427
2024-01-06,17105.131423325714,15432.715523100838,18709.07412453347
2024-01-07,14777.784948027507,13169.035066262491,16467.556613997316
2024-01-08,17639.849888569068,15801.000415228349,19300.31013337562
2024-01-09,17639.703475934315,15977.045997902054,19322.57346571788
2024-01-10,17569.447558472733,15768.80927121161,19216.4189741093
2024-01-11,18060.989648115155,16381.609867892532,19730.307874283935
2024-01-12,19199.09895934034,17579.9463033978,20806.80524912517
2024-01-13,17228.326390810722,15618.316441230325,19039.245737778972
2024-01-14,14900.979915503434,13223.949587656884,16557.205856993223
2024-01-15,17763.04485604496,15995.657135568388,19523.117027280427
2024-01-16,17762.8984434083,15975.492426822173,19401.25761885429
2024-01-17,17692.642525948635,15927.494922541424,19208.193245138933
2024-01-18,18184.184616039598,16478.274222327716,19823.157197181135
2024-01-19,19322.29392771302,17583.69614955807,20965.98772631543
2024-01-20,17351.521359627615,15633.984077774445,19105.055590400414
2024-01-21,15024.174884767937,13405.244028142897,16667.041419046505
2024-01-22,17886.23982576141,16208.102651028077,19494.884291209743
2024-01-23,17886.093413569673,16249.650397737525,19540.97089899313
2024-01-24,17815.837496560143,16170.169505213844,19482.074173718614
2024-01-25,18307.37958664918,16558.179214946067,19960.51597076312
2024-01-26,19445.48889832257,17749.896465762406,21152.33328158883
2024-01-27,17474.71633023696,15827.815895154017,19172.408870355182
2024-01-28,15147.369855380657,13470.968731334324,16882.389882933745
2024-01-29,18009.434796364705,16247.04408943698,19733.67703696144
2024-01-30,18009.28838417916,16317.908882885333,19651.060443304974
2024-01-31,17939.032467170156,16160.127862265173,19575.43089601723
2024-02-01,18430.57455726157,16748.814547334932,20133.276699670398
2024-02-02,19568.683868932112,17905.235731634395,21356.334115295234
2024-02-03,17597.91130097229,15964.368480298224,19364.900698770583
2024-02-04,15270.564826247857,13530.95370183118,16945.03259301147
2024-02-05,18132.629767364368,16386.683166367144,19934.104734510875
2024-02-06,18132.483355306387,16514.15303871761,19998.804483406864
2024-02-07,18062.227438425736,16344.757163927887,19586.788150531236
2024-02-08,18553.769528645826,16858.00251032543,20256.593159052747
2024-02-09,19691.878840448244,18002.626802240582,21383.811466820443
2024-02-10,17721.106272482302,15957.462984184764,19433.33842538201
2024-02-11,15393.759797762435,13573.467105189655,17180.58286129251
2024-02-12,18255.824738881205,16645.471265917837,19868.606430028805
2024-02-13,18255.67832682096,16669.45155716939,19800.259597816377
2024-02-14,18185.422409942224,16506.361904032703,19821.393601966647
2024-02-15,18676.96450016274,17022.257861966755,20296.507898804233
2024-02-16,19815.073811965285,18055.713271636458,21544.89855146708
2024-02-17,17844.30124399544,16151.644434438518,19593.010770777182
2024-02-18,15516.954769277012,13833.651462542093,17071.30991495322
2024-02-19,18379.019710665303,16800.076398844707,20003.068266424667
2024-02-20,18378.873298873772,16634.486286914147,20083.27946668292
