ds,yhat,yhat_lower,yhat_upper
2024-01-01,21490.489275020154,18020.926756268243,25224.26429382068
2024-01-02,22163.79896848607,18575.468034438472,25640.099237935916
2024-01-03,21830.543443932664,18257.02931311417,25515.63119142297
2024-01-04,22336.09713498416,18650.26025480843,25877.781568959257
2024-01-05,22913.769205405664,19388.00491025605,26334.480691666617
2024-01-06,16766.505224863515,13275.581182189448,20224.124995800386
2024-01-07,12209.259100211388,8655.027918774937,15925.322843385466
2024-01-08,21545.509727625496,17825.556837528406,25057.100679659274
2024-01-09,22218.819421115462,18534.06985230797,25841.484779273374
2024-01-10,21885.56389655253,18361.102829814306,25516.767502345076
2024-01-11,22391.11758760903,18654.70418632846,25917.183496353708
2024-01-12,22968.789658039394,19306.74714880148,26332.400754415332
2024-01-13,16821.52567752005,13053.11644768671,20555.466041709442
2024-01-14,12264.279552846865,8634.627204077682,15879.78041821053
2024-01-15,21600.530180260444,17951.512079294615,25514.058369077968
2024-01-16,22273.83987374485,18769.971834592972,26017.646859680823
2024-01-17,21940.584349186658,18147.099491932335,25681.98444949234
2024-01-18,22446.138039191723,19179.8608798253,26242.985298650794
2024-01-19,23023.810108570542,19380.517875638816,26879.891737780363
2024-01-20,16876.546126991776,13050.83142961503,20201.192864009627
2024-01-21,12319.30000126823,8657.526942293624,15888.027218600304
2024-01-22,21655.550627638924,18385.493140517818,25155.03683223612
2024-01-23,22328.86032006274,18780.301918950867,26099.072938325924
2024-01-24,21995.60479445935,18468.697558842003,25294.957543304743
2024-01-25,22501.15848445753,18742.59906458099,26053.43976294162
2024-01-26,23078.83055383591,19596.436643092078,26547.074175236055
2024-01-27,16931.566572258314,13633.056206032958,20561.614174172046
2024-01-28,12374.320446544647,8911.94929848019,15927.388018814
2024-01-29,21710.571072885203,18197.10864257486,25061.092723902402
2024-01-30,22383.88076532934,18834.628220756902,26053.689290188842
2024-01-31,22050.62523972728,18349.455403905682,25493.725166268516
2024-02-01,22556.178929737307,19035.583732121435,26142.67819091913
2024-02-02,23133.850999101276,19544.594513700427,26795.375502641346
2024-02-03,16986.587016221984,13392.316699096098,20475.271467684917
2024-02-04,12429.340889212108,8840.070181028854,15857.402875411797
2024-02-05,21765.591514275,18153.05883197864,25222.024618594292
2024-02-06,22438.901205418755,18850.63625728353,26068.30380571599
2024-02-07,22105.645678519068,18461.98199123664,25657.51320043659
2024-02-08,22611.199367231748,18860.677546357834,26244.51374138258
2024-02-09,23188.8714353162,19902.82964582914,26760.157648064192
2024-02-10,17041.60745241429,13499.085330684982,20555.541567488708
2024-02-11,12484.361325417463,9001.855991213655,15795.42296432171
2024-02-12,21820.611950484697,18375.83374923429,25411.26085473009
2024-02-13,22493.921641622484,18830.057921911008,26078.41064045575
2024-02-14,22160.66611472753,18683.097429620837,25688.526994247022
2024-02-15,22666.21980344007,18877.624519138328,26151.298649951466
2024-02-16,23243.891871524273,19558.544026422303,26871.875735906953
2024-02-17,17096.62788861423,13571.374153830982,21067.075252718194
2024-02-18,12539.381761622812,8767.758480844015,16239.449388379451
2024-02-19,21875.63234264341,18337.037037033017,25570.615826744037
2024-02-20,22548.941989731058,18891.716542426675,26285.010354306825
2024-02-21,22215.686418785495,18379.06551505107,25556.515617651836
2024-02-22,22721.240063438614,19240.96022156465,26209.375023850444
2024-02-23,23298.912087462908,19602.113111830695,26775.044005639134
2024-02-24,17151.64806051318,13767.164708937022,20749.059556154192
2024-02-25,12594.401889462966,9077.12522075018,16119.53858914057
2024-02-26,21930.652470501533,18382.51519317542,25711.399713377417
2024-02-27,22603.96211757989,19131.517830619938,26284.808665592373
2024-02-28,22270.706546633293,18561.51471153328,25968.941902191837
2024-02-29,22776.26019129577,19383.505821067585,26335.05140190637
2024-03-01,23353.932215319815,19993.336541571618,27233.620591953437
2024-03-02,17206.668188392883,13632.051625668044,20873.205785903312
2024-03-03,12649.42201731715,9147.648708335528,15998.821856216271
2024-03-04,21985.67259835925,18335.084398487437,25489.250044786066
2024-03-05,22658.982245436182,19141.61242377122,26338.278839167586
2024-03-06,22325.724079698688,18632.408504187777,25851.730284343434
2024-03-07,22831.27512958427,19338.414868512846,26330.250762535397
2024-03-08,23408.9445588345,19868.14481066272,27076.58750412073
2024-03-09,17261.677937123466,13676.853434921537,20845.048692460347
2024-03-10,12704.429171287611,9224.0619040163,16153.333781975838
2024-03-11,22040.677157551545,18481.754349613282,25632.631522642543
2024-03-12,22713.98420984155,18909.337300682182,26288.126600145904
2024-03-13,22380.726044112518,18676.603839269297,26095.192553202807
2024-03-14,22886.27709399796,19109.582460664325,26362.25508964734
2024-03-15,23463.946523247938,19815.120454015072,27088.848201151242
2024-03-16,17316.679901536416,13468.427026991469,20763.236937104815
2024-03-17,12759.43113569386,9221.673264688527,16260.255222995076
2024-03-18,22095.679121936584,18576.26466980866,25550.24898578871
2024-03-19,22768.986174250644,19232.072252798596,26232.326403992578
2024-03-20,22435.728008526345,18677.084253424146,25814.059234611337
2024-03-21,22941.279058402535,19340.615931935183,26447.958644135357
2024-03-22,23516.815176892113,19903.848407677422,27061.95408106999
2024-03-23,17367.415244445096,13622.535085071024,21291.45799145091
2024-03-24,12808.03316782916,8995.96703283211,16333.837451721594
2024-03-25,22142.147843311403,18683.615262206433,25932.76083829597
2024-03-26,22813.321584856207,19191.943419043957,26505.47760620014
2024-03-27,22477.93010837328,19047.728550066757,25927.806865771712
2024-03-28,22981.34784750562,19283.880530430688,26520.997438033723
2024-03-29,23556.883965992678,19842.71881097101,27071.231846539977
2024-03-30,17407.484033538323,13650.214456335238,20919.321117382377
2024-03-31,12848.101956924627,9369.350532458175,16530.926976665
2024-04-01,22182.21663240592,18439.296017750916,25381.452426632994
2024-04-02,22853.390373954488,19389.796879825193,26526.035022740274
2024-04-03,22517.99889747215,18840.517871142594,25964.553320498977
2024-04-04,23021.41663659047,19284.521987293145,26787.16562623462
2024-04-05,23596.95275507709,20153.081064673876,27246.36119278277
2024-04-06,17447.55282261627,13876.143189255632,21064.575558231176
2024-04-07,12885.395213399086,9283.555613063565,16562.771441995632
2024-04-08,22216.7343562682,18372.471305294155,25669.3364484221
2024-04-09,22885.13256519426,19068.783781480408,26391.700687124
2024-04-10,22546.96555608586,18888.031656428917,26112.954084450816
2024-04-11,23047.607762592655,19373.52791911445,26572.438349467
2024-04-12,23620.368348462303,20233.320925192103,27119.62859643508
2024-04-13,17468.19288338612,13831.989655711077,21086.008177564694
2024-04-14,12906.035274164782,9211.447135885743,16619.825070345894
2024-04-15,22237.374417046987,18476.432663423693,26217.178878983355
2024-04-16,22905.772625967897,19585.480466391393,26483.097683554894
2024-04-17,22567.605616864228,19011.76732671989,26356.464578024166
2024-04-18,23068.247823370886,19312.5560380284,26848.03787926574
2024-04-19,23641.008409247133,20011.097706215496,27377.35984824876
2024-04-20,17488.832944155973,13999.661161481732,20895.79690749163
2024-04-21,12926.675334935568,9375.413522980603,16577.072316034664
2024-04-22,22258.014477825775,18631.0868277891,25716.64637948455
2024-04-23,22924.882480445965,19589.832774653954,26423.04798829457
2024-04-24,22585.1852650518,19024.354424003242,26219.970238537855
2024-04-25,23084.29726525112,19350.21349709567,26638.002327372382
2024-04-26,23655.527644857782,20145.67677038885,27232.81574813453
2024-04-27,17501.821973466656,13870.516908224636,20921.781490062123
2024-04-28,12938.134157964298,9583.632234101751,16437.89477236786
2024-04-29,22267.94309453294,18842.484933894146,25820.69866471093
2024-04-30,22934.81109718195,19512.169011704525,26453.104515444156
