ds,yhat,yhat_lower,yhat_upper
2024-01-01,24477.804658510642,19189.293778571777,29579.974326332547
2024-01-02,25658.492468004784,20750.578085613273,30681.173364159087
2024-01-03,25013.381458029737,20218.73341968836,29825.716070571587
2024-01-04,25383.016328002333,20323.05391218967,30161.510750716257
2024-01-05,25440.790259014746,20649.93716165476,30169.600954220492
2024-01-06,15214.73095241396,10225.950362074756,20035.10877716735
2024-01-07,11178.964011306867,6176.756749448783,16389.476269767034
2024-01-08,24564.149722229573,19730.442846716353,29444.098867832843
2024-01-09,25744.837531756584,20330.995894642605,30268.000924621483
2024-01-10,25099.72652177381,19886.275314991482,30124.249322174433
2024-01-11,25469.36139175069,20841.036421053403,30624.303970427492
2024-01-12,25527.135322770948,20828.862170891396,30260.122158883376
2024-01-13,15301.07601620317,10541.650744903265,20552.629674892134
2024-01-14,11265.30907507036,6299.218429189858,16209.213791080283
2024-01-15,24650.49478599094,19781.14345130158,29618.854694014088
2024-01-16,25831.18259550838,21455.427202457566,30683.485175786784
2024-01-17,25186.07158553078,19686.52879039144,30208.023125826545
2024-01-18,25555.706455482916,20619.302443969274,30299.71530221528
2024-01-19,25613.480386475523,20658.490653839068,30399.67080155575
2024-01-20,15387.421079873506,10336.40222222591,20029.715067879333
2024-01-21,11351.65413871606,6522.978148315242,16054.288180429987
2024-01-22,24736.83984962325,20371.529887619494,29856.889515299936
2024-01-23,25917.527659103376,20995.775192199017,30961.04466946229
2024-01-24,25272.416649106126,20494.49184011322,30302.608459057796
2024-01-25,25642.05151905059,20712.616571515657,30565.73899169741
2024-01-26,25699.82545004004,20757.04900026367,30252.23045158812
2024-01-27,15473.766143440604,10583.458092649475,20490.889391079105
2024-01-28,11437.999202298879,6101.272042339942,16128.580952379232
2024-01-29,24823.1849131615,19566.934371372146,29605.32611454635
2024-01-30,26003.872722672557,21375.181273703485,30958.138028432164
2024-01-31,25358.761712675965,20418.362084799428,29907.5162392911
2024-02-01,25728.39658263164,20952.26700991451,30708.383541999017
2024-02-02,25786.170513604557,20908.836586731024,30461.096157517954
2024-02-03,15560.11120751897,10944.436673426188,20423.26604005727
2024-02-04,11524.34426689033,6730.958861864908,16471.28218435513
2024-02-05,24909.529978303482,19711.027809560146,29954.54097760103
2024-02-06,26090.217788329344,21134.214045616853,30578.93629678618
2024-02-07,25445.106778852896,20714.869425907942,30347.40793313729
2024-02-08,25814.741649327825,20971.395042888238,30984.464894593613
2024-02-09,25872.515580848114,21015.476242377572,30751.896939759063
2024-02-10,15646.45627472585,10893.445977361958,20488.299060297155
2024-02-11,11610.689334115796,6663.607021667473,16551.463311486492
2024-02-12,24995.87504553706,19891.63577698785,29672.849730768823
2024-02-13,26176.562855550386,21222.323063049527,30714.98839457163
2024-02-14,25531.451846079115,20378.718069387338,30412.498724303365
2024-02-15,25901.08671655511,21113.999117047882,30584.02644327696
2024-02-16,25958.86064807356,20994.94412333404,30749.735357479807
2024-02-17,15732.801341942866,10798.655620585527,20301.650600000146
2024-02-18,11697.034401341267,6791.962730016159,16299.903431399696
2024-02-19,25082.220109799688,20221.047244755762,30040.896156618222
2024-02-20,26262.907916850374,21726.009741208978,31328.223265182125
2024-02-21,25617.796904410257,20871.972731533977,30492.557816602763
2024-02-22,25987.43177191262,21283.97186601781,30816.6592246141
2024-02-23,26045.205700451887,21621.840234706404,30866.053200694143
2024-02-24,15819.146391369753,10974.581147554896,20631.074549075798
2024-02-25,11783.379447784648,6777.139288408488,17002.258071441247
2024-02-26,25168.56515627514,20397.581721722032,29930.609358909187
2024-02-27,26349.252963314317,21202.852354584036,30841.03243562246
2024-02-28,25704.141950873916,20950.859737037175,30718.495518073803
2024-02-29,26073.776818384744,21150.146058522943,31347.686686650602
2024-03-01,26131.55074692217,21050.057497812744,31181.72466577895
2024-03-02,15905.49143787304,11346.840744536565,20495.384232071297
2024-03-03,11869.72449425495,6821.044082211034,16997.173143174296
2024-03-04,25254.910202747633,20467.49932727022,30360.040434584396
2024-03-05,26435.59800978213,21071.02754217718,31263.22347540477
2024-03-06,25790.429223951305,21017.530101261742,30644.272632261913
2024-03-07,26160.006318079653,21436.950020331355,31209.548161465023
2024-03-08,26217.72247323915,21321.40654778605,31313.793609627217
2024-03-09,15991.605390801691,11076.186854909289,20856.352334471
2024-03-10,11955.780673828702,7225.222847999169,16547.023642083102
2024-03-11,25340.908608938487,20345.422391801992,30302.536349570364
2024-03-12,26521.53864258072,21628.60387729785,31338.90687393769
2024-03-13,25876.369856757003,20927.856978440657,30631.67231139566
2024-03-14,26245.94695088642,21062.66995205296,31219.6777535281
2024-03-15,26303.663106044078,21547.44506581385,31608.445438502273
2024-03-16,16077.546023608335,11255.985102549188,21015.94288419719
2024-03-17,12041.721306626378,7386.6385158644935,17002.588953199567
2024-03-18,25426.849241706142,20549.60215074731,30545.00778183468
2024-03-19,26607.479275381243,21685.483729800846,31851.368354404447
2024-03-20,25962.3104895627,21094.998642151448,30966.464538841865
2024-03-21,26331.8875836835,21798.12840619314,31210.274162421647
2024-03-22,26384.53199499338,21488.326451093966,31270.707903625622
2024-03-23,16153.343168746884,11198.022988790834,20914.35761506205
2024-03-24,12112.446707904734,7126.277315143345,16605.65291753661
2024-03-25,25492.502899137755,20297.800861359734,30557.102229304604
2024-03-26,26668.061188956723,22002.164710776997,31688.73368898121
2024-03-27,26017.820659294215,21032.63118575629,31079.15529605167
2024-03-28,26382.326009587603,21642.30559382066,31166.53927119873
2024-03-29,26434.97042090407,21475.91913411392,31114.189095541496
2024-03-30,16203.781594641176,10786.846266168825,21109.184398127654
2024-03-31,12162.885133804602,6803.9534854611475,16818.044572733037
2024-04-01,25542.941325032538,20707.682170020493,30762.406788963024
2024-04-02,26718.49961485582,21663.77930022583,31684.407310985403
2024-04-03,26068.259085193065,21192.074830526177,31306.953413316445
2024-04-04,26432.764435472334,21309.17516901406,31152.16772919464
2024-04-05,26485.40884678564,21164.200093979478,31509.475535459846
2024-04-06,16254.220020515182,11450.047593498888,21122.0797932445
2024-04-07,12207.588388999195,7082.174971088978,17015.525644612382
2024-04-08,25581.909409537227,20670.19431087323,30567.237536324184
2024-04-09,26751.732528649965,21897.417645974863,31870.50341758637
2024-04-10,26095.756828281483,20831.57760626228,30952.049895582517
2024-04-11,26454.527007867022,21939.1841524904,31617.971665451514
2024-04-12,26501.436248479167,21580.482114126597,31586.435541237377
2024-04-13,16264.512251513279,11373.589615880337,21402.162168435923
2024-04-14,12217.880619986081,7552.130471322262,17074.980602508913
2024-04-15,25592.20164054595,20881.831830178726,30561.816527678242
2024-04-16,26762.02475965209,21758.02713447924,31861.910652435025
2024-04-17,26106.049059288773,21118.874997973635,31032.251525010153
2024-04-18,26464.819238875385,21455.909438428964,31658.847999090256
2024-04-19,26511.7284795038,21513.016644213578,31620.103634447303
2024-04-20,16274.804482511372,11284.88844077929,21192.885953824396
2024-04-21,12228.172850985358,7232.753313874881,16777.929557231888
2024-04-22,25602.49387155468,20806.15156721103,30350.626209023587
2024-04-23,26768.555778717615,21828.821358458732,32082.92243570704
2024-04-24,26108.818866420293,20939.349483941725,30943.779996356123
2024-04-25,26463.8278340544,21390.22685349167,31461.10695014443
2024-04-26,26506.97586277168,21701.818180700517,31712.685702939478
2024-04-27,16266.290653836164,11217.694772087538,21037.964718835352
2024-04-28,12215.897810391203,7657.3459108116895,16976.573402561222
2024-04-29,25586.457618984263,20202.22734869566,30356.049859500778
2024-04-30,26752.519526186086,21553.58724643494,31575.96776592761
2024-05-01,26092.78261387851,21164.188681023257,30827.188150819646
2024-05-02,26447.791581529815,21532.84612100269,31328.24667087983
2024-05-03,26490.93961021357,21307.972472900088,31439.203546073015
2024-05-04,16250.254401281487,11154.920239522444,21287.015365390936
2024-05-05,12199.861557855116,6997.559019653438,17157.789313877573
2024-05-06,25570.42136645036,20738.574072730094,30192.92044190047
2024-05-07,26736.48327364364,21720.91424993527,31589.780701331467
2024-05-08,26076.74636133672,21440.392459344373,31002.832134161155
2024-05-09,26431.749260653465,21766.643169673385,31633.903475680876
2024-05-10,26474.891221012662,21197.890364657753,31493.18910259471
2024-05-11,16234.199943781197,11255.811152615355,21022.455449344703
2024-05-12,12183.801031989442,7350.12314611263,16883.346714508334
2024-05-13,25554.354772260398,20766.937736435786,30332.65935905279
2024-05-14,26720.410611110685,21645.50412240661,31440.070063106465
2024-05-15,26060.667630474603,21364.56394100188,31231.113044341204
2024-05-16,26415.67052978643,21851.992456947744,31509.03721375443
2024-05-17,26458.812490149776,21294.13985636018,31052.735929347844
2024-05-18,16218.12121289974,11209.824317934042,21055.905354357492
2024-05-19,12167.722301126576,7323.345049177533,16982.898002374346
2024-05-20,25538.27604139972,20584.379704383104,30224.520775460875
2024-05-21,26704.331880241458,21624.596606582294,31456.195563198897
2024-05-22,26044.588899611543,20999.392734879028,30978.4809642204
2024-05-23,26399.591798915695,21716.95558473979,31442.12130342535
2024-05-24,26442.73375926488,21769.21443669336,31242.31644537603
2024-05-25,16202.042438373195,11180.366425005303,21304.848317748132
2024-05-26,12151.643482906045,7111.116310838586,17041.210002513795
2024-05-27,25522.197179503448,20188.230648826087,30230.528009506797
2024-05-28,26688.252974710747,22007.492468236054,31218.796563926797
2024-05-29,26028.509950422565,21200.749635161643,31053.40023153164
2024-05-30,26383.51280606242,21720.075895285067,31645.74309603341
2024-05-31,26426.654722744395,21733.7376668075,31577.53009919681
2024-06-01,16185.963401834146,11399.430091565386,21428.26940883468
2024-06-02,12135.564446385577,7140.818986220815,16883.520883380064
2024-06-03,25506.11814298517,20454.418764159836,30373.441785865103
2024-06-04,26672.17393818779,21656.64684961854,31924.898769227504
2024-06-05,26012.43091388995,20771.807098544792,30982.91079066151
2024-06-06,26367.43376954377,21336.572656014316,31341.556313806854
2024-06-07,26410.575686242024,21846.549517849464,31391.91579739358
2024-06-08,16169.884365295085,11106.999959860746,20788.138788338776
2024-06-09,12119.485409872384,7065.96221877582,17196.136003382795
2024-06-10,25490.039105606076,20456.390193853596,30411.814779971966
2024-06-11,26656.09489993342,21367.27800008186,31620.9799233404
2024-06-12,25996.351874777967,20849.742022026283,30859.469301259895
2024-06-13,26351.35472957003,21391.138362368136,31175.100738369627
2024-06-14,26394.49664540266,21512.00999431201,30832.180410041696
2024-06-15,16153.805323593671,11347.474572181403,20719.390108718017
2024-06-16,12103.406367298227,7329.807289528063,17437.964019998846
2024-06-17,25473.960063044342,20504.05891307678,30272.828599662113
2024-06-18,26640.015857371098,21710.789565426465,31326.110404367086
2024-06-19,25980.272832205384,21196.505201500364,30833.951925897647
2024-06-20,26335.275686995275,21391.569406497678,31422.529247978437
2024-06-21,26378.417602824757,21502.01725878861,31570.590398265693
2024-06-22,16137.726281008196,11345.127062122017,21178.29210818147
2024-06-23,12087.32732471169,6967.892420689906,16906.69153823242
2024-06-24,25457.881020482597,20556.904097538907,30232.306457417562
2024-06-25,26623.936814797853,21854.60400260447,31553.299993013206
2024-06-26,25964.19378990466,20912.848994618587,30739.198565185627
2024-06-27,26319.19664497073,21637.79655829843,31275.84948432914
2024-06-28,26362.338561043092,21276.44449259207,31310.684230894967
2024-06-29,16121.647239546102,10946.898457893067,21585.4457940549
2024-06-30,12071.24828347189,7099.515024919536,17162.25062167986
2024-07-01,25441.801979510397,20582.08151776804,30164.09360188068
2024-07-02,26607.85777408446,21533.63018785432,31539.83373084065
2024-07-03,25948.114749196444,21430.322202405037,30852.785781074694
2024-07-04,26303.117604238214,21255.147972079103,31789.216733446134
2024-07-05,26346.259520323103,21598.682696122007,31640.77453514238
2024-07-06,16105.56819881855,11107.880117504921,21424.287500551127
2024-07-07,12055.169242770193,6864.720194541967,16847.64120797326
2024-07-08,25425.72293880954,20479.061672990243,30314.282437963568
2024-07-09,26591.778733381987,21461.726876002962,31489.42112478526
2024-07-10,25932.035708475327,20857.489766373714,30890.225827723454
2024-07-11,26287.038563531067,21212.848632889065,31218.44518710944
2024-07-12,26330.180479790808,21223.521321763834,31050.302135547376
2024-07-13,16089.489158454526,11351.158054140149,20795.769217643458
2024-07-14,12039.090202598583,7047.550406613473,17285.693038557907
2024-07-15,25409.6438987671,20347.84584625803,30383.746332229406
2024-07-16,26575.699693552073,21499.2755950058,31388.973169707235
2024-07-17,25915.956668827275,20905.86145399311,30729.599350244283
2024-07-18,26270.959524051097,21231.589255215065,31142.054351345454
2024-07-19,26314.10144029668,21267.35706142194,30944.54573243723
2024-07-20,16073.410119015405,11874.012869205044,21064.5048669289
