ds,yhat,yhat_lower,yhat_upper
2024-01-01,4932.430694499341,4128.534094203345,5772.303941698227
2024-01-02,5145.695580830135,4293.780851137051,5972.780035965303
2024-01-03,6082.796575962159,5224.235126232401,6897.335329535446
2024-01-04,6071.993637781052,5260.526539094936,6888.250302577145
2024-01-05,5565.413433125872,4762.38536046877,6430.704949630367
2024-01-06,4249.641338074018,3461.4632877532586,5078.205203206704
2024-01-07,3417.2557045895783,2659.8994069135974,4196.301373145961
2024-01-08,4980.168302782509,4184.142779171735,5791.338454056355
2024-01-09,5193.433189117493,4371.173863061644,5999.333377813986
2024-01-10,6130.534184247425,5272.132010641559,6884.414497911549
2024-01-11,6119.731246066298,5198.9573089010055,6968.40143015836
2024-01-12,5613.151041413546,4745.225483884885,6461.818266145262
2024-01-13,4297.37894636556,3528.534727207333,5086.893603304103
2024-01-14,3464.993312877816,2608.8834499523455,4262.280542885575
2024-01-15,5027.9059110702865,4244.226364408186,5803.2769806924225
2024-01-16,5241.17079740485,4410.336811036186,6043.302308049852
2024-01-17,6178.271792535772,5362.515981191871,6984.833623562754
2024-01-18,6167.468854190964,5312.056887241124,7002.642668696032
2024-01-19,5660.888649375795,4811.39263721333,6495.6509049722645
2024-01-20,4345.1165541637965,3519.3578692075293,5137.084566800505
2024-01-21,3512.730920512543,2594.602049581502,4344.256356101999
2024-01-22,5075.643518544502,4263.8845341493525,5911.061855461662
2024-01-23,5288.90840471529,4513.60519392926,6161.200896289622
2024-01-24,6226.009399681918,5370.848958327211,7080.601226963972
2024-01-25,6215.206461337222,5369.962605570788,7044.368652467301
2024-01-26,5708.626256522179,4841.232138076644,6517.4843988794255
2024-01-27,4392.854161311182,3603.635576585747,5214.578426315405
2024-01-28,3560.4685276617947,2738.3168476716287,4383.8279577168905
2024-01-29,5123.381125688682,4241.319294922954,5928.749882979381
2024-01-30,5336.6460118630175,4488.021596655466,6104.5276332755675
2024-01-31,6273.747006829736,5456.411654954664,7113.924605539377
2024-02-01,6262.944068489659,5478.477156041214,7112.138752566741
2024-02-02,5756.363863668563,4944.479238032516,6621.256275610336
2024-02-03,4440.591768329202,3616.89269679346,5257.825775010128
2024-02-04,3608.206134553044,2783.5067451148925,4451.24570962518
2024-02-05,5171.118732455039,4366.329653082866,5966.843170058725
2024-02-06,5384.383618501989,4530.312546276656,6117.250509055322
2024-02-07,6321.484613340807,5473.831699573628,7156.159329490368
2024-02-08,6310.681674871819,5477.701546266568,7125.99967422114
2024-02-09,5804.1014699287725,4989.537702014103,6744.742170252798
2024-02-10,4488.329374583124,3649.83784123535,5306.635489688433
2024-02-11,3655.943740809519,2834.495255020415,4492.609850419191
2024-02-12,5218.856338712764,4369.172526185699,6030.292986568364
2024-02-13,5432.121224758913,4595.230699469114,6239.107978916986
2024-02-14,6369.22221959872,5525.96481377765,7268.966952699612
2024-02-15,6358.419281128763,5573.361572842256,7205.408366711471
2024-02-16,5851.839076186012,4990.553619220236,6673.547576755238
2024-02-17,4536.066980839065,3725.142266019577,5406.382372098721
2024-02-18,3703.6813470659913,2976.0394813181206,4542.241900048148
2024-02-19,5266.593945125761,4406.941720785405,6115.172596502467
2024-02-20,5479.858831325938,4646.723643287231,6277.8134963974235
2024-02-21,6416.959826324742,5558.63412238917,7228.619521895906
2024-02-22,6406.156888007722,5627.21180021805,7283.507907400627
2024-02-23,5899.576683218831,5040.6769792667965,6721.332482954326
2024-02-24,4583.804588031223,3759.096265090397,5338.578390830155
2024-02-25,3751.418954412752,2853.139121064962,4565.867458508358
2024-02-26,5314.331552475362,4524.912440375542,6119.412544575881
2024-02-27,5527.5964386744745,4683.106269087133,6351.3611893485495
2024-02-28,6464.697433670157,5639.324961941102,7234.083668627593
2024-02-29,6453.894495356922,5715.495137400254,7263.397776793063
2024-03-01,5947.314290568329,5093.613278447123,6796.681036314938
2024-03-02,4631.542195384589,3848.130654634045,5395.8579101142295
2024-03-03,3799.1565617614824,3019.7899191941783,4593.2085488123275
2024-03-04,5362.0691598245785,4559.68245683119,6252.49745738047
2024-03-05,5575.334046024297,4673.904282543003,6387.532868694478
2024-03-06,6512.43504100719,5741.150858765814,7299.75834659489
2024-03-07,6501.632102685792,5663.586603325765,7331.108981631996
2024-03-08,5995.051897885353,5091.950686168495,6838.167109847754
2024-03-09,4679.279802690543,3820.766185850758,5434.708247807752
2024-03-10,3846.8941690612623,3055.8847009420483,4655.378695242788
2024-03-11,5409.80676711384,4612.119933897869,6235.572638736179
2024-03-12,5623.07165330244,4821.831337069679,6450.245360006572
2024-03-13,6560.1726482869635,5753.737746728116,7400.9379338413655
2024-03-14,6549.369709964598,5704.7576150012455,7332.98781152685
2024-03-15,6042.7895051644555,5257.1954502065155,6827.941152587689
2024-03-16,4727.01740997036,3865.14674077043,5499.556763016176
2024-03-17,3894.631776338266,3104.437036062912,4719.565384822075
2024-03-18,5457.544374388435,4659.0376767598655,6269.136173603497
2024-03-19,5670.809260581224,4864.1987159433465,6472.906693794086
2024-03-20,6607.910255566737,5806.752001045939,7475.15500992339
2024-03-21,6597.107317241272,5776.473672215754,7408.709637816629
2024-03-22,6090.146831588665,5249.347709554363,6919.916691432192
2024-03-23,4773.994455546136,3927.4301995700826,5636.766176294656
2024-03-24,3941.2285410601635,3173.216932544049,4742.209461413982
2024-03-25,5503.760858257281,4645.1517601256855,6365.653966247743
2024-03-26,5716.645463596418,4848.144567478091,6539.058388960145
