ds,yhat,yhat_lower,yhat_upper
2024-01-01,4044.260478341268,3201.462738391543,4946.468394570274
2024-01-02,4346.431961881733,3471.2520139395056,5244.810536519894
2024-01-03,4185.438076038311,3230.8515714476357,5044.265175415622
2024-01-04,4274.670431243776,3311.424225344968,5229.970501296873
2024-01-05,4246.416453219285,3418.8631731093683,5131.700824872422
2024-01-06,2456.7935570904515,1576.907532672121,3355.280667288876
2024-01-07,2163.5140079378716,1279.7672534318804,3058.004921580124
2024-01-08,4054.6142762525615,3078.4377784944804,4924.7908525505545
2024-01-09,4356.785759797727,3438.973372016085,5194.62696682329
2024-01-10,4195.79187395429,3312.184726264517,5136.828317418071
2024-01-11,4285.024229159967,3337.637839504951,5199.332299446486
2024-01-12,4256.77025113551,3394.15972490182,5149.239680387414
2024-01-13,2467.14735501208,1537.0283505654206,3394.7125179092122
2024-01-14,2173.867805855892,1303.843566205901,3083.8701980505994
2024-01-15,4064.968074170232,3146.1525988462035,4974.61075885363
2024-01-16,4367.139557713722,3432.4062152256897,5266.74466468677
2024-01-17,4206.1456718706895,3228.0500964229795,5079.744701780569
2024-01-18,4295.378027122382,3485.617149405661,5144.617956759171
2024-01-19,4267.1240491427925,3407.486404292095,5175.311069688443
2024-01-20,2477.5011530641527,1542.350959445024,3360.598137217968
2024-01-21,2184.2216039538425,1229.665555188324,3072.643318738047
2024-01-22,4075.321872315542,3162.2846085764195,5021.185516116313
2024-01-23,4377.4933559032,3471.470864121575,5266.0937939942005
2024-01-24,4216.499470106111,3337.2389079058244,5118.6635498924625
2024-01-25,4305.7318253572685,3386.205426962753,5224.2936520024805
2024-01-26,4277.477847376668,3332.2245524982263,5238.2008297844195
2024-01-27,2487.854951298338,1584.2654803049527,3331.6468120073846
2024-01-28,2194.5754021905577,1276.8543873872072,3072.881636966444
2024-01-29,4085.67567054553,3208.6073487810127,4978.78332953137
2024-01-30,4387.847154138206,3527.45251010212,5229.106381119722
2024-01-31,4226.853268340996,3286.77879593905,5113.4030674045525
2024-02-01,4316.085623592073,3514.9674106444177,5190.194226309329
2024-02-02,4287.831645610546,3454.9627379089106,5256.1199445601205
2024-02-03,2498.2087495425453,1584.7777081036324,3367.058313534563
2024-02-04,2204.9292004439526,1385.6574187756937,3075.501507174105
2024-02-05,4096.029468814735,3215.511997172488,5083.371651830702
