ds,yhat,yhat_lower,yhat_upper
2024-01-01,73531.10515524306,57876.84267956521,88203.1708150401
2024-01-02,77348.31079795813,62457.35076235386,92230.41960790208
2024-01-03,77247.7055099702,62232.57657032688,93212.44566179621
2024-01-04,78311.2068326954,62463.00343839481,92716.94816535599
2024-01-05,83798.5497935795,67812.43642944083,100284.68841246486
2024-01-06,47101.877274510174,32237.55958090139,61432.88886045677
2024-01-07,35206.83268072101,20136.214848898588,50654.54591142973
2024-01-08,73567.9780466847,58881.50533887452,87940.26439607784
2024-01-09,77385.18368949398,61611.25706538391,91881.63415804798
2024-01-10,77284.57840150078,61303.78281853131,92405.09757089845
2024-01-11,78348.07972423149,62596.64671365232,92500.13697993629
2024-01-12,83835.42268513108,68878.34351092375,99392.8838561474
2024-01-13,47138.75016617445,31923.090422779675,62621.68564975906
2024-01-14,35243.705572302235,20320.182841174974,49773.59049134155
2024-01-15,73604.85093825588,57816.2807018981,87980.57987604268
2024-01-16,77422.05658102981,61763.788628128576,93461.78540556185
2024-01-17,77321.45129304798,61233.485212538086,92684.48685796263
2024-01-18,78384.95261608431,62833.36503385297,94565.40251000974
2024-01-19,83872.29557727085,68059.80508911176,98406.97827066021
2024-01-20,47175.62305858238,32988.191167063036,62150.45321956369
2024-01-21,35280.578464995495,19223.883561379902,51036.071838620315
2024-01-22,73641.72383129758,59345.28683225044,88938.40498838232
2024-01-23,77458.92947433791,62014.944759861035,92994.81930456993
2024-01-24,77358.32418665572,62401.98629237816,92872.87451952121
2024-01-25,78421.8255096791,63372.20546372263,93451.44521666357
2024-01-26,83909.16847084866,68304.88910397331,99727.23378201497
2024-01-27,47212.49595216672,30292.18407409914,62615.91696315948
2024-01-28,35317.45135863543,20197.608996899256,50644.684624599606
2024-01-29,73678.59672479793,58627.56925011853,88955.89660949541
2024-01-30,77495.80236794012,62170.94219131343,93183.45047459578
2024-01-31,77395.19708025333,62309.80984687465,92924.86187032248
2024-02-01,78458.69840328158,63997.95425612611,93317.91264851352
2024-02-02,83946.04136442649,68859.90132280956,99494.03958144155
2024-02-03,47249.36884619724,32747.476166787746,62135.49434538995
2024-02-04,35354.32425313168,20611.464855991235,50283.11992266517
2024-02-05,73715.46961985197,58024.54732529828,89265.6646533805
2024-02-06,77532.675263463,61125.10334337154,92869.24416300576
2024-02-07,77432.06997626132,61823.64614030338,93097.11049903676
2024-02-08,78495.57129976884,62926.73107875282,94076.93980167643
2024-02-09,83982.91426146771,68606.37993985778,99293.01536375607
2024-02-10,47286.241743120234,31627.556016577622,62490.142610252195
2024-02-11,35391.197150113985,20128.635075274007,49796.394467077786
2024-02-12,73752.3425168785,59542.72519876962,90656.552084126
2024-02-13,77569.54816043208,63596.25471331935,93689.5868145319
2024-02-14,77468.9428732418,61361.31247923308,92067.60406285335
2024-02-15,78532.44419676083,63784.55029421291,94453.08452960715
2024-02-16,84019.78715845254,68072.90911119393,99620.86445761504
2024-02-17,47323.11464007912,32059.166003511156,64245.93889471517
2024-02-18,35428.07004709629,19702.52277787948,51262.2852197949
2024-02-19,73789.21541321304,57289.01635430611,88550.76291492398
2024-02-20,77606.42105613337,63201.400698273115,93856.32999350117
2024-02-21,77505.81576827889,61910.376651349114,92198.80178096512
2024-02-22,78569.31709113896,63591.08434025076,93684.61407716906
2024-02-23,84056.66005213342,69769.6368298721,98764.30967067453
2024-02-24,47359.98753315121,32942.50011502903,62571.51619854778
2024-02-25,35464.94293946834,19778.416399591762,50665.232232380375
2024-02-26,73826.08830568289,58765.21742284238,89804.6009391318
2024-02-27,77643.29394857553,62505.22814222686,92945.46710059447
2024-02-28,77542.68866071827,62079.786746120146,93260.901986772
2024-02-29,78606.18998359634,63668.610969040936,92570.11401255906
2024-03-01,84093.53294458368,69264.51167805224,99582.13991510599
2024-03-02,47396.860425714156,32484.102403376775,62692.557438936856
2024-03-03,35501.81583191606,19670.489039571006,50440.91843626382
2024-03-04,73862.96119813064,59114.121064322884,89792.28611912722
2024-03-05,77680.16684100241,63164.025562614836,92510.05052383374
2024-03-06,77579.56155259963,61208.18882049864,92950.97117460462
2024-03-07,78643.06287489776,63085.83939578443,94060.30287506239
2024-03-08,84130.40583535784,69109.78605442328,99125.09546141826
2024-03-09,47433.733315911086,31887.087449759452,62864.68236370049
2024-03-10,35538.68872165658,20418.39157948631,49938.28576782445
2024-03-11,73899.83408731325,58822.46145275994,89022.29880365155
2024-03-12,77717.03972960946,63313.64941381028,93646.42962332298
2024-03-13,77616.43444121041,61547.530091903835,93715.3495028099
2024-03-14,78679.93576352004,63378.6693520295,94650.62171495445
2024-03-15,84167.278723973,69889.32829032707,98907.30212104144
2024-03-16,47470.60620453613,32676.07177172244,63568.654467064254
2024-03-17,35575.56161023701,19894.88653535184,51636.347093584955
2024-03-18,73936.70697581847,58736.330291164995,87996.06727271508
2024-03-19,77753.91261820888,63429.26938398389,93988.18686134066
2024-03-20,77653.3073298212,61752.40068438145,93553.25455524061
2024-03-21,78716.80865211968,62106.2792603239,93894.77172512429
2024-03-22,84204.15161396023,69176.38134055448,100963.60313646229
2024-03-23,47507.47909603728,31962.22838218327,61784.261389463856
2024-03-24,35612.434503095574,19632.25481537346,51270.07728619235
2024-03-25,73973.57987007158,59483.33705463093,88701.64785910212
2024-03-26,77790.7855138389,61787.79944664395,93315.71405664938
2024-03-27,77690.18022685121,62008.19477429311,92303.5235391105
2024-03-28,78753.68155059677,64182.72702465204,93817.06657874456
2024-03-29,84241.02451246392,69706.24209359907,100400.03666090271
2024-03-30,47544.351994494515,31646.466131379417,63217.962600710474
2024-03-31,35649.30740157253,21107.717843191873,50481.79911293758
2024-04-01,74010.45276851639,58588.010351257675,88944.81391846712
2024-04-02,77827.65841229059,62583.134811212716,93242.33830665376
2024-04-03,77727.0531253043,62799.942856778864,91631.81550981248
2024-04-04,78790.55444902858,63622.609951381004,94583.51271766637
2024-04-05,84277.89741087875,67538.95504748581,99364.52693269766
2024-04-06,47581.224892879996,31642.458067320604,62766.32503515477
2024-04-07,35686.180299577696,18984.944822190922,51367.78474803909
2024-04-08,74047.32566612621,58856.24333314354,89382.78763108775
2024-04-09,77864.53130940339,61178.80149267666,92746.85554318581
2024-04-10,77763.92602197222,62003.38687838462,91677.4176019105
2024-04-11,78827.42734526243,62033.75560311218,94084.70536069738
2024-04-12,84314.77030665604,69909.40530572872,99779.93766729906
2024-04-13,47618.097788224186,32978.89858687418,63434.984205367844
2024-04-14,35723.05319490184,21308.389999685885,50544.30946688805
2024-04-15,74084.19856149387,59275.08133912727,89255.38779445148
