ds,yhat,yhat_lower,yhat_upper
2024-01-01,3373.744150057556,2641.046187181457,4187.674136464114
2024-01-02,3449.675426513675,2699.476305258024,4169.784914806427
2024-01-03,3479.466415055616,2759.037412603492,4232.724133637768
2024-01-04,3486.162824051672,2708.0557541643875,4259.458465175315
2024-01-05,3619.8284434081515,2855.8066870695643,4355.194622349577
2024-01-06,2887.47718820225,2165.005170648105,3693.5648060835156
2024-01-07,2335.026941353897,1584.8027389506665,3118.2537413951195
2024-01-08,3425.2668429352298,2616.8745139321054,4213.266538276493
2024-01-09,3501.1981193941406,2801.2830911963115,4304.755168517273
2024-01-10,3530.9891079350054,2774.6919699546024,4265.399108604245
2024-01-11,3537.685516931569,2786.1291834089716,4285.718663830543
2024-01-12,3671.3511362892436,2937.119166048253,4454.364432510232
2024-01-13,2938.999881085979,2208.8471971153144,3709.9102670345296
2024-01-14,2386.549634235193,1637.875628068416,3140.469426587659
2024-01-15,3476.7895358163905,2707.423747321286,4226.071920834815
2024-01-16,3552.7208122746056,2746.7381113351967,4369.050061800359
2024-01-17,3582.511800816,2831.275106963307,4349.571076172673
2024-01-18,3589.2082106584057,2810.8112888724536,4349.1380191727885
2024-01-19,3722.873830861976,2928.1711244792245,4493.8180610402815
2024-01-20,2990.5225765034943,2206.9093535557045,3757.9234303790167
2024-01-21,2438.072330498342,1656.6738822158873,3164.330062274897
2024-01-22,3528.3122329266516,2778.0007717388144,4320.714587092265
2024-01-23,3604.2435102296668,2801.4772484869186,4422.424184910652
2024-01-24,3634.034499617505,2849.0879016954405,4388.264637154024
2024-01-25,3640.730909459044,2932.2573380918197,4405.93018047267
2024-01-26,3774.396529662593,3008.521728402982,4529.164366717895
2024-01-27,3042.04527530429,2270.332565145795,3788.0979543676176
2024-01-28,2489.5950293003793,1747.007319087563,3259.1625075595907
2024-01-29,3579.8349317250672,2834.202710315479,4293.602782039251
2024-01-30,3655.766209030547,2894.2142200888816,4452.727532482012
2024-01-31,3685.5571984184376,2889.1367754570592,4441.50020316711
2024-02-01,3692.253608261479,2914.517079716513,4483.071343256119
2024-02-02,3825.9192284632104,3099.9515390810907,4618.434117388307
2024-02-03,3093.5679744763715,2345.98010352453,3872.396347786397
2024-02-04,2541.117728844947,1773.9057756470659,3328.4490647972652
2024-02-05,3631.3576316438207,2889.213473312776,4391.062821522213
2024-02-06,3707.288909321177,2948.8653022856965,4485.093414366523
2024-02-07,3737.07989908115,3000.5021846872014,4564.330184036605
2024-02-08,3743.7763092962523,2965.5355542757325,4446.50281641717
2024-02-09,3877.441929872111,3157.4471937884073,4624.909466042905
2024-02-10,3145.0906758825877,2419.712134963357,3952.97419934051
2024-02-11,2592.6404302527612,1813.6156965387406,3376.3382821590944
2024-02-12,3682.8803330524283,2864.2900884602554,4449.19305351205
2024-02-13,3758.8116107288747,2979.1320495390823,4534.6807366965195
2024-02-14,3788.6026004893765,3028.0481608795,4550.056814637278
2024-02-15,3795.299010704502,3047.171290481388,4549.306469928936
2024-02-16,3928.9646312804343,3167.8783240756993,4694.360739075366
2024-02-17,3196.6133772898756,2377.8134955633554,3927.8302038299594
2024-02-18,2644.163131660576,1841.5641285050804,3369.039031980764
2024-02-19,3734.4030336588903,2972.7610511814464,4497.222208713659
2024-02-20,3810.3343105336216,3046.103891435346,4541.373212536305
2024-02-21,3840.125299492457,3056.6955600345536,4603.349826153027
2024-02-22,3846.8217089047716,3082.1065304459476,4567.98759543356
2024-02-23,3980.4873286777524,3205.617602352563,4748.541522013649
2024-02-24,3248.136073886873,2503.802353512738,4034.5280322043864
2024-02-25,2695.6858274549177,1906.400754158693,3466.3751703434873
2024-02-26,3785.9257294552785,3077.7615387896794,4592.293319166743
2024-02-27,3861.8570063289894,3106.891784690822,4621.051649987748
2024-02-28,3891.6479952876466,3093.996323683961,4637.229245125566
2024-02-29,3898.3444047010157,3109.500742575544,4705.314067242289
2024-03-01,4032.010024474072,3288.2051255953875,4809.162681258815
2024-03-02,3299.6587696858287,2540.5139737927498,4113.427619532975
2024-03-03,2747.208523250728,1966.7476124585237,3461.9248823014636
2024-03-04,3837.4484252514503,3049.7417954662883,4524.183061346244
2024-03-05,3913.3797021250075,3143.0611243845497,4737.840868602814
2024-03-06,3943.1706887347773,3215.5302090535138,4698.1442438979275
2024-03-07,3949.867095800726,3205.6584732342176,4688.133651995836
2024-03-08,4083.5327132267175,3346.1483726589413,4836.122264503054
2024-03-09,3351.1814560900966,2633.7042812810264,4089.6317040569215
2024-03-10,2798.731207309822,2013.6433510743561,3561.0445850589012
2024-03-11,3888.971106962923,3199.7583003053846,4648.824432766821
2024-03-12,3964.902381487973,3181.967343316998,4749.757332390174
2024-03-13,3994.6933680985976,3203.496095201576,4769.820632206302
2024-03-14,4001.3897751645686,3245.0297136049253,4756.436677779231
2024-03-15,4135.055392590635,3362.0023044321815,4923.010407950338
2024-03-16,3402.704135454048,2676.233035119355,4127.793434682763
2024-03-17,2850.253886672516,2107.784720669043,3614.754452998975
2024-03-18,3940.4937863234227,3215.4801747952124,4715.59991004434
2024-03-19,4016.4250608512634,3236.733679873048,4804.568117459933
2024-03-20,4046.2160474624175,3299.7742427118587,4832.4632011921585
2024-03-21,4052.912454527291,3254.6541150015164,4741.912870808528
2024-03-22,4183.336364100748,3375.2966526205,4935.223106271086
2024-03-23,3447.743399114352,2720.217663592668,4134.476298612741
2024-03-24,2892.051442478869,2138.371940226509,3622.8431497710553
2024-03-25,3979.0496342770502,3243.3151613064983,4789.0877780793935
2024-03-26,4051.739200951282,3253.1621061960864,4780.036347566853
2024-03-27,4078.2884797098977,3262.5710785119595,4810.646715786367
2024-03-28,4081.743178924127,3264.2263279810677,4878.686691484019
2024-03-29,4212.1670884971145,3458.1414075042803,4989.501042101203
2024-03-30,3476.574123510176,2763.0277016578975,4260.878761163924
2024-03-31,2920.882166874863,2172.4432639107877,3699.5478354344887
2024-04-01,4007.880358672693,3254.3564820897736,4791.942727083255
2024-04-02,4080.5699253472503,3321.633889009018,4794.72981865559
2024-04-03,4107.119204106161,3367.1969702438378,4895.847807585441
2024-04-04,4110.573903318722,3329.0332940621834,4856.407182126656
2024-04-05,4240.997812891688,3468.606229616573,4999.612160016247
2024-04-06,3505.4048479038593,2705.1586831366217,4254.460188281412
2024-04-07,2942.9799603338884,2178.698461856801,3680.2201153542815
2024-04-08,4023.2452211962573,3230.520878666883,4776.510635465085
2024-04-09,4089.2018569336487,3325.39103767115,4825.948448328831
2024-04-10,4109.018204755229,3392.345989362989,4929.925505297628
2024-04-11,4105.739973032042,3328.2461153136155,4813.532077074884
2024-04-12,4229.4309516687335,3397.8244150805463,5004.605851491596
2024-04-13,3487.105055744827,2672.324516120618,4289.261387218764
2024-04-14,2924.6801681746297,2146.7104406459384,3656.218219033511
2024-04-15,4004.9454290381154,3290.933328035791,4793.43613020726
2024-04-16,4070.9020647750276,3314.1132631523355,4821.839610723882
2024-04-17,4090.7184125971366,3263.321815576882,4825.515097208732
2024-04-18,4087.4401808739717,3348.592666189529,4833.928252579158
2024-04-19,4211.131159511314,3390.9213352375664,5014.4408215789035
2024-04-20,3468.8052635857953,2679.31376652538,4222.237306361237
2024-04-21,2906.3803760154124,2134.71083824496,3712.983059711946
2024-04-22,3986.645636879973,3202.4985286435913,4790.267913289691
2024-04-23,4051.1160538949644,3269.6502290578896,4859.2908392656
2024-04-24,4069.4461829960096,3311.39842865778,4848.576450696964
2024-04-25,4064.6817325498732,3302.7595188562054,4844.2757045406015
2024-04-26,4186.886492468858,3393.0529597330415,5003.913124039035
2024-04-27,3443.0743778211854,2615.1798725821577,4161.747298193614
2024-04-28,2879.1632715309283,2106.80180868173,3641.7691332737545
2024-04-29,3957.9423136709675,3149.258159510956,4681.174850088908
2024-04-30,4022.412730689014,3237.4958141705447,4762.987511044097
2024-05-01,4040.7428597893063,3257.2420765300667,4792.148102284026
2024-05-02,4035.9784093451144,3259.3897100092095,4783.884699129754
2024-05-03,4158.183169260622,3339.7052278385563,4886.2882914791535
2024-05-04,3414.3710546132747,2689.491951938765,4123.131150640679
2024-05-05,2850.4599483246147,2016.7458417548035,3598.4052934457754
2024-05-06,3929.238990465017,3180.5645402015502,4697.610357094577
2024-05-07,3993.7094074822585,3238.993481480871,4752.341408990129
2024-05-08,4012.039536582603,3264.725229984235,4764.484143624324
2024-05-09,4007.2750859879648,3198.340701663411,4760.539456092609
2024-05-10,4129.479845754517,3426.5024730710475,4839.614896413705
2024-05-11,3385.6677309596553,2643.9187079518024,4128.338848454245
2024-05-12,2821.7566245176968,2072.6362318051624,3645.0680695823867
2024-05-13,3900.5356665087415,3129.4686558840635,4628.599078113569
2024-05-14,3965.0060833752477,3203.992911900731,4743.865067879916
2024-05-15,3983.3362123256443,3216.0833097203217,4693.2675839299745
2024-05-16,3978.5717617305863,3263.617803224841,4806.095154004066
2024-05-17,4100.776521497655,3334.1524976252344,4926.868436211013
2024-05-18,3356.9644067006857,2565.2458503230046,4135.763508382252
2024-05-19,2793.053300260327,2033.0252367298883,3572.783782973534
2024-05-20,3871.8323422517337,3066.9415824389066,4654.568107109921
2024-05-21,3936.302759117434,3176.6550791861146,4719.01363084725
2024-05-22,3954.632888068455,3209.4534340502514,4700.844405108233
2024-05-23,3949.86843747253,3175.536480055224,4669.122644856229
2024-05-24,4072.0731972383633,3305.4947340400613,4845.4345013665
2024-05-25,3328.2610828723036,2549.0220450705137,4053.5637487077975
2024-05-26,2764.3499768583774,1961.0813735854365,3535.7791159218905
2024-05-27,3843.1290192767883,3083.647135262569,4589.594898546053
2024-05-28,3907.5994365733995,3198.433332513875,4649.00570734869
2024-05-29,3925.9295659537183,3083.7313461749645,4627.790879692337
2024-05-30,3921.1651157862616,3141.426992659898,4570.499343111401
