ds,yhat,yhat_lower,yhat_upper
2024-01-01,12962.512584227574,10849.488426161344,15308.405352472562
2024-01-02,13585.322482100248,11354.089363327063,15801.172939916944
2024-01-03,13606.92837633279,11633.190672672894,15809.536311700607
2024-01-04,13775.52229441498,11660.378557943324,16043.3774310338
2024-01-05,14275.288511667575,12141.442143404356,16476.883174880222
2024-01-06,10242.012520001279,7993.403446487092,12514.341115454392
2024-01-07,8909.613791372574,6785.930246557159,11092.193632136725
2024-01-08,13021.894937586858,10818.50808473539,15212.964182678943
2024-01-09,13644.704835470144,11509.852321568544,15765.590065515904
2024-01-10,13666.31072970216,11572.37711357367,15925.97087819337
2024-01-11,13834.90464778491,11730.660069783917,16116.415080586745
2024-01-12,14334.670865038803,12249.857955574698,16505.015147747104
2024-01-13,10301.394873385183,8049.7479675415,12591.418455519264
2024-01-14,8968.996144747049,6748.940091529573,11223.885323188479
2024-01-15,13081.277290960496,10812.041976820976,15153.788349303382
2024-01-16,13704.087188840038,11597.092385710213,15949.931200906092
2024-01-17,13725.693083073122,11515.754692250175,15992.985074917817
2024-01-18,13894.287001324206,11489.522893104064,16052.590373345374
2024-01-19,14394.05321874428,12286.973366520386,16698.220210309573
2024-01-20,10360.77722725511,8235.556126945012,12497.467474424357
2024-01-21,9028.378498783524,7062.316068261384,11457.373477316183
2024-01-22,13140.659645169759,11053.335579799248,15409.309713119093
2024-01-23,13763.469543213494,11507.258992724897,15855.844173860589
2024-01-24,13785.075437614109,11597.898178459975,15968.108365126322
2024-01-25,13953.669355864013,11704.265547510307,16101.322602987726
2024-01-26,14453.435573282146,12300.36108332744,16690.739717004075
2024-01-27,10420.15958179354,8195.001699742475,12697.184732715657
2024-01-28,9087.760853327876,6754.183413408698,11408.622211687569
2024-01-29,13200.041999698922,11049.184006704898,15199.598059189851
2024-01-30,13822.851897754077,11606.801497876377,16188.24581403713
2024-01-31,13844.457792154153,11610.189684451398,16132.016993496469
2024-02-01,14013.051710404254,11738.714879445677,16086.332803352612
2024-02-02,14512.817927820011,12326.580321131843,16750.10913918066
2024-02-03,10479.541935857356,8275.243885384476,12638.885990268145
2024-02-04,9147.143206919003,6847.961514834967,11314.11587959605
2024-02-05,13259.424352827162,11146.550360460045,15360.882167754036
2024-02-06,13882.234250409814,11726.201116547782,16125.260372664576
2024-02-07,13903.840144339156,11920.929478521552,16119.14013350132
2024-02-08,14072.43406211801,11865.342051684278,16209.366270907018
2024-02-09,14572.2002790707,12291.359857790867,16854.408030206774
2024-02-10,10538.924287095124,8410.332184778537,12829.264801837604
2024-02-11,9206.525558163044,6847.983991636123,11325.875777993357
2024-02-12,13318.806704075867,11049.54288215084,15404.12055317496
2024-02-13,13941.61660165253,11643.353595366989,16236.258771371178
2024-02-14,13963.222495582935,11588.091055566174,16121.424132271413
2024-02-15,14131.816413363,11801.14959342217,16543.76412349252
2024-02-16,14631.582630314744,12541.83956235817,16677.02866031144
2024-02-17,10598.306638336493,8589.376892987784,12793.222217434433
2024-02-18,9265.907909407088,6925.628458335621,11445.176752298492
2024-02-19,13377.550770113297,11161.76433906122,15528.680435924516
2024-02-20,13999.722382484115,11811.966554027835,16146.647113422772
2024-02-21,14020.689991206396,11841.229751777028,16206.729308289414
2024-02-22,14188.645623778655,11983.565869969503,16308.226140408615
2024-02-23,14687.77355551844,12517.586221450818,16913.78737755412
2024-02-24,10653.859278337222,8542.32451473534,12753.06793195923
2024-02-25,9320.822264195758,7231.605144638936,11660.005556245122
2024-02-26,13432.465124912342,11142.065170929693,15623.30954426098
2024-02-27,14054.636737280225,11805.661483496544,16426.872382919617
2024-02-28,14075.604346002114,11898.815193585964,16276.168730177655
2024-02-29,14243.559978576235,12001.941423582746,16400.831111718027
2024-03-01,14742.687910315075,12577.486237748166,16946.880700439662
2024-03-02,10708.773633146535,8427.0400355494,12694.69494928127
2024-03-03,9375.736618992392,7134.75330593149,11577.732130213873
2024-03-04,13487.379479709134,11242.741308807725,15531.240777357729
2024-03-05,14109.55109207472,11792.089935426284,16355.005132881544
2024-03-06,14128.379196835142,11903.116916371631,16504.047325928605
2024-03-07,14294.195325444016,12068.139829535583,16430.3405847734
2024-03-08,14791.183753223211,12692.460166959476,17109.045054825507
2024-03-09,10755.12997208988,8601.884749102357,13147.930970765352
2024-03-10,9419.953453983508,7226.709689813668,11587.551337767021
2024-03-11,13529.456810737664,11407.391809357498,15636.40869094435
2024-03-12,14149.48891913856,12117.070057553823,16310.437544446417
2024-03-13,14168.31702389924,11965.021049014696,16236.888273166054
2024-03-14,14334.133152509323,12257.40598048572,16506.654221731187
2024-03-15,14831.121580287574,12586.84680276167,17052.943394060745
2024-03-16,10795.06779915517,8366.759754313396,12867.367273697671
2024-03-17,9459.891281044622,7230.817002348157,11711.685148687366
2024-03-18,13569.394637790085,11293.469385252107,15818.618417808773
2024-03-19,14189.426746201592,11889.354268590156,16478.52535176048
2024-03-20,14208.254850963338,12191.523421036074,16455.6436381909
2024-03-21,14374.070979572387,12432.38746596062,16629.076696333745
2024-03-22,14867.928459060646,12755.318257947638,17161.68337501411
2024-03-23,10828.743729652513,8484.986964371235,13057.18256902616
2024-03-24,9490.436263248084,7287.572110150915,11503.052885843563
2024-03-25,13596.808671704664,11355.100838655542,15687.022767746794
2024-03-26,14213.709831825192,12075.95535302321,16471.01248903059
2024-03-27,14229.406988298353,12100.848446718755,16303.369003791635
2024-03-28,14392.092168623602,12183.436275955857,16507.429154508693
2024-03-29,14885.94964811532,12892.964334346912,17070.65229026625
2024-03-30,10846.764918701467,8546.022624799138,13089.013915437956
2024-03-31,9508.457452299357,7319.695313068799,11647.84242692599
2024-04-01,13614.829860752852,11599.51910570741,15900.187974175044
2024-04-02,14231.7310208735,12020.655032424187,16494.385429237936
2024-04-03,14247.428177347057,11796.733273210859,16501.32345472854
2024-04-04,14410.113357670334,12198.892275276601,16554.998959305023
2024-04-05,14903.970837160106,12848.256103864456,17127.948109667857
2024-04-06,10864.786107743219,8516.564099005029,13057.455431709383
2024-04-07,9523.58568990077,7516.4908917146195,11706.512122709677
2024-04-08,13627.065146912315,11627.973158688905,15662.444855008212
2024-04-09,14241.073355580358,12119.412015631488,16513.422667073362
2024-04-10,14253.877560606776,12088.170334403996,16510.17821801068
2024-04-11,14413.669789484,12259.721938188768,16513.384404727036
2024-04-12,14904.634317525215,12545.116640785243,17250.797661680732
2024-04-13,10862.556636662275,8729.889481730239,13016.693803035216
2024-04-14,9521.356218817791,7437.487040111718,11865.272168041543
2024-04-15,13624.835675834207,11403.098386785032,15741.791337099174
2024-04-16,14238.84388450076,12028.192768073619,16556.250932285173
2024-04-17,14251.648089528248,11993.267574857355,16372.421398440725
2024-04-18,14411.440318406678,12164.149623079722,16714.64418010655
2024-04-19,14902.404846453594,12756.816272831129,17135.904078207917
2024-04-20,10860.327165581331,8535.73948200537,13224.162553480488
2024-04-21,9519.126747736274,7354.903445018903,11720.742942319965
2024-04-22,13622.606204756099,11492.517383224016,16010.956698908676
2024-04-23,14234.53505393671,11902.2899956708,16328.938650265201
2024-04-24,14245.259899478404,11819.642744407685,16459.04304036903
2024-04-25,14402.972768865046,12386.334350254318,16654.43505084124
2024-04-26,14891.857937434292,12632.429847000803,17091.341977718344
2024-04-27,10847.700897074094,8694.325613014287,13206.565969633179
2024-04-28,9504.421119749699,7267.768902778197,11815.193077069309
2024-04-29,13605.82121727133,11405.563343046244,15842.055111284104
2024-04-30,14217.75006646272,12011.04675142254,16326.427138422016
2024-05-01,14228.47491200226,11876.559853804996,16287.31704541018
2024-05-02,14386.187781393151,12041.327017870582,16724.829419186703
2024-05-03,14875.07294995273,12747.651287660236,17046.476701267584
2024-05-04,10830.915909592735,8615.708743859468,13047.965019069154
2024-05-05,9487.636132274618,7260.805136081306,11656.540822082643
2024-05-06,13589.036229796411,11389.392101110057,15586.445699234533
2024-05-07,14200.965078987116,11952.48051222062,16304.753811786251
2024-05-08,14211.689924526121,12195.753199661985,16498.951965563352
2024-05-09,14368.702910611992,12255.550594270726,16532.487926061378
2024-05-10,14856.888195868089,12915.443288351771,17055.426514277544
2024-05-11,10812.031272215992,8482.974779525246,12836.492247164311
2024-05-12,9468.051611580411,7175.482261587859,11692.371222026639
2024-05-13,13568.751825802086,11294.942379941556,15646.10832612898
2024-05-14,14179.980791681211,11906.726953573445,16308.617862559311
2024-05-15,14190.005753917312,12021.298305585631,16248.62237840196
2024-05-16,14347.018740000341,12272.203415722297,16559.15203717973
2024-05-17,14835.204025259542,12587.04900921251,17060.394943010524
2024-05-18,10790.347101601168,8640.954782809938,12980.793363695911
2024-05-19,9446.367440971862,7300.189719131913,11669.591944622052
2024-05-20,13547.0676551937,11302.241280700779,15766.46691104349
2024-05-21,14158.296621072144,12076.332607364237,16376.358364046122
2024-05-22,14168.321583308647,12174.094664134715,16589.82674631162
2024-05-23,14325.3345693905,12147.271237074983,16672.426594380326
2024-05-24,14813.519854644514,12688.853434854169,17052.260177056938
2024-05-25,10768.661826138383,8558.418262939229,12812.066931029696
2024-05-26,9424.681060645022,7185.239974302892,11668.448075023567
2024-05-27,13525.380170007711,11293.432491649426,15675.811656161764
2024-05-28,14136.608031042402,12156.16888210248,16446.478536918003
2024-05-29,14146.631888423999,11917.839834404736,16513.441725053075
2024-05-30,14303.643769651893,12101.73949086567,16553.971316907475
2024-05-31,14791.827950049796,12803.298290951632,16941.957703051892
2024-06-01,10746.969921537384,8660.385699929631,12747.690325610289
2024-06-02,9402.989156050302,7183.015776642648,11691.546185816791
2024-06-03,13503.688265413151,11249.679080998889,15792.71337547715
2024-06-04,14114.916126445545,11869.793409756929,16458.00094863293
2024-06-05,14124.939983827426,11872.949804933458,16396.170986044428
2024-06-06,14281.95186505812,12055.149608119738,16377.622353055976
2024-06-07,14770.136045461722,12547.85499413739,16798.175245460516
2024-06-08,10725.278016936387,8427.418867179733,12951.231858998517
2024-06-09,9381.297251458825,7192.090559263407,11580.138912581262
2024-06-10,13481.99634315707,11239.966112803097,15853.017280967864
2024-06-11,14093.22418652276,11881.60899866146,16240.56073232253
2024-06-12,14103.248026241274,11913.74884608347,16431.328465685354
2024-06-13,14260.259889809258,12091.421810620148,16351.006263138657
2024-06-14,14748.444052548148,12578.523713789633,16945.243355845752
2024-06-15,10703.58600635997,8541.973430946467,12912.17260428398
2024-06-16,9359.605223214463,7046.292364450203,11362.25004720452
2024-06-17,13460.304314918367,11265.307530359423,15606.643440220469
2024-06-18,14071.532158282736,11840.55395952588,16362.745475510083
2024-06-19,14081.555997999101,11740.433167875477,16248.384496559966
2024-06-20,14238.567861566851,12105.466546712256,16343.97917122555
2024-06-21,14726.752024303796,12577.911816538452,16844.096953310294
2024-06-22,10681.893978112577,8459.79534259399,12824.235671327044
2024-06-23,9337.913194968634,7198.148866116101,11565.22567716713
2024-06-24,13438.612286679665,11127.65266520132,15676.27733583388
2024-06-25,14049.8401300411,12056.265472949002,16322.79230193456
2024-06-26,14059.863969772738,11834.709286078694,16201.55742741539
2024-06-27,14216.875833358947,11958.981206698594,16466.042250723058
2024-06-28,14705.059996104477,12504.10809634836,17047.106389350818
2024-06-29,10660.201949947794,8439.40532651715,12902.04676610134
2024-06-30,9316.221166802585,7186.656791946067,11434.132469883785
2024-07-01,13416.920258528788,11224.29984301314,15715.99170671394
2024-07-02,14028.148101903742,11821.017592913882,16245.367805653468
2024-07-03,14038.171941636445,11802.195709447462,16288.86523589691
2024-07-04,14195.183805215333,11924.454255878874,16301.54406099834
2024-07-05,14683.367967965212,12570.41669606465,16827.879653799537
2024-07-06,10638.509921805491,8425.063330742141,12685.605831928835
2024-07-07,9294.5291386698,7258.510417927423,11500.581951906412
2024-07-08,13395.228230397419,11202.687803820503,15619.312928749387
2024-07-09,14006.456073767995,11729.299678985099,16297.208517515159
2024-07-10,14016.479913498564,11855.438302804989,16153.208050596517
2024-07-11,14173.49177708025,11831.592968629488,16172.534793797122
2024-07-12,14661.675939235574,12526.548263393684,16807.682356895155
2024-07-13,10616.817892479567,8434.681857900394,12782.706506826875
2024-07-14,9272.83710875619,7130.98762031592,11304.857921790946
2024-07-15,13373.536199872762,11307.2596792767,15702.10425428024
2024-07-16,13984.76404266259,11868.837622696088,16221.237303725904
2024-07-17,13994.787881800616,11668.976107184328,16295.292755171045
2024-07-18,14151.799744787662,11848.568171491748,16346.7118784446
2024-07-19,14639.983906937798,12469.98687913282,16795.465353915322
2024-07-20,10595.125860200955,8349.398909528845,12770.841263822529
2024-07-21,9251.14507646165,7016.694126535741,11528.00032202127
2024-07-22,13351.844167583879,11243.281882731559,15526.634057895382
2024-07-23,13963.072010370774,11783.019807670897,16210.828656557696
2024-07-24,13973.095849508261,11727.884379629042,16277.315966125949
2024-07-25,14130.107712495072,11871.303214579877,16326.643826766716
2024-07-26,14618.291874656392,12476.469159918877,16959.688652674264
2024-07-27,10573.433827906987,8375.551655005078,12822.416429492996
2024-07-28,9229.453044173602,7038.71059600899,11475.489077342829
2024-07-29,13330.152135691937,11254.709709781326,15591.100500778177
2024-07-30,13941.379978876528,11728.335945073974,16223.714397055941
2024-07-31,13951.40381841442,11667.074602806973,16058.854033988642
2024-08-01,14108.415681803723,11912.418406976618,16337.65019674477
2024-08-02,14596.599844354563,12302.758082833258,16771.371492748305
2024-08-03,10551.74179800455,8446.945088106308,12796.868113316918
2024-08-04,9207.761014676631,7087.494048298313,11506.657881180256
2024-08-05,13308.460106195127,10943.515572820674,15485.333074895658
2024-08-06,13919.687949379038,11648.599824234292,16088.286798524692
2024-08-07,13929.711788916391,11811.085067056918,16177.324572424486
2024-08-08,14086.72365230546,11807.102375720653,16085.57379059402
2024-08-09,14574.907814857597,12276.484694321312,16630.20443357588
2024-08-10,10530.049768504909,8357.664867146485,13082.912540829942
2024-08-11,9186.068985171703,7003.190105735974,11377.626091854749
2024-08-12,13286.76807669072,11076.921859707252,15455.179528054801
2024-08-13,13897.99591987993,11753.707944248668,16189.113571273565
2024-08-14,13908.019759434932,11759.549772355278,15976.232242225984
2024-08-15,14065.031622840983,11732.61589825823,16232.94646983467
2024-08-16,14553.215785414597,12427.744447832638,16888.021743882928
2024-08-17,10508.357739064755,8219.3015074226,12512.258050870983
2024-08-18,9164.376955753603,6971.856402657192,11275.404980337473
2024-08-19,13265.076047290808,10977.931842349532,15534.63010140372
2024-08-20,13876.303890492856,11753.656557339425,16130.184924306654
2024-08-21,13886.327730047322,11539.155572785467,16185.717192603277
2024-08-22,14043.339593449085,11874.571595605163,16153.251355421731
2024-08-23,14531.523756024806,12394.250587877392,16718.66855843133
2024-08-24,10486.665709679131,8225.80732507921,12530.850100472586
2024-08-25,9142.684926370297,6931.894993646962,11356.106936696237
2024-08-26,13243.384017904416,11153.121426160385,15544.315263089808
2024-08-27,13854.611861107394,11667.293443508965,15992.7049573889
2024-08-28,13864.635700660507,11747.179199978465,16157.280863007512
2024-08-29,14021.64756406348,11972.120511687059,16225.72068123373
2024-08-30,14509.8317274229,12213.42906036778,16744.295491588102
2024-08-31,10464.973681862071,8221.293892539052,12607.387078314605
2024-09-01,9120.992899347399,6985.336515981121,11348.515743245749
2024-09-02,13221.691991669562,10999.680365328237,15316.165750100288
2024-09-03,13832.919835658937,11676.145575367838,15850.678936877597
