ds,yhat,yhat_lower,yhat_upper
2024-01-01,32112.549003953765,26672.851457687768,37724.48594151082
2024-01-02,33653.813964237976,27982.85207760296,39331.061342706525
2024-01-03,33296.864256732464,27522.327325871287,39298.02349022862
2024-01-04,33933.77066516858,28301.846198520758,39056.953180989076
2024-01-05,36283.66507173389,30855.41119903016,41659.30003898342
2024-01-06,26390.71622828555,20550.375288793424,32062.321238061384
2024-01-07,17902.62903979259,12534.365781547429,23730.608058801656
2024-01-08,32132.10883854353,26224.737954908825,37167.99864398799
2024-01-09,33673.37379886681,27391.264577067966,39287.868451990435
2024-01-10,33316.424091346635,27983.39177390521,38995.83343947239
2024-01-11,33953.330499790834,28138.312986388737,39386.19739398714
2024-01-12,36303.224906370575,30141.533615645178,41800.63461673451
2024-01-13,26410.276062960613,20882.62298701623,32009.682743101443
2024-01-14,17922.188874430816,12563.79513139309,23459.298570755906
2024-01-15,32151.66867318159,26771.69330129685,37777.39591025742
2024-01-16,33692.93363349564,27949.06878547438,39543.33823855769
2024-01-17,33335.9839259822,27640.06176157095,39006.64104212723
2024-01-18,33972.89033502417,28462.89539988472,39402.46738020201
2024-01-19,36322.78474220078,30586.72670106176,41993.88040618006
2024-01-20,26429.835899373145,21054.25856358073,32053.118645101466
2024-01-21,17941.748711439803,12222.760080773078,23349.21076651542
2024-01-22,32171.228510803485,26325.871985310187,38455.30391562247
2024-01-23,33712.49347170013,28297.809542336403,39461.97559369364
2024-01-24,33355.54376479317,27757.136320228212,39428.1686766579
2024-01-25,33992.45017382379,28275.72493498109,39337.465376219196
2024-01-26,36342.344580999736,31070.73368896326,42017.03653973968
2024-01-27,26449.395738172752,21208.331532685337,32147.91136059528
2024-01-28,17961.308550255402,12617.588389001963,23565.145345751895
2024-01-29,32190.788349570626,26667.45873112426,37936.713175816745
2024-01-30,33732.05331050139,27850.298936441766,39190.39342806077
2024-01-31,33375.10360359541,27797.750122673206,38809.9204033009
2024-02-01,34012.010012642015,28653.438697577953,39625.447146291874
2024-02-02,36361.90441979868,30798.26565504543,41880.434736875744
2024-02-03,26468.95557430668,20967.61832954184,32390.867971763277
2024-02-04,17980.86838374057,12568.072674875932,24008.98944252049
2024-02-05,32210.348180425983,26543.668248167323,37408.768396907326
2024-02-06,33751.61313869653,28189.502035982106,39241.13763144217
2024-02-07,33394.663429133805,28153.392448932744,38757.90540265295
2024-02-08,34031.56983552502,28535.32153539263,39680.981770962404
2024-02-09,36381.46424004958,31084.450135021478,41910.92362280263
2024-02-10,26488.515394523994,20684.665189200514,31991.727648319236
2024-02-11,18000.428203978627,12295.93560722666,23500.083869706592
2024-02-12,32229.9080006738,26397.764515160237,37685.71936793697
2024-02-13,33771.17295893334,28208.953392871135,39486.75370535938
2024-02-14,33414.22324937735,27832.732168989813,38974.79517227454
2024-02-15,34051.129655769575,28832.955366995877,39698.060414295345
2024-02-16,36401.02406029425,30430.144290868244,41963.50153627137
2024-02-17,26508.075214754208,20813.49984426858,32241.966498337235
2024-02-18,18019.988024216676,11999.538697677128,23704.884723807143
2024-02-19,32249.467821006383,26882.49042597464,37459.56691919268
2024-02-20,33790.7327793533,28476.828526382233,39185.039216971054
2024-02-21,33433.78306988586,27555.802566263123,38838.846939931136
2024-02-22,34070.689476353095,28475.25067244455,39406.8672804036
2024-02-23,36420.583880950304,30965.645745007365,41958.13455821434
2024-02-24,26527.63503551436,21314.031429975326,32086.039336748527
2024-02-25,18039.54784505625,12689.920832998734,23781.400592003833
2024-02-26,32269.02764187068,26745.346243259864,37509.346476769744
2024-02-27,33810.29260020342,28597.565982660362,39521.062573870404
2024-02-28,33453.342890734995,28435.29367947871,39164.08324582573
2024-02-29,34090.24929721591,28491.731212263305,39118.344732505415
2024-03-01,36440.14370181323,30694.80971021722,42600.39524383834
2024-03-02,26547.19485641566,21239.524525902227,32301.569740936935
2024-03-03,18059.10766591256,12575.021456448045,23763.356433841436
2024-03-04,32288.58746273321,26501.8250531321,37739.67637714757
2024-03-05,33829.85242106345,28301.53859089492,39579.45666826325
2024-03-06,33472.902707891495,28118.12712113296,39501.82547152432
2024-03-07,34109.80911068651,28500.616618723503,39528.26980571676
2024-03-08,36459.70351160927,31023.32070804097,42177.42244848112
2024-03-09,26566.75466251553,21258.620454357333,32689.475457345015
2024-03-10,18078.66746835741,12766.433022019954,23844.99456247263
2024-03-11,32308.14726149397,26601.927812933547,37649.06094749932
2024-03-12,33849.41221612611,28823.336742810123,39706.450546841654
2024-03-13,33492.462502965835,27741.3837797879,39109.498562545625
2024-03-14,34129.36890576186,28481.95032137879,40130.55819296956
2024-03-15,36479.263306684734,30560.815286363184,41996.6735640314
2024-03-16,26586.314457589455,20724.82604795597,32160.215472747866
2024-03-17,18098.22726341811,12516.988300722789,23839.458635135838
2024-03-18,32327.707056522515,26947.014850556305,38013.50930898028
2024-03-19,33868.97201119373,28058.77259460266,39465.04012391346
2024-03-20,33512.022298040174,27954.048152938558,39228.72116126904
2024-03-21,34148.928700822886,28749.361640048995,39617.281527885454
2024-03-22,36498.780515864986,31167.043644990375,41678.11348576189
2024-03-23,26605.789080930208,21457.59248690163,32227.038027613773
2024-03-24,18117.65930085484,12638.786105329222,23467.82652191573
2024-03-25,32347.096508079005,26983.336642856273,37852.188785300874
2024-03-26,33888.31887685595,28407.10641707164,39111.45301249905
2024-03-27,33531.326577823296,28038.960603640502,39009.100604205785
2024-03-28,34168.19039475194,28702.4886269685,39561.80740560316
2024-03-29,36518.042209786065,31104.440869911738,41944.28678218949
2024-03-30,26625.05077484352,21101.26449184036,32132.714939043053
2024-03-31,18136.920994771222,12474.998591583924,23518.167758111238
2024-04-01,32366.358201993455,27061.894029721192,38184.97695655352
2024-04-02,33907.580570774386,28342.160339017784,39721.56265363197
2024-04-03,33550.58827174574,27699.095713253835,39218.5128199742
2024-04-04,34187.45208865235,28740.76761092884,39983.1932506433
2024-04-05,36537.3039036858,30903.498714588502,42165.687992422936
2024-04-06,26644.312468731005,20846.096602325248,32235.194395994604
2024-04-07,18156.175724893452,12516.148026291507,23740.15614502125
2024-04-08,32385.60596833942,26462.465867989264,37806.69886595888
2024-04-09,33926.82137332334,28810.411227603137,39428.50205766552
2024-04-10,33569.822110494024,28111.155936703934,39198.358694712864
2024-04-11,34206.6789636227,28284.808296944597,39766.06354031237
2024-04-12,36556.52381486945,30988.636283369582,41896.62743848723
2024-04-13,26663.52541612929,20824.9454583687,31992.033302022253
2024-04-14,18175.388672290985,12547.74931012992,23913.279173813684
2024-04-15,32404.818915751755,26898.142865252506,37677.55873186431
2024-04-16,33946.034320728235,28261.735832133723,39357.60011610224
2024-04-17,33589.03505790563,28222.43043829471,39251.88406558709
2024-04-18,34225.891911035316,28102.816279439576,40495.95155729593
2024-04-19,36575.73676228841,31174.96965143524,42516.43006171803
2024-04-20,26682.738363527576,21197.350559902625,32297.864824952918
2024-04-21,18194.601619688958,12665.637891657749,23758.091815417232
2024-04-22,32424.031863164088,27035.45073772491,37894.881067847346
2024-04-23,33965.2462715223,28418.200136323154,39895.04434252133
2024-04-24,33608.24601209482,27819.2073966691,39307.188439416306
2024-04-25,34245.10186859165,28755.684856068823,39875.11323024014
2024-04-26,36594.945723277684,30511.80849616939,42247.38355188445
2024-04-27,26701.946327896534,20749.980339615075,32290.135420811574
2024-04-28,18213.808587468033,12667.093663854675,23989.016975298244
2024-04-29,32443.237834290627,26536.331787899406,37742.75611423769
2024-04-30,33984.45224269261,28581.14513720215,39439.28239998199
2024-05-01,33627.45198325468,27784.19934943481,39093.207598588444
2024-05-02,34264.30783977754,28841.12444324204,40056.49981967146
2024-05-03,36614.15169441914,30709.17879084591,42191.30892457133
2024-05-04,26721.15229904085,21527.76317244712,32531.130231760493
2024-05-05,18233.0145586331,12811.97471075691,23964.18506747209
2024-05-06,32462.443805461906,26654.892885463534,37871.136455627166
2024-05-07,34003.6582138515,28684.57999729486,39314.544464566985
2024-05-08,33646.65795441455,27829.026682641394,39179.04810097435
2024-05-09,34283.509904424434,28188.838453542518,39746.9089721484
2024-05-10,36633.34985257011,31006.264377242664,42178.48347656823
2024-05-11,26740.346550719845,21143.00719372035,32502.777305395575
2024-05-12,18252.20490375675,12356.647085848344,23992.22719409672
2024-05-13,32481.63024408497,27289.379939558206,38349.605532957605
2024-05-14,34022.84074595815,28276.541594184582,40023.57825505548
2024-05-15,33665.83658001263,28224.300160688603,38969.680218401365
2024-05-16,34302.688530013475,28754.794375748545,39780.68697288961
2024-05-17,36652.52847816931,31369.276248313632,42562.34807198856
2024-05-18,26759.525176291685,21551.84212283857,32546.278334010498
2024-05-19,18271.383529349336,12538.82284201279,23956.783663153114
2024-05-20,32500.808869683766,27167.878617401195,38390.025118679034
2024-05-21,34042.01937154456,28679.561604839433,39428.85792751265
2024-05-22,33685.01520560874,27802.170635864502,39622.7324661473
2024-05-23,34321.867155598244,28900.301948954726,39689.817454987424
2024-05-24,36671.707103738285,31181.87118726073,41881.642723659075
2024-05-25,26778.703766580755,21400.06702659938,32493.848151000013
2024-05-26,18290.56208430801,12719.132295046658,23706.774763599005
2024-05-27,32519.987389310285,27120.93029771617,37831.27790916955
2024-05-28,34061.19785589661,28742.585525274222,39589.887275568886
2024-05-29,33704.193654663875,27896.246843389028,39604.88526424145
2024-05-30,34341.0455693458,28743.258517063645,39852.99510549972
2024-05-31,36690.88548217737,31412.61352333566,42513.92422807598
2024-06-01,26797.88214499248,21678.815787528114,32291.675850202453
2024-06-02,18309.74046274048,12287.315966209668,23916.867625783765
2024-06-03,32539.16576774897,26584.8754201768,38052.63671178347
2024-06-04,34080.37623433279,28674.064173319643,39835.35674211292
2024-06-05,33723.37203308045,28503.50287301958,39309.88060262173
2024-06-06,34360.22394778477,28400.772375395296,39538.845433518894
2024-06-07,36710.063860622686,31551.796701032024,42011.67779627826
2024-06-08,26817.060523404205,21026.9514903782,32655.033106897587
2024-06-09,18328.918841181097,12815.195413751273,23747.70307985812
2024-06-10,32558.344146465937,27100.611346707214,38292.04640919925
2024-06-11,34099.554613312095,29032.201454960516,39985.53681770629
2024-06-12,33742.550412345976,28192.10060369779,39234.08282680816
2024-06-13,34379.40232732978,29030.341932323583,39965.32628531724
2024-06-14,36729.24224044431,30730.65491603408,41791.20753166155
2024-06-15,26836.238903500802,21298.578291567574,31909.262238858006
2024-06-16,18348.097221540986,12540.423378850277,23316.94846555174
2024-06-17,32577.522526841967,26655.542818534104,37991.00168764497
2024-06-18,34118.73299368539,28455.099730998812,39968.662206724395
2024-06-19,33761.72879270881,28186.949258142806,39472.393419071464
2024-06-20,34398.580707689995,28844.257650688116,39880.261047902386
2024-06-21,36748.42062080386,31037.438656034246,41951.169431069495
2024-06-22,26855.417283848095,21271.61998697956,32509.348552178373
2024-06-23,18367.275601900437,12761.345579846991,23832.553362023402
2024-06-24,32596.700907217997,27119.88532576726,38164.08629228444
2024-06-25,34137.911374047246,28470.726290774226,39548.46468911095
2024-06-26,33780.90717241124,28352.364493057292,39188.38880196105
2024-06-27,34417.759086736645,28689.542171254117,39697.267687421685
2024-06-28,36767.598999150076,31019.26714397711,42063.03276769099
2024-06-29,26874.59566158961,20990.534934290874,32015.440141950316
2024-06-30,18386.45397891295,12535.649778411449,23760.751993800113
