ds,yhat,yhat_lower,yhat_upper
2024-01-01,5497.354548659359,4938.733726969737,6037.815981066119
2024-01-02,5479.247457384368,4948.485942051736,6075.363446304363
2024-01-03,5427.107316449407,4858.346954698704,5962.870541294133
2024-01-04,5574.932956630679,5043.3442289483155,6102.335952060992
2024-01-05,6513.428891641742,5966.627458851897,7136.672659422217
2024-01-06,6388.1776418528425,5804.703415225033,6953.5687061590725
2024-01-07,4744.772653137483,4154.890544340338,5332.430990056601
2024-01-08,5541.31122424235,4949.289926276801,6072.788557104161
2024-01-09,5523.204132970242,4960.642311531092,6053.898373083607
2024-01-10,5471.063992032557,4902.769789327805,6064.8949225996685
2024-01-11,5618.889632215478,5058.624430505985,6205.237062973152
2024-01-12,6557.385567229277,5969.439339431513,7089.4767669354205
2024-01-13,6432.1343174430185,5851.886997760167,6990.445727890758
2024-01-14,4788.7293287231605,4185.7631487163235,5375.248277744526
2024-01-15,5585.267899828507,5006.36240991268,6162.367115566451
2024-01-16,5567.160808556117,4948.700817378795,6150.372699003857
2024-01-17,5515.020667619322,4923.25645079552,6082.865708109732
2024-01-18,5662.846308319031,5098.755251815763,6204.282994431467
2024-01-19,6601.342243850179,6061.539863608288,7186.274941582415
2024-01-20,6476.090994578114,5913.413297348046,7000.676642473607
2024-01-21,4832.686006374399,4282.579856133209,5401.230117232876
2024-01-22,5629.224577998085,5076.53580199148,6200.82519429163
2024-01-23,5611.117487240908,5076.475397774018,6190.46681065337
2024-01-24,5558.977346822659,4979.827361954561,6148.366326641094
2024-01-25,5706.802987520619,5158.448465174367,6233.005191021366
2024-01-26,6645.298923052584,6077.975599148825,7200.361177078487
2024-01-27,6520.047673779945,5963.635643180819,7087.811888138312
2024-01-28,4876.642685576867,4309.847195261075,5445.930089635228
2024-01-29,5673.181257197866,5065.33539646837,6245.77908568008
2024-01-30,5655.074166442383,5066.765809067113,6201.118660968969
2024-01-31,5602.934026024404,5022.324450735583,6172.969165513919
2024-02-01,5750.7596667243415,5140.127362970907,6295.667597821258
2024-02-02,6689.255602254985,6107.2259450472875,7293.244150268986
2024-02-03,6564.004353129343,5987.9365340962195,7151.683688774022
2024-02-04,4920.59936507905,4364.618445791742,5501.167586214522
2024-02-05,5717.137936848019,5128.404191754638,6297.412755023508
2024-02-06,5699.03084624088,5094.60761263445,6238.367430741231
2024-02-07,5646.890705970941,5062.596660709589,6227.217011451814
2024-02-08,5794.716346819677,5211.0141309292885,6340.141391479618
2024-02-09,6733.212282497928,6200.032089351725,7316.522048285844
2024-02-10,6607.961033372487,6029.432602405184,7219.169222400891
2024-02-11,4964.556045323635,4353.481880289879,5544.942714415451
2024-02-12,5761.094617093337,5162.046231968418,6329.115755665241
2024-02-13,5742.987526486249,5172.213762913406,6327.1571316722475
2024-02-14,5690.847386217201,5144.813254575118,6282.881862212
2024-02-15,5838.673027066041,5251.8672187746115,6435.864722158447
2024-02-16,6777.168962744958,6193.697269516106,7314.353310321932
2024-02-17,6651.917713617026,6093.627103635778,7226.528359225739
2024-02-18,5008.51272556822,4412.308577811752,5590.1669964291905
2024-02-19,5805.0512970266245,5261.839656366123,6407.73624858104
2024-02-20,5786.94420610652,5214.7398832918125,6371.985636801531
2024-02-21,5734.804065525371,5166.718273988563,6330.984808919985
2024-02-22,5882.629706059545,5332.932399000368,6434.743990551234
2024-02-23,6821.125641424658,6213.0810627697865,7342.223307716027
2024-02-24,6695.874391985379,6177.768271731305,7266.59717379941
2024-02-25,5052.469403626312,4467.825502831772,5589.221768741506
2024-02-26,5849.007975083394,5275.272209979168,6424.1966459572395
2024-02-27,5830.900884161819,5259.4001592358,6364.54365428345
2024-02-28,5778.760743580723,5209.739651541469,6367.69519209715
2024-02-29,5926.586384117028,5308.7623638561145,6492.055319596328
2024-03-01,6865.082319482808,6324.189446166189,7431.191158331083
2024-03-02,6739.831070046168,6176.250453992803,7300.420349979746
2024-03-03,5096.426081682014,4529.928402386474,5709.967223452363
2024-03-04,5892.964653140496,5355.2589086757125,6432.845873306229
2024-03-05,5874.857562219495,5305.584630217109,6448.728238451067
2024-03-06,5822.717421731756,5194.5357659426645,6419.924501098209
2024-03-07,5970.5430623649745,5403.657190443415,6519.458839973524
2024-03-08,6909.038997830844,6357.216044029341,7469.901554023618
2024-03-09,6783.787748489512,6186.969368831714,7352.292610364887
2024-03-10,5140.382760224657,4598.522410002062,5715.679216311164
2024-03-11,5936.921331780887,5357.28660753139,6477.14766646894
2024-03-12,5918.814240955687,5297.234693160802,6514.366693680821
2024-03-13,5866.674100470026,5293.885302045328,6420.522831405294
2024-03-14,6014.499741103348,5381.596608748224,6573.634510929203
2024-03-15,6952.995676569884,6420.5924786620435,7488.02173112415
2024-03-16,6827.744427227453,6249.403629175191,7393.112800462255
2024-03-17,5184.339438960665,4606.798935511601,5746.401074518825
2024-03-18,5980.8780105153855,5410.1680374764965,6572.432348725516
2024-03-19,5962.770919693066,5396.074502394103,6533.949917583762
2024-03-20,5910.630779208296,5334.398118112971,6477.629246342561
2024-03-21,6058.456419839653,5524.741915188896,6643.879208988553
2024-03-22,6995.725475886087,6433.711169212063,7525.624308259632
2024-03-23,6869.247347125909,6297.409763859344,7435.261424703513
2024-03-24,5224.6154794351,4660.133632974251,5798.154538333954
2024-03-25,6019.927171569381,5474.874816108015,6571.400243578689
2024-03-26,6000.593201324676,5448.651352375107,6588.0005381568935
2024-03-27,5947.226181419261,5384.348557865085,6533.7191379682345
