ds,yhat,yhat_lower,yhat_upper
2024-01-01,18771.792026895062,15629.061817121163,21835.367578347978
2024-01-02,19882.45830337741,16796.532377634216,23061.387445923952
2024-01-03,20359.769512896914,17152.486661500585,23552.291976309374
2024-01-04,21262.176340779923,18308.681585347906,24211.07788355818
2024-01-05,27874.630730668636,24762.50753725495,31001.28811024734
2024-01-06,29527.552082078393,26470.581359852727,32559.395847764696
2024-01-07,19568.884993107495,16616.970437603424,22571.92686739463
2024-01-08,19034.885766162886,16138.117900811734,22173.878635255747
2024-01-09,20145.552042654577,17106.483521467882,23056.827796742367
2024-01-10,20622.863252162082,17571.49549427778,23794.559866895826
2024-01-11,21525.270080052887,18886.79177531441,24595.547068248266
2024-01-12,28137.72446995318,25173.290376022476,31250.551488470777
2024-01-13,29790.645821373608,26685.150863089024,32894.014861553966
2024-01-14,19831.978732378146,16952.20568308776,22718.32236894269
2024-01-15,19297.979505438845,16303.979010931054,22373.78808774283
2024-01-16,20408.64578193174,17439.5447114878,22990.815520136035
2024-01-17,20885.95699144102,17584.2864958311,23698.79892957572
2024-01-18,21788.363816977813,18871.054758747312,25130.114011738668
2024-01-19,28400.818204526506,25406.492213748155,31316.234011810426
2024-01-20,30053.73955357846,27206.99607151182,32977.13699762776
2024-01-21,20095.072462223325,17194.969213413377,23187.619435831875
2024-01-22,19561.073232936767,16511.41830075468,22469.02478944273
2024-01-23,20671.739507070422,17434.971344533675,23529.65905591766
2024-01-24,21149.05071423087,18008.558694987092,24087.590151236498
2024-01-25,22051.45753976153,19030.5875354448,24995.17347735469
2024-01-26,28663.911927315057,25607.703675445733,31612.930821280923
2024-01-27,30316.833276360878,27135.693408424908,33586.16320850336
2024-01-28,20358.16618500473,17517.072814976473,23263.956167001128
2024-01-29,19824.16695571534,16639.018065933138,22774.54320965409
2024-01-30,20934.833229853495,17733.567583608332,24164.5135722079
2024-01-31,21412.144437013674,18184.634435237058,24420.391149530526
2024-02-01,22314.55126254643,19598.668010430218,25463.42771571842
2024-02-02,28927.0056501036,25930.597990212642,31728.777273967215
2024-02-03,30579.92699952577,27481.47202139669,33573.20196862254
2024-02-04,20621.2599085886,17800.785352490544,23708.453567466033
2024-02-05,20087.26067966507,17065.28051123329,23081.80028431858
2024-02-06,21197.92695418964,18457.903599690024,24381.751464723864
2024-02-07,21675.238161731773,18775.14958097117,24951.93276573675
2024-02-08,22577.64498765249,19447.521870346645,25713.103140162624
2024-02-09,29190.09937557715,26147.18666510536,32263.336772329963
2024-02-10,30843.020725013015,28103.855427395854,33972.455148348585
2024-02-11,20884.35363407789,18109.208068673226,23828.222450449834
2024-02-12,20350.35440515934,17267.316061694743,23448.36215742883
2024-02-13,21461.020679686968,18393.609299473825,24658.39755682018
2024-02-14,21938.331887230874,19055.97378300698,25050.0017712303
2024-02-15,22840.73871315318,19729.546933559974,25669.977916888693
2024-02-16,29453.19310108185,26384.9422608132,32335.48092721138
2024-02-17,31106.114450504843,28021.754225568755,34146.99885279937
2024-02-18,21147.44735956718,18087.38459833426,24474.48320702982
2024-02-19,20613.44812871257,17574.72490726672,23702.65828316917
2024-02-20,21724.114401288425,18584.02579007959,24755.806962422055
2024-02-21,22201.425606895762,19385.378595501814,25324.28453308423
2024-02-22,23103.832430867355,20021.948470086714,26228.651263788113
2024-02-23,29716.286816849373,26722.44772307984,32832.724927740666
2024-02-24,31369.208164328244,28203.91490214943,34434.74732522038
2024-02-25,21410.54107147317,18580.484374457752,24466.756909423075
2024-02-26,20876.541840595517,17717.195783861287,23789.705835974968
2024-02-27,21987.20811316773,18860.009649393935,24943.77624886996
2024-02-28,22464.519318774957,19528.81840082211,25593.962726970414
2024-02-29,23366.92614275487,20318.264075297815,26333.52923203814
2024-03-01,29979.380528740905,26875.978500231446,33008.99706484765
2024-03-02,31632.301876230445,28611.254601453544,34724.67726388011
2024-03-03,21673.63478334929,18576.913059768885,24681.383067565665
2024-03-04,21139.635552480304,18113.114597578773,23942.953680843788
2024-03-05,22250.30182505673,18902.29094373003,25398.578785940168
2024-03-06,22727.612744814192,19528.8546120707,25664.847288752535
2024-03-07,23630.019282955025,20548.96670477522,26494.271739820557
2024-03-08,30242.47338312691,27156.824103426927,33213.574333735
2024-03-09,31895.394444772814,29055.436800947336,34955.75841542648
2024-03-10,21936.727066062303,18851.024562672534,25105.772297525986
2024-03-11,21402.727549365703,18261.23322976442,24354.450066096484
2024-03-12,22513.393536105563,19395.38317672475,25495.096152974344
2024-03-13,22990.70445586964,19942.85400165906,26090.66195237166
2024-03-14,23893.110994012066,20827.619127711994,26937.467892055272
2024-03-15,30505.565094187965,27694.40919702285,33257.50060579331
2024-03-16,32158.486155825587,29289.75327168895,35544.95915735172
2024-03-17,22199.81877710643,19196.519191493746,25342.275595205145
2024-03-18,21665.819260410037,18636.658592215867,24790.324612110813
2024-03-19,22776.485247159235,19470.16197016898,25573.252705621893
2024-03-20,23253.796166925094,20407.303446739967,26337.61442951942
2024-03-21,24156.20270506154,21031.69112474967,27488.3794508172
2024-03-22,30752.411601128733,27582.168044743452,33818.13398899262
2024-03-23,32389.087458665632,29288.539831264654,35394.94191990363
2024-03-24,22414.174875812954,19361.773496414567,25392.880310845492
