ds,yhat,yhat_lower,yhat_upper
2024-01-01,50604.420664045254,40959.10680189903,60528.20638367147
2024-01-02,53457.01635401342,43336.827648187864,62833.11730560429
2024-01-03,52710.13108435841,42328.85388695851,62728.22964861775
2024-01-04,54059.758351146695,44101.14650524933,63993.289882254896
2024-01-05,55878.5124427684,46243.83437442731,66344.24704093543
2024-01-06,35491.02016531523,24807.70641255832,45238.23676359053
2024-01-07,26255.05677923955,16554.632094240522,36656.39361097245
2024-01-08,50702.646261263064,41012.04099243813,60576.16187250105
2024-01-09,53555.24195129404,43670.9871332818,64182.280974310605
2024-01-10,52808.356681626465,42473.636583153086,62255.07454165168
2024-01-11,54157.98394842259,44275.84760113085,64334.62489124991
2024-01-12,55976.73804005763,45825.30572568933,65315.312135130305
2024-01-13,35589.24576267252,25938.893129842414,45417.829007349705
2024-01-14,26353.282376541953,15619.280048481336,36452.99381274197
2024-01-15,50800.87185856234,40808.5301821727,61110.60983980342
2024-01-16,53653.467548574656,43243.051595072466,64622.763357198106
2024-01-17,52906.58227891609,42540.300028998696,62800.81745172129
2024-01-18,54256.20954559595,44032.58366007434,64733.494012838055
2024-01-19,56074.963637106994,45848.02794105057,65581.8200023236
2024-01-20,35687.47135958455,26061.984849688688,45674.19051599607
2024-01-21,26451.507973334923,16772.644903600984,36256.28318919285
2024-01-22,50899.097455261974,41246.05670347627,60201.69714720572
2024-01-23,53751.69314513366,43465.30024568942,63430.662880991775
2024-01-24,53004.807875364066,42607.47632851478,62825.69794177795
2024-01-25,54354.43514203233,43981.197438994284,64495.090995012004
2024-01-26,56173.18923353614,46014.551548444586,66530.19212559577
2024-01-27,35785.69695601686,26024.289222830757,46272.368505122846
2024-01-28,26549.73356979781,16706.682431844674,36099.45408344684
2024-01-29,50997.32305164025,41105.02469757863,61027.47517717039
2024-01-30,53849.918741572714,43978.52548867165,63777.60001523094
2024-01-31,53103.033471803385,42754.118726051776,63458.75279693439
2024-02-01,54452.6607384853,44610.99135914588,64681.063075576305
2024-02-02,56271.4148299653,45392.68867907817,66262.99610009063
2024-02-03,35883.92254945262,25727.236044941823,45885.41444532247
2024-02-04,26647.959160247647,17200.552160976004,36703.94636863595
2024-02-05,51095.54863916224,41089.718085878194,61433.720273380815
2024-02-06,53948.14432610625,43556.215558386226,64261.57448972187
2024-02-07,53201.25905335826,43663.430432684974,64087.15652371816
2024-02-08,54550.886317060336,45482.58823434444,64787.6424918997
2024-02-09,56369.64040560863,46460.98781888247,66356.79545896368
2024-02-10,35982.14812502703,25700.08682353442,45113.191995990244
2024-02-11,26746.18473585745,16761.547758459412,36619.198281243815
2024-02-12,51193.77421479087,40931.92221046059,60418.06346106725
2024-02-13,54046.36990170911,44195.36435862706,64361.57522202294
2024-02-14,53299.48462897014,43243.14379495068,63095.565904435665
2024-02-15,54649.11189267587,44866.306075437686,65286.119402421835
2024-02-16,56467.865981220115,46379.02509298961,66344.13558566559
2024-02-17,36080.373700621116,26313.40503705789,45585.479974583606
