ds,yhat,yhat_lower,yhat_upper
2024-01-01,12384.444730822757,11243.089287127219,13495.703751126488
2024-01-02,11612.979604386494,10447.299343488905,12757.447052333588
2024-01-03,11497.266250479384,10285.567470896507,12601.925715279918
2024-01-04,12119.59207118685,10905.257310268224,13340.58620436766
2024-01-05,12999.522798735257,11815.298165010687,14142.84574829121
2024-01-06,12517.89211743656,11311.915897236177,13645.689261018504
2024-01-07,12152.148304868242,11025.311143473975,13289.703765521843
2024-01-08,12445.23012679541,11282.845320627905,13641.387784409331
2024-01-09,11673.765000357991,10424.054343518193,12846.604878394171
2024-01-10,11558.051646451366,10458.206200580717,12703.224849850723
2024-01-11,12180.377467159302,11040.455353253219,13369.480871724963
2024-01-12,13060.30819470812,11792.902951308562,14231.070071630142
2024-01-13,12578.677513411001,11458.81663587768,13778.389401636687
2024-01-14,12212.933700841095,10949.45459186835,13303.15253311937
2024-01-15,12506.015522767568,11350.688544788078,13834.554919022052
2024-01-16,11734.550396329489,10488.6221659701,12951.921337270067
2024-01-17,11618.83704242386,10415.203488882986,12800.573984664972
2024-01-18,12241.16286299605,11014.873270323826,13420.657832662395
2024-01-19,13121.09359040827,11949.979389832288,14317.2406803478
2024-01-20,12639.462908973808,11480.19338533734,13843.010408893186
2024-01-21,12273.719096266754,11122.603183940195,13457.071477647512
2024-01-22,12566.800918057948,11373.21621647992,13684.436423964657
2024-01-23,11795.335791483043,10634.550423573708,13002.8850710079
2024-01-24,11679.622437440596,10511.562434465402,12865.031781865862
2024-01-25,12301.948258014017,11149.604767319657,13452.462759474138
2024-01-26,13181.87898542573,11929.225391640455,14403.228187289511
2024-01-27,12700.248303991193,11536.74733845466,13871.663216258772
2024-01-28,12334.504491285119,11142.141549711741,13556.608741408068
2024-01-29,12627.586313076115,11498.417367231988,13718.562561056988
2024-01-30,11856.121186500242,10774.6086993224,13178.874945104159
2024-01-31,11740.407832458346,10585.059009273291,12956.688873141991
2024-02-01,12362.733653029289,11234.657856336557,13587.24065110421
2024-02-02,13242.66438044319,12033.266094008404,14390.872339509191
2024-02-03,12761.033698782321,11524.548309685033,13973.929038255086
2024-02-04,12395.289885851771,11229.024216742066,13663.00780958911
2024-02-05,12688.371707417418,11562.39260876489,13777.633553347308
2024-02-06,11916.906580616227,10795.601154674436,13043.023652205624
2024-02-07,11801.193226349813,10723.198926775476,12969.05497111147
2024-02-08,12423.519046695714,11250.994980301506,13575.714077585104
2024-02-09,13303.449773883618,12054.332880398268,14468.936177808724
2024-02-10,12821.819092221911,11588.031878681648,13946.391294337365
2024-02-11,12456.075279292456,11330.947946106906,13654.14420065258
2024-02-12,12749.157100858889,11504.115126192793,13915.708490095923
2024-02-13,11977.691974056439,10797.068507178756,13099.417673811116
2024-02-14,11861.978619791023,10790.301178415528,13101.900490905176
2024-02-15,12484.304440137534,11300.1339211968,13607.115945788993
2024-02-16,13364.235167325196,12186.76822039563,14528.47134690024
2024-02-17,12882.6044856625,11656.827547399584,14083.999624260745
2024-02-18,12516.860672733143,11357.919126639403,13586.93184956369
