ds,yhat,yhat_lower,yhat_upper
2024-03-06,23652.99424896604,14638.909292757085,32910.48415544921
2024-03-07,23801.767676752603,14694.182624224824,32731.554441532233
2024-03-08,25811.072002396744,16947.775057095198,33586.74237947281
2024-03-09,26967.371021978273,18327.42408320013,35954.95889763096
2024-03-10,22531.03004071382,13557.440046942631,31615.631697090852
2024-03-11,22618.264899480626,13978.163159073734,32172.504315220027
2024-03-12,23052.586430639756,13977.689834858626,32297.401413815427
2024-03-13,23614.875848612464,14173.198455428656,33264.20027821469
2024-03-14,23763.649276398333,15590.864901373796,32326.8741412531
2024-03-15,25772.953602044836,16768.74931705165,35000.753649548744
2024-03-16,26929.25262162288,17857.731231413603,35534.64147694806
2024-03-17,22492.911640354767,13168.315626732336,31187.10930046852
2024-03-18,22580.146499120823,14107.131684404121,31409.618697260878
2024-03-19,23014.468030284817,14035.326588565704,31638.796204484206
2024-03-20,23576.757448258883,14769.498562830138,32172.147601868324
2024-03-21,23725.530883828967,15123.00541545423,32921.01803425
2024-03-22,25734.83521726809,16492.448124948834,34221.282403499536
2024-03-23,26891.134244640198,18277.866251704323,35780.30404978205
2024-03-24,22454.79327115401,14110.84554042595,31386.320877066726
2024-03-25,22542.02813771184,13403.18208104797,30906.752068085363
2024-03-26,22976.349676663176,14432.599001244394,31539.246930827987
2024-03-27,23538.639102427074,14230.06145212918,32182.065476024072
2024-03-28,23687.412538005512,15109.881390744173,33347.878563766506
2024-03-29,25696.716871429257,17651.448031021628,34091.139393137
2024-03-30,26853.01589881105,18783.91099611877,36199.13710842004
2024-03-31,22416.67492532164,13371.69823116355,31501.30501051663
2024-04-01,22503.909791883598,14354.389210254702,31335.062239139148
2024-04-02,22938.231330833605,14207.97874929428,31812.958002843196
2024-04-03,23500.520756602542,14384.29854253436,32624.163674668747
2024-04-04,23649.294192002228,14051.333876636756,32853.76813649416
2024-04-05,25658.598525258432,16584.42293225127,35044.02252481774
2024-04-06,26814.897552465376,17419.82933045849,34884.25597801099
2024-04-07,22378.556578806256,13096.633959334738,30991.230187995672
2024-04-08,22465.791445198232,13774.338938911387,31566.409304233985
2024-04-09,22900.112983980714,14432.323815899505,31579.27527532496
2024-04-10,23462.40240957137,14852.903562599517,32005.359850775414
2024-04-11,23611.175844974732,14714.659631511804,32722.513331212172
2024-04-12,25620.480178234102,16681.032761621675,34495.9587209526
2024-04-13,26776.779205439107,17687.42788864583,35003.04982087823
2024-04-14,22340.438231791428,12873.794924120379,31084.46227496808
2024-04-15,22427.673098175088,12948.397077270703,31081.41137320478
2024-04-16,22861.994636957115,13951.287600279316,31878.02394488458
2024-04-17,23424.284062549123,14643.027614615781,31963.964757390615
2024-04-18,23573.05667825934,14693.503499515366,32521.059262105817
2024-04-19,25582.360191815435,16490.96038613615,34348.92194179898
2024-04-20,26738.658399335458,17544.943156582834,35946.4608092331
2024-04-21,22302.316605993867,13559.89011130666,31170.824096204306
2024-04-22,22389.550652689635,13808.610178229996,31194.427069937716
2024-04-23,22823.87137177527,13926.258865535514,31542.76784460481
2024-04-24,23386.159977675197,14298.13602221544,32357.588578757095
2024-04-25,23534.932593377926,14282.586758758924,32733.152863165255
2024-04-26,25544.236106947646,16709.245746979293,34662.49366677208
2024-04-27,26700.53431446197,17141.854337809767,35978.35814645047
2024-04-28,22264.19252111938,12925.15237213908,30645.03600750037
2024-04-29,22351.42656781214,13636.41195141552,31140.96503042558
2024-04-30,22785.747286900085,13722.237215452249,31401.587861297867
2024-05-01,23348.03589280127,15168.844698796931,32235.050916173
2024-05-02,23495.023003920178,14909.49770400517,32426.781304295324
2024-05-03,25502.541012887996,16643.368270551615,34662.49991308006
2024-05-04,26657.053715809754,17180.022510137424,35382.67913078951
2024-05-05,22218.926417875977,13848.320077396056,31950.353645996856
2024-05-06,22304.37495998091,13286.068257875568,30522.804934098993
2024-05-07,22736.910174472745,13479.896543270956,32088.60539634251
2024-05-08,23297.413275782124,14310.496388749616,32208.969299129498
2024-05-09,23444.400386900244,14626.089939084035,31788.666734705243
2024-05-10,25451.918395874985,16130.745003465878,34548.26585688025
2024-05-11,26606.431098799792,17890.505328433203,35741.19362033572
2024-05-12,22168.303800856043,13618.278793767666,30768.26695751168
2024-05-13,22253.7523429617,12892.250646328885,30972.00875204814
2024-05-14,22686.2875574602,13969.174284728813,30752.142058013633
2024-05-15,23246.790658767448,14461.719941640129,32857.77259619567
2024-05-16,23380.20027187405,14073.891826066118,32201.101115519035
2024-05-17,25374.140782844584,16479.761237534203,34217.96570248971
2024-05-18,26515.07598775279,17018.16747194547,34619.08743265934
2024-05-19,22063.371191801336,13222.721833204609,31440.635985406265
2024-05-20,22135.242235902635,13305.9748434829,31294.435024700673
2024-05-21,22554.199952388506,13297.241691314419,31783.199219646223
2024-05-22,23101.12555569023,14221.336807407453,31589.252606367296
2024-05-23,23234.535168793253,14576.382086249876,32386.569003650504
2024-05-24,25228.47567976319,16052.202112924724,34354.73630859501
2024-05-25,26369.410884675428,17917.784534180868,34971.23243225778
2024-05-26,21917.70608873297,13373.857945572003,30597.39862287313
2024-05-27,21989.577132820865,12979.929684034698,31197.040315276325
2024-05-28,22408.534849308115,13950.327992337345,31173.40965575956
2024-05-29,22955.46045261468,13649.922731367215,32123.062457445292
2024-05-30,23077.021399490928,14293.455306876236,32053.887866787536
2024-05-31,25059.113244237134,16182.603461618097,34059.70382601479
2024-06-01,26188.199782915373,17576.86865491831,35379.43825123326
2024-06-02,21724.646320747826,12724.693877845588,30025.82111996615
2024-06-03,21784.668698613972,13007.293243817656,30755.279337180727
2024-06-04,22191.777748878172,13890.009242205211,31380.530471437192
2024-06-05,22726.854685947594,13384.110731515028,31791.56628544105
2024-06-06,22848.41563283209,13900.666345136207,31807.752454262823
2024-06-07,24830.507477567477,15061.253871425593,33344.75040116461
2024-06-08,25959.594016250983,16891.13782183202,35165.81566583765
2024-06-09,21496.040554084637,12383.200793817294,30340.57973706187
2024-06-10,21556.062931953096,12936.176937015895,30942.9508966991
2024-06-11,21963.171982215175,13365.315078208983,30689.561515484613
2024-06-12,22498.24891928777,13579.308139562581,31333.60989904366
2024-06-13,22619.809122885094,13815.072388703957,31537.550193713956
2024-06-14,24601.900224334688,15724.78099504153,34067.86905940523
2024-06-15,25730.986019726548,16681.06913220138,34386.08756238525
2024-06-16,21267.43181426839,12433.546553933249,30088.554001819084
2024-06-17,21327.453448851455,13006.069461646155,30035.24809486056
2024-06-18,21734.56175582237,12253.066324355743,30757.17636132467
2024-06-19,22269.63794960806,13294.11785978751,31968.679295975613
2024-06-20,22391.1981532046,13634.064394391904,31832.914252423907
2024-06-21,24373.28925465736,15572.987563639655,33727.21340896156
2024-06-22,25502.37505004507,16503.06034243708,34189.45234260621
2024-06-23,21038.820844600566,12202.806382260496,30300.40543511546
2024-06-24,21098.842479173494,11584.29885113339,30067.267435237125
2024-06-25,21505.95078614229,12285.953382594977,30367.363133691462
2024-06-26,22041.02697993282,13332.800502161908,30869.128663154206
2024-06-27,22162.587182884494,12925.272092003494,30925.27772445316
2024-06-28,24144.678283682522,15630.270363399122,33459.85009411608
2024-06-29,25273.764078430508,16001.250719296391,34069.655584205524
2024-06-30,20810.209872325067,11462.735236558074,30233.16477586288
2024-07-01,20870.231506253593,11951.679254277053,29193.93656029362
2024-07-02,21277.339812573187,12378.700322451663,29808.381257203502
2024-07-03,21812.416005716324,12753.569062018307,30543.68779794857
2024-07-04,21933.976208656033,13044.847232142449,31063.333040397556
2024-07-05,23916.067309463935,14534.162594290221,32320.39575664115
2024-07-06,25045.15310420777,16616.679376834687,33717.95425351009
2024-07-07,20581.598898103537,11632.491193496722,29272.662626297766
2024-07-08,20641.620532032564,12717.047039860588,29370.238960049803
2024-07-09,21048.72883835445,12444.349807860795,30849.93027959343
2024-07-10,21583.80503149089,13495.285281183753,30537.278052455425
2024-07-11,21705.36525005546,12977.828865608857,30286.011976613692
2024-07-12,23687.456366482325,15296.454160228332,32848.69944678651
2024-07-13,24816.542176837065,15026.977963892623,34462.40372466303
2024-07-14,20352.987986348435,11558.276330211047,29439.370238160896
2024-07-15,20413.009635894683,12084.09985826507,28823.85553181916
2024-07-16,20820.117957836235,11590.97432313432,29592.13155706199
2024-07-17,21355.194166590634,13106.504552780432,29807.163920083916
