ds,yhat,yhat_lower,yhat_upper
2024-01-01,44640.09762613293,36694.89281739445,52103.168501569395
2024-01-02,47176.554419884116,39694.46090870812,55408.95731640725
2024-01-03,46387.01485839747,38429.69717031894,54258.30949665663
2024-01-04,47913.704569969144,40528.33165836325,55116.664124683266
2024-01-05,51567.074296226514,44476.25630351365,59374.84840645379
2024-01-06,40188.200693135055,32574.75968915492,48198.68479537854
2024-01-07,26340.062934289876,18921.531281995707,34385.57463797215
2024-01-08,44879.905930083725,37396.25695662383,52533.85343187599
2024-01-09,47416.36272388938,39618.362739976146,55164.10349218664
2024-01-10,46626.82316237725,38599.0375432602,54712.572068948575
2024-01-11,48153.512873963096,40504.28357671131,56078.56386839893
2024-01-12,51806.8826002426,44328.212988976484,59573.85742947942
2024-01-13,40428.008997202545,32786.808100706454,47474.608162728735
2024-01-14,26579.871238302734,18742.302505807547,34284.776473813945
2024-01-15,45119.71423409913,37449.69217602112,52741.64171474679
2024-01-16,47656.17102789465,40075.94446043988,55621.28905021994
2024-01-17,46866.63146639242,39332.57013081914,53869.96299561842
2024-01-18,48393.321174157536,40444.19895995565,55948.33550678618
2024-01-19,52046.69089661699,44748.15360890699,58994.47325947033
2024-01-20,40667.817289734354,33089.09259873348,48234.65344468733
2024-01-21,26819.679527016,18880.09039093172,34252.84639727058
2024-01-22,45359.52251901031,37481.49724031147,52636.321443219866
2024-01-23,47895.97930896427,40592.57874363155,55644.39923918996
2024-01-24,47106.439743657655,39013.13338856197,54847.01278353357
2024-01-25,48633.12945140559,40693.444621932395,56432.374986560724
2024-01-26,52286.49917386647,44758.20325716855,60006.38984727548
2024-01-27,40907.6255669828,33389.03925329518,48776.16700961525
2024-01-28,27059.487804282966,19041.49219718486,34877.832386050584
2024-01-29,45599.33079621522,37722.94023772252,53194.92309505202
2024-01-30,48135.787586213046,40927.875280962624,55970.206926518986
2024-01-31,47346.24802090923,39704.65279131408,55194.48531913378
2024-02-01,48872.93772868215,41046.96777856901,56190.17928258564
2024-02-02,52526.30745111595,44784.24596713896,59841.87967305917
2024-02-03,41147.43384576161,33478.84144137638,48173.42157142494
2024-02-04,27299.296084620135,19901.3718497352,34841.78256868125
2024-02-05,45839.139078125154,38299.483872342076,53490.71891018166
2024-02-06,48375.59586965783,40963.319119128784,56099.37977112566
2024-02-07,47586.05630589258,40419.39194031672,55790.99398943032
2024-02-08,49112.74601520833,41549.08251613208,56725.55032146739
2024-02-09,52766.11573921135,45220.04546504371,60204.27577002488
2024-02-10,41387.24213381853,33719.66931334484,49449.08892774486
2024-02-11,27539.10437270346,20035.643382056784,34768.39937366494
2024-02-12,46078.94736621776,39086.98692679461,53783.676776403096
2024-02-13,48615.40415774167,40814.02620245317,56285.28729857759
2024-02-14,47825.864593986335,40735.81867057932,55252.75456415439
2024-02-15,49352.55430330218,41623.774197265186,56895.50138215854
2024-02-16,53005.924027306006,45483.44881199142,60625.89993508012
2024-02-17,41627.05042189146,33314.14795288369,49923.270293465146
2024-02-18,27778.912660786795,20195.058289640016,35157.24050519721
2024-02-19,46318.75565090507,39003.480276070266,54132.371725150595
2024-02-20,48855.212439015646,41414.40312615224,56754.333872474206
2024-02-21,48065.67287185596,39958.83436819435,55629.91432440503
2024-02-22,49592.36257774254,41986.343239382135,56903.62695298764
2024-02-23,53245.73229831903,46333.544558509755,61164.72626159926
2024-02-24,41866.858689516106,34319.596781432796,49361.82293970312
2024-02-25,28018.72092499941,20621.779676915114,35560.47682814334
2024-02-26,46558.56391514274,38794.06277832931,54132.69452514865
2024-02-27,49095.02070323259,41011.881014111874,56960.49670602042
2024-02-28,48305.48113607165,41560.087222162714,55989.567119082654
2024-02-29,49832.17084198008,42005.365468678036,57613.13471079614
2024-03-01,53485.540562557384,46256.115400066905,60935.13252438237
2024-03-02,42106.66695380586,34521.69293288144,48918.35081245425
2024-03-03,28258.52918922643,20940.482874685375,36085.8813755371
2024-03-04,46798.37217938178,39115.91560153377,54196.80806576337
2024-03-05,49334.82896747071,42123.74773067861,56772.87160292126
2024-03-06,48541.155419938616,41158.69069248727,57163.618603945884
2024-03-07,50063.71114551204,42003.55677212497,58038.49066020494
2024-03-08,53712.946885769845,45749.91030962283,61290.306948455924
2024-03-09,42329.93929666625,34199.97111377814,50241.49730430364
2024-03-10,28477.667551786264,20869.22051078261,35630.08659174115
2024-03-11,47013.37656160909,39280.58173241783,54527.45997356407
2024-03-12,49545.699369342234,42076.75645181703,57681.11089200149
2024-03-13,48752.02582183065,41449.06467624907,56246.921545985366
2024-03-14,50274.58154740417,43070.31362246672,57875.85641650715
2024-03-15,53923.81728766278,45744.534770587736,61664.10840860726
2024-03-16,42540.809698553436,34751.35842667506,50167.397876351206
2024-03-17,28688.537953659747,21543.07568648685,36200.506847846176
2024-03-18,47224.24696343673,39364.82338560911,55038.13412955146
2024-03-19,49756.56977122435,42449.359170739786,57582.96825165009
2024-03-20,48962.89622372268,41077.71630765758,56970.02187418664
2024-03-21,50485.451949274975,42670.02624029509,57870.56265120274
2024-03-22,54124.84713363381,46805.082014822336,61911.688116368205
2024-03-23,42731.998988679385,35025.74970864577,50096.995683123685
2024-03-24,28869.886687845876,21358.490776957413,35569.20456736951
2024-03-25,47395.75514172421,39741.806847733,54791.37803112493
2024-03-26,49918.2373935899,42663.8924080146,56943.307055518526
2024-03-27,49114.72329018983,41032.3311123942,56668.375815405714
2024-03-28,50627.43845988004,42373.03076524403,57977.16179311973
2024-03-29,54266.833644219114,46011.14902851301,61952.37066155925
2024-03-30,42873.985499258204,35234.49607727307,50199.26822126943
2024-03-31,29011.87319842722,21249.872165460238,36629.73367386541
2024-04-01,47537.74165230945,39850.3700352828,54908.5609644087
2024-04-02,50060.22390418046,42519.28366641525,57627.45462442197
2024-04-03,49256.70980078715,41986.06713724874,57150.88353381328
2024-04-04,50769.42497044248,42205.44121804539,58452.495382834655
2024-04-05,54408.82015478297,47021.169821909156,61881.10682893616
2024-04-06,43015.97200980504,35338.94111527278,50156.509854082185
2024-04-07,29142.483797823566,21261.09295717835,36694.992621173966
2024-04-08,47656.97634053819,40147.83649331271,55555.88432227346
2024-04-09,50168.082681223525,42726.94045081551,57705.76256492919
2024-04-10,49353.19266662782,41824.01031665671,57175.98415329108
2024-04-11,50854.531925120464,43528.979184888565,58404.004642209766
2024-04-12,54482.55119828548,47044.44194827208,62150.222199989556
2024-04-13,43078.327142129616,35323.272671066305,50362.44908332191
2024-04-14,29204.838930152273,21130.80803462684,36011.78005331573
2024-04-15,47719.331472885206,40170.11294216989,54574.22873894459
2024-04-16,50230.43781355903,42614.28045539749,58606.294803993376
2024-04-17,49415.547798973246,41782.27586022792,57310.309785597114
2024-04-18,50916.88705746598,43517.734238797406,58773.9067031635
2024-04-19,54544.90633063254,47003.82349563766,62130.94616746958
2024-04-20,43140.6822744542,35315.723951641165,50769.93834242057
2024-04-21,29267.194062479142,21477.704525065536,37121.55456334001
2024-04-22,47781.6866052322,40451.202308412634,55383.95608506417
2024-04-23,50283.186265087126,42525.50329959029,58189.792613883496
2024-04-24,49458.68956970733,41586.988910208696,57013.380064525125
2024-04-25,50950.42214736428,43058.63214345954,58601.401533085045
2024-04-26,54568.8347397916,47277.990564346095,62293.58599986716
2024-04-27,43155.00400279471,34855.497697822015,50855.72775908368
2024-04-28,29271.909110041364,22124.672023478237,37028.00094002453
2024-04-29,47776.79497193417,40595.708714426226,55029.24739188851
2024-04-30,50278.29463185116,42453.26413296899,57646.38141297086
2024-05-01,49453.79793645735,41455.69163337958,56579.77228254775
2024-05-02,50945.53051415342,43550.05695571576,58634.551001985055
2024-05-03,54563.94310651881,47364.47284124705,62656.61319405101
2024-05-04,43150.1123695256,35757.748131384666,50796.947882081324
2024-05-05,29267.01747679866,21393.406675597107,37099.36635219823
2024-05-06,47771.903338703494,40349.39964299927,55350.87784886441
2024-05-07,50273.40299859838,42548.28179967767,57417.67389958072
2024-05-08,49448.906303207375,41963.71269433534,56609.30607639228
2024-05-09,50935.23409987602,43051.06479884713,58653.361958184854
2024-05-10,54548.24191123963,47277.393125039314,63062.070360132326
2024-05-11,43129.00639327393,35564.284092704416,50962.56325127002
2024-05-12,29240.506719460343,22478.097373795285,36731.31605641397
2024-05-13,47739.98780035056,40011.813982645996,55836.24614219468
2024-05-14,50236.08267922336,42596.84621157957,57936.948271509435
2024-05-15,49406.18120280776,41829.82386407252,57361.34935404069
2024-05-16,50892.50899946236,43398.28250753996,58356.60527007587
2024-05-17,54505.516810840934,46829.86357777874,62042.1812825219
2024-05-18,43086.2812928375,35531.155143521675,50329.99656793364
2024-05-19,29197.781619050314,21318.660202238487,37304.50924284327
2024-05-20,47697.262699952546,40150.82881863778,54837.40422340319
2024-05-21,50193.35757880325,42307.80029864605,57269.54937203603
2024-05-22,49363.4561024041,41646.61826935852,57166.171045578034
2024-05-23,50849.78389904155,43354.89306866639,58330.72458811902
2024-05-24,54462.79171040082,47341.526045764935,61979.708588189445
2024-05-25,43043.55618819423,35561.65265407651,50804.57806673142
2024-05-26,29155.056510148235,21372.97482409397,36779.275162390244
2024-05-27,47654.5375867721,40301.73029106743,55545.43263137657
2024-05-28,50150.632461427864,42366.63826221957,58124.79274328966
2024-05-29,49320.730980810404,41841.30460303287,56874.96337463371
2024-05-30,50807.05877320911,42923.815037337554,58526.60776380829
2024-05-31,54420.06658033038,47492.06472969577,62252.73540118242
2024-06-01,43000.831058086056,35366.63380920638,50585.374934213345
2024-06-02,29112.33138006646,21660.463941701746,37130.81716415326
2024-06-03,47611.81245670235,40324.691377409676,55251.910920226954
