ds,yhat,yhat_lower,yhat_upper
2024-01-01,3266.931612634388,2607.41177517985,3973.666290131513
2024-01-02,3611.3337183546414,2892.0166697915492,4336.559117483938
2024-01-03,3526.137521982956,2867.248084998339,4185.299463802536
2024-01-04,3630.689658433843,2973.086043342256,4292.499414084117
2024-01-05,3652.095039399164,2969.4436090956374,4289.845172160725
2024-01-06,2962.0810522578345,2227.974834164449,3630.3911551152573
2024-01-07,2248.2934201761464,1584.1454903928905,2932.301229968928
2024-01-08,3315.807022043359,2677.4624072290067,4004.366044376246
2024-01-09,3660.209127767145,2979.4473854184175,4330.177517901738
2024-01-10,3575.012931394076,2922.435110539586,4213.855128086541
2024-01-11,3679.5650678457314,3041.8160011349096,4410.288568510341
2024-01-12,3700.9704488118437,3008.3036431393657,4344.892039122045
2024-01-13,3010.9564616737216,2317.152599450717,3719.7554538564245
2024-01-14,2297.1688295888007,1580.494701294241,3025.772893374779
2024-01-15,3364.6824314563814,2726.2969019661678,4024.143681740585
2024-01-16,3709.08453717965,3080.001893960941,4395.498142368202
2024-01-17,3623.888340806967,2906.617108356444,4272.097291537859
2024-01-18,3728.4404772815833,3078.3328125638286,4411.109614674581
2024-01-19,3749.8458582705534,3100.534891188076,4425.994899036598
2024-01-20,3059.8318711544816,2341.965851220763,3764.8738625230017
2024-01-21,2346.044239093235,1684.7219231450656,3010.243327128385
2024-01-22,3413.5578409844798,2712.6175995287745,4101.2004712376465
2024-01-23,3757.9599467295984,3105.0575242420578,4405.611559112379
2024-01-24,3672.7637503808696,2964.749228135129,4365.547470125986
2024-01-25,3777.3158868545784,3062.6876453915843,4468.795551076487
2024-01-26,3798.721267843517,3143.714373412717,4414.853136705771
2024-01-27,3108.707280727303,2419.2174041899925,3817.4954530391224
2024-01-28,2394.919648666996,1715.263017965581,3108.8332562581713
2024-01-29,3462.4332505545567,2781.1634908898477,4149.418414612321
2024-01-30,3806.835356302561,3143.1487299597284,4473.594914790204
2024-01-31,3721.6391599539816,3061.37768442118,4392.97818111349
2024-02-01,3826.191296428929,3150.5223601573753,4483.6132861842925
2024-02-02,3847.596677416481,3124.8034688967387,4553.54087219161
2024-02-03,3157.5826902883064,2533.2183478178354,3823.3699095751435
2024-02-04,2443.7950582169733,1791.4530322618791,3108.6896471413493
2024-02-05,3511.3086600951174,2829.9555952817464,4204.638578310576
2024-02-06,3855.71076583104,3191.337537930711,4500.661885371464
2024-02-07,3770.514569470678,3056.457338283918,4463.030485892112
2024-02-08,3875.066705934226,3240.9295855771893,4561.681348400155
2024-02-09,3896.4720869121497,3231.8148774647657,4602.812238791857
2024-02-10,3206.458099781612,2503.5266153650405,3882.1042568835373
2024-02-11,2492.670467711613,1833.8992327031408,3112.763674667674
2024-02-12,3560.1840695899837,2860.632917711445,4199.521133244674
2024-02-13,3904.5861753256695,3216.7020639573398,4610.597482793803
2024-02-14,3819.389978965694,3145.4175191910335,4518.038095061892
2024-02-15,3923.9421154291877,3318.591420940155,4648.523606312198
2024-02-16,3945.3474964069546,3271.7240470206716,4657.7771770317095
2024-02-17,3255.3335092754514,2629.794881668378,3954.6163006949355
2024-02-18,2541.545877206252,1868.972215824176,3270.828516939552
2024-02-19,3609.059478954772,2888.8769361415248,4308.285371766275
2024-02-20,3953.461584558984,3299.1767104388437,4667.129971659987
2024-02-21,3868.2653880687903,3191.232476779879,4578.868921752882
2024-02-22,3972.8175244006416,3245.3421704407015,4665.014256617224
