ds,yhat,yhat_lower,yhat_upper
2024-01-01,32366.355745339923,27129.60159655232,37910.147480469604
2024-01-02,34013.98556474811,28996.606267782063,39787.62984970209
2024-01-03,33887.545219127416,28582.872742647927,38934.18664314729
2024-01-04,34362.382756479565,28684.94382307118,39225.94820036566
2024-01-05,35530.273900912245,29898.429587638457,40808.87969879526
2024-01-06,24053.582854932436,18754.37924796322,29673.039189304982
2024-01-07,17823.00751764524,12104.529869329102,23337.41970106673
2024-01-08,32450.748137022114,26662.367880685204,38162.331477336986
2024-01-09,34098.37795646841,28012.2555450838,39590.46763512511
2024-01-10,33971.93761083776,28490.0758025185,39221.46660592921
2024-01-11,34446.77514819524,29029.623039839622,39887.24873189479
2024-01-12,35614.66629263852,30026.041645930152,40498.1573766939
2024-01-13,24137.975246697915,18876.41151986807,29692.773918579667
2024-01-14,17907.39990937771,12307.123514851339,23265.910466949255
2024-01-15,32535.1405287529,26879.201854053837,37719.18618931569
2024-01-16,34182.77034818871,28756.62285073156,39585.720738414035
2024-01-17,34056.33000256386,28905.898095089447,39648.19624491859
2024-01-18,34531.16753152769,29023.946753264292,40255.08273127766
2024-01-19,35699.05866757456,30686.17350304793,41469.88267625732
2024-01-20,24222.367613227303,18833.823479384333,29721.218240442315
2024-01-21,17991.792267511635,12345.611462929688,23699.157270094387
2024-01-22,32619.532878508067,27456.13198471674,38311.471868999986
2024-01-23,34267.16268953595,28978.934720230114,39787.481830846154
2024-01-24,34140.722335522274,28315.791556809592,39519.74227431616
2024-01-25,34615.559864477495,29084.132888069253,39564.15332519857
2024-01-26,35783.45100052141,30229.524986229622,41284.876802521474
2024-01-27,24306.75994617619,19043.006563733084,29571.37893599953
2024-01-28,18076.184600478242,12546.152311857337,23705.21998052424
2024-01-29,32703.925211424394,27582.232328043432,37908.300357368134
2024-01-30,34351.55502248808,28783.937273631374,40029.396127865344
2024-01-31,34225.11466847463,28728.24999873302,39335.39293456021
2024-02-01,34699.95219744235,29363.140326851466,39800.2155226684
2024-02-02,35867.84333346827,30405.116559422568,41306.73183305095
2024-02-03,24391.152275594468,18686.716891094497,30180.64221890649
2024-02-04,18160.576926375503,12974.553567630013,23536.643704201466
2024-02-05,32788.31753383134,27560.996683791756,38071.82112338903
2024-02-06,34435.94734137018,29200.935829133592,39851.81112852339
2024-02-07,34309.50698383657,29417.659625481592,40083.78378008801
2024-02-08,34784.34450928366,29463.548841352946,40098.51568534978
2024-02-09,35952.235641817766,30374.470827402845,41524.026125040575
2024-02-10,24475.54458390426,18866.352392758075,29722.08250563085
2024-02-11,18244.96923470651,12661.970646215446,23557.494193074985
2024-02-12,32872.70984217341,27192.115435764725,38507.732445231944
2024-02-13,34520.339649698035,28845.30321454762,40275.03409742854
2024-02-14,34393.89929217023,28608.173721609895,40048.868308220335
2024-02-15,34868.73681761879,29450.566390792363,40074.180349771545
2024-02-16,36036.627950151604,30185.25995260596,41765.246372557616
2024-02-17,24559.936892226568,19252.274918464096,29952.97238619193
2024-02-18,18329.36154303751,13035.252514242246,23540.736743403573
2024-02-19,32957.10214254227,27243.408582568365,38312.52600453782
2024-02-20,34604.731942101775,29003.994028491405,40116.924573955424
2024-02-21,34478.29157660662,28988.126864669073,39670.92876178473
2024-02-22,34953.129094079,29688.23882932134,40082.710643671955
2024-02-23,36121.02021862956,30843.276815054556,41661.915632073345
2024-02-24,24644.32915275435,19405.552636550976,30324.70730504386
2024-02-25,18413.753795584085,12943.540437309586,23971.0839026967
2024-02-26,33041.49439512033,27597.883482997335,38144.435986430675
2024-02-27,34689.12419466704,29654.65219826825,40359.02705273216
2024-02-28,34562.6838291703,29184.46079207728,40092.518283016376
2024-02-29,35037.521346653855,29608.277937136176,40065.686245945726
2024-03-01,36205.41247120311,31038.553757610633,41920.96331455832
2024-03-02,24728.721405367112,19317.30554139154,29951.68037834507
2024-03-03,18498.146048154806,12775.400736621083,23668.557905624915
2024-03-04,33125.88664769467,27716.023010145618,38839.34653810861
2024-03-05,34773.516447236914,29363.03897610403,40061.57779367706
2024-03-06,34644.827833015166,29030.903718178084,40557.42757376977
2024-03-07,35117.41710178256,29501.127573039346,40306.28741522143
2024-03-08,36283.059977624864,30739.48145649231,41686.68818591771
2024-03-09,24804.120663065623,19521.180665164742,30477.923749048365
2024-03-10,18571.2970571708,13254.249824444129,23683.745962525307
2024-03-11,33196.78940799624,27705.863181982357,38549.28026983139
2024-03-12,34842.170958812945,29495.82747048539,40236.74702892935
2024-03-13,34713.4823445993,29082.612207130107,39856.95413945342
2024-03-14,35186.071613368156,29350.806016178696,40232.5684891605
2024-03-15,36351.714489209175,30878.902748301713,41947.16810510887
2024-03-16,24872.77517465094,19396.76541362383,30426.19441183198
2024-03-17,18639.951568743265,12832.460396826335,23980.59770784071
2024-03-18,33265.44391953646,28235.98240386599,38381.16194796316
2024-03-19,34910.825470391275,29437.009115137396,40055.77327183514
2024-03-20,34782.13685618344,29251.65554720155,40113.63673389887
2024-03-21,35254.72612494187,29946.012537918305,40588.71514326804
2024-03-22,36416.84281079189,31139.738768906456,41375.34522091829
2024-03-23,24934.377306285824,19411.70740738336,30327.905190220317
2024-03-24,18698.02751036962,13466.109650680677,24887.28860123957
2024-03-25,33319.99367117309,27884.88688268679,38193.72291577365
2024-03-26,34961.84903202706,29383.557529449252,40492.8568626319
2024-03-27,34829.6342278314,29348.449703485494,40545.651688541024
2024-03-28,35298.69730662303,29835.768384824005,40912.12393241139
2024-03-29,36460.81399247552,30648.06195131489,42288.41249454457
2024-03-30,24978.34848795481,19377.46483656011,30264.47522354739
2024-03-31,18741.99869204378,13115.547240962349,24149.41839442757
2024-04-01,33363.96485284185,28037.955975251425,38596.29293157256
2024-04-02,35005.82021369875,29259.60898212095,40387.966334907665
2024-04-03,34873.60540950526,29690.51337087969,40505.56030440111
2024-04-04,35342.668488280404,30252.40190235449,40614.85307345963
2024-04-05,36504.785174129946,31139.253687304852,41609.59415504566
2024-04-06,25022.319669598735,19532.219866450123,30402.280445957073
2024-04-07,18783.086556300164,13091.120593830396,24137.254167852592
2024-04-08,33402.169399700535,27991.882154454583,38734.27427276315
2024-04-09,35041.14144313445,29884.828659250168,40242.81349525673
2024-04-10,34906.04332152224,29414.438685910663,40271.569990214746
2024-04-11,35372.22308289396,29612.790068895352,40698.219212560136
2024-04-12,36531.45645133178,30737.622353276456,42199.24130563166
2024-04-13,25046.10762939384,19510.744114010904,30864.985251772378
2024-04-14,18806.87451608883,13158.15611848458,23809.105455567482
2024-04-15,33425.95735950794,28401.523757950603,39303.397288600136
2024-04-16,35064.92940293509,29683.68940730855,40583.77554398365
2024-04-17,34929.83128132868,29850.899095477842,40178.56830215766
2024-04-18,35396.01104270187,29999.848945013568,40774.36194521691
2024-04-19,36555.24441115407,31158.08472695951,41801.4480604872
2024-04-20,25069.895589188938,19712.27214042024,30381.401022030394
2024-04-21,18830.66247588359,13549.600577979056,24077.317278599803
2024-04-22,33449.74531931534,28067.08580597124,38748.533868787345
2024-04-23,35087.49059392507,29872.740451089052,40319.737837706
2024-04-24,34951.165703510516,29275.284247039206,40649.03158996139
2024-04-25,35416.11869605215,30430.499843088597,41031.40357310707
2024-04-26,36574.12529572722,31102.833702933345,41976.67749929238
2024-04-27,25087.54970494221,19857.634890858837,30769.50246985624
2024-04-28,18847.08982284621,13289.709284458626,24173.351367190226
2024-04-29,33464.94589742304,28308.98520915411,38833.86761824521
2024-04-30,35102.691172074534,29525.928311536416,40330.933834838914
2024-05-01,34966.36628165051,29365.999799436566,40277.85142003584
2024-05-02,35431.31927421339,29884.182240372123,40721.02873162862
2024-05-03,36589.32587384817,31249.683386357887,42098.520273090195
2024-05-04,25102.75028306621,19559.857801933027,30384.737023966303
2024-05-05,18862.290400991427,13402.310857658491,24134.029126955353
2024-05-06,33480.14647557187,27969.330007265427,38785.11902958478
2024-05-07,35117.8917502143,29622.509921382814,40501.73279019417
2024-05-08,34981.56685979051,29678.454033800048,40240.57809069787
2024-05-09,35446.519834918974,30538.295065742506,40824.60914244842
2024-05-10,36604.52641713248,30621.560331923316,41835.47972643816
2024-05-11,25117.950808957852,19881.723486246286,30582.45552031644
2024-05-12,18877.49090940916,13346.408625950136,23986.481528754233
2024-05-13,33495.3469665688,28103.564066089875,38654.39113340574
